Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_1	GO:0051179~localization	18	15.789473684210526	0.24400930303219973	NP_001005938, NP_001070201, NP_957021, NP_956262, NP_001019591, NP_001003487, NP_999905, NP_001020701, NP_001004546, NP_956228, NP_998508, NP_001004662, XP_005162901, NP_998799, NP_001032183, NP_001036186, XP_697518, XP_017210321	71	208	1019	1.2420097508125678	0.9913944294246771	1.0	1.0
GOTERM_BP_1	GO:0022414~reproductive process	2	1.7543859649122806	0.4743581279403594	NP_001005938, NP_001096608	71	9	1019	3.189358372456964	0.999982146259955	1.0	1.0
GOTERM_BP_1	GO:0000003~reproduction	2	1.7543859649122806	0.5107887527369039	NP_001005938, NP_001096608	71	10	1019	2.8704225352112673	0.9999947345030695	1.0	1.0
GOTERM_BP_1	GO:0050896~response to stimulus	18	15.789473684210526	0.545266441616298	NP_001005938, NP_956351, NP_001315353, NP_999939, NP_001025431, NP_956008, NP_001002593, NP_001003590, NP_955934, NP_571369, NP_001076362, NP_571555, NP_955896, NP_001096608, XP_697507, NP_998086, NP_001077327, NP_001013278	71	247	1019	1.0459029480526887	0.9999984799107351	1.0	1.0
GOTERM_BP_1	GO:0044699~single-organism process	48	42.10526315789473	0.7077458533870289	NP_956262, NP_001019591, NP_001074125, NP_956047, NP_001003746, NP_001004577, NP_001004115, NP_999905, NP_001025431, NP_956008, NP_998618, NP_001003743, NP_956228, NP_001002373, NP_001003882, NP_955934, NP_571369, NP_001107050, NP_955854, NP_001096608, XP_697518, XP_017210321, NP_998086, NP_001013278, NP_001005938, NP_957021, NP_001073641, NP_956673, NP_001002207, NP_001082935, NP_999939, NP_001004546, NP_998508, NP_954968, NP_001004662, NP_998356, NP_001003590, XP_005162901, NP_001076362, NP_998799, NP_571555, NP_997889, NP_001032183, NP_001036186, XP_697507, XP_001339387, NP_998296, NP_998672	71	706	1019	0.9757810317998643	0.9999999991721883	1.0	1.0
GOTERM_BP_1	GO:0051704~multi-organism process	2	1.7543859649122806	0.7445509032355486	NP_001005938, NP_001077327	71	19	1019	1.5107487027427724	0.9999999999160203	1.0	1.0
GOTERM_BP_1	GO:0002376~immune system process	4	3.508771929824561	0.7783479588145088	NP_955934, NP_001032183, NP_001002593, NP_001077327	71	58	1019	0.989800874210782	0.9999999999924765	1.0	1.0
GOTERM_BP_1	GO:0071840~cellular component organization or biogenesis	12	10.526315789473683	0.8538228442453477	NP_001070201, NP_001002714, XP_005162901, NP_956047, NP_001032183, NP_001096608, XP_697518, NP_998086, NP_001025343, NP_998508, NP_001013278, NP_954968	71	202	1019	0.8526007530330498	0.9999999999999937	1.0	1.0
GOTERM_BP_1	GO:0008152~metabolic process	45	39.473684210526315	0.9532219946181493	NP_956262, NP_001093482, NP_001019591, NP_001315353, NP_001074125, NP_001003746, NP_001070064, NP_001004577, NP_001004115, NP_001025431, NP_998618, NP_001003743, NP_001002373, NP_001003882, NP_955934, NP_571369, NP_001107050, NP_955854, NP_571467, NP_001096608, NP_001017633, NP_001073508, NP_998086, NP_001077327, NP_001018564, NP_001005938, NP_957021, NP_956351, NP_957441, NP_001073641, NP_956673, NP_001003437, NP_001002207, NP_001082935, NP_955825, NP_001139099, NP_001076362, NP_998799, NP_571555, NP_997889, NP_001032183, XP_697507, NP_001170917, NP_998296, NP_998672	71	724	1019	0.8920512022410707	1.0	1.0	1.0
GOTERM_BP_1	GO:0023052~signaling	6	5.263157894736842	0.9646931162827739	NP_955934, NP_001003590, NP_571555, NP_999939, XP_697507, NP_956008	71	133	1019	0.6474637297469025	1.0	1.0	1.0
GOTERM_BP_1	GO:0032502~developmental process	9	7.894736842105263	0.9954216408861968	NP_998356, NP_955934, XP_005162901, NP_997889, NP_001032183, NP_001036186, NP_001013278, NP_001003882, NP_954968	71	229	1019	0.5640568300633495	1.0	1.0	1.0
GOTERM_BP_1	GO:0032501~multicellular organismal process	9	7.894736842105263	0.996894923061614	NP_998356, NP_955934, XP_005162901, NP_997889, NP_001032183, NP_001036186, NP_001013278, NP_001003882, NP_954968	71	236	1019	0.5473263308665552	1.0	1.0	1.0
GOTERM_BP_1	GO:0009987~cellular process	47	41.228070175438596	0.99850107800707	NP_001070201, NP_001002714, NP_956262, NP_001093482, NP_001315353, NP_001074125, NP_956047, NP_001003746, NP_001070064, NP_001004577, NP_999905, NP_001025431, NP_956008, NP_998618, NP_001003882, NP_955934, NP_571369, NP_955854, NP_571467, NP_955896, NP_997778, NP_001096608, NP_001017633, XP_697518, NP_998086, NP_001013278, NP_001005938, NP_957441, NP_001073641, NP_001003437, NP_001002207, NP_001082935, NP_999939, NP_001025343, NP_998508, NP_954968, NP_998356, NP_001003590, XP_005162901, NP_001076362, NP_571555, NP_001032183, NP_001036186, XP_697507, XP_001339387, NP_998296, NP_998672	71	811	1019	0.8317500564422292	1.0	1.0	1.0
