Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_1	GO:0016020~membrane	43	37.719298245614034	0.0069074386680637746	NP_001070201, NP_956262, NP_001019591, NP_991224, NP_001003487, NP_999905, NP_001020701, NP_956008, NP_956228, NP_001082887, NP_001002593, XP_005157201, NP_998303, NP_955854, NP_955996, XP_697518, NP_840075, NP_001013278, NP_001005938, NP_957021, NP_956352, NP_957442, NP_001005957, XP_002666669, NP_001082935, NP_999939, NP_001025343, NP_001004546, NP_956899, XP_001922019, NP_954968, NP_001004662, NP_955825, XP_005162901, NP_998339, NP_001032183, NP_001036186, XP_697507, XP_001339387, NP_001170917, NP_998198, NP_957063, NP_998672	75	408	962	1.351830065359477	0.07341126180612889	0.07178049065508124	0.07178049065508124
GOTERM_CC_1	GO:0044425~membrane part	39	34.21052631578947	0.013050998300923863	NP_001070201, NP_956262, NP_001019591, NP_991224, NP_001003487, NP_999905, NP_001020701, NP_956008, NP_956228, NP_001082887, XP_005157201, NP_998303, NP_955854, NP_955996, XP_697518, NP_840075, NP_001005938, NP_957021, NP_956352, NP_957442, NP_001005957, XP_002666669, NP_001082935, NP_999939, NP_001025343, NP_001004546, NP_956899, XP_001922019, NP_001004662, XP_005162901, NP_998339, NP_001032183, NP_001036186, XP_697507, XP_001339387, NP_001170917, NP_998198, NP_957063, NP_998672	75	370	962	1.3519999999999999	0.13455029748244196	0.07178049065508124	0.07178049065508124
GOTERM_CC_1	GO:0005576~extracellular region	7	6.140350877192982	0.15601243039926543	XP_001922687, NP_956351, NP_998799, NP_001017633, NP_001002593, NP_001077327, NP_001038536	75	48	962	1.8705555555555555	0.8452265179387008	0.5720455781306399	0.5720455781306399
GOTERM_CC_1	GO:0044421~extracellular region part	4	3.508771929824561	0.38855886609401724	XP_001922687, NP_001017633, NP_001002593, NP_001038536	75	29	962	1.7691954022988505	0.9955341804390476	1.0	1.0
GOTERM_CC_1	GO:0043226~organelle	41	35.96491228070175	0.8819039495049893	NP_001070201, NP_001002714, NP_956262, NP_001019591, NP_001003746, NP_001070064, NP_001003487, NP_001025431, NP_956008, NP_956228, NP_001028922, NP_001082887, XP_005157201, NP_571369, NP_571467, NP_001096608, NP_001017633, XP_697518, NP_998086, NP_001013278, NP_001005938, NP_957021, NP_956351, NP_957441, NP_001073641, NP_001003437, NP_957126, NP_001002207, NP_001082935, NP_001025343, NP_001004546, NP_956899, NP_001004662, NP_955825, XP_005162901, NP_571555, NP_001032183, XP_017208265, XP_001339387, NP_998198, NP_998672	75	576	962	0.9130092592592591	0.9999999999376855	1.0	1.0
GOTERM_CC_1	GO:0044422~organelle part	20	17.543859649122805	0.9326079164074099	NP_001070201, NP_957021, NP_956262, NP_001019591, NP_001003437, NP_001070064, NP_957126, NP_001003487, NP_001082935, NP_001025343, NP_001004546, NP_956008, NP_956228, NP_001004662, NP_955825, NP_001096608, XP_697518, XP_001339387, NP_998672, NP_001013278	75	315	962	0.8143915343915344	0.9999999999998698	1.0	1.0
GOTERM_CC_1	GO:0044464~cell part	56	49.122807017543856	0.9880475011696559	NP_001003746, NP_001070064, NP_956008, NP_001028922, NP_001082887, XP_005157201, NP_571369, NP_001017633, NP_001096608, NP_998086, NP_001013278, NP_001005938, NP_001002704, NP_956351, NP_957441, NP_001073641, NP_956673, NP_001003437, NP_957126, NP_001082935, NP_998508, NP_954968, NP_955825, NP_998356, NP_001003590, XP_005162901, NP_571555, XP_001339387, NP_998198, NP_998672, NP_001070201, NP_001002714, NP_956262, NP_001019591, NP_001003487, NP_999905, NP_001025431, NP_956228, NP_001003882, NP_955934, NP_955854, NP_571467, NP_997778, XP_697518, XP_017210321, NP_001073508, NP_957021, NP_001002207, NP_999939, NP_001025343, NP_001004546, NP_956899, NP_001004662, NP_001032183, XP_697507, XP_017208265	75	803	962	0.8945122457451226	1.0	1.0	1.0
GOTERM_CC_1	GO:0032991~macromolecular complex	14	12.280701754385964	0.9901760038431758	NP_957021, NP_956262, NP_957441, NP_001019591, NP_001003437, NP_001070064, NP_001004546, NP_956008, NP_956228, NP_998508, NP_571467, NP_001096608, XP_697518, XP_017210321	75	271	962	0.6626322263222633	1.0	1.0	1.0
GOTERM_CC_1	GO:0005623~cell	56	49.122807017543856	0.9939324996086886	NP_001003746, NP_001070064, NP_956008, NP_001028922, NP_001082887, XP_005157201, NP_571369, NP_001017633, NP_001096608, NP_998086, NP_001013278, NP_001005938, NP_001002704, NP_956351, NP_957441, NP_001073641, NP_956673, NP_001003437, NP_957126, NP_001082935, NP_998508, NP_954968, NP_955825, NP_998356, NP_001003590, XP_005162901, NP_571555, XP_001339387, NP_998198, NP_998672, NP_001070201, NP_001002714, NP_956262, NP_001019591, NP_001003487, NP_999905, NP_001025431, NP_956228, NP_001003882, NP_955934, NP_955854, NP_571467, NP_997778, XP_697518, XP_017210321, NP_001073508, NP_957021, NP_001002207, NP_999939, NP_001025343, NP_001004546, NP_956899, NP_001004662, NP_001032183, XP_697507, XP_017208265	75	812	962	0.8845977011494253	1.0	1.0	1.0
GOTERM_CC_1	GO:0099512~supramolecular fiber	1	0.8771929824561403	1.0	NP_957126	75	8	962	1.6033333333333333	1.0	1.0	1.0
GOTERM_CC_1	GO:0031974~membrane-enclosed lumen	1	0.8771929824561403	1.0	NP_001070064	75	63	962	0.2035978835978836	1.0	1.0	1.0
