Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_5	GO:0043565~sequence-specific DNA binding	28	4.590163934426229	0.006054794236444929	XP_686801, NP_571374, NP_001074120, NP_001034895, NP_571009, NP_998443, NP_571323, NP_919353, NP_571962, NP_570994, NP_571024, NP_571542, NP_571949, NP_991132, XP_005169984, NP_956196, NP_001124064, NP_001018497, NP_001003514, NP_957203, NP_997915, NP_571160, NP_571339, NP_955889, NP_571311, NP_001017545, XP_001339146, NP_571959	304	42	682	1.4956140350877192	0.7835609088937474	1.0	1.0
GOTERM_MF_5	GO:0004252~serine-type endopeptidase activity	15	2.459016393442623	0.017492078999459145	NP_958870, XP_005170576, XP_005173258, NP_694512, NP_878288, NP_997783, NP_001004582, NP_001008573, XP_017209949, NP_001083027, NP_571783, XP_005157835, NP_571894, XP_005169022, NP_956180, NP_001314721	304	20	682	1.682565789473684	0.9882864857823038	1.0	1.0
GOTERM_MF_5	GO:0019843~rRNA binding	10	1.639344262295082	0.03134150267234681	NP_001093906, NP_571655, NP_956320, NP_957146, NP_957026, NP_956323, NP_001002079, NP_001005589, NP_963878, NP_997908	304	12	682	1.8695175438596487	0.9996726483560441	1.0	1.0
GOTERM_MF_5	GO:0008135~translation factor activity, RNA binding	14	2.2950819672131146	0.04966903483928218	NP_001186938, NP_956243, NP_998616, NP_001003763, NP_957508, NP_001013523, NP_001019906, NP_775370, NP_942101, NP_998293, NP_001277022, NP_998068, NP_957293, NP_998155	304	20	682	1.5703947368421052	0.9999973425209531	1.0	1.0
GOTERM_MF_5	GO:0008236~serine-type peptidase activity	15	2.459016393442623	0.0524113213458614	NP_958870, XP_005170576, XP_005173258, NP_694512, NP_878288, NP_997783, NP_001004582, NP_001008573, XP_017209949, NP_001083027, NP_571783, XP_005157835, NP_571894, XP_005169022, NP_956180, NP_001314721	304	22	682	1.529605263157895	0.9999987170623208	1.0	1.0
GOTERM_MF_5	GO:0000975~regulatory region DNA binding	11	1.8032786885245904	0.0683923314178616	NP_001034895, NP_998443, NP_001018497, NP_919353, NP_001003514, NP_570994, NP_571311, NP_001074120, NP_991132, NP_997915, NP_571949	304	15	682	1.6451754385964912	0.9999999823506056	1.0	1.0
GOTERM_MF_5	GO:0003690~double-stranded DNA binding	11	1.8032786885245904	0.0683923314178616	NP_001034895, NP_998443, NP_001018497, NP_571323, NP_919353, NP_001003514, NP_571311, NP_991132, NP_997915, NP_571949, NP_001025257	304	15	682	1.6451754385964912	0.9999999823506056	1.0	1.0
GOTERM_MF_5	GO:0061630~ubiquitin protein ligase activity	7	1.1475409836065573	0.1555193123875292	NP_998202, NP_957252, NP_997900, NP_001116316, NP_001012516, NP_956148, XP_003200552	304	9	682	1.7448830409356724	1.0	1.0	1.0
GOTERM_MF_5	GO:0019901~protein kinase binding	4	0.6557377049180327	0.23325004579331568	XP_009302001, NP_956222, NP_001082832, NP_998034	304	4	682	2.2434210526315788	1.0	1.0	1.0
GOTERM_MF_5	GO:0016462~pyrophosphatase activity	20	3.278688524590164	0.24085853869269858	NP_001003843, NP_956136, NP_001120807, NP_001003411, NP_998616, NP_997937, NP_958889, NP_001005960, NP_001008573, NP_001013523, NP_001296394, NP_997734, NP_942101, NP_001313320, NP_998193, NP_001070823, NP_957470, NP_956051, NP_001070721, NP_001019600	304	37	682	1.2126600284495022	1.0	1.0	1.0
GOTERM_MF_5	GO:0022853~active ion transmembrane transporter activity	7	1.1475409836065573	0.2479894616362484	NP_001003843, NP_998193, NP_001070823, NP_957470, NP_956051, NP_001005960, NP_001019600	304	10	682	1.5703947368421052	1.0	1.0	1.0
GOTERM_MF_5	GO:0042625~ATPase coupled ion transmembrane transporter activity	7	1.1475409836065573	0.2479894616362484	NP_001003843, NP_998193, NP_001070823, NP_957470, NP_956051, NP_001005960, NP_001019600	304	10	682	1.5703947368421052	1.0	1.0	1.0
GOTERM_MF_5	GO:0004175~endopeptidase activity	25	4.098360655737705	0.3017824544424876	NP_001070089, XP_005170576, NP_001002657, NP_957114, NP_001003889, NP_694512, NP_878288, NP_001008573, NP_001083027, NP_571783, XP_005169022, NP_956180, NP_001002609, NP_001314721, NP_958870, NP_957244, XP_005173258, XP_005159798, NP_997783, NP_001004582, XP_017209949, XP_005157835, NP_571894, NP_001019605, NP_001013544, NP_998331	304	49	682	1.1446025778732545	1.0	1.0	1.0
GOTERM_MF_5	GO:0005509~calcium ion binding	18	2.9508196721311477	0.3094445168714356	NP_958870, NP_001005939, NP_957244, NP_958873, NP_001070791, NP_858048, NP_919403, NP_001002038, XP_005173258, NP_001280631, NP_001004551, XP_002667227, NP_878288, NP_998422, NP_001083027, XP_005157835, NP_571894, XP_005169022, NP_001314721	304	34	682	1.1876934984520124	1.0	1.0	1.0
GOTERM_MF_5	GO:0042626~ATPase activity, coupled to transmembrane movement of substances	8	1.3114754098360655	0.33923022829349303	NP_001003843, NP_001296394, NP_998193, NP_001070823, NP_957470, NP_956051, NP_001005960, NP_001019600	304	13	682	1.380566801619433	1.0	1.0	1.0
GOTERM_MF_5	GO:0004896~cytokine receptor activity	3	0.49180327868852464	0.4166468072881242	NP_001317187, NP_001077337, NP_001106980	304	3	682	2.2434210526315788	1.0	1.0	1.0
GOTERM_MF_5	GO:0050136~NADH dehydrogenase (quinone) activity	7	1.1475409836065573	0.45665185443278544	NP_001017880, NP_001028275, NP_957149, NP_001186841, NP_001017755, NP_001007766, NP_957041	304	12	682	1.3086622807017543	1.0	1.0	1.0
GOTERM_MF_5	GO:0043774~coenzyme F420-2 alpha-glutamyl ligase activity	4	0.6557377049180327	0.5472222627465084	NP_998202, NP_997900, NP_956148, NP_956900	304	6	682	1.4956140350877192	1.0	1.0	1.0
GOTERM_MF_5	GO:0043773~coenzyme F420-0 gamma-glutamyl ligase activity	4	0.6557377049180327	0.5472222627465084	NP_998202, NP_997900, NP_956148, NP_956900	304	6	682	1.4956140350877192	1.0	1.0	1.0
GOTERM_MF_5	GO:0070735~protein-glycine ligase activity	4	0.6557377049180327	0.5472222627465084	NP_998202, NP_997900, NP_956148, NP_956900	304	6	682	1.4956140350877192	1.0	1.0	1.0
GOTERM_MF_5	GO:0008766~UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase activity	4	0.6557377049180327	0.5472222627465084	NP_998202, NP_997900, NP_956148, NP_956900	304	6	682	1.4956140350877192	1.0	1.0	1.0
GOTERM_MF_5	GO:0015035~protein disulfide oxidoreductase activity	4	0.6557377049180327	0.5472222627465084	NP_001002461, NP_001005950, NP_898895, XP_005173001	304	6	682	1.4956140350877192	1.0	1.0	1.0
GOTERM_MF_5	GO:0070739~protein-glutamic acid ligase activity	4	0.6557377049180327	0.5472222627465084	NP_998202, NP_997900, NP_956148, NP_956900	304	6	682	1.4956140350877192	1.0	1.0	1.0
GOTERM_MF_5	GO:0008324~cation transmembrane transporter activity	14	2.2950819672131146	0.5556155226040591	NP_001292506, NP_957097, NP_001124074, NP_001027900, NP_001003843, NP_001025245, NP_001005960, NP_998315, NP_999866, NP_998193, NP_001070823, NP_957470, NP_956051, NP_001019600	304	29	682	1.0830308529945554	1.0	1.0	1.0
GOTERM_MF_5	GO:0050660~flavin adenine dinucleotide binding	10	1.639344262295082	0.5665062559806237	NP_998312, NP_997850, NP_001307368, NP_957475, NP_958899, NP_957204, XP_002663301, NP_001006024, NP_898895, NP_998100	304	20	682	1.1217105263157894	1.0	1.0	1.0
GOTERM_MF_5	GO:0030554~adenyl nucleotide binding	37	6.065573770491803	0.5859914404078055	NP_957252, NP_001071079, NP_001071271, NP_001120807, XP_689990, NP_998616, NP_958889, NP_001121738, NP_937789, NP_001008573, NP_998523, NP_001296394, NP_997734, NP_001275592, XP_696748, XP_005162356, XP_696325, NP_998241, NP_001315318, NP_001032454, NP_937853, XP_003199888, NP_001002728, NP_957489, XP_005158562, NP_571385, NP_001003411, NP_858048, NP_956877, NP_001004666, NP_955823, NP_919383, NP_001313320, NP_001070823, NP_998552, NP_001019600, NP_998034	304	82	682	1.0122753530166881	1.0	1.0	1.0
GOTERM_MF_5	GO:0005524~ATP binding	36	5.901639344262295	0.597260885545011	NP_957252, NP_001071079, NP_001071271, NP_001120807, XP_689990, NP_998616, NP_958889, NP_001121738, NP_937789, NP_001008573, NP_998523, NP_001296394, NP_997734, XP_696748, XP_005162356, XP_696325, NP_998241, NP_001315318, NP_001032454, NP_937853, XP_003199888, NP_001002728, NP_957489, XP_005158562, NP_571385, NP_001003411, NP_858048, NP_956877, NP_001004666, NP_955823, NP_919383, NP_001313320, NP_001070823, NP_998552, NP_001019600, NP_998034	304	80	682	1.0095394736842105	1.0	1.0	1.0
GOTERM_MF_5	GO:0031267~small GTPase binding	3	0.49180327868852464	0.6000435687828563	NP_957199, XP_017213001, XP_003200122	304	4	682	1.682565789473684	1.0	1.0	1.0
GOTERM_MF_5	GO:0017076~purine nucleotide binding	50	8.19672131147541	0.6023506093719644	NP_957252, NP_001071079, NP_001071271, NP_001120807, XP_689990, NP_001121738, NP_001002572, NP_998523, NP_001296394, XP_005162356, XP_696325, NP_998241, NP_001315318, NP_937853, NP_957489, XP_005158562, NP_858048, NP_997937, NP_956877, NP_955823, NP_998357, NP_996974, NP_998552, NP_001019600, NP_998034, NP_001070721, NP_956145, NP_001005947, NP_998616, NP_958889, NP_937789, NP_001007444, NP_001008573, NP_997734, NP_942101, NP_001275592, XP_696748, NP_001032454, NP_001002728, XP_003199888, NP_956136, NP_571385, NP_001003411, NP_001004666, NP_999985, NP_001013523, NP_919383, NP_001019548, NP_001313320, NP_001070823	304	112	682	1.001527255639098	1.0	1.0	1.0
GOTERM_MF_5	GO:0032550~purine ribonucleoside binding	49	8.032786885245901	0.6120540793666878	NP_957252, NP_001071079, NP_001071271, NP_001120807, XP_689990, NP_001121738, NP_001002572, NP_998523, NP_001296394, XP_005162356, XP_696325, NP_998241, NP_001315318, NP_937853, NP_957489, XP_005158562, NP_858048, NP_997937, NP_956877, NP_955823, NP_998357, NP_996974, NP_998552, NP_001019600, NP_998034, NP_001070721, NP_956145, NP_001005947, NP_998616, NP_958889, NP_937789, NP_001007444, NP_001008573, NP_997734, NP_942101, XP_696748, NP_001032454, NP_001002728, XP_003199888, NP_956136, NP_571385, NP_001003411, NP_001004666, NP_999985, NP_001013523, NP_919383, NP_001019548, NP_001313320, NP_001070823	304	110	682	0.9993421052631579	1.0	1.0	1.0
GOTERM_MF_5	GO:0015405~P-P-bond-hydrolysis-driven transmembrane transporter activity	8	1.3114754098360655	0.6178511917683726	NP_001003843, NP_001296394, NP_998193, NP_001070823, NP_957470, NP_956051, NP_001005960, NP_001019600	304	16	682	1.1217105263157894	1.0	1.0	1.0
GOTERM_MF_5	GO:0004129~cytochrome-c oxidase activity	5	0.819672131147541	0.6262679447363109	NP_001292506, NP_957097, NP_001124074, NP_001027900, NP_999866	304	9	682	1.246345029239766	1.0	1.0	1.0
GOTERM_MF_5	GO:0032553~ribonucleotide binding	51	8.360655737704919	0.6275309699242098	NP_957252, NP_001071079, NP_001071271, NP_001120807, NP_001007306, XP_689990, NP_001121738, NP_001002572, NP_001307368, NP_998523, NP_001296394, XP_005162356, XP_696325, NP_998241, NP_001315318, NP_937853, NP_957489, XP_005158562, NP_858048, NP_997937, NP_956877, NP_955823, NP_998357, NP_996974, NP_998552, NP_001019600, NP_998034, NP_001070721, NP_956145, NP_001005947, NP_998616, NP_958889, NP_937789, NP_001007444, NP_001008573, NP_997734, NP_942101, XP_696748, NP_001032454, NP_001002728, XP_003199888, NP_956136, NP_571385, NP_001003411, NP_001004666, NP_999985, NP_001013523, NP_919383, NP_001019548, NP_001313320, NP_001070823	304	115	682	0.994908466819222	1.0	1.0	1.0
GOTERM_MF_5	GO:0032559~adenyl ribonucleotide binding	36	5.901639344262295	0.6371822022273346	NP_957252, NP_001071079, NP_001071271, NP_001120807, XP_689990, NP_998616, NP_958889, NP_001121738, NP_937789, NP_001008573, NP_998523, NP_001296394, NP_997734, XP_696748, XP_005162356, XP_696325, NP_998241, NP_001315318, NP_001032454, NP_937853, XP_003199888, NP_001002728, NP_957489, XP_005158562, NP_571385, NP_001003411, NP_858048, NP_956877, NP_001004666, NP_955823, NP_919383, NP_001313320, NP_001070823, NP_998552, NP_001019600, NP_998034	304	81	682	0.9970760233918128	1.0	1.0	1.0
GOTERM_MF_5	GO:0004672~protein kinase activity	10	1.639344262295082	0.6413304930864872	NP_919383, XP_003199888, NP_001002728, XP_689990, NP_858048, XP_005162356, XP_696325, NP_937789, NP_998241, NP_998034	304	21	682	1.0682957393483707	1.0	1.0	1.0
GOTERM_MF_5	GO:0032555~purine ribonucleotide binding	49	8.032786885245901	0.6467375308032872	NP_957252, NP_001071079, NP_001071271, NP_001120807, XP_689990, NP_001121738, NP_001002572, NP_998523, NP_001296394, XP_005162356, XP_696325, NP_998241, NP_001315318, NP_937853, NP_957489, XP_005158562, NP_858048, NP_997937, NP_956877, NP_955823, NP_998357, NP_996974, NP_998552, NP_001019600, NP_998034, NP_001070721, NP_956145, NP_001005947, NP_998616, NP_958889, NP_937789, NP_001007444, NP_001008573, NP_997734, NP_942101, XP_696748, NP_001032454, NP_001002728, XP_003199888, NP_956136, NP_571385, NP_001003411, NP_001004666, NP_999985, NP_001013523, NP_919383, NP_001019548, NP_001313320, NP_001070823	304	111	682	0.9903390232337601	1.0	1.0	1.0
GOTERM_MF_5	GO:0070003~threonine-type peptidase activity	4	0.6557377049180327	0.6733156464114858	NP_001003889, XP_005159798, NP_001002609, NP_998331	304	7	682	1.281954887218045	1.0	1.0	1.0
GOTERM_MF_5	GO:0005092~GDP-dissociation inhibitor activity	2	0.32786885245901637	0.6915395248492414	NP_998626, NP_955949	304	2	682	2.2434210526315788	1.0	1.0	1.0
GOTERM_MF_5	GO:0080031~methyl salicylate esterase activity	2	0.32786885245901637	0.6915395248492414	XP_009292113, NP_996939	304	2	682	2.2434210526315788	1.0	1.0	1.0
GOTERM_MF_5	GO:0098811~transcriptional repressor activity, RNA polymerase II activating transcription factor binding	2	0.32786885245901637	0.6915395248492414	NP_956372, NP_001038447	304	2	682	2.2434210526315788	1.0	1.0	1.0
GOTERM_MF_5	GO:0018812~3-hydroxyacyl-CoA dehydratase activity	2	0.32786885245901637	0.6915395248492414	NP_944590, NP_956155	304	2	682	2.2434210526315788	1.0	1.0	1.0
GOTERM_MF_5	GO:0008177~succinate dehydrogenase (ubiquinone) activity	2	0.32786885245901637	0.6915395248492414	NP_957204, NP_001004004	304	2	682	2.2434210526315788	1.0	1.0	1.0
GOTERM_MF_5	GO:0017127~cholesterol transporter activity	2	0.32786885245901637	0.6915395248492414	NP_001093614, NP_001082956	304	2	682	2.2434210526315788	1.0	1.0	1.0
GOTERM_MF_5	GO:0047376~all-trans-retinyl-palmitate hydrolase, all-trans-retinol forming activity	2	0.32786885245901637	0.6915395248492414	XP_009292113, NP_996939	304	2	682	2.2434210526315788	1.0	1.0	1.0
GOTERM_MF_5	GO:0080030~methyl indole-3-acetate esterase activity	2	0.32786885245901637	0.6915395248492414	XP_009292113, NP_996939	304	2	682	2.2434210526315788	1.0	1.0	1.0
GOTERM_MF_5	GO:0034892~endosulfan lactone lactonase activity	2	0.32786885245901637	0.6915395248492414	XP_009292113, NP_996939	304	2	682	2.2434210526315788	1.0	1.0	1.0
GOTERM_MF_5	GO:0051723~protein methylesterase activity	2	0.32786885245901637	0.6915395248492414	XP_009292113, NP_996939	304	2	682	2.2434210526315788	1.0	1.0	1.0
GOTERM_MF_5	GO:1990050~phosphatidic acid transporter activity	2	0.32786885245901637	0.6915395248492414	NP_956660, NP_956028	304	2	682	2.2434210526315788	1.0	1.0	1.0
GOTERM_MF_5	GO:0018732~sulfolactone hydrolase activity	2	0.32786885245901637	0.6915395248492414	XP_009292113, NP_996939	304	2	682	2.2434210526315788	1.0	1.0	1.0
GOTERM_MF_5	GO:0015250~water channel activity	2	0.32786885245901637	0.6915395248492414	NP_001039327, NP_001314822	304	2	682	2.2434210526315788	1.0	1.0	1.0
GOTERM_MF_5	GO:0018731~1-oxa-2-oxocycloheptane lactonase activity	2	0.32786885245901637	0.6915395248492414	XP_009292113, NP_996939	304	2	682	2.2434210526315788	1.0	1.0	1.0
GOTERM_MF_5	GO:0035460~L-ascorbate 6-phosphate lactonase activity	2	0.32786885245901637	0.6915395248492414	XP_009292113, NP_996939	304	2	682	2.2434210526315788	1.0	1.0	1.0
GOTERM_MF_5	GO:0050253~retinyl-palmitate esterase activity	2	0.32786885245901637	0.6915395248492414	XP_009292113, NP_996939	304	2	682	2.2434210526315788	1.0	1.0	1.0
GOTERM_MF_5	GO:0018734~butyrolactone hydrolase activity	2	0.32786885245901637	0.6915395248492414	XP_009292113, NP_996939	304	2	682	2.2434210526315788	1.0	1.0	1.0
GOTERM_MF_5	GO:0031210~phosphatidylcholine binding	2	0.32786885245901637	0.6915395248492414	NP_001093614, NP_001082956	304	2	682	2.2434210526315788	1.0	1.0	1.0
GOTERM_MF_5	GO:0043905~Ser-tRNA(Thr) hydrolase activity	2	0.32786885245901637	0.6915395248492414	XP_009292113, NP_996939	304	2	682	2.2434210526315788	1.0	1.0	1.0
GOTERM_MF_5	GO:0004806~triglyceride lipase activity	2	0.32786885245901637	0.6915395248492414	NP_571202, XP_005174313	304	2	682	2.2434210526315788	1.0	1.0	1.0
GOTERM_MF_5	GO:0004514~nicotinate-nucleotide diphosphorylase (carboxylating) activity	2	0.32786885245901637	0.6915395248492414	NP_997833, XP_002661386	304	2	682	2.2434210526315788	1.0	1.0	1.0
GOTERM_MF_5	GO:0016215~acyl-CoA desaturase activity	2	0.32786885245901637	0.6915395248492414	NP_571720, NP_942110	304	2	682	2.2434210526315788	1.0	1.0	1.0
GOTERM_MF_5	GO:0043908~Ser(Gly)-tRNA(Ala) hydrolase activity	2	0.32786885245901637	0.6915395248492414	XP_009292113, NP_996939	304	2	682	2.2434210526315788	1.0	1.0	1.0
GOTERM_MF_5	GO:0080032~methyl jasmonate esterase activity	2	0.32786885245901637	0.6915395248492414	XP_009292113, NP_996939	304	2	682	2.2434210526315788	1.0	1.0	1.0
