Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Ribosomal protein	39	6.393442622950819	9.512604136338093E-6	NP_957031, NP_001070200, NP_956341, NP_956320, NP_957354, NP_001002139, NP_957059, NP_956322, NP_956323, NP_001002079, NP_001005589, NP_956324, NP_997949, NP_997908, NP_998369, NP_955930, NP_001001819, NP_001189439, NP_001103591, NP_998241, NP_957440, NP_957044, NP_957046, NP_957146, NP_001002866, NP_957026, NP_957447, NP_001001593, NP_956018, NP_001003435, NP_998809, NP_998278, NP_001093906, NP_571655, NP_001001590, NP_775340, NP_998272, NP_775342, NP_963878	593	50	1292	1.6994266441821246	0.0019197101698447128	0.0019215460355402948	0.0019215460355402948
UP_KEYWORDS	Ribonucleoprotein	41	6.721311475409836	3.35783832206351E-5	NP_957031, NP_001070200, NP_956341, NP_956320, NP_957354, NP_001002139, NP_957059, NP_956322, NP_956323, NP_001002079, NP_001005589, NP_956324, NP_001005401, NP_997949, NP_997908, NP_998369, NP_955930, NP_001001819, NP_001189439, NP_001103591, NP_998241, NP_991230, NP_957440, NP_957044, NP_957046, NP_957146, NP_001002866, NP_957026, NP_957447, NP_001001593, NP_956018, NP_001003435, NP_998809, NP_998278, NP_001093906, NP_571655, NP_001001590, NP_775340, NP_998272, NP_775342, NP_963878	593	55	1292	1.6241606622719607	0.006759995028404742	0.003391416705284145	0.003391416705284145
UP_KEYWORDS	Serine protease	12	1.9672131147540985	0.054642515099191526	NP_958870, XP_005170576, XP_005173258, NP_878288, NP_997783, NP_001004582, NP_001008573, XP_017209949, NP_001083027, NP_571783, NP_571894, XP_005169022, NP_956180	593	16	1292	1.6340640809443505	0.9999882400479002	1.0	1.0
UP_KEYWORDS	Lipid-binding	7	1.1475409836065573	0.09569527879436948	NP_694492, NP_694493, NP_001122222, NP_001019822, NP_998193, NP_958889, NP_957470	593	8	1292	1.9064080944350756	0.9999999985017329	1.0	1.0
UP_KEYWORDS	EGF-like domain	8	1.3114754098360655	0.11092572513360587	NP_958870, NP_001083027, NP_001070791, XP_005157835, NP_571894, NP_001073481, XP_005173258, NP_001314721, NP_878288	593	10	1292	1.7430016863406408	0.9999999999515287	1.0	1.0
UP_KEYWORDS	Initiation factor	10	1.639344262295082	0.13052126107119755	NP_001186938, NP_001019906, NP_001277022, NP_998293, NP_001003763, NP_998616, NP_957293, NP_998068, NP_998155, NP_957508	593	14	1292	1.5562515056612862	0.9999999999994625	1.0	1.0
UP_KEYWORDS	DNA-binding	22	3.606557377049181	0.15375017418811754	NP_956196, NP_001124064, XP_686801, NP_919368, NP_571374, NP_001074120, NP_997915, XP_001920308, NP_571160, NP_571009, NP_571339, NP_001007121, NP_571323, NP_919353, NP_571126, NP_570994, NP_571024, NP_571542, NP_997734, NP_001017545, NP_991132, XP_005169984	593	38	1292	1.2613827993254638	0.9999999999999978	1.0	1.0
UP_KEYWORDS	Transcription	22	3.606557377049181	0.15375017418811754	NP_001124064, NP_996966, NP_919368, NP_001074120, NP_999917, NP_997915, NP_001243120, XP_001920308, NP_571160, NP_001034895, NP_571009, NP_571339, NP_571323, NP_919353, NP_571126, NP_570994, NP_001034196, NP_571542, NP_997844, NP_001017545, NP_001123664, XP_005169984	593	38	1292	1.2613827993254638	0.9999999999999978	1.0	1.0
UP_KEYWORDS	Proteasome	8	1.3114754098360655	0.18754228598086903	NP_957242, NP_001003889, NP_001017624, NP_571450, XP_005159798, NP_956866, NP_001002609, NP_998331	593	11	1292	1.5845469875824008	1.0	1.0	1.0
UP_KEYWORDS	Zinc	26	4.2622950819672125	0.18818891482926725	NP_001070089, NP_957231, NP_957059, XP_001331813, NP_956148, XP_003200552, NP_001002595, NP_998202, NP_001299842, NP_571323, NP_570994, NP_997955, NP_571542, NP_001093519, XP_005169984, NP_571924, NP_001159825, NP_001124064, NP_001313382, NP_999917, NP_001002683, NP_997900, NP_001017545, NP_998451, NP_001104671, NP_001013544	593	47	1292	1.205267123533422	1.0	1.0	1.0
