Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_1	GO:0044425~membrane part	16	37.2093023255814	0.07220424604800008	NP_705955, NP_957466, XP_009296040, NP_958866, NP_001004521, NP_957208, NP_001008645, NP_001001730, NP_955817, NP_001004630, NP_001311427, XP_009298988, XP_009299911, XP_694371, NP_001076498, XP_005157908	29	370	962	1.4344827586206896	0.561493346770767	0.7942467065280008	0.7942467065280008
GOTERM_CC_1	GO:0016020~membrane	16	37.2093023255814	0.1542340158678273	NP_705955, NP_957466, XP_009296040, NP_958866, NP_001004521, NP_957208, NP_001008645, NP_001001730, NP_955817, NP_001004630, NP_001311427, XP_009298988, XP_009299911, XP_694371, NP_001076498, XP_005157908	29	408	962	1.3008789722785665	0.8416010286394996	0.8482870872730502	0.8482870872730502
GOTERM_CC_1	GO:0005623~cell	25	58.139534883720934	0.5512948575774719	NP_001003728, NP_957099, NP_956000, NP_705955, NP_956640, XP_009296040, NP_958866, XP_009304601, NP_955927, NP_997927, NP_001004630, XP_009299911, NP_998544, NP_998327, NP_001076498, NP_001014367, NP_957466, NP_001004521, NP_957208, NP_001001730, NP_955817, NP_001007355, NP_958906, NP_001311427, NP_001017866	29	812	962	1.0213181586546627	0.9998515529692839	1.0	1.0
GOTERM_CC_1	GO:0044464~cell part	24	55.81395348837209	0.6890464048066471	NP_001003728, NP_956000, NP_705955, NP_956640, NP_957466, XP_009296040, NP_958866, NP_001004521, NP_957208, XP_009304601, NP_001001730, NP_955817, NP_997927, NP_955927, NP_001007355, NP_001004630, NP_958906, NP_001311427, XP_009299911, NP_998544, NP_998327, NP_001076498, NP_001017866, NP_001014367	29	803	962	0.991454459569717	0.9999973718423876	1.0	1.0
GOTERM_CC_1	GO:0043226~organelle	17	39.53488372093023	0.6925985794353087	NP_001003728, NP_705955, NP_956640, NP_957466, XP_009296040, NP_958866, XP_009304601, NP_001001730, NP_955817, NP_997927, NP_001004630, NP_958906, XP_009299911, NP_998544, NP_998327, NP_001076498, NP_001017866	29	576	962	0.9790469348659002	0.999997683861256	1.0	1.0
GOTERM_CC_1	GO:0032991~macromolecular complex	7	16.27906976744186	0.846165067756383	NP_001003728, NP_001311427, NP_956000, NP_958866, NP_001004521, NP_001017866, NP_997927	29	271	962	0.8568520167960301	0.9999999988581617	1.0	1.0
GOTERM_CC_1	GO:0044422~organelle part	8	18.6046511627907	0.8634958778171223	NP_001003728, NP_957466, XP_009296040, NP_958866, NP_001076498, NP_001017866, NP_955817, NP_001004630	29	315	962	0.8424740010946907	0.9999999996933779	1.0	1.0
GOTERM_CC_1	GO:0044456~synapse part	1	2.3255813953488373	1.0	XP_009296040	29	5	962	6.634482758620689	1.0	1.0	1.0
GOTERM_CC_1	GO:0045202~synapse	1	2.3255813953488373	1.0	XP_009296040	29	6	962	5.528735632183908	1.0	1.0	1.0
GOTERM_CC_1	GO:0044421~extracellular region part	1	2.3255813953488373	1.0	XP_009298988	29	29	962	1.1438763376932222	1.0	1.0	1.0
GOTERM_CC_1	GO:0005576~extracellular region	1	2.3255813953488373	1.0	XP_009298988	29	48	962	0.6910919540229885	1.0	1.0	1.0
