Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_3	GO:0016769~transferase activity, transferring nitrogenous groups	4	9.30232558139535	0.0013643352334541128	NP_958906, NP_998544, NP_998327, NP_001071022	23	10	900	15.652173913043477	0.0361910640392229	0.036837051303261044	0.03410838083635282
GOTERM_MF_3	GO:0030170~pyridoxal phosphate binding	4	9.30232558139535	0.004775801581902382	NP_958906, NP_998544, NP_001071022, NP_001014367	23	15	900	10.434782608695652	0.12125061733885656	0.06447332135568215	0.059697519773779774
GOTERM_MF_3	GO:0043168~anion binding	4	9.30232558139535	0.018403452408756432	NP_958906, NP_998544, NP_001071022, NP_001014367	23	24	900	6.521739130434782	0.3943920038824178	0.1656310716788079	0.1533621034063036
GOTERM_MF_3	GO:0016810~hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	3	6.976744186046512	0.05565747151299955	NP_001002716, XP_009304601, NP_955905	23	16	900	7.33695652173913	0.7869420167028749	0.3005503461701976	0.2782873575649978
GOTERM_MF_3	GO:0042802~identical protein binding	3	6.976744186046512	0.05565747151299955	NP_958906, NP_998544, NP_956000	23	16	900	7.33695652173913	0.7869420167028749	0.3005503461701976	0.2782873575649978
GOTERM_MF_3	GO:0046906~tetrapyrrole binding	3	6.976744186046512	0.09811086494920157	NP_001001730, NP_001014367, XP_005157908	23	22	900	5.33596837944664	0.9384631605865265	0.40845796143316115	0.3782018161418159
GOTERM_MF_3	GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	3	6.976744186046512	0.10589650851970844	NP_001001730, NP_001004630, XP_005157908	23	23	900	5.103969754253308	0.9513065717782629	0.40845796143316115	0.3782018161418159
GOTERM_MF_3	GO:0016835~carbon-oxygen lyase activity	2	4.651162790697675	0.3292447719470958	NP_954685, NP_001014367	23	16	900	4.891304347826087	0.9999792398832301	0.9877343158412873	0.9145688109641549
GOTERM_MF_3	GO:0004497~monooxygenase activity	2	4.651162790697675	0.3292447719470958	NP_001001730, XP_005157908	23	16	900	4.891304347826087	0.9999792398832301	0.9877343158412873	0.9145688109641549
GOTERM_MF_3	GO:0016614~oxidoreductase activity, acting on CH-OH group of donors	2	4.651162790697675	0.40882882199131115	NP_956000, NP_001008645	23	21	900	3.7267080745341614	0.999999314104724	1.0	0.9291564136166164
GOTERM_MF_3	GO:0016757~transferase activity, transferring glycosyl groups	2	4.651162790697675	0.40882882199131115	NP_958866, NP_001076498	23	21	900	3.7267080745341614	0.999999314104724	1.0	0.9291564136166164
GOTERM_MF_3	GO:0043169~cation binding	6	13.953488372093023	0.46297775583698375	XP_005173505, NP_954685, NP_001001730, NP_955905, NP_001004630, XP_005157908	23	181	900	1.2971414845063656	0.9999999487384861	1.0	0.9615384615384616
GOTERM_MF_3	GO:0050662~coenzyme binding	2	4.651162790697675	0.5865393301243949	NP_956000, NP_001008645	23	35	900	2.2360248447204967	0.9999999999559726	1.0	0.9615384615384616
GOTERM_MF_3	GO:0000166~nucleotide binding	2	4.651162790697675	0.9896938506118149	NP_956000, NP_001008645	23	167	900	0.4686279614683676	1.0	1.0	0.9896938506118149
GOTERM_MF_3	GO:1901265~nucleoside phosphate binding	2	4.651162790697675	0.9896938506118149	NP_956000, NP_001008645	23	167	900	0.4686279614683676	1.0	1.0	0.9896938506118149
GOTERM_MF_3	GO:0016860~intramolecular oxidoreductase activity	1	2.3255813953488373	1.0	XP_005162565	23	13	900	3.0100334448160537	1.0	1.0	1.0
GOTERM_MF_3	GO:0016684~oxidoreductase activity, acting on peroxide as acceptor	1	2.3255813953488373	1.0	NP_957099	23	7	900	5.590062111801243	1.0	1.0	1.0
GOTERM_MF_3	GO:0016627~oxidoreductase activity, acting on the CH-CH group of donors	1	2.3255813953488373	1.0	NP_001008645	23	19	900	2.059496567505721	1.0	1.0	1.0
GOTERM_MF_3	GO:0031369~translation initiation factor binding	1	2.3255813953488373	1.0	NP_001007355	23	6	900	6.521739130434782	1.0	1.0	1.0
GOTERM_MF_3	GO:0019904~protein domain specific binding	1	2.3255813953488373	1.0	NP_571647	23	5	900	7.826086956521738	1.0	1.0	1.0
GOTERM_MF_3	GO:0008398~sterol 14-demethylase activity	1	2.3255813953488373	1.0	NP_001001730	23	1	900	39.130434782608695	1.0	1.0	1.0
GOTERM_MF_3	GO:0046983~protein dimerization activity	1	2.3255813953488373	1.0	NP_956000	23	24	900	1.6304347826086956	1.0	1.0	1.0
GOTERM_MF_3	GO:0016788~hydrolase activity, acting on ester bonds	1	2.3255813953488373	1.0	NP_957208	23	38	900	1.0297482837528604	1.0	1.0	1.0
GOTERM_MF_3	GO:0003707~steroid hormone receptor activity	1	2.3255813953488373	1.0	NP_957208	23	11	900	3.5573122529644268	1.0	1.0	1.0
GOTERM_MF_3	GO:0016741~transferase activity, transferring one-carbon groups	1	2.3255813953488373	1.0	NP_001001730	23	17	900	2.3017902813299234	1.0	1.0	1.0
GOTERM_MF_3	GO:0005102~receptor binding	1	2.3255813953488373	1.0	XP_009298988	23	18	900	2.1739130434782608	1.0	1.0	1.0
GOTERM_MF_3	GO:0038023~signaling receptor activity	1	2.3255813953488373	1.0	NP_957208	23	19	900	2.059496567505721	1.0	1.0	1.0
