Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Aminotransferase	4	9.30232558139535	8.839749987466615E-4	NP_958906, NP_998544, NP_998327, NP_001071022	41	7	1292	18.006968641114984	0.0432549196686437	0.044198749937333075	0.044198749937333075
UP_KEYWORDS	Transmembrane	16	37.2093023255814	0.020728292772425157	NP_705955, NP_957466, XP_009296040, NP_958866, NP_001004521, NP_957208, NP_001008645, NP_001001730, NP_955817, NP_001004630, NP_001311427, XP_009298988, XP_009299911, XP_694371, NP_001076498, XP_005157908	41	290	1292	1.7386038687973087	0.6491185894371633	0.345471546207086	0.345471546207086
UP_KEYWORDS	Transmembrane helix	16	37.2093023255814	0.020728292772425157	NP_705955, NP_957466, XP_009296040, NP_958866, NP_001004521, NP_957208, NP_001008645, NP_001001730, NP_955817, NP_001004630, NP_001311427, XP_009298988, XP_009299911, XP_694371, NP_001076498, XP_005157908	41	290	1292	1.7386038687973087	0.6491185894371633	0.345471546207086	0.345471546207086
UP_KEYWORDS	Membrane	16	37.2093023255814	0.042131352618928065	NP_705955, NP_957466, XP_009296040, NP_958866, NP_001004521, NP_957208, NP_001008645, NP_001001730, NP_955817, NP_001004630, NP_001311427, XP_009298988, XP_009299911, XP_694371, NP_001076498, XP_005157908	41	315	1292	1.6006194347657763	0.8837754386150266	0.43091465632507053	0.43091465632507053
UP_KEYWORDS	Pyridoxal phosphate	3	6.976744186046512	0.043091465632507056	NP_958906, NP_998327, NP_001014367	41	11	1292	8.594235033259423	0.8894595070945749	0.43091465632507053	0.43091465632507053
UP_KEYWORDS	Transferase	6	13.953488372093023	0.14495750638187122	NP_958906, NP_998544, NP_998327, NP_001071022, NP_001076498, NP_001001730	41	91	1292	2.0777271508978825	0.9996024562460556	1.0	1.0
UP_KEYWORDS	Alternative splicing	2	4.651162790697675	0.19801469805563507	NP_001002716, XP_009304601	41	7	1292	9.003484320557492	0.9999838444982684	1.0	1.0
UP_KEYWORDS	Monooxygenase	2	4.651162790697675	0.2934123664182285	NP_001001730, XP_005157908	41	11	1292	5.72949002217295	0.9999999712722498	1.0	1.0
UP_KEYWORDS	Heme	2	4.651162790697675	0.37771267907969613	NP_001001730, XP_005157908	41	15	1292	4.201626016260162	0.9999999999499335	1.0	1.0
UP_KEYWORDS	Metal-binding	5	11.627906976744185	0.43346310184320513	XP_005173505, NP_954685, NP_001001730, NP_955905, XP_005157908	41	108	1292	1.4588979223125564	0.9999999999995415	1.0	1.0
UP_KEYWORDS	Hydrolase	4	9.30232558139535	0.4889805859089859	NP_001002716, NP_957208, XP_009304601, NP_955905	41	84	1292	1.5005807200929153	0.9999999999999973	1.0	1.0
UP_KEYWORDS	Iron	2	4.651162790697675	0.6389879100831257	NP_001001730, XP_005157908	41	32	1292	1.9695121951219512	1.0	1.0	1.0
UP_KEYWORDS	Oxidoreductase	3	6.976744186046512	0.6498681073853652	NP_956000, NP_001001730, XP_005157908	41	70	1292	1.3505226480836237	1.0	1.0	1.0
UP_KEYWORDS	Transport	3	6.976744186046512	0.7289448784858965	NP_705955, NP_957466, NP_955817	41	81	1292	1.1671183378500452	1.0	1.0	1.0
UP_KEYWORDS	Ribosomal protein	2	4.651162790697675	0.7988206508635107	NP_001003728, NP_997927	41	50	1292	1.2604878048780488	1.0	1.0	1.0
UP_KEYWORDS	Ribonucleoprotein	2	4.651162790697675	0.8292419811343564	NP_001003728, NP_997927	41	55	1292	1.14589800443459	1.0	1.0	1.0
UP_KEYWORDS	Coiled coil	2	4.651162790697675	0.9920903970303854	NP_001003728, NP_956640	41	145	1292	0.43465096719932717	1.0	1.0	1.0
UP_KEYWORDS	Signal	2	4.651162790697675	0.9965319675637425	XP_005173505, NP_001004521	41	168	1292	0.37514518002322883	1.0	1.0	1.0
UP_KEYWORDS	Lipid degradation	1	2.3255813953488373	1.0	NP_957208	41	6	1292	5.252032520325203	1.0	1.0	1.0
UP_KEYWORDS	Glycoprotein	1	2.3255813953488373	1.0	NP_957208	41	19	1292	1.6585365853658538	1.0	1.0	1.0
UP_KEYWORDS	Developmental protein	1	2.3255813953488373	1.0	NP_956373	41	18	1292	1.750677506775068	1.0	1.0	1.0
UP_KEYWORDS	Serine esterase	1	2.3255813953488373	1.0	NP_957208	41	2	1292	15.75609756097561	1.0	1.0	1.0
UP_KEYWORDS	Zinc	1	2.3255813953488373	1.0	NP_954685	41	47	1292	0.6704722366372601	1.0	1.0	1.0
