Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_5	GO:0043567~regulation of insulin-like growth factor receptor signaling pathway	3	3.1914893617021276	0.014225476296314661	NP_001091727, NP_001119936, NP_571533	64	3	887	13.859375	0.9973836256381902	1.0	1.0
GOTERM_BP_5	GO:0009966~regulation of signal transduction	8	8.51063829787234	0.027179115679381784	NP_001002516, NP_001091727, NP_001103596, NP_956870, NP_001119936, NP_571533, NP_991309, NP_958904	64	43	887	2.578488372093023	0.9999891944362401	1.0	1.0
GOTERM_BP_5	GO:1901605~alpha-amino acid metabolic process	5	5.319148936170213	0.08382899038514588	NP_956283, NP_694498, NP_853537, NP_998441, NP_932338	64	24	887	2.887369791666667	0.9999999999999999	1.0	1.0
GOTERM_BP_5	GO:0008156~negative regulation of DNA replication	2	2.127659574468085	0.13708164838980413	NP_001119936, NP_571533	64	2	887	13.859375	1.0	1.0	1.0
GOTERM_BP_5	GO:0006275~regulation of DNA replication	2	2.127659574468085	0.13708164838980413	NP_001119936, NP_571533	64	2	887	13.859375	1.0	1.0	1.0
GOTERM_BP_5	GO:0051053~negative regulation of DNA metabolic process	2	2.127659574468085	0.13708164838980413	NP_001119936, NP_571533	64	2	887	13.859375	1.0	1.0	1.0
GOTERM_BP_5	GO:0006873~cellular ion homeostasis	3	3.1914893617021276	0.15462577151641488	NP_001009918, NP_991117, NP_991309	64	10	887	4.1578125	1.0	1.0	1.0
GOTERM_BP_5	GO:0055082~cellular chemical homeostasis	3	3.1914893617021276	0.18068213491691576	NP_001009918, NP_991117, NP_991309	64	11	887	3.7798295454545454	1.0	1.0	1.0
GOTERM_BP_5	GO:0051052~regulation of DNA metabolic process	2	2.127659574468085	0.19850973443671577	NP_001119936, NP_571533	64	3	887	9.239583333333334	1.0	1.0	1.0
GOTERM_BP_5	GO:0048640~negative regulation of developmental growth	2	2.127659574468085	0.19850973443671577	NP_001119936, NP_571533	64	3	887	9.239583333333334	1.0	1.0	1.0
GOTERM_BP_5	GO:0007166~cell surface receptor signaling pathway	6	6.382978723404255	0.22233591114110812	NP_001077040, NP_001108215, NP_001103596, NP_571854, NP_956575, NP_942578	64	46	887	1.8077445652173914	1.0	1.0	1.0
GOTERM_BP_5	GO:0006260~DNA replication	2	2.127659574468085	0.25562951580601456	NP_001119936, NP_571533	64	4	887	6.9296875	1.0	1.0	1.0
GOTERM_BP_5	GO:0006915~apoptotic process	5	5.319148936170213	0.2647536043201878	NP_001002516, XP_005155564, NP_001103596, NP_991134, NP_001017898	64	37	887	1.8728885135135134	1.0	1.0	1.0
GOTERM_BP_5	GO:0009063~cellular amino acid catabolic process	3	3.1914893617021276	0.2889988689970969	NP_956283, NP_694498, NP_998441	64	15	887	2.771875	1.0	1.0	1.0
GOTERM_BP_5	GO:0045454~cell redox homeostasis	3	3.1914893617021276	0.2889988689970969	NP_001121836, NP_958914, NP_001019577	64	15	887	2.771875	1.0	1.0	1.0
GOTERM_BP_5	GO:0046365~monosaccharide catabolic process	2	2.127659574468085	0.30873862169991007	NP_001002117, NP_956236	64	5	887	5.54375	1.0	1.0	1.0
GOTERM_BP_5	GO:0010605~negative regulation of macromolecule metabolic process	5	5.319148936170213	0.31449184938549946	NP_955977, NP_001103596, NP_001082873, NP_001119936, NP_571533	64	40	887	1.732421875	1.0	1.0	1.0
GOTERM_BP_5	GO:0032269~negative regulation of cellular protein metabolic process	3	3.1914893617021276	0.3432216150231465	NP_955977, NP_001103596, NP_001082873	64	17	887	2.4457720588235294	1.0	1.0	1.0
GOTERM_BP_5	GO:0060047~heart contraction	2	2.127659574468085	0.358114434435772	NP_991134, NP_958914	64	6	887	4.619791666666667	1.0	1.0	1.0
GOTERM_BP_5	GO:0031401~positive regulation of protein modification process	2	2.127659574468085	0.358114434435772	NP_956870, NP_001082946	64	6	887	4.619791666666667	1.0	1.0	1.0
GOTERM_BP_5	GO:0050801~ion homeostasis	3	3.1914893617021276	0.36989965868732966	NP_001009918, NP_991117, NP_991309	64	18	887	2.3098958333333335	1.0	1.0	1.0
GOTERM_BP_5	GO:0051248~negative regulation of protein metabolic process	3	3.1914893617021276	0.36989965868732966	NP_955977, NP_001103596, NP_001082873	64	18	887	2.3098958333333335	1.0	1.0	1.0
GOTERM_BP_5	GO:2000113~negative regulation of cellular macromolecule biosynthetic process	4	4.25531914893617	0.38031968191603516	NP_955977, NP_001082873, NP_001119936, NP_571533	64	31	887	1.788306451612903	1.0	1.0	1.0
GOTERM_BP_5	GO:0010558~negative regulation of macromolecule biosynthetic process	4	4.25531914893617	0.38031968191603516	NP_955977, NP_001082873, NP_001119936, NP_571533	64	31	887	1.788306451612903	1.0	1.0	1.0
GOTERM_BP_5	GO:1902531~regulation of intracellular signal transduction	3	3.1914893617021276	0.396164159266322	NP_001002516, NP_956870, NP_991309	64	19	887	2.1883223684210527	1.0	1.0	1.0
GOTERM_BP_5	GO:0031327~negative regulation of cellular biosynthetic process	4	4.25531914893617	0.4003705022194416	NP_955977, NP_001082873, NP_001119936, NP_571533	64	32	887	1.732421875	1.0	1.0	1.0
GOTERM_BP_5	GO:0009064~glutamine family amino acid metabolic process	2	2.127659574468085	0.4040154453669995	NP_853537, NP_998441	64	7	887	3.959821428571429	1.0	1.0	1.0
GOTERM_BP_5	GO:0019752~carboxylic acid metabolic process	9	9.574468085106384	0.4288694911367271	NP_956283, XP_017209451, NP_997776, NP_571321, NP_694498, NP_853537, NP_991309, NP_998441, NP_932338	64	101	887	1.234993811881188	1.0	1.0	1.0
GOTERM_BP_5	GO:0043436~oxoacid metabolic process	9	9.574468085106384	0.4288694911367271	NP_956283, XP_017209451, NP_997776, NP_571321, NP_694498, NP_853537, NP_991309, NP_998441, NP_932338	64	101	887	1.234993811881188	1.0	1.0	1.0
GOTERM_BP_5	GO:0006464~cellular protein modification process	8	8.51063829787234	0.4367310640966956	NP_001108215, XP_005155564, XP_003199339, NP_956870, NP_001082946, NP_694510, NP_001017767, NP_958904	64	88	887	1.2599431818181819	1.0	1.0	1.0
GOTERM_BP_5	GO:0036211~protein modification process	8	8.51063829787234	0.4367310640966956	NP_001108215, XP_005155564, XP_003199339, NP_956870, NP_001082946, NP_694510, NP_001017767, NP_958904	64	88	887	1.2599431818181819	1.0	1.0	1.0
GOTERM_BP_5	GO:0044267~cellular protein metabolic process	19	20.212765957446805	0.439418303235665	NP_001108215, NP_001103596, NP_956870, XP_017209451, XP_003199339, NP_001003427, NP_001082946, NP_694510, NP_001002487, NP_571251, NP_001032190, NP_958904, XP_005155564, NP_955977, NP_001082873, NP_997876, NP_955884, NP_001017767, NP_001038800	64	240	887	1.0972005208333333	1.0	1.0	1.0
GOTERM_BP_5	GO:0006518~peptide metabolic process	10	10.638297872340425	0.4435251975544069	NP_955977, NP_001103596, NP_001082873, NP_997876, XP_017209451, NP_955884, NP_001002487, NP_571251, NP_001032190, NP_001038800	64	116	887	1.1947737068965516	1.0	1.0	1.0
GOTERM_BP_5	GO:0072599~establishment of protein localization to endoplasmic reticulum	2	2.127659574468085	0.4466825214374218	NP_001002527, NP_956347	64	8	887	3.46484375	1.0	1.0	1.0
GOTERM_BP_5	GO:0032268~regulation of cellular protein metabolic process	5	5.319148936170213	0.48182916630374273	NP_955977, NP_001103596, NP_001082873, NP_956870, NP_001082946	64	50	887	1.3859375	1.0	1.0	1.0
GOTERM_BP_5	GO:0008652~cellular amino acid biosynthetic process	2	2.127659574468085	0.48634008815978974	NP_853537, NP_932338	64	9	887	3.079861111111111	1.0	1.0	1.0
GOTERM_BP_5	GO:1901607~alpha-amino acid biosynthetic process	2	2.127659574468085	0.48634008815978974	NP_853537, NP_932338	64	9	887	3.079861111111111	1.0	1.0	1.0
GOTERM_BP_5	GO:0009066~aspartate family amino acid metabolic process	2	2.127659574468085	0.48634008815978974	NP_956283, NP_932338	64	9	887	3.079861111111111	1.0	1.0	1.0
GOTERM_BP_5	GO:0046394~carboxylic acid biosynthetic process	3	3.1914893617021276	0.4957532278693771	NP_853537, NP_991309, NP_932338	64	23	887	1.8077445652173914	1.0	1.0	1.0
GOTERM_BP_5	GO:0046395~carboxylic acid catabolic process	4	4.25531914893617	0.4974129609408048	NP_956283, NP_997776, NP_694498, NP_998441	64	37	887	1.4983108108108107	1.0	1.0	1.0
GOTERM_BP_5	GO:0016310~phosphorylation	7	7.446808510638298	0.498257246791714	NP_001002516, NP_001005592, NP_998446, NP_001108215, XP_005155564, NP_956870, NP_001002117	64	79	887	1.2280458860759493	1.0	1.0	1.0
GOTERM_BP_5	GO:0006412~translation	9	9.574468085106384	0.49825881533219524	NP_955977, NP_001082873, NP_997876, XP_017209451, NP_955884, NP_001002487, NP_571251, NP_001032190, NP_001038800	64	107	887	1.1657418224299065	1.0	1.0	1.0
GOTERM_BP_5	GO:0043043~peptide biosynthetic process	9	9.574468085106384	0.49825881533219524	NP_955977, NP_001082873, NP_997876, XP_017209451, NP_955884, NP_001002487, NP_571251, NP_001032190, NP_001038800	64	107	887	1.1657418224299065	1.0	1.0	1.0
GOTERM_BP_5	GO:0016053~organic acid biosynthetic process	3	3.1914893617021276	0.5190456131027441	NP_853537, NP_991309, NP_932338	64	24	887	1.732421875	1.0	1.0	1.0
GOTERM_BP_5	GO:1901606~alpha-amino acid catabolic process	2	2.127659574468085	0.5231972344537965	NP_956283, NP_998441	64	10	887	2.771875	1.0	1.0	1.0
GOTERM_BP_5	GO:0006325~chromatin organization	2	2.127659574468085	0.5231972344537965	NP_955846, NP_001082946	64	10	887	2.771875	1.0	1.0	1.0
GOTERM_BP_5	GO:0017148~negative regulation of translation	2	2.127659574468085	0.5231972344537965	NP_955977, NP_001082873	64	10	887	2.771875	1.0	1.0	1.0
GOTERM_BP_5	GO:0051246~regulation of protein metabolic process	5	5.319148936170213	0.5295966883251638	NP_955977, NP_001103596, NP_001082873, NP_956870, NP_001082946	64	53	887	1.3074882075471699	1.0	1.0	1.0
GOTERM_BP_5	GO:0016054~organic acid catabolic process	4	4.25531914893617	0.534129113378111	NP_956283, NP_997776, NP_694498, NP_998441	64	39	887	1.421474358974359	1.0	1.0	1.0
GOTERM_BP_5	GO:1902582~single-organism intracellular transport	3	3.1914893617021276	0.5416327374400648	NP_001002527, NP_958501, NP_956347	64	25	887	1.663125	1.0	1.0	1.0
GOTERM_BP_5	GO:0006811~ion transport	4	4.25531914893617	0.5519375401881805	NP_001009918, NP_991117, NP_001002346, NP_001070854	64	40	887	1.3859375	1.0	1.0	1.0
GOTERM_BP_5	GO:0048534~hematopoietic or lymphoid organ development	4	4.25531914893617	0.5519375401881805	NP_001108215, NP_956743, NP_001002487, NP_001038800	64	40	887	1.3859375	1.0	1.0	1.0
GOTERM_BP_5	GO:0002520~immune system development	4	4.25531914893617	0.5519375401881805	NP_001108215, NP_956743, NP_001002487, NP_001038800	64	40	887	1.3859375	1.0	1.0	1.0
GOTERM_BP_5	GO:0030097~hemopoiesis	4	4.25531914893617	0.5519375401881805	NP_001108215, NP_956743, NP_001002487, NP_001038800	64	40	887	1.3859375	1.0	1.0	1.0
GOTERM_BP_5	GO:0034249~negative regulation of cellular amide metabolic process	2	2.127659574468085	0.5574487444076321	NP_955977, NP_001082873	64	11	887	2.5198863636363638	1.0	1.0	1.0
GOTERM_BP_5	GO:0097190~apoptotic signaling pathway	2	2.127659574468085	0.5574487444076321	NP_001002516, NP_991134	64	11	887	2.5198863636363638	1.0	1.0	1.0
GOTERM_BP_5	GO:0043604~amide biosynthetic process	9	9.574468085106384	0.5870416727266595	NP_955977, NP_001082873, NP_997876, XP_017209451, NP_955884, NP_001002487, NP_571251, NP_001032190, NP_001038800	64	115	887	1.0846467391304349	1.0	1.0	1.0
GOTERM_BP_5	GO:0043069~negative regulation of programmed cell death	2	2.127659574468085	0.5892760607345113	NP_001002516, NP_991134	64	12	887	2.3098958333333335	1.0	1.0	1.0
GOTERM_BP_5	GO:0006612~protein targeting to membrane	2	2.127659574468085	0.5892760607345113	NP_001002527, NP_956347	64	12	887	2.3098958333333335	1.0	1.0	1.0
GOTERM_BP_5	GO:0051345~positive regulation of hydrolase activity	2	2.127659574468085	0.5892760607345113	NP_001082946, NP_991309	64	12	887	2.3098958333333335	1.0	1.0	1.0
GOTERM_BP_5	GO:0005996~monosaccharide metabolic process	2	2.127659574468085	0.6188481843615952	NP_001002117, NP_956236	64	13	887	2.1322115384615388	1.0	1.0	1.0
GOTERM_BP_5	GO:0060548~negative regulation of cell death	2	2.127659574468085	0.6188481843615952	NP_001002516, NP_991134	64	13	887	2.1322115384615388	1.0	1.0	1.0
GOTERM_BP_5	GO:0006259~DNA metabolic process	2	2.127659574468085	0.6463225143213377	NP_001119936, NP_571533	64	14	887	1.9799107142857144	1.0	1.0	1.0
GOTERM_BP_5	GO:0032270~positive regulation of cellular protein metabolic process	2	2.127659574468085	0.6463225143213377	NP_956870, NP_001082946	64	14	887	1.9799107142857144	1.0	1.0	1.0
GOTERM_BP_5	GO:0010629~negative regulation of gene expression	3	3.1914893617021276	0.6616885701048327	NP_955977, NP_001103596, NP_001082873	64	31	887	1.3412298387096773	1.0	1.0	1.0
GOTERM_BP_5	GO:0090150~establishment of protein localization to membrane	2	2.127659574468085	0.6718456318444803	NP_001002527, NP_956347	64	15	887	1.8479166666666667	1.0	1.0	1.0
GOTERM_BP_5	GO:0044724~single-organism carbohydrate catabolic process	2	2.127659574468085	0.6718456318444803	NP_001002117, NP_956236	64	15	887	1.8479166666666667	1.0	1.0	1.0
GOTERM_BP_5	GO:0006818~hydrogen transport	2	2.127659574468085	0.6718456318444803	NP_991117, NP_001002346	64	15	887	1.8479166666666667	1.0	1.0	1.0
GOTERM_BP_5	GO:0051247~positive regulation of protein metabolic process	2	2.127659574468085	0.6718456318444803	NP_956870, NP_001082946	64	15	887	1.8479166666666667	1.0	1.0	1.0
GOTERM_BP_5	GO:0072657~protein localization to membrane	2	2.127659574468085	0.6718456318444803	NP_001002527, NP_956347	64	15	887	1.8479166666666667	1.0	1.0	1.0
GOTERM_BP_5	GO:0015992~proton transport	2	2.127659574468085	0.6718456318444803	NP_991117, NP_001002346	64	15	887	1.8479166666666667	1.0	1.0	1.0
GOTERM_BP_5	GO:0006812~cation transport	3	3.1914893617021276	0.6791097746304469	NP_001009918, NP_991117, NP_001002346	64	32	887	1.29931640625	1.0	1.0	1.0
GOTERM_BP_5	GO:0031399~regulation of protein modification process	2	2.127659574468085	0.6955540322965033	NP_956870, NP_001082946	64	16	887	1.732421875	1.0	1.0	1.0
GOTERM_BP_5	GO:0034645~cellular macromolecule biosynthetic process	16	17.02127659574468	0.7241314889177586	NP_001009918, XP_017209451, XP_001344049, NP_001002487, NP_571251, NP_001032190, NP_001077281, NP_958904, NP_955977, NP_001082873, NP_997876, NP_571961, NP_001119936, NP_571533, NP_955884, NP_001038800	64	233	887	0.9517167381974249	1.0	1.0	1.0
GOTERM_BP_5	GO:0035556~intracellular signal transduction	4	4.25531914893617	0.7564245415584586	NP_001002516, NP_001108215, NP_956870, NP_991309	64	54	887	1.0266203703703705	1.0	1.0	1.0
GOTERM_BP_5	GO:0042273~ribosomal large subunit biogenesis	2	2.127659574468085	0.7570186282418858	NP_955884, NP_001002487	64	19	887	1.4588815789473686	1.0	1.0	1.0
GOTERM_BP_5	GO:0009968~negative regulation of signal transduction	2	2.127659574468085	0.7570186282418858	NP_001002516, NP_001103596	64	19	887	1.4588815789473686	1.0	1.0	1.0
GOTERM_BP_5	GO:0010648~negative regulation of cell communication	2	2.127659574468085	0.7570186282418858	NP_001002516, NP_001103596	64	19	887	1.4588815789473686	1.0	1.0	1.0
GOTERM_BP_5	GO:0072594~establishment of protein localization to organelle	2	2.127659574468085	0.7910289687019496	NP_001002527, NP_956347	64	21	887	1.3199404761904763	1.0	1.0	1.0
GOTERM_BP_5	GO:0001944~vasculature development	2	2.127659574468085	0.7910289687019496	NP_571533, NP_958904	64	21	887	1.3199404761904763	1.0	1.0	1.0
GOTERM_BP_5	GO:0048513~animal organ development	9	9.574468085106384	0.7935414076926646	NP_694480, NP_001108215, NP_956870, NP_571533, NP_991134, NP_956743, NP_001002487, NP_942578, NP_001038800	64	138	887	0.9038722826086956	1.0	1.0	1.0
GOTERM_BP_5	GO:0055085~transmembrane transport	3	3.1914893617021276	0.8052973264721781	NP_001002527, NP_991117, NP_001002346	64	41	887	1.0141006097560976	1.0	1.0	1.0
GOTERM_BP_5	GO:0033365~protein localization to organelle	2	2.127659574468085	0.8062312492700814	NP_001002527, NP_956347	64	22	887	1.2599431818181819	1.0	1.0	1.0
GOTERM_BP_5	GO:0045934~negative regulation of nucleobase-containing compound metabolic process	2	2.127659574468085	0.8062312492700814	NP_001119936, NP_571533	64	22	887	1.2599431818181819	1.0	1.0	1.0
GOTERM_BP_5	GO:0010608~posttranscriptional regulation of gene expression	2	2.127659574468085	0.8456026062955688	NP_955977, NP_001082873	64	25	887	1.1087500000000001	1.0	1.0	1.0
GOTERM_BP_5	GO:0006417~regulation of translation	2	2.127659574468085	0.8456026062955688	NP_955977, NP_001082873	64	25	887	1.1087500000000001	1.0	1.0	1.0
GOTERM_BP_5	GO:0072358~cardiovascular system development	3	3.1914893617021276	0.8548077424141568	NP_571533, NP_991134, NP_958904	64	46	887	0.9038722826086957	1.0	1.0	1.0
GOTERM_BP_5	GO:0072359~circulatory system development	3	3.1914893617021276	0.8548077424141568	NP_571533, NP_991134, NP_958904	64	46	887	0.9038722826086957	1.0	1.0	1.0
GOTERM_BP_5	GO:0043632~modification-dependent macromolecule catabolic process	2	2.127659574468085	0.8568868705689512	NP_001003427, NP_001017767	64	26	887	1.0661057692307694	1.0	1.0	1.0
GOTERM_BP_5	GO:0006605~protein targeting	2	2.127659574468085	0.8673585629659258	NP_001002527, NP_956347	64	27	887	1.0266203703703705	1.0	1.0	1.0
GOTERM_BP_5	GO:0007507~heart development	2	2.127659574468085	0.8673585629659258	NP_571533, NP_991134	64	27	887	1.0266203703703705	1.0	1.0	1.0
