Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
COG_ONTOLOGY	Carbohydrate transport and metabolism	6	1.4354066985645932	0.06719241485607355	NM_001180569, NM_001183391, NM_001182334, NM_001178685, NM_001180018, NM_001179092	82	22	783	2.604212860310421	0.7980622166306869	1.0	1.0
COG_ONTOLOGY	Translation, ribosomal structure and biogenesis	9	2.15311004784689	0.1979314458426913	NM_001179739, NM_001180804, NM_001183130, NM_001181224, NM_001180550, NM_001183070, NM_001181535, NM_001182975, NM_001180588	82	55	783	1.5625277161862527	0.9937358194839984	1.0	1.0
COG_ONTOLOGY	Amino acid transport and metabolism	6	1.4354066985645932	0.3123780238307126	NM_001181061, NM_001179370, NM_001178629, NM_001179177, NM_001178487, NM_001179139	82	36	783	1.5914634146341462	0.999818429952451	1.0	1.0
COG_ONTOLOGY	Cell envelope biogenesis, outer membrane	3	0.7177033492822966	0.3572379374691278	NM_001180903, NM_001183989, NM_001180930	82	12	783	2.3871951219512195	0.9999615270559934	1.0	1.0
COG_ONTOLOGY	Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only	2	0.4784688995215311	0.4818120134947687	NM_001183658, NM_001179557	82	6	783	3.182926829268293	0.9999997288504892	1.0	1.0
COG_ONTOLOGY	DNA replication, recombination, and repair	5	1.1961722488038278	0.6305734770830779	NM_001183750, NM_001179250, NM_001180694, NM_001183378, NM_001183137	82	41	783	1.1644854253420582	0.9999999998869825	1.0	1.0
COG_ONTOLOGY	Signal transduction mechanisms	2	0.4784688995215311	0.70161616820556	NM_001182260, NM_001182125	82	11	783	1.7361419068736144	0.9999999999991686	1.0	1.0
COG_ONTOLOGY	Posttranslational modification, protein turnover, chaperones	8	1.9138755980861244	0.7344972323181389	NM_001182814, NM_001179828, NM_001179560, NM_001179034, NM_001183536, NM_001179157, NM_001178875, NM_001181775	82	79	783	0.9669651126891016	0.9999999999999433	1.0	1.0
COG_ONTOLOGY	Lipid metabolism	2	0.4784688995215311	0.808653139193646	NM_001178251, NM_001179660	82	15	783	1.2731707317073173	1.0	1.0	1.0
COG_ONTOLOGY	Cell division and chromosome partitioning	3	0.7177033492822966	0.8369107300635062	NM_001180299, NM_001181107, NM_001181104	82	30	783	0.9548780487804878	1.0	1.0	1.0
COG_ONTOLOGY	Inorganic ion transport and metabolism	2	0.4784688995215311	0.8630987503858838	NM_001183190, NM_001180655	82	18	783	1.0609756097560976	1.0	1.0	1.0
COG_ONTOLOGY	Coenzyme metabolism	2	0.4784688995215311	0.9125859179609501	NM_001183473, NM_001179204	82	22	783	0.8680709534368072	1.0	1.0	1.0
COG_ONTOLOGY	Intracellular trafficking and secretion	2	0.4784688995215311	0.9748711554702972	NM_001180600, NM_001182888	82	33	783	0.5787139689578714	1.0	1.0	1.0
COG_ONTOLOGY	Transcription	2	0.4784688995215311	0.9841068536720757	NM_001182385, NM_001181543	82	37	783	0.5161502966381015	1.0	1.0	1.0
COG_ONTOLOGY	Translation, ribosomal structure and biogenesis / Posttranslational modification, protein turnover, chaperones	1	0.23923444976076555	1.0	NM_001183065	82	2	783	4.774390243902439	1.0	1.0	1.0
COG_ONTOLOGY	Cytoskeleton	1	0.23923444976076555	1.0	NM_001183560	82	15	783	0.6365853658536587	1.0	1.0	1.0
COG_ONTOLOGY	acyl-carrier protein	1	0.23923444976076555	1.0	NM_001184045	82	1	783	9.548780487804878	1.0	1.0	1.0
COG_ONTOLOGY	Chromatin structure and dynamics	1	0.23923444976076555	1.0	NM_001180481	82	9	783	1.0609756097560976	1.0	1.0	1.0
COG_ONTOLOGY	Cell envelope biogenesis, outer membrane / Carbohydrate transport and metabolism	1	0.23923444976076555	1.0	NM_001181022	82	4	783	2.3871951219512195	1.0	1.0	1.0
COG_ONTOLOGY	Cell division and chromosome partitioning / Cytoskeleton	1	0.23923444976076555	1.0	NM_001178907	82	7	783	1.3641114982578397	1.0	1.0	1.0
COG_ONTOLOGY	DNA replication, recombination, and repair / Transcription / Translation, ribosomal structure and biogenesis	1	0.23923444976076555	1.0	NM_001182163	82	9	783	1.0609756097560976	1.0	1.0	1.0
COG_ONTOLOGY	General function prediction only / Signal transduction mechanisms / Transcription / DNA replication, recombination, and repair	1	0.23923444976076555	1.0	NM_001182992	82	1	783	9.548780487804878	1.0	1.0	1.0
COG_ONTOLOGY	RNA processing and modification	1	0.23923444976076555	1.0	NM_001180724	82	14	783	0.6820557491289199	1.0	1.0	1.0
