Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
COG_ONTOLOGY	Cell envelope biogenesis, outer membrane	4	0.5952380952380952	0.2097995113983303	NM_001179670, NM_001178509, NM_001181733, NM_001178458	106	12	783	2.4622641509433962	0.9998699779025776	1.0	1.0
COG_ONTOLOGY	Energy production and conversion / General function prediction only	3	0.4464285714285714	0.23899823441395748	NM_001178374, NM_001182972, NM_001182348	106	7	783	3.1657681940700813	0.9999689075284174	1.0	1.0
COG_ONTOLOGY	Energy production and conversion	4	0.5952380952380952	0.4424503168318818	NM_001183087, NM_001179068, NM_001179332, NM_001180144	106	18	783	1.641509433962264	0.9999999997715581	1.0	1.0
COG_ONTOLOGY	Signal transduction mechanisms	3	0.4464285714285714	0.446156490064298	NM_001183528, NM_001179245, NM_001182954	106	11	783	2.014579759862779	0.9999999998227	1.0	1.0
COG_ONTOLOGY	Intracellular trafficking and secretion	6	0.8928571428571428	0.4607041915552643	NM_001181390, NM_001181191, NM_001182155, NM_001180832, NM_001180546, NM_001179701	106	33	783	1.3430531732418525	0.9999999999355196	1.0	1.0
COG_ONTOLOGY	Secondary metabolites biosynthesis, transport, and catabolism	2	0.2976190476190476	0.5141780660401951	NM_001179925, NM_001179137	106	5	783	2.954716981132075	0.9999999999987806	1.0	1.0
COG_ONTOLOGY	Translation, ribosomal structure and biogenesis	8	1.1904761904761905	0.6254377549183416	NM_001179816, NM_001179140, NM_001178264, NM_001182289, NM_001178599, NM_001180479, NM_001179081, NM_001182336	106	55	783	1.074442538593482	0.9999999999999999	1.0	1.0
COG_ONTOLOGY	Chromatin structure and dynamics / Transcription	2	0.2976190476190476	0.685716458096206	NM_001181609, NM_001181185	106	8	783	1.846698113207547	1.0	1.0	1.0
COG_ONTOLOGY	Chromatin structure and dynamics	2	0.2976190476190476	0.7282968089343017	NM_001182935, NM_001178292	106	9	783	1.641509433962264	1.0	1.0	1.0
COG_ONTOLOGY	RNA processing and modification	2	0.2976190476190476	0.8691914385565389	NM_001180609, NM_001179578	106	14	783	1.0552560646900269	1.0	1.0	1.0
COG_ONTOLOGY	Amino acid transport and metabolism	4	0.5952380952380952	0.8841682731847856	NM_001178706, NM_001179883, NM_001179116, NM_001178701	106	36	783	0.820754716981132	1.0	1.0	1.0
