Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	sce03010:Ribosome	38	5.654761904761905	0.0012383452885290692	NM_001180141, NM_001183293, NM_001180140, NM_001182701, NM_001183213, NM_001183895, NM_001182700, NM_001182622, NM_001180758, NM_001178869, NM_001178327, NM_001182294, NM_001179140, NM_001180196, NM_001181000, NM_001182694, NM_001183381, NM_001180194, NM_001180690, NM_001180057, NM_001180036, NM_001181349, NM_001184312, NM_001181623, NM_001181622, NM_001179081, NM_001182336, NM_001178537, NM_001180726, NM_001182749, NM_001180349, NM_001182329, NM_001182905, NM_001179884, NM_001179368, NM_001178312, NM_001178599, NM_001178379	243	149	1560	1.6372524649929574	0.10663429076373965	0.1126894212561453	0.1126894212561453
KEGG_PATHWAY	sce01210:2-Oxocarboxylic acid metabolism	11	1.636904761904762	0.02291701306452508	NM_001178658, NM_001180190, NM_001183178, NM_001181806, NM_001179442, NM_001178960, NM_001180242, NM_001181976, NM_001182942, NM_001178943, NM_001179339	243	33	1560	2.139917695473251	0.8787275713849447	1.0	1.0
KEGG_PATHWAY	sce04931:Insulin resistance	5	0.744047619047619	0.0374857147318335	NM_001179670, NM_001182374, NM_001179501, NM_001183993, NM_001179768	243	9	1560	3.5665294924554183	0.9690932220960153	1.0	1.0
KEGG_PATHWAY	sce01110:Biosynthesis of secondary metabolites	49	7.291666666666667	0.05062393765820855	NM_001182261, NM_001183594, NM_001183397, NM_001182021, NM_001183350, NM_001181299, NM_001180485, NM_001182942, NM_001178604, NM_001180716, NM_001181806, NM_001178960, NM_001179137, NM_001179339, NM_001183561, NM_001182392, NM_001182472, NM_001182599, NM_001181943, NM_001182955, NM_001180810, NM_001180137, NM_001182831, NM_001178658, NM_001178815, NM_001179464, NM_001179068, NM_001179347, NM_001178216, NM_001179193, NM_001183178, NM_001182441, NM_001179473, NM_001182489, NM_001180104, NM_001178507, NM_001178706, NM_001178943, NM_001183340, NM_001178273, NM_001183547, NM_001180352, NM_001181485, NM_001180358, NM_001180315, NM_001181369, NM_001180228, NM_001178597, NM_001179887	243	250	1560	1.2582716049382714	0.9911512235559037	1.0	1.0
KEGG_PATHWAY	sce01130:Biosynthesis of antibiotics	36	5.357142857142857	0.09414429547355982	NM_001183178, NM_001182441, NM_001179670, NM_001179473, NM_001182489, NM_001180242, NM_001180485, NM_001178706, NM_001180718, NM_001181806, NM_001180716, NM_001178960, NM_001179137, NM_001178943, NM_001179339, NM_001183340, NM_001183561, NM_001182392, NM_001180190, NM_001182599, NM_001181485, NM_001180358, NM_001181943, NM_001181369, NM_001182831, NM_001180137, NM_001178658, NM_001180228, NM_001178815, NM_001179068, NM_001179464, NM_001179442, NM_001178597, NM_001178972, NM_001179887, NM_001178216	243	183	1560	1.2629022465088038	0.9998762995877235	1.0	1.0
KEGG_PATHWAY	sce00290:Valine, leucine and isoleucine biosynthesis	5	0.744047619047619	0.1009969165525308	NM_001178658, NM_001178706, NM_001181806, NM_001182942, NM_001179339	243	12	1560	2.674897119341564	0.9999380177270147	1.0	1.0
KEGG_PATHWAY	sce00740:Riboflavin metabolism	4	0.5952380952380952	0.1134647269875952	NM_001178604, NM_001183397, NM_001178273, NM_001180104	243	8	1560	3.209876543209877	0.9999826084696553	1.0	1.0
KEGG_PATHWAY	sce00513:Various types of N-glycan biosynthesis	8	1.1904761904761905	0.14976575465924816	NM_001181616, NM_001181944, NM_001178322, NM_001182651, NM_001181436, NM_001181733, NM_001178458, NM_001183864	243	29	1560	1.7709663686675183	0.9999996127316636	1.0	1.0
KEGG_PATHWAY	sce01100:Metabolic pathways	96	14.285714285714285	0.182405357596598	NM_001183594, NM_001183397, NM_001182021, NM_001179176, NM_001183350, NM_001181851, NM_001180242, NM_001181299, NM_001180485, NM_001181056, NM_001184048, NM_001181976, NM_001181733, NM_001182942, NM_001180202, NM_001178604, NM_001180839, NM_001183628, NM_001180716, NM_001181806, NM_001178320, NM_001178322, NM_001178960, NM_001179137, NM_001179339, NM_001183561, NM_001182392, NM_001183320, NM_001182472, NM_001183086, NM_001178374, NM_001183722, NM_001182599, NM_001180454, NM_001181943, NM_001182955, NM_001180810, NM_001180137, NM_001182831, NM_001178658, NM_001181616, NM_001180605, NM_001182308, NM_001178815, NM_001182509, NM_001179464, NM_001179068, NM_001178972, NM_001179347, NM_001178458, NM_001178216, NM_001178338, NM_001182283, NM_001183890, NM_001179193, NM_001183178, NM_001182441, NM_001179472, NM_001179670, NM_001179473, NM_001179275, NM_001182489, NM_001182724, NM_001181436, NM_001184028, NM_001180104, NM_001181944, NM_001178507, NM_001183528, NM_001178706, NM_001178387, NM_001178943, NM_001183340, NM_001183660, NM_001180190, NM_001178273, NM_001183547, NM_001180352, NM_001181761, NM_001182651, NM_001181485, NM_001183421, NM_001180358, NM_001182613, NM_001180315, NM_001181369, NM_001182733, NM_001184117, NM_001183864, NM_001180902, NM_001180228, NM_001180309, NM_001179442, NM_001178597, NM_001179887, NM_001178910	243	569	1560	1.0831217861094837	0.9999999890109194	1.0	1.0
KEGG_PATHWAY	sce00770:Pantothenate and CoA biosynthesis	5	0.744047619047619	0.19258400479852963	NM_001178658, NM_001179193, NM_001180839, NM_001181806, NM_001179339	243	15	1560	2.139917695473251	0.999999996485539	1.0	1.0
KEGG_PATHWAY	sce01230:Biosynthesis of amino acids	21	3.125	0.19558521910006038	NM_001180190, NM_001183178, NM_001182441, NM_001180242, NM_001181485, NM_001180358, NM_001181976, NM_001180810, NM_001180315, NM_001181369, NM_001182942, NM_001178658, NM_001178706, NM_001181806, NM_001179464, NM_001179442, NM_001178597, NM_001178960, NM_001178972, NM_001178943, NM_001179339	243	106	1560	1.2718378756114606	0.9999999974957146	1.0	1.0
KEGG_PATHWAY	sce00020:Citrate cycle (TCA cycle)	7	1.0416666666666665	0.20477938569286347	NM_001183561, NM_001183178, NM_001179473, NM_001179068, NM_001180485, NM_001179887, NM_001180137	243	26	1560	1.7283950617283952	0.9999999991202195	1.0	1.0
KEGG_PATHWAY	sce03060:Protein export	6	0.8928571428571428	0.2163115734814235	NM_001180394, NM_001180151, NM_001182467, NM_001182652, NM_001181953, NM_001182413	243	21	1560	1.8342151675485008	0.9999999997671628	1.0	1.0
KEGG_PATHWAY	sce00510:N-Glycan biosynthesis	7	1.0416666666666665	0.2314747450816727	NM_001181944, NM_001182509, NM_001178322, NM_001182651, NM_001183421, NM_001181436, NM_001178458	243	27	1560	1.6643804298125284	0.9999999999606549	1.0	1.0
KEGG_PATHWAY	sce01220:Degradation of aromatic compounds	3	0.4464285714285714	0.235448820363993	NM_001183340, NM_001180228, NM_001182831	243	6	1560	3.209876543209876	0.9999999999754531	1.0	1.0
KEGG_PATHWAY	sce04130:SNARE interactions in vesicular transport	5	0.744047619047619	0.2638702387929067	NM_001182155, NM_001178175, NM_001179111, NM_001180776, NM_001181965	243	17	1560	1.888162672476398	0.9999999999992186	1.0	1.0
