Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Ribosomal protein	43	6.398809523809524	0.01621925953351427	NM_001180141, NM_001180482, NM_001183293, NM_001180140, NM_001182960, NM_001181496, NM_001182701, NM_001183213, NM_001183895, NM_001182700, NM_001182622, NM_001184304, NM_001180758, NM_001178869, NM_001178327, NM_001182294, NM_001179140, NM_001180196, NM_001181000, NM_001182694, NM_001183381, NM_001180194, NM_001180690, NM_001180057, NM_001180036, NM_001181349, NM_001184312, NM_001181623, NM_001181622, NM_001179081, NM_001182336, NM_001178537, NM_001180726, NM_001182749, NM_001180349, NM_001182329, NM_001182905, NM_001179884, NM_001179368, NM_001178312, NM_001178599, NM_001179721, NM_001178379	661	195	4212	1.405143721633888	0.9888561071684991	1.0	1.0
UP_KEYWORDS	Amyloid	6	0.8928571428571428	0.028299291925289915	NM_001184040, NM_001180479, NM_001180873, NM_001183830, NM_001182568, NM_001183523	661	12	4212	3.1860816944024206	0.9996272284327059	1.0	1.0
UP_KEYWORDS	Prion	6	0.8928571428571428	0.028299291925289915	NM_001184040, NM_001180479, NM_001180873, NM_001183830, NM_001182568, NM_001183523	661	12	4212	3.1860816944024206	0.9996272284327059	1.0	1.0
UP_KEYWORDS	Signal-anchor	16	2.380952380952381	0.03008101968504148	NM_001181360, NM_001179364, NM_001184307, NM_001181123, NM_001181733, NM_001181953, NM_001183203, NM_001183864, NM_001181616, NM_001181944, NM_001182868, NM_001182807, NM_001179851, NM_001179766, NM_001178458, NM_001178547	661	58	4212	1.7578381762220252	0.9997749645282478	1.0	1.0
UP_KEYWORDS	Transit peptide	62	9.226190476190476	0.03260353020800648	NM_001180482, NM_001180163, NM_001179330, NM_001183350, NM_001183755, NM_001180485, NM_001181056, NM_001181613, NM_001181976, NM_001180128, NM_001182700, NM_001183754, NM_001183705, NM_001178320, NM_001178960, NM_001179339, NM_001182271, NM_001183561, NM_001178372, NM_001182472, NM_001180095, NM_001178374, NM_001182794, NM_001181349, NM_001183566, NM_001178658, NM_001180846, NM_001180801, NM_001179068, NM_001178533, NM_001182283, NM_001183651, NM_001183178, NM_001181191, NM_001183051, NM_001179473, NM_001181279, NM_001182960, NM_001180144, NM_001181239, NM_001183774, NM_001180502, NM_001183213, NM_001180658, NM_001178387, NM_001180819, NM_001184155, NM_001180190, NM_001180590, NM_001181162, NM_001182570, NM_001182774, NM_001181001, NM_001183148, NM_001184315, NM_001179329, NM_001180428, NM_001180349, NM_001179442, NM_001179446, NM_001178599, NM_001179721	661	312	4212	1.266263237518911	0.9998900394218649	1.0	1.0
UP_KEYWORDS	Oxidoreductase	41	6.101190476190476	0.03614921997285719	NM_001182283, NM_001179193, NM_001179472, NM_001179473, NM_001180183, NM_001182445, NM_001182289, NM_001181056, NM_001180144, NM_001180303, NM_001181777, NM_001182446, NM_001179716, NM_001178507, NM_001183902, NM_001179652, NM_001178960, NM_001179137, NM_001183192, NM_001178862, NM_001183340, NM_001178592, NM_001178374, NM_001181025, NM_001180352, NM_001181485, NM_001181943, NM_001182733, NM_001182831, NM_001180676, NM_001180137, NM_001178933, NM_001180605, NM_001179925, NM_001180228, NM_001179068, NM_001179442, NM_001178497, NM_001178972, NM_001179347, NM_001178338	661	194	4212	1.3466943244381366	0.9999599413903669	1.0	1.0
UP_KEYWORDS	Golgi apparatus	37	5.5059523809523805	0.043242293457922465	NM_001181390, NM_001181075, NM_001184186, NM_001179111, NM_001184009, NM_001181299, NM_001183135, NM_001181733, NM_001180546, NM_001181611, NM_001180444, NM_001182744, NM_001180885, NM_001182369, NM_001184619, NM_001181926, NM_001178342, NM_001179398, NM_001179851, NM_001180919, NM_001179878, NM_001182155, NM_001181088, NM_001182890, NM_001179364, NM_001181002, NM_001181123, NM_001183901, NM_001181965, NM_001180776, NM_001181249, NM_001183203, NM_001182436, NM_001183864, NM_001181616, NM_001180408, NM_001178257	661	174	4212	1.355000260837811	0.9999947453777633	1.0	1.0
UP_KEYWORDS	RNA-directed DNA polymerase	4	0.5952380952380952	0.052943913247688115	NM_001281536, NM_001181431, NM_001182542, NM_001182207	661	6	4212	4.248108925869894	0.9999996813474474	1.0	1.0
UP_KEYWORDS	Ribonucleoprotein	53	7.886904761904762	0.08098536848469493	NM_001180482, NM_001182467, NM_001181496, NM_001182701, NM_001182700, NM_001182985, NM_001182622, NM_001180758, NM_001179970, NM_001179578, NM_001178327, NM_001179140, NM_001182593, NM_001180690, NM_001180057, NM_001181349, NM_001181623, NM_001181622, NM_001178537, NM_001180726, NM_001182749, NM_001182905, NM_001178379, NM_001180141, NM_001183293, NM_001180140, NM_001182960, NM_001183213, NM_001183895, NM_001184304, NM_001179439, NM_001178869, NM_001182294, NM_001180196, NM_001181000, NM_001182694, NM_001183381, NM_001180194, NM_001181680, NM_001180151, NM_001180036, NM_001184312, NM_001183940, NM_001179081, NM_001182336, NM_001180349, NM_001182329, NM_001179002, NM_001179884, NM_001179368, NM_001178312, NM_001178599, NM_001179721	661	276	4212	1.2236400710386108	0.9999999999180277	1.0	1.0
UP_KEYWORDS	Mitochondrion	108	16.071428571428573	0.08263178683632419	NM_001183397, NM_001180163, NM_001179330, NM_001181496, NM_001180202, NM_001181137, NM_001182105, NM_001183704, NM_001183705, NM_001179213, NM_001179339, NM_001183561, NM_001178372, NM_001182472, NM_001181261, NM_001178374, NM_001183725, NM_001181821, NM_001183566, NM_001178658, NM_001180846, NM_001181537, NM_001179068, NM_001178533, NM_001183178, NM_001183051, NM_001179473, NM_001181279, NM_001182245, NM_001184307, NM_001180502, NM_001183213, NM_001184304, NM_001180613, NM_001178706, NM_001178948, NM_001178387, NM_001178148, NM_001182080, NM_001184155, NM_001180190, NM_001180590, NM_001181162, NM_001182774, NM_001182652, NM_001181566, NM_001184315, NM_001180349, NM_001178155, NM_001180482, NM_001183350, NM_001181576, NM_001183755, NM_001180485, NM_001181056, NM_001181613, NM_001181976, NM_001180644, NM_001180128, NM_001181611, NM_001182942, NM_001182700, NM_001183754, NM_001178320, NM_001178960, NM_001182271, NM_001180095, NM_001183766, NM_001182794, NM_001181349, NM_001180801, NM_001178454, NM_001178338, NM_001182283, NM_001183651, NM_001181191, NM_001182445, NM_001182960, NM_001180144, NM_001181239, NM_001181756, NM_001183774, NM_001182959, NM_001179716, NM_001180658, NM_001180819, NM_001184231, NM_001183660, NM_001182694, NM_001182570, NM_001181360, NM_001183383, NM_001184118, NM_001181001, NM_001182178, NM_001181364, NM_001184477, NM_001183148, NM_001181369, NM_001184117, NM_001179329, NM_001180945, NM_001180428, NM_001181758, NM_001179442, NM_001178599, NM_001179446, NM_001179721	661	606	4212	1.1356330791929419	0.9999999999499373	1.0	1.0
