Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_3	GO:0042651~thylakoid membrane	26	3.6111111111111107	1.9928992595785802E-14	YP_005089052, XP_017646342, YP_005089030, YP_005089012, YP_005089050, YP_005088984, YP_005088985, YP_005088982, YP_005088986, YP_005088987, YP_005089019, XP_017603604, YP_005089042, XP_017617396, XP_017643000, YP_005089047, YP_005089003, YP_005089002, YP_005089046, YP_005088979, YP_005088995, YP_005089006, YP_005088994, YP_005089048, YP_005088999, YP_005088998	154	48	1611	5.666396103896104	1.3788969965844444E-12	1.3751004891092205E-12	1.096094592768219E-12
GOTERM_CC_3	GO:0044436~thylakoid part	28	3.888888888888889	9.949798862309974E-14	YP_005089052, XP_017646342, YP_005089030, YP_005089012, XP_017628411, YP_005089050, YP_005088984, YP_005088985, YP_005088982, YP_005088986, YP_005088987, YP_005089019, XP_017603604, YP_005089042, XP_017617396, XP_017643000, YP_005089047, YP_005089003, YP_005089002, YP_005089046, XP_017632923, YP_005088979, YP_005088995, YP_005089006, YP_005088994, YP_005089048, YP_005088999, YP_005088998	154	59	1611	4.964560862865947	6.863842827442568E-12	2.7711603106522444E-12	2.2088958997952672E-12
GOTERM_CC_3	GO:0044444~cytoplasmic part	90	12.5	1.2048523089792368E-13	XP_017623521, YP_005089052, YP_005089012, YP_005089055, XP_017649239, XP_017617127, XP_017631226, YP_005089050, XP_017611219, XP_017631947, XP_017607671, XP_017631584, XP_017615411, XP_017641994, XP_017611370, XP_017648909, XP_017620658, YP_005089019, YP_005089020, XP_017646496, XP_017617396, YP_005089022, XP_017617115, XP_017610617, XP_017634729, XP_017612711, YP_005088979, XP_017640631, XP_017606397, XP_017631772, XP_017642338, XP_017612270, XP_017646619, YP_005089032, YP_005089031, YP_005089030, YP_005089036, YP_005088980, YP_005088981, YP_005089034, XP_017617422, XP_017626653, XP_017610348, XP_017612605, XP_017634431, XP_017640885, YP_005088984, YP_005088985, YP_005089038, YP_005088982, YP_005089037, XP_017607337, XP_017623548, YP_005088989, YP_005088986, YP_005088987, XP_017619154, YP_005089042, XP_017617098, XP_017644893, YP_005089003, YP_005089047, YP_005089002, YP_005089046, YP_005089045, XP_017644258, XP_017616883, YP_005089044, XP_017631954, XP_017647281, XP_017647044, XP_017630505, XP_017639636, XP_017608430, XP_017617817, XP_017634980, XP_017606570, YP_005088995, YP_005089007, XP_017649908, YP_005089006, XP_017622848, XP_017635231, YP_005088994, YP_005089048, YP_005088999, XP_017619680, YP_005088997, XP_017635073, YP_005088998	154	495	1611	1.9020070838252654	8.311684673856234E-12	2.7711603106522444E-12	2.2088958997952672E-12
GOTERM_CC_3	GO:0031984~organelle subcompartment	23	3.194444444444444	1.9533819529254437E-13	YP_005089042, YP_005089030, YP_005089052, XP_017617396, YP_005089003, YP_005089047, YP_005089046, YP_005089002, YP_005089012, YP_005089050, YP_005088979, YP_005088984, YP_005088995, YP_005088985, YP_005089006, YP_005088982, YP_005088994, YP_005089048, YP_005088999, YP_005088986, YP_005088998, YP_005089019, YP_005088987	154	40	1611	6.0150974025974016	1.3474887872177987E-11	3.0075362728383664E-12	2.3973115218276833E-12
GOTERM_CC_3	GO:0009579~thylakoid	29	4.027777777777778	2.1793741107524392E-13	YP_005089052, XP_017646342, YP_005089030, YP_005089012, XP_017628411, XP_017624374, YP_005089050, YP_005088984, YP_005088985, YP_005088982, YP_005088986, YP_005088987, YP_005089019, XP_017603604, YP_005089042, XP_017617396, XP_017643000, YP_005089047, YP_005089003, YP_005089002, YP_005089046, XP_017632923, YP_005088979, YP_005088995, YP_005089006, YP_005088994, YP_005089048, YP_005088999, YP_005088998	154	65	1611	4.667232767232767	1.5037637801640358E-11	3.0075362728383664E-12	2.3973115218276833E-12
GOTERM_CC_3	GO:0044435~plastid part	23	3.194444444444444	7.502177538033876E-13	YP_005089042, YP_005089030, YP_005089052, XP_017617396, YP_005089003, YP_005089047, YP_005089046, YP_005089002, YP_005089012, YP_005089050, YP_005088979, YP_005088984, YP_005088995, YP_005088985, YP_005089006, YP_005088982, YP_005088994, YP_005089048, YP_005088999, YP_005088986, YP_005088998, YP_005089019, YP_005088987	154	42	1611	5.728664192949907	5.176226114400606E-11	8.627504168738957E-12	6.876996076531052E-12
GOTERM_CC_3	GO:0043229~intracellular organelle	108	15.0	8.261452120495734E-11	XP_017623521, YP_005089052, XP_017624217, XP_017641871, XP_017649239, YP_005089055, XP_017617127, YP_005089050, XP_017631947, XP_017607671, XP_017603232, XP_017641994, XP_017611370, XP_017620658, XP_017646496, XP_017624448, XP_017617115, XP_017610617, XP_017608381, XP_017631772, XP_017642338, YP_005089032, YP_005089031, XP_017625207, YP_005089030, YP_005089036, YP_005088980, YP_005088981, YP_005089034, XP_017617422, XP_017626653, XP_017610348, XP_017639049, XP_017640885, YP_005088984, YP_005088985, YP_005089038, YP_005088982, YP_005089037, XP_017607337, XP_017623548, YP_005088989, YP_005088986, YP_005088987, XP_017619154, YP_005089042, XP_017617098, YP_005089047, YP_005089046, YP_005089045, YP_005089044, XP_017631954, XP_017647281, XP_017616447, XP_017647044, XP_017630505, XP_017615923, XP_017608430, XP_017617817, YP_005088995, XP_017622848, XP_017649908, XP_017635231, YP_005088994, YP_005089048, YP_005088999, XP_017619680, YP_005088997, XP_017635073, YP_005088998, XP_017622478, YP_005089012, XP_017631226, XP_017611219, XP_017631584, XP_017615411, XP_017648909, YP_005089019, YP_005089020, XP_017617396, XP_017620202, YP_005089022, XP_017634729, XP_017612711, YP_005088979, XP_017640631, XP_017606397, XP_017642414, XP_017612270, XP_017646619, XP_017623104, XP_017626178, XP_017630315, XP_017625000, XP_017612605, XP_017644893, XP_017602936, YP_005089003, XP_017616122, YP_005089002, XP_017644258, XP_017616883, XP_017632327, XP_017639636, XP_017634980, XP_017606570, YP_005089007, YP_005089006	154	729	1611	1.5497835497835497	5.700398486574443E-9	8.143431375917224E-10	6.491140951818077E-10
GOTERM_CC_3	GO:0005737~cytoplasm	93	12.916666666666668	9.195059181765193E-9	XP_017623521, YP_005089052, YP_005089012, YP_005089055, XP_017649239, XP_017617127, XP_017631226, YP_005089050, XP_017611219, XP_017631947, XP_017607671, XP_017631584, XP_017615411, XP_017603232, XP_017641994, XP_017611370, XP_017648909, XP_017620658, YP_005089019, YP_005089020, XP_017646496, XP_017617396, YP_005089022, XP_017617115, XP_017610617, XP_017634729, XP_017612711, YP_005088979, XP_017640631, XP_017606397, XP_017631772, XP_017642338, XP_017612270, XP_017646619, YP_005089032, YP_005089031, YP_005089030, YP_005089036, YP_005088980, YP_005088981, YP_005089034, XP_017617422, XP_017626653, XP_017626772, XP_017610348, XP_017612605, XP_017634431, XP_017640885, YP_005088984, XP_017650163, YP_005088985, YP_005089038, YP_005088982, YP_005089037, XP_017607337, XP_017623548, YP_005088989, YP_005088986, YP_005088987, XP_017619154, YP_005089042, XP_017617098, XP_017644893, YP_005089003, YP_005089047, YP_005089002, YP_005089046, YP_005089045, XP_017644258, XP_017616883, YP_005089044, XP_017631954, XP_017647281, XP_017647044, XP_017630505, XP_017639636, XP_017608430, XP_017617817, XP_017634980, XP_017606570, YP_005088995, YP_005089007, XP_017649908, YP_005089006, XP_017622848, XP_017635231, YP_005088994, YP_005089048, YP_005088999, XP_017619680, YP_005088997, XP_017635073, YP_005088998	154	619	1611	1.5716908293644967	6.344588835416332E-7	7.930738544272479E-8	6.321603187463571E-8
GOTERM_CC_3	GO:0044424~intracellular part	121	16.805555555555557	2.2074377049315285E-8	XP_017623521, YP_005089052, XP_017624217, XP_017641871, XP_017649239, YP_005089055, XP_017628411, XP_017617127, YP_005089050, XP_017631947, XP_017607671, XP_017634776, XP_017603232, XP_017641994, XP_017642601, XP_017611370, XP_017620658, XP_017646496, XP_017624448, XP_017617115, XP_017610617, XP_017608381, XP_017631772, XP_017642338, YP_005089032, YP_005089031, XP_017625207, XP_017646342, YP_005089030, YP_005089036, YP_005088980, YP_005088981, YP_005089034, XP_017617422, XP_017626653, XP_017626772, XP_017610348, XP_017634431, XP_017639049, XP_017640885, YP_005088984, YP_005088985, XP_017650163, YP_005089038, YP_005088982, YP_005089037, XP_017607337, XP_017623548, YP_005088989, YP_005088986, YP_005088987, XP_017619154, YP_005089042, XP_017617098, XP_017643000, YP_005089047, YP_005089046, YP_005089045, YP_005089044, XP_017631954, XP_017647281, XP_017616447, XP_017647044, XP_017632923, XP_017630505, XP_017615923, XP_017608430, XP_017617817, YP_005088995, XP_017622848, XP_017649908, XP_017635231, YP_005088994, YP_005089048, YP_005088999, XP_017619680, YP_005088997, XP_017635073, YP_005088998, XP_017622478, YP_005089012, XP_017624374, XP_017631226, XP_017611219, XP_017631584, XP_017615411, XP_017648909, YP_005089019, XP_017603604, YP_005089020, XP_017617396, XP_017620202, YP_005089022, XP_017634729, XP_017612711, YP_005088979, XP_017640631, XP_017606397, XP_017642414, XP_017612270, XP_017646619, XP_017623104, XP_017626178, XP_017630315, XP_017625000, XP_017612605, XP_017623866, XP_017644893, XP_017602936, YP_005089003, XP_017616122, YP_005089002, XP_017644258, XP_017616883, XP_017632327, XP_017608078, XP_017639636, XP_017634980, XP_017606570, YP_005089007, YP_005089006	154	935	1611	1.353781512605042	1.5231308769791951E-6	1.692368907114172E-7	1.3489897085692673E-7
GOTERM_CC_3	GO:0005622~intracellular	125	17.36111111111111	3.4384955183118195E-7	XP_017623521, YP_005089052, XP_017624217, XP_017641871, XP_017649239, YP_005089055, XP_017628411, XP_017617127, XP_017609065, YP_005089050, XP_017631947, XP_017607671, XP_017634776, XP_017603232, XP_017641994, XP_017642601, XP_017611370, XP_017620658, XP_017646496, XP_017624448, XP_017617115, XP_017610617, XP_017608381, XP_017634761, XP_017631772, XP_017642338, YP_005089032, YP_005089031, XP_017625207, XP_017646342, YP_005089030, YP_005089036, YP_005088980, YP_005088981, YP_005089034, XP_017617422, XP_017626653, XP_017626772, XP_017610348, XP_017634431, XP_017639049, XP_017640885, YP_005088984, YP_005088985, XP_017650163, YP_005089038, YP_005088982, YP_005089037, XP_017607337, XP_017623548, YP_005088989, YP_005088986, YP_005088987, XP_017619154, YP_005089042, XP_017617098, XP_017643000, YP_005089047, YP_005089046, YP_005089045, YP_005089044, XP_017631954, XP_017647281, XP_017616447, XP_017647044, XP_017632923, XP_017630505, XP_017615923, XP_017608430, XP_017617817, YP_005088995, XP_017622848, XP_017649908, XP_017635231, YP_005088994, YP_005089048, YP_005088999, XP_017619680, YP_005088997, XP_017635073, YP_005088998, XP_017622478, YP_005089012, XP_017624374, XP_017631226, XP_017611219, XP_017631584, XP_017615411, XP_017648909, YP_005089019, XP_017603604, YP_005089020, XP_017617396, XP_017620202, YP_005089022, XP_017634729, XP_017612711, YP_005088979, XP_017640631, XP_017606397, XP_017642414, XP_017612270, XP_017646619, XP_017623104, XP_017626178, XP_017630315, XP_017625000, XP_017612605, XP_017646705, XP_017623866, XP_017644893, XP_017602936, YP_005089003, XP_017616122, YP_005089002, XP_017644258, XP_017616883, XP_017632327, XP_017608078, XP_017639636, XP_017637615, XP_017634980, XP_017606570, YP_005089007, YP_005089006	154	1016	1611	1.287037273749872	2.3725341705027603E-5	2.3725619076351556E-6	1.8911725350715008E-6
