Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Chromosome	8	0.8771929824561403	0.003533501576156922	XP_017603827, XP_017629889, XP_017625796, XP_017624048, XP_017618257, XP_017616455, XP_017603358, XP_017630726	354	23	3833	3.7661508228936382	0.3620844751007962	0.2808177662468939	0.2808177662468939
UP_KEYWORDS	Signal	42	4.605263157894736	0.00442232702751014	XP_017630815, XP_017626238, XP_017649510, XP_017627524, XP_017644784, XP_017634859, XP_017612447, XP_017637702, XP_017609018, XP_017634832, XP_017634455, XP_017612087, XP_017603710, XP_017641911, XP_017619592, XP_017638130, XP_017640924, XP_017631719, XP_017626747, XP_017624467, XP_017645682, XP_017619178, XP_017643660, XP_017616462, XP_017643167, XP_017623850, XP_017617313, XP_017623194, XP_017634008, XP_017648396, XP_017640636, XP_017633435, XP_017603461, XP_017607222, XP_017632882, XP_017623859, XP_017607900, XP_017635152, XP_017639675, XP_017626409, XP_017605987, XP_017636182	354	297	3833	1.5311875820350398	0.43043426330938706	0.2808177662468939	0.2808177662468939
UP_KEYWORDS	DNA-binding	14	1.5350877192982455	0.007982765946020855	XP_017603827, XP_017629889, XP_017625796, XP_017624048, XP_017618257, XP_017633879, XP_017616455, XP_017643272, XP_017630726, XP_017615329, XP_017636217, XP_017607896, XP_017603300, XP_017603358	354	68	3833	2.229228979727484	0.6386395884902357	0.33793709171488284	0.33793709171488284
UP_KEYWORDS	Nucleus	21	2.302631578947368	0.011126704127841398	XP_017603827, XP_017629889, XP_017625796, XP_017624048, XP_017618257, XP_017633879, XP_017616455, XP_017626560, XP_017643272, XP_017630726, XP_017615329, XP_017637447, XP_017636217, XP_017607126, XP_017607896, XP_017607751, XP_017637446, XP_017603300, XP_017642668, XP_017619161, XP_017603358, XP_017643923	354	127	3833	1.7904043774189244	0.7585304149359293	0.3532728560589644	0.3532728560589644
UP_KEYWORDS	Glycosidase	7	0.7675438596491228	0.027536876157692475	XP_017631719, XP_017624467, XP_017626238, XP_017643167, XP_017623850, XP_017623194, XP_017619592	354	26	3833	2.915145588874403	0.9711670554713914	0.651355167458133	0.651355167458133
UP_KEYWORDS	Transferase	45	4.934210526315789	0.03077268507676219	XP_017649139, XP_017621500, XP_017627389, XP_017646303, XP_017626310, XP_017634713, XP_017610744, XP_017631507, XP_017623908, XP_017612660, XP_017632058, XP_017609759, XP_017606107, XP_017643138, XP_017643812, XP_017606985, XP_017608348, XP_017641911, XP_017639021, XP_017624467, XP_017647047, XP_017650118, XP_017618348, XP_017623074, XP_017624283, XP_017644171, XP_017637718, XP_017634222, XP_017633595, XP_017631097, XP_017639215, XP_017615104, XP_017637059, XP_017610592, XP_017607643, XP_017606771, XP_017608318, XP_017623859, XP_017605601, XP_017611260, XP_017640817, XP_017603226, XP_017605987, XP_017609849, XP_017642759	354	363	3833	1.34227482840734	0.9811176121239208	0.651355167458133	0.651355167458133
UP_KEYWORDS	Nucleosome core	5	0.5482456140350876	0.0642776829910411	XP_017603827, XP_017625796, XP_017624048, XP_017618257, XP_017603358	354	17	3833	3.1846128281821198	0.9997833955287047	1.0	1.0
UP_KEYWORDS	Apoplast	3	0.3289473684210526	0.07013160088805989	XP_017624467, XP_017649510, XP_017643660	354	5	3833	6.496610169491526	0.9999023821864911	1.0	1.0
UP_KEYWORDS	Peroxidase	4	0.43859649122807015	0.11077257131819526	XP_017608215, XP_017641771, XP_017621483, XP_017642610	354	13	3833	3.331594958713603	0.9999996653182859	1.0	1.0
UP_KEYWORDS	Secreted	5	0.5482456140350876	0.1381002678316382	XP_017624467, XP_017626238, XP_017649510, XP_017643660, XP_017621483	354	22	3833	2.4608371854134568	0.9999999936465925	1.0	1.0
UP_KEYWORDS	Thiamine biosynthesis	2	0.21929824561403508	0.175730266824569	XP_017640755, XP_017607566	354	2	3833	10.82768361581921	0.9999999999780816	1.0	1.0
UP_KEYWORDS	Iron	9	0.9868421052631579	0.23266728648019752	XP_017616351, XP_017640755, XP_017641771, XP_017607566, XP_017621483, XP_017631752, XP_017603710, XP_017637490, XP_017621218	354	64	3833	1.5226430084745763	0.9999999999999976	1.0	1.0
UP_KEYWORDS	Transcription	9	0.9868421052631579	0.2864304968967776	XP_017615329, XP_017637447, XP_017636217, XP_017607126, XP_017607896, XP_017638601, XP_017638248, XP_017637446, XP_017608652, XP_017643923	354	68	3833	1.433075772681954	1.0	1.0	1.0
UP_KEYWORDS	Motor protein	2	0.21929824561403508	0.3206513832862786	XP_017634548, XP_017607417	354	4	3833	5.413841807909605	1.0	1.0	1.0
UP_KEYWORDS	Lipid-binding	2	0.21929824561403508	0.3206513832862786	XP_017633435, XP_017648396	354	4	3833	5.413841807909605	1.0	1.0	1.0
UP_KEYWORDS	Phenylpropanoid metabolism	2	0.21929824561403508	0.3206513832862786	XP_017606828, XP_017622977	354	4	3833	5.413841807909605	1.0	1.0	1.0
UP_KEYWORDS	Stress response	3	0.3289473684210526	0.3397304439574531	XP_017645682, XP_017620025, XP_017645753	354	13	3833	2.4986962190352022	1.0	1.0	1.0
UP_KEYWORDS	Acyltransferase	5	0.5482456140350876	0.3617417329273918	XP_017649139, XP_017610592, XP_017623859, XP_017634713, XP_017631507	354	33	3833	1.6405581236089712	1.0	1.0	1.0
UP_KEYWORDS	Heme	5	0.5482456140350876	0.3834653964982551	XP_017616351, XP_017641771, XP_017621483, XP_017603710, XP_017637490	354	34	3833	1.5923064140910599	1.0	1.0	1.0
UP_KEYWORDS	Transcription regulation	6	0.6578947368421052	0.4006315719820601	XP_017615329, XP_017637447, XP_017636217, XP_017607126, XP_017607896, XP_017637446, XP_017643923	354	45	3833	1.4436911487758946	1.0	1.0	1.0
UP_KEYWORDS	Microtubule	3	0.3289473684210526	0.40827284635156474	XP_017634548, XP_017608712, XP_017607417	354	15	3833	2.1655367231638416	1.0	1.0	1.0
UP_KEYWORDS	Lyase	5	0.5482456140350876	0.42659353691784263	XP_017623126, XP_017645663, XP_017606828, XP_017622977, XP_017620934	354	36	3833	1.5038449466415567	1.0	1.0	1.0
UP_KEYWORDS	One-carbon metabolism	2	0.21929824561403508	0.4401521990293866	XP_017610879, XP_017611260	354	6	3833	3.609227871939736	1.0	1.0	1.0
UP_KEYWORDS	Hydrogen peroxide	2	0.21929824561403508	0.4401521990293866	XP_017641771, XP_017621483	354	6	3833	3.609227871939736	1.0	1.0	1.0
UP_KEYWORDS	Pyruvate	3	0.3289473684210526	0.4412444843132077	XP_017631097, XP_017626454, XP_017620934	354	16	3833	2.0301906779661016	1.0	1.0	1.0
UP_KEYWORDS	Transit peptide	3	0.3289473684210526	0.4412444843132077	XP_017640755, XP_017607566, XP_017610744	354	16	3833	2.0301906779661016	1.0	1.0	1.0
UP_KEYWORDS	Oxidoreductase	13	1.425438596491228	0.48536319594819605	XP_017616351, XP_017649510, XP_017627119, XP_017620301, XP_017621483, XP_017641771, XP_017615977, XP_017608215, XP_017631752, XP_017642610, XP_017603710, XP_017637490, XP_017621218	354	125	3833	1.1260790960451978	1.0	1.0	1.0
UP_KEYWORDS	Carbohydrate metabolism	2	0.21929824561403508	0.5386812079316827	XP_017631719, XP_017623074	354	8	3833	2.7069209039548023	1.0	1.0	1.0
UP_KEYWORDS	Kinase	13	1.425438596491228	0.5536697475803489	XP_017650118, XP_017627389, XP_017633595, XP_017631097, XP_017639215, XP_017637059, XP_017643812, XP_017608348, XP_017606985, XP_017603226, XP_017641911, XP_017609849, XP_017642759	354	131	3833	1.074502954241601	1.0	1.0	1.0
UP_KEYWORDS	Methyltransferase	6	0.6578947368421052	0.5642706127468942	XP_017647047, XP_017615104, XP_017618348, XP_017611260, XP_017605987, XP_017639021	354	54	3833	1.2030759573132455	1.0	1.0	1.0
UP_KEYWORDS	NAD	4	0.43859649122807015	0.5761571136263766	XP_017640755, XP_017607566, XP_017610879, XP_017624096	354	32	3833	1.3534604519774012	1.0	1.0	1.0
UP_KEYWORDS	Dioxygenase	2	0.21929824561403508	0.5812552036440259	XP_017631752, XP_017621218	354	9	3833	2.406151914626491	1.0	1.0	1.0
UP_KEYWORDS	Cell wall biogenesis/degradation	3	0.3289473684210526	0.5891346135801857	XP_017624467, XP_017626238, XP_017637718	354	21	3833	1.54681194511703	1.0	1.0	1.0
UP_KEYWORDS	DNA-directed RNA polymerase	3	0.3289473684210526	0.6150008914707619	XP_017638601, XP_017638248, XP_017608652	354	22	3833	1.476502311248074	1.0	1.0	1.0
UP_KEYWORDS	Carboxypeptidase	2	0.21929824561403508	0.6199102541449002	XP_017630815, XP_017607900	354	10	3833	2.165536723163842	1.0	1.0	1.0
