Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_2	GO:0044710~single-organism metabolic process	3	10.714285714285714	0.23915105678935036	XP_017639634, XP_017627067, XP_017639690	5	353	1492	2.5359773371104817	0.934989363613517	1.0	1.0
GOTERM_BP_2	GO:0044238~primary metabolic process	4	14.285714285714285	0.4748521666715535	XP_017639634, XP_017627003, XP_017627067, XP_017639690	5	895	1492	1.333631284916201	0.9984047976528342	1.0	1.0
GOTERM_BP_2	GO:0044763~single-organism cellular process	2	7.142857142857142	0.8187700964885736	XP_017643559, XP_017627067	5	518	1492	1.1521235521235522	0.999999961779304	1.0	1.0
GOTERM_BP_2	GO:0071704~organic substance metabolic process	3	10.714285714285714	0.8733106330122866	XP_017639634, XP_017627067, XP_017639690	5	969	1492	0.9238390092879256	0.9999999989348723	1.0	1.0
GOTERM_BP_2	GO:0044237~cellular metabolic process	1	3.571428571428571	1.0	XP_017627067	5	916	1492	0.325764192139738	1.0	1.0	1.0
GOTERM_BP_2	GO:0050794~regulation of cellular process	1	3.571428571428571	1.0	XP_017643559	5	215	1492	1.387906976744186	1.0	1.0	1.0
GOTERM_BP_2	GO:0009058~biosynthetic process	1	3.571428571428571	1.0	XP_017627067	5	635	1492	0.4699212598425197	1.0	1.0	1.0
GOTERM_BP_2	GO:0009056~catabolic process	1	3.571428571428571	1.0	XP_017639690	5	98	1492	3.0448979591836736	1.0	1.0	1.0
GOTERM_BP_2	GO:0044700~single organism signaling	1	3.571428571428571	1.0	XP_017643559	5	73	1492	4.087671232876713	1.0	1.0	1.0
GOTERM_BP_2	GO:0051716~cellular response to stimulus	1	3.571428571428571	1.0	XP_017643559	5	93	1492	3.2086021505376348	1.0	1.0	1.0
