Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_2	GO:0016491~oxidoreductase activity	10	6.289308176100629	0.023855249231017464	XP_017607908, XP_017624206, XP_017640557, XP_017605361, XP_017630055, XP_017638100, XP_017631536, XP_017646669, XP_017649431, XP_017643194	40	539	4863	2.25556586270872	0.3977196596276338	0.4370055102661358	0.4370055102661358
GOTERM_MF_2	GO:0016787~hydrolase activity	12	7.547169811320755	0.062208673473832674	XP_017616173, XP_017603173, XP_017629646, XP_017630984, XP_017616126, XP_017608536, XP_017620963, XP_017615176, XP_017646263, XP_017606194, XP_017612646, XP_017612966	40	843	4863	1.7306049822064056	0.7404443746369378	0.4370055102661358	0.4370055102661358
GOTERM_MF_2	GO:0005200~structural constituent of cytoskeleton	2	1.257861635220126	0.062429358609447975	XP_017615176, XP_017606194	40	8	4863	30.393750000000004	0.7417240356270716	0.4370055102661358	0.4370055102661358
GOTERM_MF_2	GO:0043167~ion binding	12	7.547169811320755	0.17278186209905982	XP_017610013, XP_017624206, XP_017605361, XP_017608621, XP_017630055, XP_017643720, XP_017631881, XP_017638100, XP_017640651, XP_017646669, XP_017612646, XP_017643194	40	1014	4863	1.4387573964497042	0.981378227544556	0.9071047760200641	0.9071047760200641
GOTERM_MF_2	GO:0016829~lyase activity	3	1.8867924528301887	0.21731078388004132	XP_017619693, XP_017640651, XP_017616126	40	109	4863	3.346100917431192	0.9941739212135298	0.9127052922961736	0.9127052922961736
GOTERM_MF_2	GO:1901363~heterocyclic compound binding	14	8.80503144654088	0.8792192285330306	XP_017616063, XP_017606150, XP_017606194, XP_017616649, XP_017643194, XP_017631570, XP_017615930, XP_017639302, XP_017637982, XP_017630055, XP_017631881, XP_017638100, XP_017646669, XP_017615176	40	2004	4863	0.8493263473053891	1.0	1.0	1.0
GOTERM_MF_2	GO:0097159~organic cyclic compound binding	14	8.80503144654088	0.8792192285330306	XP_017616063, XP_017606150, XP_017606194, XP_017616649, XP_017643194, XP_017631570, XP_017615930, XP_017639302, XP_017637982, XP_017630055, XP_017631881, XP_017638100, XP_017646669, XP_017615176	40	2004	4863	0.8493263473053891	1.0	1.0	1.0
GOTERM_MF_2	GO:0097367~carbohydrate derivative binding	4	2.515723270440252	0.971108962203086	XP_017616063, XP_017637982, XP_017615176, XP_017606194	40	820	4863	0.593048780487805	1.0	1.0	1.0
GOTERM_MF_2	GO:0016740~transferase activity	5	3.1446540880503147	0.9933316950921852	XP_017607265, XP_017639302, XP_017637982, XP_017608621, XP_017612051	40	1195	4863	0.5086820083682009	1.0	1.0	1.0
GOTERM_MF_2	GO:0036094~small molecule binding	4	2.515723270440252	0.9944186791453586	XP_017616063, XP_017637982, XP_017615176, XP_017606194	40	1037	4863	0.4689488910318226	1.0	1.0	1.0
GOTERM_MF_2	GO:0051540~metal cluster binding	1	0.628930817610063	1.0	XP_017603116	40	38	4863	3.1993421052631583	1.0	1.0	1.0
GOTERM_MF_2	GO:0048037~cofactor binding	1	0.628930817610063	1.0	XP_017617353	40	157	4863	0.7743630573248408	1.0	1.0	1.0
GOTERM_MF_2	GO:0003735~structural constituent of ribosome	1	0.628930817610063	1.0	XP_017631570	40	273	4863	0.44532967032967036	1.0	1.0	1.0
GOTERM_MF_2	GO:1901505~carbohydrate derivative transporter activity	1	0.628930817610063	1.0	XP_017616063	40	11	4863	11.052272727272728	1.0	1.0	1.0
GOTERM_MF_2	GO:0004872~receptor activity	1	0.628930817610063	1.0	XP_017637982	40	25	4863	4.863	1.0	1.0	1.0
GOTERM_MF_2	GO:0030234~enzyme regulator activity	1	0.628930817610063	1.0	XP_017612966	40	63	4863	1.929761904761905	1.0	1.0	1.0
GOTERM_MF_2	GO:0003700~transcription factor activity, sequence-specific DNA binding	1	0.628930817610063	1.0	XP_017606150	40	177	4863	0.6868644067796611	1.0	1.0	1.0
GOTERM_MF_2	GO:0038023~signaling receptor activity	1	0.628930817610063	1.0	XP_017637982	40	24	4863	5.065625	1.0	1.0	1.0
GOTERM_MF_2	GO:0022857~transmembrane transporter activity	1	0.628930817610063	1.0	XP_017616063	40	216	4863	0.5628472222222223	1.0	1.0	1.0
GOTERM_MF_2	GO:0016853~isomerase activity	1	0.628930817610063	1.0	XP_017609795	40	108	4863	1.1256944444444446	1.0	1.0	1.0
GOTERM_MF_2	GO:0022892~substrate-specific transporter activity	1	0.628930817610063	1.0	XP_017616063	40	174	4863	0.6987068965517241	1.0	1.0	1.0
