Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_4	GO:0005887~integral component of plasma membrane	5	3.8461538461538463	0.19265271843744702	NP_001032750, NP_001002748, NP_956883, NP_999905, XP_697507	77	27	890	2.1404521404521404	0.9999999844018701	1.0	1.0
GOTERM_CC_4	GO:0005737~cytoplasm	55	42.30769230769231	0.20343534724965928	NP_957372, NP_991204, NP_001034928, NP_001003746, NP_001070064, NP_956962, NP_956007, NP_001028922, NP_001082887, NP_571369, NP_001304099, NP_001017633, NP_956280, NP_001013278, NP_958891, NP_001004529, NP_001002704, NP_956472, NP_957441, NP_958895, NP_001068576, NP_957126, NP_001002068, NP_955825, NP_998356, NP_571876, XP_005162901, NP_001038907, NP_001025360, NP_998198, NP_001038822, NP_957282, NP_998672, NP_001002714, NP_001001589, NP_001019591, NP_957433, NP_001003882, NP_955934, NP_998501, NP_955854, NP_571467, NP_997778, XP_017210321, NP_001073508, NP_001073503, NP_957021, NP_001002207, NP_001004546, NP_001004540, NP_001032183, XP_017208265, XP_693668, NP_998096, NP_001070621	77	588	890	1.0811467444120506	0.9999999949584208	1.0	1.0
GOTERM_CC_4	GO:0031226~intrinsic component of plasma membrane	5	3.8461538461538463	0.21103126561234883	NP_001032750, NP_001002748, NP_956883, NP_999905, XP_697507	77	28	890	2.064007421150278	0.9999999977456434	1.0	1.0
GOTERM_CC_4	GO:0005783~endoplasmic reticulum	10	7.6923076923076925	0.2118375320137248	NP_001002714, NP_001068576, NP_957433, NP_001025360, NP_956007, XP_693668, NP_001004546, NP_956280, NP_001073503, NP_998672	77	78	890	1.4818514818514816	0.9999999979311786	1.0	1.0
GOTERM_CC_4	GO:0005739~mitochondrion	16	12.307692307692308	0.258867639076795	NP_957021, NP_001004529, NP_001001589, NP_956472, NP_957441, NP_001019591, NP_001003746, NP_001070064, NP_001002068, NP_001028922, NP_955825, NP_001038907, XP_017208265, NP_998096, NP_998198, NP_001038822	77	147	890	1.2580616662249318	0.9999999999882173	1.0	1.0
GOTERM_CC_4	GO:1990204~oxidoreductase complex	4	3.076923076923077	0.3125001644679787	NP_957021, NP_001001589, NP_958895, NP_001019591	77	23	890	2.0101637492941844	0.9999999999999786	1.0	1.0
GOTERM_CC_4	GO:0098803~respiratory chain complex	4	3.076923076923077	0.3614406909453997	NP_957021, NP_001001589, NP_001019591, NP_001038822	77	25	890	1.8493506493506495	1.0	1.0	1.0
GOTERM_CC_4	GO:0005746~mitochondrial respiratory chain	4	3.076923076923077	0.40992239257309265	NP_957021, NP_001001589, NP_001019591, NP_001038822	77	27	890	1.7123617123617125	1.0	1.0	1.0
GOTERM_CC_4	GO:0016021~integral component of membrane	28	21.53846153846154	0.4413736686840312	NP_001001589, NP_957433, NP_956883, NP_999905, NP_001096591, NP_001020701, NP_001082887, NP_998620, NP_001032750, NP_955854, NP_999850, NP_001073503, NP_001002748, NP_956352, NP_001068576, XP_002666669, NP_001004546, NP_001002588, XP_001922019, NP_001038827, NP_001025360, NP_001036186, XP_697507, XP_693668, NP_998096, NP_998198, NP_957063, NP_998672	77	304	890	1.0645933014354068	1.0	1.0	1.0
GOTERM_CC_4	GO:0005654~nucleoplasm	3	2.307692307692308	0.4931459944478527	NP_957372, NP_998620, NP_571105	77	19	890	1.8250170881749828	1.0	1.0	1.0
