Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_4	GO:0016655~oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	4	3.076923076923077	0.11160601731608165	NP_957021, NP_001019591, NP_001003747, NP_998198	88	12	863	3.268939393939394	0.9999518195227862	1.0	1.0
GOTERM_MF_4	GO:0020037~heme binding	5	3.8461538461538463	0.11534781315374663	XP_686522, NP_001025360, NP_001002068, XP_017210321, NP_001116749	88	19	863	2.5807416267942584	0.9999662017156828	1.0	1.0
GOTERM_MF_4	GO:0016747~transferase activity, transferring acyl groups other than amino-acyl groups	5	3.8461538461538463	0.1335592560631617	NP_958895, NP_001003746, NP_001002207, NP_001002169, XP_693668	88	20	863	2.4517045454545454	0.999994110684886	1.0	1.0
GOTERM_MF_4	GO:0003954~NADH dehydrogenase activity	4	3.076923076923077	0.13491980820982347	NP_957021, NP_001019591, NP_001003747, NP_998198	88	13	863	3.0174825174825175	0.9999948389876319	1.0	1.0
GOTERM_MF_4	GO:0008168~methyltransferase activity	4	3.076923076923077	0.1858516283195288	NP_001139099, NP_001034928, NP_001104716, NP_001073508	88	15	863	2.6151515151515152	0.9999999684427665	1.0	1.0
GOTERM_MF_4	GO:0015291~secondary active transmembrane transporter activity	2	1.5384615384615385	0.19156452562546564	NP_001032750, NP_999905	88	2	863	9.806818181818182	0.9999999825333175	1.0	1.0
GOTERM_MF_4	GO:0005544~calcium-dependent phospholipid binding	2	1.5384615384615385	0.2732531275657788	NP_861429, NP_861431	88	3	863	6.537878787878788	0.9999999999977291	1.0	1.0
GOTERM_MF_4	GO:0005342~organic acid transmembrane transporter activity	2	1.5384615384615385	0.346772869312355	NP_001032750, NP_999905	88	4	863	4.903409090909091	0.9999999999999997	1.0	1.0
GOTERM_MF_4	GO:0046872~metal ion binding	20	15.384615384615385	0.4076920427176276	XP_686522, NP_001001589, NP_861429, NP_001003746, NP_001093520, NP_001002068, NP_956007, NP_958901, NP_955934, NP_571369, NP_955854, NP_001038907, NP_001025360, XP_017210321, NP_861431, NP_001116749, NP_001071019, NP_001070621, XP_691156, NP_998672	88	176	863	1.1144111570247934	1.0	1.0	1.0
GOTERM_MF_4	GO:0004364~glutathione transferase activity	2	1.5384615384615385	0.4724599443285425	NP_001038525, NP_001073503	88	6	863	3.268939393939394	1.0	1.0	1.0
GOTERM_MF_4	GO:0016876~ligase activity, forming aminoacyl-tRNA and related compounds	2	1.5384615384615385	0.4724599443285425	NP_001038907, NP_001003882	88	6	863	3.268939393939394	1.0	1.0	1.0
GOTERM_MF_4	GO:0016620~oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	2	1.5384615384615385	0.526014185686204	NP_997889, NP_001004540	88	7	863	2.8019480519480524	1.0	1.0	1.0
GOTERM_MF_4	GO:0004518~nuclease activity	2	1.5384615384615385	0.526014185686204	NP_001096608, NP_001025431	88	7	863	2.8019480519480524	1.0	1.0	1.0
GOTERM_MF_4	GO:0016671~oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor	2	1.5384615384615385	0.526014185686204	NP_001076362, NP_991204	88	7	863	2.8019480519480524	1.0	1.0	1.0
GOTERM_MF_4	GO:0035091~phosphatidylinositol binding	2	1.5384615384615385	0.526014185686204	XP_005162901, NP_001032183	88	7	863	2.8019480519480524	1.0	1.0	1.0
GOTERM_MF_4	GO:0070011~peptidase activity, acting on L-amino acid peptides	7	5.384615384615385	0.5940080059690336	NP_955934, NP_001001589, NP_998501, XP_005162901, NP_571467, NP_001017633, NP_001077327	88	61	863	1.1253725782414306	1.0	1.0	1.0
GOTERM_MF_4	GO:0050660~flavin adenine dinucleotide binding	3	2.307692307692308	0.6158969283735846	NP_001274017, NP_956472, NP_001003743	88	20	863	1.471022727272727	1.0	1.0	1.0
GOTERM_MF_4	GO:0008483~transaminase activity	2	1.5384615384615385	0.6175162184408908	NP_001304099, NP_001028922	88	9	863	2.1792929292929295	1.0	1.0	1.0
GOTERM_MF_4	GO:0042578~phosphoric ester hydrolase activity	3	2.307692307692308	0.6432023799159585	NP_955854, XP_697507, XP_005170233	88	21	863	1.4009740259740258	1.0	1.0	1.0
GOTERM_MF_4	GO:0015075~ion transmembrane transporter activity	4	3.076923076923077	0.6649144889136613	NP_001032750, NP_956883, NP_999905, NP_001038822	88	33	863	1.1887052341597797	1.0	1.0	1.0
GOTERM_MF_4	GO:0003995~acyl-CoA dehydrogenase activity	2	1.5384615384615385	0.7230176493646159	NP_956472, NP_001003743	88	12	863	1.634469696969697	1.0	1.0	1.0
GOTERM_MF_4	GO:0016818~hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	4	3.076923076923077	0.7737115521521383	NP_957372, NP_956883, NP_001036210, NP_957282	88	39	863	1.005827505827506	1.0	1.0	1.0
GOTERM_MF_4	GO:0016836~hydro-lyase activity	2	1.5384615384615385	0.7767859602952978	NP_001004529, NP_957108	88	14	863	1.4009740259740262	1.0	1.0	1.0
