Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_2	GO:0044238~primary metabolic process	43	65.15151515151516	5.908631168991109E-4	NP_001070089, NP_001003728, NP_957354, NP_956640, NP_956345, NP_958866, NP_001071271, NP_571450, NP_955927, NP_955905, NP_997927, NP_001004630, NP_958904, NP_998422, NP_955857, NP_998322, NP_001007121, NP_571202, NP_998327, NP_919353, NP_001034196, NP_998284, NP_001313377, NP_956281, NP_001014367, NP_957244, NP_001071022, NP_001082956, NP_858048, NP_001008645, NP_957208, NP_001001730, NP_955817, NP_999918, NP_958906, NP_998113, NP_001017545, XP_005162565, NP_001017866, NP_571959, NP_998552, NP_571879, NP_998232	53	594	1005	1.3726891557080236	0.03484084590440184	0.035451787013946655	0.035451787013946655
GOTERM_BP_2	GO:0071704~organic substance metabolic process	43	65.15151515151516	0.004208329065600069	NP_001070089, NP_001003728, NP_957354, NP_956640, NP_956345, NP_958866, NP_001071271, NP_571450, NP_955927, NP_955905, NP_997927, NP_001004630, NP_958904, NP_998422, NP_955857, NP_998322, NP_001007121, NP_571202, NP_998327, NP_919353, NP_001034196, NP_998284, NP_001313377, NP_956281, NP_001014367, NP_957244, NP_001071022, NP_001082956, NP_858048, NP_001008645, NP_957208, NP_001001730, NP_955817, NP_999918, NP_958906, NP_998113, NP_001017545, XP_005162565, NP_001017866, NP_571959, NP_998552, NP_571879, NP_998232	53	636	1005	1.2820398718405128	0.2235573842282752	0.12624987196800208	0.12624987196800208
GOTERM_BP_2	GO:0009058~biosynthetic process	26	39.39393939393939	0.016834115148679378	NP_001003728, NP_957354, NP_956345, NP_958866, NP_955905, NP_997927, NP_001004630, NP_958904, NP_998422, NP_955857, NP_998322, NP_001007121, NP_998327, NP_919353, NP_001034196, NP_998284, NP_956281, NP_001014367, NP_001071022, NP_001082956, NP_001001730, NP_955817, NP_001017545, XP_005162565, NP_001017866, NP_571959	53	335	1005	1.4716981132075473	0.638916181908268	0.3366823029735876	0.3366823029735876
GOTERM_BP_2	GO:0043627~response to estrogen	3	4.545454545454546	0.03446455332858708	NP_001002082, NP_998327, NP_955817	53	6	1005	9.481132075471699	0.8780748406548398	0.3825058773258649	0.3825058773258649
GOTERM_BP_2	GO:0009607~response to biotic stimulus	4	6.0606060606060606	0.03825058773258649	NP_001001730, NP_571959, NP_001004630, NP_956281	53	15	1005	5.056603773584905	0.9036801550770314	0.3825058773258649	0.3825058773258649
GOTERM_BP_2	GO:0051707~response to other organism	4	6.0606060606060606	0.03825058773258649	NP_001001730, NP_571959, NP_001004630, NP_956281	53	15	1005	5.056603773584905	0.9036801550770314	0.3825058773258649	0.3825058773258649
GOTERM_BP_2	GO:0042221~response to chemical	8	12.121212121212121	0.0711179026286208	NP_001002082, NP_999851, NP_998327, NP_001017545, NP_957208, NP_955817, NP_956281, NP_958904	53	72	1005	2.1069182389937104	0.988042632967954	0.5868911847491181	0.5868911847491181
GOTERM_BP_2	GO:0009605~response to external stimulus	5	7.575757575757576	0.07825215796654908	NP_571647, NP_001001730, NP_571959, NP_001004630, NP_956281	53	32	1005	2.962853773584906	0.992471165138328	0.5868911847491181	0.5868911847491181
GOTERM_BP_2	GO:0044237~cellular metabolic process	36	54.54545454545454	0.10457873867477012	NP_001003728, NP_957354, NP_956640, NP_956345, NP_958866, NP_001071271, NP_571450, NP_955927, NP_955905, NP_997927, NP_001004630, NP_958904, NP_998422, NP_955857, NP_998322, NP_001007121, NP_998327, NP_919353, NP_001034196, NP_998284, NP_956281, NP_001014367, NP_001071022, NP_001082956, NP_858048, NP_957208, NP_955817, NP_999918, NP_958906, NP_998113, NP_001017545, XP_005162565, NP_001017866, NP_571959, NP_998552, NP_998232	53	583	1005	1.1709116799896437	0.9986767431941171	0.6744647961138831	0.6744647961138831
GOTERM_BP_2	GO:0051716~cellular response to stimulus	14	21.21212121212121	0.11241079935231385	NP_956401, NP_001082956, NP_957208, NP_955817, NP_955927, NP_958904, NP_001002082, NP_571647, NP_999851, XP_009298988, NP_998327, NP_001017545, NP_956281, NP_957140	53	178	1005	1.4914140343438627	0.999218874941377	0.6744647961138831	0.6744647961138831
GOTERM_BP_2	GO:0009893~positive regulation of metabolic process	5	7.575757575757576	0.12810323952755212	NP_919353, NP_956640, NP_001082956, NP_571450, NP_956281	53	38	1005	2.495034756703079	0.9997321424804118	0.698744942877557	0.698744942877557
GOTERM_BP_2	GO:0009056~catabolic process	10	15.151515151515152	0.23333962593175955	NP_958906, NP_571202, NP_001071271, NP_001082956, NP_001313377, NP_571450, NP_957208, NP_999918, NP_998552, NP_571879	53	132	1005	1.4365351629502574	0.999999880826141	1.0	1.0
GOTERM_BP_2	GO:0044710~single-organism metabolic process	20	30.303030303030305	0.28908345879696307	NP_001071022, NP_956345, NP_958866, NP_001071271, NP_001082956, NP_957208, NP_001008645, NP_001001730, NP_955905, NP_999918, NP_001004630, NP_958904, NP_955857, NP_958906, NP_571202, NP_998327, XP_005162565, NP_001313377, NP_998552, NP_001014367	53	323	1005	1.1741340031543899	0.9999999987143666	1.0	1.0
GOTERM_BP_2	GO:0006807~nitrogen compound metabolic process	23	34.84848484848485	0.29750220399917654	NP_001003728, NP_001071022, NP_957354, NP_001082956, NP_955817, NP_955905, NP_997927, NP_958904, NP_998422, NP_998322, NP_998113, NP_958906, NP_001007121, NP_998327, NP_919353, NP_001034196, NP_001017545, NP_001017866, NP_998284, NP_571959, NP_956281, NP_998552, NP_001014367	53	381	1005	1.1447036101619374	0.9999999993709314	1.0	1.0
GOTERM_BP_2	GO:0044767~single-organism developmental process	14	21.21212121212121	0.3546814044634296	NP_957242, NP_956373, NP_956345, NP_956401, NP_001082956, NP_001243177, NP_858048, NP_997927, NP_958904, XP_009298988, NP_919353, NP_001017545, NP_001124058, NP_956281	53	222	1005	1.1958184599694033	0.9999999999961412	1.0	1.0
GOTERM_BP_2	GO:0048856~anatomical structure development	14	21.21212121212121	0.3546814044634296	NP_957242, NP_956373, NP_956345, NP_956401, NP_001082956, NP_001243177, NP_858048, NP_997927, NP_958904, XP_009298988, NP_919353, NP_001017545, NP_001124058, NP_956281	53	222	1005	1.1958184599694033	0.9999999999961412	1.0	1.0
GOTERM_BP_2	GO:0044700~single organism signaling	9	13.636363636363635	0.3809932576775589	NP_571647, XP_009298988, NP_956401, NP_001017545, NP_957208, NP_955927, NP_956281, NP_958904, NP_957140	53	133	1005	1.283160732018726	0.9999999999996825	1.0	1.0
GOTERM_BP_2	GO:0048522~positive regulation of cellular process	5	7.575757575757576	0.3893078943761252	NP_919353, NP_956640, NP_001082956, NP_571450, NP_956281	53	61	1005	1.5542839467986391	0.999999999999859	1.0	1.0
GOTERM_BP_2	GO:0009719~response to endogenous stimulus	3	4.545454545454546	0.4308867451884437	NP_001017545, NP_957208, NP_956281	53	28	1005	2.0316711590296497	0.999999999999998	1.0	1.0
GOTERM_BP_2	GO:0048519~negative regulation of biological process	6	9.090909090909092	0.4320148089672912	NP_571647, NP_001007121, NP_001034196, NP_956401, NP_956281, NP_958904	53	83	1005	1.3707660832007273	0.9999999999999982	1.0	1.0
GOTERM_BP_2	GO:0019222~regulation of metabolic process	10	15.151515151515152	0.4740500682089802	NP_001007121, NP_919353, NP_956640, NP_001034196, NP_001017545, NP_001082956, NP_571450, NP_571959, NP_956281, NP_958904	53	163	1005	1.1633290890149324	1.0	1.0	1.0
GOTERM_BP_2	GO:0050794~regulation of cellular process	17	25.757575757575758	0.48876132742653383	NP_956640, NP_956401, NP_001082956, NP_571450, NP_957208, NP_997927, NP_955927, NP_958904, NP_571647, XP_009298988, NP_001007121, NP_919353, NP_001034196, NP_001017545, NP_571959, NP_956281, NP_957140	53	299	1005	1.078122042026882	1.0	1.0	1.0
GOTERM_BP_2	GO:0048518~positive regulation of biological process	5	7.575757575757576	0.49740120169736934	NP_919353, NP_956640, NP_001082956, NP_571450, NP_956281	53	70	1005	1.3544474393530999	1.0	1.0	1.0
GOTERM_BP_2	GO:0044707~single-multicellular organism process	13	19.696969696969695	0.50791067162684	NP_957242, NP_956373, NP_956345, NP_956401, NP_001082956, NP_858048, NP_997927, NP_958904, XP_009298988, NP_919353, NP_001017545, NP_001124058, NP_956281	53	225	1005	1.0955974842767295	1.0	1.0	1.0
GOTERM_BP_2	GO:0048523~negative regulation of cellular process	5	7.575757575757576	0.5867691332480535	NP_571647, NP_001007121, NP_001034196, NP_956401, NP_956281	53	78	1005	1.2155297532656024	1.0	1.0	1.0
GOTERM_BP_2	GO:0009653~anatomical structure morphogenesis	5	7.575757575757576	0.6077250938683858	XP_009298988, NP_956345, NP_001017545, NP_001124058, NP_001243177	53	80	1005	1.1851415094339623	1.0	1.0	1.0
GOTERM_BP_2	GO:0065009~regulation of molecular function	3	4.545454545454546	0.6113386579691005	NP_956640, NP_001082956, NP_571450	53	39	1005	1.458635703918723	1.0	1.0	1.0
GOTERM_BP_2	GO:0009892~negative regulation of metabolic process	3	4.545454545454546	0.665571738174035	NP_001007121, NP_001034196, NP_956281	53	43	1005	1.3229486616937254	1.0	1.0	1.0
GOTERM_BP_2	GO:0044763~single-organism cellular process	27	40.909090909090914	0.6984316790299931	NP_956640, NP_956345, NP_958866, NP_001071271, NP_956401, NP_001243177, NP_571450, NP_955927, NP_955905, NP_001004630, NP_958904, NP_998422, NP_998322, NP_571647, XP_009298988, NP_998327, NP_956281, NP_001014367, NP_956373, NP_001071022, NP_001082956, NP_957208, NP_958906, NP_001017545, XP_005162565, NP_998552, NP_957140	53	528	1005	0.9696612349914236	1.0	1.0	1.0
GOTERM_BP_2	GO:1902578~single-organism localization	5	7.575757575757576	0.759144003751669	NP_998422, NP_998322, NP_001082956, NP_998284, NP_001313377	53	97	1005	0.9774362964403813	1.0	1.0	1.0
GOTERM_BP_2	GO:0009628~response to abiotic stimulus	2	3.0303030303030303	0.7663338525584642	NP_956281, NP_998552	53	27	1005	1.4046121593291405	1.0	1.0	1.0
GOTERM_BP_2	GO:0051239~regulation of multicellular organismal process	2	3.0303030303030303	0.801693361583685	NP_001082956, NP_958904	53	30	1005	1.2641509433962264	1.0	1.0	1.0
GOTERM_BP_2	GO:0048646~anatomical structure formation involved in morphogenesis	2	3.0303030303030303	0.8317895037324847	XP_009298988, NP_956345	53	33	1005	1.1492281303602059	1.0	1.0	1.0
GOTERM_BP_2	GO:0033036~macromolecule localization	3	4.545454545454546	0.8918177425579215	NP_998327, NP_001082956, NP_001313377	53	70	1005	0.8126684636118598	1.0	1.0	1.0
GOTERM_BP_2	GO:0006950~response to stress	4	6.0606060606060606	0.9180445484709024	NP_571647, XP_009298988, NP_001082956, NP_998552	53	103	1005	0.7363986078036271	1.0	1.0	1.0
GOTERM_BP_2	GO:0023051~regulation of signaling	2	3.0303030303030303	0.9225119526836241	NP_956401, NP_958904	53	47	1005	0.8069048574869531	1.0	1.0	1.0
GOTERM_BP_2	GO:0051234~establishment of localization	7	10.606060606060606	0.9354835022136677	NP_998422, NP_998322, NP_998327, NP_001082956, NP_998284, NP_001313377, NP_955817	53	183	1005	0.7253325085060316	1.0	1.0	1.0
GOTERM_BP_2	GO:0048583~regulation of response to stimulus	2	3.0303030303030303	0.9414149065933153	NP_956401, NP_958904	53	52	1005	0.7293178519593614	1.0	1.0	1.0
GOTERM_BP_2	GO:0065008~regulation of biological quality	3	4.545454545454546	0.9665176253026595	NP_001017545, NP_001082956, NP_998284	53	95	1005	0.5988083416087389	1.0	1.0	1.0
GOTERM_BP_2	GO:0044085~cellular component biogenesis	3	4.545454545454546	0.9774492406875015	NP_001003728, NP_001082956, NP_001243177	53	103	1005	0.5522989558527204	1.0	1.0	1.0
GOTERM_BP_2	GO:0016043~cellular component organization	4	6.0606060606060606	0.9968586330433491	NP_998327, NP_001082956, NP_001124058, NP_001243177	53	173	1005	0.43843385320100337	1.0	1.0	1.0
GOTERM_BP_2	GO:0048585~negative regulation of response to stimulus	1	1.5151515151515151	1.0	NP_956401	53	24	1005	0.7900943396226414	1.0	1.0	1.0
GOTERM_BP_2	GO:0032259~methylation	1	1.5151515151515151	1.0	NP_001001730	53	12	1005	1.5801886792452828	1.0	1.0	1.0
GOTERM_BP_2	GO:0097006~regulation of plasma lipoprotein particle levels	1	1.5151515151515151	1.0	NP_001082956	53	2	1005	9.481132075471699	1.0	1.0	1.0
GOTERM_BP_2	GO:0032879~regulation of localization	1	1.5151515151515151	1.0	NP_001082956	53	20	1005	0.9481132075471698	1.0	1.0	1.0
GOTERM_BP_2	GO:0048589~developmental growth	1	1.5151515151515151	1.0	XP_009298988	53	18	1005	1.0534591194968552	1.0	1.0	1.0
GOTERM_BP_2	GO:0051641~cellular localization	1	1.5151515151515151	1.0	NP_998327	53	59	1005	0.3213943076431084	1.0	1.0	1.0
GOTERM_BP_2	GO:0006914~autophagy	1	1.5151515151515151	1.0	NP_571647	53	15	1005	1.2641509433962264	1.0	1.0	1.0
GOTERM_BP_2	GO:0008283~cell proliferation	1	1.5151515151515151	1.0	NP_956373	53	16	1005	1.1851415094339623	1.0	1.0	1.0
GOTERM_BP_2	GO:0050793~regulation of developmental process	1	1.5151515151515151	1.0	NP_958904	53	27	1005	0.7023060796645703	1.0	1.0	1.0
GOTERM_BP_2	GO:0022402~cell cycle process	1	1.5151515151515151	1.0	NP_571450	53	11	1005	1.7238421955403085	1.0	1.0	1.0
GOTERM_BP_2	GO:0048870~cell motility	1	1.5151515151515151	1.0	XP_009298988	53	17	1005	1.1154273029966704	1.0	1.0	1.0
GOTERM_BP_2	GO:0051241~negative regulation of multicellular organismal process	1	1.5151515151515151	1.0	NP_958904	53	14	1005	1.3544474393530996	1.0	1.0	1.0
GOTERM_BP_2	GO:0002520~immune system development	1	1.5151515151515151	1.0	NP_957242	53	39	1005	0.4862119013062409	1.0	1.0	1.0
GOTERM_BP_2	GO:0003008~system process	1	1.5151515151515151	1.0	NP_001082956	53	16	1005	1.1851415094339623	1.0	1.0	1.0
GOTERM_BP_2	GO:0051674~localization of cell	1	1.5151515151515151	1.0	XP_009298988	53	17	1005	1.1154273029966704	1.0	1.0	1.0
GOTERM_BP_2	GO:0006457~protein folding	1	1.5151515151515151	1.0	NP_001243177	53	35	1005	0.5417789757412399	1.0	1.0	1.0
GOTERM_BP_2	GO:0051093~negative regulation of developmental process	1	1.5151515151515151	1.0	NP_958904	53	12	1005	1.5801886792452828	1.0	1.0	1.0
GOTERM_BP_2	GO:0023057~negative regulation of signaling	1	1.5151515151515151	1.0	NP_956401	53	21	1005	0.9029649595687331	1.0	1.0	1.0
