Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_5	GO:0042627~chylomicron	3	4.545454545454546	0.011611270996622671	NP_571202, NP_001082956, NP_001313377	36	4	762	15.875	0.5095498816416357	0.708287530793983	0.708287530793983
GOTERM_CC_5	GO:0005739~mitochondrion	9	13.636363636363635	0.3578906964065648	NP_998422, NP_998322, NP_958906, NP_001027900, NP_998327, NP_956640, NP_956401, NP_998284, NP_955817	36	147	762	1.2959183673469388	0.9999999999981628	1.0	1.0
GOTERM_CC_5	GO:0031966~mitochondrial membrane	5	7.575757575757576	0.41470148301007526	NP_998422, NP_998322, NP_001027900, NP_998284, NP_955817	36	71	762	1.4906103286384977	0.9999999999999936	1.0	1.0
GOTERM_CC_5	GO:0000502~proteasome complex	2	3.0303030303030303	0.43359973910304633	NP_957242, NP_571450	36	12	762	3.5277777777777777	0.9999999999999991	1.0	1.0
GOTERM_CC_5	GO:0005740~mitochondrial envelope	5	7.575757575757576	0.4474336134853724	NP_998422, NP_998322, NP_001027900, NP_998284, NP_955817	36	74	762	1.4301801801801803	0.9999999999999998	1.0	1.0
GOTERM_CC_5	GO:0005783~endoplasmic reticulum	5	7.575757575757576	0.4903324913553107	NP_001002082, NP_998113, NP_958866, NP_001001730, NP_001004630	36	78	762	1.356837606837607	1.0	1.0	1.0
GOTERM_CC_5	GO:0044444~cytoplasmic part	21	31.818181818181817	0.5182270070026236	NP_001003728, NP_001027900, NP_957354, NP_956640, NP_958866, NP_956401, NP_001001730, NP_955817, NP_997927, NP_999918, NP_001004630, NP_958904, NP_001002082, NP_998422, NP_998322, NP_998113, NP_958906, NP_998327, NP_001017866, NP_998284, NP_571879	36	427	762	1.040983606557377	1.0	1.0	1.0
GOTERM_CC_5	GO:0005743~mitochondrial inner membrane	4	6.0606060606060606	0.5196090937138329	NP_998422, NP_998322, NP_001027900, NP_998284	36	59	762	1.4350282485875705	1.0	1.0	1.0
GOTERM_CC_5	GO:0019866~organelle inner membrane	4	6.0606060606060606	0.5314798528922287	NP_998422, NP_998322, NP_001027900, NP_998284	36	60	762	1.411111111111111	1.0	1.0	1.0
GOTERM_CC_5	GO:0031967~organelle envelope	5	7.575757575757576	0.5320237806973335	NP_998422, NP_998322, NP_001027900, NP_998284, NP_955817	36	82	762	1.2906504065040652	1.0	1.0	1.0
GOTERM_CC_5	GO:0022627~cytosolic small ribosomal subunit	2	3.0303030303030303	0.5542793919801579	NP_001003728, NP_001017866	36	17	762	2.4901960784313726	1.0	1.0	1.0
GOTERM_CC_5	GO:0005840~ribosome	4	6.0606060606060606	0.5661682914506929	NP_001003728, NP_957354, NP_001017866, NP_997927	36	63	762	1.3439153439153437	1.0	1.0	1.0
GOTERM_CC_5	GO:0015935~small ribosomal subunit	2	3.0303030303030303	0.595202249997832	NP_001003728, NP_001017866	36	19	762	2.2280701754385963	1.0	1.0	1.0
GOTERM_CC_5	GO:0043232~intracellular non-membrane-bounded organelle	6	9.090909090909092	0.6213872080356228	NP_001003728, NP_957354, NP_001018326, NP_001017866, NP_997927, NP_956281	36	114	762	1.1140350877192982	1.0	1.0	1.0
GOTERM_CC_5	GO:0044429~mitochondrial part	5	7.575757575757576	0.6289935706325122	NP_998422, NP_998322, NP_001027900, NP_998284, NP_955817	36	92	762	1.1503623188405798	1.0	1.0	1.0
GOTERM_CC_5	GO:0022626~cytosolic ribosome	3	4.545454545454546	0.6742349025517518	NP_001003728, NP_957354, NP_001017866	36	49	762	1.2959183673469385	1.0	1.0	1.0
GOTERM_CC_5	GO:0044445~cytosolic part	3	4.545454545454546	0.7169662099301359	NP_001003728, NP_957354, NP_001017866	36	53	762	1.1981132075471697	1.0	1.0	1.0
GOTERM_CC_5	GO:0005789~endoplasmic reticulum membrane	3	4.545454545454546	0.7269178431603356	NP_998113, NP_958866, NP_001004630	36	54	762	1.1759259259259258	1.0	1.0	1.0
GOTERM_CC_5	GO:0044391~ribosomal subunit	3	4.545454545454546	0.7269178431603356	NP_001003728, NP_957354, NP_001017866	36	54	762	1.1759259259259258	1.0	1.0	1.0
GOTERM_CC_5	GO:0044432~endoplasmic reticulum part	3	4.545454545454546	0.7365846439075692	NP_998113, NP_958866, NP_001004630	36	55	762	1.1545454545454543	1.0	1.0	1.0
GOTERM_CC_5	GO:0005737~cytoplasm	27	40.909090909090914	0.7395641359001955	NP_001003728, NP_957354, NP_956640, NP_958866, NP_001071271, NP_956401, NP_001243177, NP_571450, NP_997927, NP_001004630, NP_958904, NP_998422, NP_998322, NP_998327, NP_001018326, NP_998284, NP_001014367, NP_001027900, NP_957244, NP_001001730, NP_955817, NP_999918, NP_001002082, NP_958906, NP_998113, NP_001017866, NP_571879	36	588	762	0.9719387755102041	1.0	1.0	1.0
GOTERM_CC_5	GO:0043229~intracellular organelle	26	39.39393939393939	0.7881904499561233	NP_001003728, NP_957354, NP_956640, NP_958866, NP_956401, NP_997927, NP_001004630, NP_958904, NP_998422, NP_998322, NP_001007121, NP_998327, NP_919353, NP_001034196, NP_001018326, NP_998284, NP_956281, NP_001027900, NP_001001730, NP_955817, NP_001002082, NP_958906, NP_998113, NP_001017545, NP_001017866, NP_571879	36	576	762	0.9554398148148148	1.0	1.0	1.0
GOTERM_CC_5	GO:0030529~intracellular ribonucleoprotein complex	4	6.0606060606060606	0.8617076527808551	NP_001003728, NP_957354, NP_001017866, NP_997927	36	100	762	0.8466666666666667	1.0	1.0	1.0
GOTERM_CC_5	GO:0043231~intracellular membrane-bounded organelle	21	31.818181818181817	0.9100853484773779	NP_001027900, NP_956640, NP_958866, NP_956401, NP_001001730, NP_955817, NP_001004630, NP_958904, NP_001002082, NP_998422, NP_998322, NP_998113, NP_958906, NP_001007121, NP_998327, NP_919353, NP_001034196, NP_001017545, NP_998284, NP_956281, NP_571879	36	505	762	0.8801980198019803	1.0	1.0	1.0
GOTERM_CC_5	GO:0044446~intracellular organelle part	12	18.181818181818183	0.9202614913490759	NP_998422, NP_998322, NP_998113, NP_001003728, NP_001027900, NP_957354, NP_958866, NP_998284, NP_001017866, NP_955817, NP_001004630, NP_956281	36	315	762	0.8063492063492064	1.0	1.0	1.0
GOTERM_CC_5	GO:0005829~cytosol	3	4.545454545454546	0.9613012272692004	NP_001003728, NP_957354, NP_001017866	36	102	762	0.622549019607843	1.0	1.0	1.0
GOTERM_CC_5	GO:0005634~nucleus	6	9.090909090909092	0.985740231776482	NP_001007121, NP_919353, NP_001034196, NP_001017545, NP_956281, NP_958904	36	215	762	0.5906976744186045	1.0	1.0	1.0
GOTERM_CC_5	GO:0005694~chromosome	1	1.5151515151515151	1.0	NP_956281	36	10	762	2.1166666666666667	1.0	1.0	1.0
GOTERM_CC_5	GO:0034364~high-density lipoprotein particle	1	1.5151515151515151	1.0	NP_001082956	36	2	762	10.583333333333332	1.0	1.0	1.0
GOTERM_CC_5	GO:0099503~secretory vesicle	1	1.5151515151515151	1.0	NP_571879	36	5	762	4.233333333333333	1.0	1.0	1.0
GOTERM_CC_5	GO:0008250~oligosaccharyltransferase complex	1	1.5151515151515151	1.0	NP_958866	36	5	762	4.233333333333333	1.0	1.0	1.0
GOTERM_CC_5	GO:0022624~proteasome accessory complex	1	1.5151515151515151	1.0	NP_571450	36	3	762	7.055555555555555	1.0	1.0	1.0
GOTERM_CC_5	GO:0022625~cytosolic large ribosomal subunit	1	1.5151515151515151	1.0	NP_957354	36	31	762	0.6827956989247311	1.0	1.0	1.0
GOTERM_CC_5	GO:0097208~alveolar lamellar body	1	1.5151515151515151	1.0	NP_571879	36	1	762	21.166666666666664	1.0	1.0	1.0
GOTERM_CC_5	GO:0031981~nuclear lumen	1	1.5151515151515151	1.0	NP_956281	36	41	762	0.516260162601626	1.0	1.0	1.0
GOTERM_CC_5	GO:0005773~vacuole	1	1.5151515151515151	1.0	NP_571879	36	48	762	0.4409722222222222	1.0	1.0	1.0
GOTERM_CC_5	GO:0008537~proteasome activator complex	1	1.5151515151515151	1.0	NP_571450	36	1	762	21.166666666666664	1.0	1.0	1.0
GOTERM_CC_5	GO:0000228~nuclear chromosome	1	1.5151515151515151	1.0	NP_956281	36	5	762	4.233333333333333	1.0	1.0	1.0
GOTERM_CC_5	GO:0042599~lamellar body	1	1.5151515151515151	1.0	NP_571879	36	1	762	21.166666666666664	1.0	1.0	1.0
GOTERM_CC_5	GO:0009331~glycerol-3-phosphate dehydrogenase complex	1	1.5151515151515151	1.0	NP_999918	36	2	762	10.583333333333332	1.0	1.0	1.0
GOTERM_CC_5	GO:0042579~microbody	1	1.5151515151515151	1.0	NP_998327	36	14	762	1.5119047619047619	1.0	1.0	1.0
GOTERM_CC_5	GO:0015934~large ribosomal subunit	1	1.5151515151515151	1.0	NP_957354	36	35	762	0.6047619047619047	1.0	1.0	1.0
GOTERM_CC_5	GO:0016023~cytoplasmic, membrane-bounded vesicle	1	1.5151515151515151	1.0	NP_571879	36	20	762	1.0583333333333333	1.0	1.0	1.0
GOTERM_CC_5	GO:0034361~very-low-density lipoprotein particle	1	1.5151515151515151	1.0	NP_571202	36	1	762	21.166666666666664	1.0	1.0	1.0
GOTERM_CC_5	GO:0048471~perinuclear region of cytoplasm	1	1.5151515151515151	1.0	NP_958904	36	5	762	4.233333333333333	1.0	1.0	1.0
GOTERM_CC_5	GO:0005856~cytoskeleton	1	1.5151515151515151	1.0	NP_001018326	36	26	762	0.8141025641025641	1.0	1.0	1.0
GOTERM_CC_5	GO:0044455~mitochondrial membrane part	1	1.5151515151515151	1.0	NP_001027900	36	41	762	0.516260162601626	1.0	1.0	1.0
GOTERM_CC_5	GO:0000785~chromatin	1	1.5151515151515151	1.0	NP_956281	36	5	762	4.233333333333333	1.0	1.0	1.0
GOTERM_CC_5	GO:0070013~intracellular organelle lumen	1	1.5151515151515151	1.0	NP_956281	36	62	762	0.34139784946236557	1.0	1.0	1.0
GOTERM_CC_5	GO:0005787~signal peptidase complex	1	1.5151515151515151	1.0	NP_998113	36	2	762	10.583333333333332	1.0	1.0	1.0
GOTERM_CC_5	GO:0000323~lytic vacuole	1	1.5151515151515151	1.0	NP_571879	36	20	762	1.0583333333333333	1.0	1.0	1.0
GOTERM_CC_5	GO:0000790~nuclear chromatin	1	1.5151515151515151	1.0	NP_956281	36	4	762	5.291666666666666	1.0	1.0	1.0
GOTERM_CC_5	GO:0044454~nuclear chromosome part	1	1.5151515151515151	1.0	NP_956281	36	5	762	4.233333333333333	1.0	1.0	1.0
GOTERM_CC_5	GO:0005667~transcription factor complex	1	1.5151515151515151	1.0	NP_956281	36	7	762	3.0238095238095237	1.0	1.0	1.0
GOTERM_CC_5	GO:0031410~cytoplasmic vesicle	1	1.5151515151515151	1.0	NP_571879	36	20	762	1.0583333333333333	1.0	1.0	1.0
GOTERM_CC_5	GO:0034385~triglyceride-rich lipoprotein particle	1	1.5151515151515151	1.0	NP_571202	36	1	762	21.166666666666664	1.0	1.0	1.0
