Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_5	GO:0043565~sequence-specific DNA binding	4	6.0606060606060606	0.33577090670450216	NP_919353, NP_001017545, NP_571959, NP_956281	32	45	682	1.8944444444444446	0.9999999999854993	1.0	1.0
GOTERM_MF_5	GO:0005509~calcium ion binding	3	4.545454545454546	0.4657698620778272	NP_998422, NP_957244, NP_858048	32	34	682	1.880514705882353	1.0	1.0	1.0
GOTERM_MF_5	GO:0000975~regulatory region DNA binding	2	3.0303030303030303	0.571829589898168	NP_919353, NP_956281	32	18	682	2.3680555555555554	1.0	1.0	1.0
GOTERM_MF_5	GO:0003690~double-stranded DNA binding	2	3.0303030303030303	0.571829589898168	NP_919353, NP_956281	32	18	682	2.3680555555555554	1.0	1.0	1.0
GOTERM_MF_5	GO:0004175~endopeptidase activity	3	4.545454545454546	0.6581473645315741	NP_001070089, NP_957244, NP_571879	32	48	682	1.3320312499999998	1.0	1.0	1.0
GOTERM_MF_5	GO:0046914~transition metal ion binding	4	6.0606060606060606	0.7743594852701018	NP_001070089, NP_001017545, NP_001001730, NP_001004630	32	86	682	0.9912790697674418	1.0	1.0	1.0
GOTERM_MF_5	GO:0005524~ATP binding	3	4.545454545454546	0.9065170377097459	NP_001071271, NP_858048, NP_998552	32	82	682	0.7797256097560975	1.0	1.0	1.0
GOTERM_MF_5	GO:0032559~adenyl ribonucleotide binding	3	4.545454545454546	0.9103350597235959	NP_001071271, NP_858048, NP_998552	32	83	682	0.7703313253012049	1.0	1.0	1.0
GOTERM_MF_5	GO:0032550~purine ribonucleoside binding	4	6.0606060606060606	0.9122745168365376	NP_001071271, NP_858048, NP_998552, NP_957140	32	113	682	0.754424778761062	1.0	1.0	1.0
GOTERM_MF_5	GO:0030554~adenyl nucleotide binding	3	4.545454545454546	0.9140125429571996	NP_001071271, NP_858048, NP_998552	32	84	682	0.7611607142857143	1.0	1.0	1.0
GOTERM_MF_5	GO:0032555~purine ribonucleotide binding	4	6.0606060606060606	0.9155359621608979	NP_001071271, NP_858048, NP_998552, NP_957140	32	114	682	0.7478070175438597	1.0	1.0	1.0
GOTERM_MF_5	GO:0017076~purine nucleotide binding	4	6.0606060606060606	0.918692001115967	NP_001071271, NP_858048, NP_998552, NP_957140	32	115	682	0.741304347826087	1.0	1.0	1.0
GOTERM_MF_5	GO:0032553~ribonucleotide binding	4	6.0606060606060606	0.9275540625117245	NP_001071271, NP_858048, NP_998552, NP_957140	32	118	682	0.722457627118644	1.0	1.0	1.0
GOTERM_MF_5	GO:0016232~HNK-1 sulfotransferase activity	1	1.5151515151515151	1.0	NP_999851	32	1	682	21.3125	1.0	1.0	1.0
GOTERM_MF_5	GO:0004806~triglyceride lipase activity	1	1.5151515151515151	1.0	NP_571202	32	3	682	7.104166666666666	1.0	1.0	1.0
GOTERM_MF_5	GO:0004122~cystathionine beta-synthase activity	1	1.5151515151515151	1.0	NP_001014367	32	1	682	21.3125	1.0	1.0	1.0
GOTERM_MF_5	GO:0008324~cation transmembrane transporter activity	1	1.5151515151515151	1.0	NP_001027900	32	29	682	0.7349137931034483	1.0	1.0	1.0
GOTERM_MF_5	GO:0008234~cysteine-type peptidase activity	1	1.5151515151515151	1.0	NP_957244	32	14	682	1.5223214285714286	1.0	1.0	1.0
GOTERM_MF_5	GO:0019001~guanyl nucleotide binding	1	1.5151515151515151	1.0	NP_957140	32	31	682	0.6875	1.0	1.0	1.0
GOTERM_MF_5	GO:0004053~arginase activity	1	1.5151515151515151	1.0	NP_955905	32	1	682	21.3125	1.0	1.0	1.0
GOTERM_MF_5	GO:0005525~GTP binding	1	1.5151515151515151	1.0	NP_957140	32	31	682	0.6875	1.0	1.0	1.0
GOTERM_MF_5	GO:0004672~protein kinase activity	1	1.5151515151515151	1.0	NP_858048	32	20	682	1.065625	1.0	1.0	1.0
GOTERM_MF_5	GO:0018725~trans-3,4-dihydrodiolphenanthrene sulfotransferase activity	1	1.5151515151515151	1.0	NP_999851	32	1	682	21.3125	1.0	1.0	1.0
GOTERM_MF_5	GO:0018721~trans-9R,10R-dihydrodiolphenanthrene sulfotransferase activity	1	1.5151515151515151	1.0	NP_999851	32	1	682	21.3125	1.0	1.0	1.0
GOTERM_MF_5	GO:0019111~phenanthrol sulfotransferase activity	1	1.5151515151515151	1.0	NP_999851	32	1	682	21.3125	1.0	1.0	1.0
GOTERM_MF_5	GO:0015485~cholesterol binding	1	1.5151515151515151	1.0	NP_001082956	32	3	682	7.104166666666666	1.0	1.0	1.0
GOTERM_MF_5	GO:0008378~galactosyltransferase activity	1	1.5151515151515151	1.0	NP_956345	32	3	682	7.104166666666666	1.0	1.0	1.0
GOTERM_MF_5	GO:0008237~metallopeptidase activity	1	1.5151515151515151	1.0	NP_001070089	32	10	682	2.13125	1.0	1.0	1.0
