Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_4	GO:0009966~regulation of signal transduction	11	7.746478873239436	0.017747308116220727	NP_001002516, NP_001091727, NP_001103596, NP_956870, XP_692922, NP_571533, NP_001077039, NP_991254, NP_957084, NP_991309, NP_001012386	100	45	912	2.2293333333333334	0.9998012732294754	1.0	1.0
GOTERM_BP_4	GO:1902531~regulation of intracellular signal transduction	7	4.929577464788732	0.02472985900235464	NP_001002516, NP_956870, XP_692922, NP_991254, NP_957084, NP_991309, NP_001012386	100	22	912	2.9018181818181823	0.9999933401303601	1.0	1.0
GOTERM_BP_4	GO:0006575~cellular modified amino acid metabolic process	4	2.8169014084507045	0.06414390015067072	NP_955823, NP_001103596, NP_001314691, XP_002663301	100	9	912	4.053333333333334	0.9999999999999802	1.0	1.0
GOTERM_BP_4	GO:0000165~MAPK cascade	4	2.8169014084507045	0.06414390015067072	NP_956870, NP_991254, NP_957084, NP_001012386	100	9	912	4.053333333333334	0.9999999999999802	1.0	1.0
GOTERM_BP_4	GO:0023014~signal transduction by protein phosphorylation	4	2.8169014084507045	0.06414390015067072	NP_956870, NP_991254, NP_957084, NP_001012386	100	9	912	4.053333333333334	0.9999999999999802	1.0	1.0
GOTERM_BP_4	GO:0044283~small molecule biosynthetic process	8	5.633802816901409	0.11961547520234637	NP_998357, NP_958487, NP_942110, NP_853537, NP_001296456, NP_001002570, NP_991309, NP_932338	100	39	912	1.8707692307692307	1.0	1.0	1.0
GOTERM_BP_4	GO:0016053~organic acid biosynthetic process	6	4.225352112676056	0.12478384306992475	NP_942110, NP_853537, NP_001296456, NP_001002570, NP_991309, NP_932338	100	25	912	2.1888	1.0	1.0	1.0
GOTERM_BP_4	GO:1902533~positive regulation of intracellular signal transduction	3	2.112676056338028	0.13096482206186383	NP_956870, NP_991254, NP_001012386	100	6	912	4.5600000000000005	1.0	1.0	1.0
GOTERM_BP_4	GO:0044765~single-organism transport	15	10.56338028169014	0.13449488831508316	NP_001018176, NP_001002527, NP_956550, NP_001009918, NP_991117, NP_958501, NP_957029, NP_001074120, NP_001070070, NP_001002346, NP_001005598, NP_001116703, NP_001070854, XP_003198763, NP_001017577	100	95	912	1.44	1.0	1.0	1.0
GOTERM_BP_4	GO:0048646~anatomical structure formation involved in morphogenesis	7	4.929577464788732	0.13805456061955285	NP_001018176, NP_571533, NP_957203, NP_991284, NP_001012386, NP_001007389, XP_005172121	100	33	912	1.9345454545454546	1.0	1.0	1.0
