Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_1	GO:0060089~molecular transducer activity	7	4.929577464788732	0.06862079214827843	NP_001077040, NP_694480, NP_571854, NP_001009918, NP_001132933, NP_001243120, XP_009292113	111	27	992	2.3169836503169834	0.5424991308515135	0.7548287136310627	0.7548287136310627
GOTERM_MF_1	GO:0000988~transcription factor activity, protein binding	4	2.8169014084507045	0.1960818149512425	NP_938177, NP_996966, NP_001243120, NP_001038447	111	14	992	2.5534105534105533	0.9093578120431776	0.86452578086906	0.86452578086906
GOTERM_MF_1	GO:0005488~binding	73	51.40845070422535	0.3084419180560903	NP_957252, NP_001103596, NP_938177, XP_692922, NP_958501, NP_001002657, NP_957412, NP_694499, NP_001004677, XP_687970, NP_997949, NP_001314827, NP_571961, NP_997876, NP_001017637, NP_571962, NP_571487, NP_998560, XP_003198763, NP_001108215, NP_957243, NP_001071066, NP_001003514, NP_957203, NP_958899, XP_005158562, NP_001243120, NP_001091727, NP_955823, NP_998357, NP_942110, NP_997789, NP_001116703, NP_957084, NP_997782, NP_957475, XP_017209451, NP_001070088, NP_958487, NP_001002117, NP_937783, NP_001132933, NP_001074120, XP_002663301, NP_991309, NP_932338, NP_001035400, NP_001077040, XP_005155564, NP_998269, NP_997776, NP_853537, NP_001296456, NP_001314721, NP_001032454, NP_001014389, NP_001017610, NP_001186920, NP_001017577, NP_001018176, NP_001070030, NP_957029, NP_958914, NP_001005598, XP_005172121, NP_999985, NP_955846, NP_571533, NP_001019822, XP_695887, NP_001017767, XP_009292113, NP_001038800	111	623	992	1.047185226960508	0.982697244452728	0.86452578086906	0.86452578086906
GOTERM_MF_1	GO:0005215~transporter activity	9	6.338028169014084	0.6074421197900071	NP_001002527, NP_991117, NP_001019822, NP_001070070, NP_001002346, NP_001186920, NP_001017577, NP_001314822, XP_003198763	111	75	992	1.0724324324324324	0.999965885367441	0.86452578086906	0.86452578086906
GOTERM_MF_1	GO:0004871~signal transducer activity	4	2.8169014084507045	0.6418124536266855	NP_001077040, XP_005155564, NP_571854, NP_001243120	111	29	992	1.232680956818888	0.9999875486826479	0.86452578086906	0.86452578086906
GOTERM_MF_1	GO:0016209~antioxidant activity	2	1.4084507042253522	0.6930304385325313	NP_001185793, NP_001025241	111	10	992	1.7873873873873873	0.9999977194035102	0.86452578086906	0.86452578086906
GOTERM_MF_1	GO:0005198~structural molecule activity	9	6.338028169014084	0.6976154348701868	NP_998158, NP_956550, NP_956324, NP_001002487, NP_001070070, NP_571251, NP_997949, NP_001038800, NP_001002155	111	81	992	0.992992992992993	0.9999980673384226	0.86452578086906	0.86452578086906
GOTERM_MF_1	GO:0003824~catalytic activity	57	40.140845070422536	0.7014143815294522	NP_957252, NP_001103596, XP_003199339, XP_005170576, XP_692922, NP_001002657, NP_001004677, NP_001002570, NP_997876, NP_001070854, NP_998441, NP_001108215, NP_001071066, NP_991117, NP_958899, XP_005158562, NP_001025241, NP_919360, NP_997981, NP_955823, NP_998676, NP_998357, NP_942110, NP_997789, XP_001336957, NP_991284, NP_998035, NP_001002516, NP_957475, XP_017209451, NP_001070088, NP_958487, NP_001002117, NP_932336, XP_002663301, XP_005174313, NP_956900, NP_956902, NP_991309, NP_932338, NP_001035400, XP_005155564, NP_001185793, NP_997776, NP_853537, NP_001296456, NP_001314721, NP_001032454, NP_001014389, NP_001314691, NP_001070030, NP_958914, NP_999985, NP_001007292, NP_694498, NP_001017767, XP_009292113	111	524	992	0.9721477202393233	0.9999983182642956	0.86452578086906	0.86452578086906
GOTERM_MF_1	GO:0001071~nucleic acid binding transcription factor activity	5	3.5211267605633805	0.8007996261640158	NP_571961, NP_571962, NP_571487, NP_957203, NP_001074120	111	48	992	0.9309309309309309	0.9999999804029076	0.86452578086906	0.86452578086906
GOTERM_MF_1	GO:0098772~molecular function regulator	4	2.8169014084507045	0.8278774174825043	NP_001002527, NP_957412, XP_005158565, NP_991309	111	39	992	0.9166089166089166	0.9999999960715937	0.86452578086906	0.86452578086906
GOTERM_MF_1	GO:0009055~electron carrier activity	3	2.112676056338028	0.86452578086906	NP_957475, NP_997776, NP_958899	111	30	992	0.8936936936936937	0.9999999997178869	0.86452578086906	0.86452578086906
