Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_4	GO:0016021~integral component of membrane	196	27.298050139275766	1.1724288710408218E-17	XM_007826458, XM_007819000, XM_007822650, XM_011412556, XM_007823505, XM_007825120, XM_011412438, XM_007823985, XM_007820916, XM_007818829, XM_007824040, XM_007824838, XM_007819118, XM_007819477, XM_007825018, XM_007823750, XM_007822780, XM_007827439, XM_007824163, XM_007823516, XM_007821455, XM_007825376, XM_007823994, XM_007823081, XM_007821462, XM_007820131, XM_007824056, XM_007824298, XM_007824054, XM_007824296, XM_007820810, XM_007827441, XM_007826594, XM_007825142, XM_007825145, XM_007821104, XM_007823765, XM_007820815, XM_007818807, XM_007825030, XM_007822562, XM_007821111, XM_007820264, XM_007824986, XM_007826926, XM_007823414, XM_007826245, XM_007822325, XM_007822323, XM_007819447, XM_007818599, XM_007824996, XM_007827902, XM_011412754, XM_007827583, XM_011412876, XM_007828432, XM_007824870, XM_007823787, XM_007821365, XM_007823422, XM_007825291, XM_007818223, XM_007825611, XM_007820042, XM_007826946, XM_007818584, XM_007820040, XM_007827232, XM_007821378, XM_007822909, XM_007824095, XM_007818456, XM_007819789, XM_007819549, XM_007824653, XM_007821144, XM_007820059, XM_007821387, XM_007820299, XM_007822918, XM_007822917, XM_007818321, XM_007819413, XM_007825875, XM_007826846, XM_007826847, XM_011412406, XM_007822008, XM_007822369, XM_007822003, XM_007822124, XM_007825753, XM_007821719, XM_007825084, XM_007827383, XM_007823464, XM_007821166, XM_007825887, XM_007819881, XM_007818792, XM_011413249, XM_007823902, XM_007820997, XM_007821723, XM_011412714, XM_007826970, XM_007821601, XM_007823227, XM_007823348, XM_007823226, XM_007823224, XM_007818549, XM_007827151, XM_007827393, XM_007821604, XM_007819999, XM_007823110, XM_007820404, XM_007825098, XM_007822823, XM_007828245, XM_007821057, XM_011412708, XM_007819506, XM_007819508, XM_007819867, XM_011412392, XM_007819982, XM_007823365, XM_007820655, XM_007824339, XM_007820411, XM_007827054, XM_007821626, XM_007828385, XM_007821990, XM_007826766, XM_007823012, XM_007826405, XM_007826406, XM_007827739, XM_007821755, XM_007826886, XM_007827061, XM_007821518, XM_007822729, XM_007827062, XM_007819844, XM_007819047, XM_007819164, XM_007826778, XM_007825206, XM_007826539, XM_007818991, XM_007819160, XM_007822051, XM_007822172, XM_007821400, XM_007826654, XM_007826412, XM_007824236, XM_007820794, XM_007818507, XM_007828281, XM_007819832, XM_007823391, XM_007819713, XM_007824803, XM_007823150, XM_007825450, XM_007826540, XM_007820443, XM_007824808, XM_007819267, XM_007818855, XM_007827768, XM_007818293, XM_007822075, XM_007821427, XM_007822754, XM_007827884, XM_007826434, XM_007822510, XM_007819818, XM_007818605, XM_007821308, XM_007818721, XM_007824146, XM_007824384, XM_007818165, XM_007821679, XM_007823975, XM_007821434, XM_007826565, XM_007825916	262	911	1791	1.4707267410194318	1.559330398484293E-15	1.559330398484293E-15	1.559330398484293E-15
GOTERM_CC_4	GO:0044455~mitochondrial membrane part	6	0.8356545961002786	0.2356785717473745	XM_007821144, XM_007821719, XM_007818584, XM_007821745, XM_007823181, XM_007827003	262	23	1791	1.7832724858944575	0.9999999999999997	1.0	1.0
GOTERM_CC_4	GO:0098687~chromosomal region	4	0.5571030640668524	0.24920181710206857	XM_007823969, XM_007822459, XM_007827982, XM_007826950	262	12	1791	2.278625954198473	1.0	1.0	1.0
GOTERM_CC_4	GO:0098798~mitochondrial protein complex	5	0.6963788300835655	0.2611599416395536	XM_007821144, XM_007821719, XM_007818584, XM_007823181, XM_007827003	262	18	1791	1.8988549618320612	1.0	1.0	1.0
GOTERM_CC_4	GO:0098803~respiratory chain complex	2	0.2785515320334262	0.27028999747415433	XM_007821144, XM_007821719	262	2	1791	6.835877862595419	1.0	1.0	1.0
GOTERM_CC_4	GO:0005746~mitochondrial respiratory chain	2	0.2785515320334262	0.27028999747415433	XM_007821144, XM_007821719	262	2	1791	6.835877862595419	1.0	1.0	1.0
GOTERM_CC_4	GO:0044454~nuclear chromosome part	4	0.5571030640668524	0.37713805608294293	XM_007819475, XM_007822459, XM_007822811, XM_007819776	262	15	1791	1.8229007633587788	1.0	1.0	1.0
GOTERM_CC_4	GO:0032865~ERMES complex	2	0.2785515320334262	0.46772651111331326	XM_007818584, XM_007823181	262	4	1791	3.4179389312977095	1.0	1.0	1.0
GOTERM_CC_4	GO:0044233~ER-mitochondrion membrane contact site	2	0.2785515320334262	0.46772651111331326	XM_007818584, XM_007823181	262	4	1791	3.4179389312977095	1.0	1.0	1.0
GOTERM_CC_4	GO:0044798~nuclear transcription factor complex	3	0.4178272980501393	0.49185302213296384	XM_007820198, XM_011413501, XM_007827464	262	11	1791	1.8643303261623871	1.0	1.0	1.0
GOTERM_CC_4	GO:0005667~transcription factor complex	3	0.4178272980501393	0.49185302213296384	XM_007820198, XM_011413501, XM_007827464	262	11	1791	1.8643303261623871	1.0	1.0	1.0
GOTERM_CC_4	GO:0000228~nuclear chromosome	4	0.5571030640668524	0.5002588175491902	XM_007819475, XM_007822459, XM_007822811, XM_007819776	262	18	1791	1.5190839694656488	1.0	1.0	1.0
GOTERM_CC_4	GO:0044427~chromosomal part	7	0.9749303621169917	0.5387233075136045	XM_007819475, XM_007823969, XM_007822459, XM_007827982, XM_007822811, XM_007826950, XM_007819776	262	40	1791	1.1962786259541984	1.0	1.0	1.0
GOTERM_CC_4	GO:0098800~inner mitochondrial membrane protein complex	3	0.4178272980501393	0.5403832631389931	XM_007821144, XM_007821719, XM_007827003	262	12	1791	1.708969465648855	1.0	1.0	1.0
GOTERM_CC_4	GO:0098799~outer mitochondrial membrane protein complex	2	0.2785515320334262	0.54546763064322	XM_007818584, XM_007823181	262	5	1791	2.734351145038168	1.0	1.0	1.0
GOTERM_CC_4	GO:0005783~endoplasmic reticulum	10	1.392757660167131	0.602863292187815	XM_007827151, XM_007819160, XM_007818584, XM_007825084, XM_007825261, XM_007827452, XM_007821679, XM_007822823, XM_007823181, XM_007823787	262	64	1791	1.0681059160305344	1.0	1.0	1.0
GOTERM_CC_4	GO:0042175~nuclear outer membrane-endoplasmic reticulum membrane network	8	1.1142061281337048	0.6091097069242175	XM_007827151, XM_007819160, XM_007818584, XM_007825084, XM_007821679, XM_007822823, XM_007823181, XM_007823787	262	50	1791	1.0937404580152672	1.0	1.0	1.0
GOTERM_CC_4	GO:0005789~endoplasmic reticulum membrane	8	1.1142061281337048	0.6091097069242175	XM_007827151, XM_007819160, XM_007818584, XM_007825084, XM_007821679, XM_007822823, XM_007823181, XM_007823787	262	50	1791	1.0937404580152672	1.0	1.0	1.0
GOTERM_CC_4	GO:0005886~plasma membrane	4	0.5571030640668524	0.6098705239727267	XM_007820131, XM_007826846, XM_007825120, XM_007818855	262	21	1791	1.3020719738276991	1.0	1.0	1.0
GOTERM_CC_4	GO:0000776~kinetochore	2	0.2785515320334262	0.6118914539366387	XM_007822459, XM_007827982	262	6	1791	2.278625954198473	1.0	1.0	1.0
GOTERM_CC_4	GO:0044432~endoplasmic reticulum part	8	1.1142061281337048	0.6523562653183056	XM_007827151, XM_007819160, XM_007818584, XM_007825084, XM_007821679, XM_007822823, XM_007823181, XM_007823787	262	52	1791	1.0516735173223721	1.0	1.0	1.0
GOTERM_CC_4	GO:1990204~oxidoreductase complex	2	0.2785515320334262	0.6686400984871335	XM_007821110, XM_007821144	262	7	1791	1.9531079607415485	1.0	1.0	1.0
GOTERM_CC_4	GO:0031966~mitochondrial membrane	7	0.9749303621169917	0.7023303278722413	XM_007821144, XM_007821719, XM_007818584, XM_007818829, XM_007821745, XM_007823181, XM_007827003	262	47	1791	1.0181094688971901	1.0	1.0	1.0
GOTERM_CC_4	GO:0005743~mitochondrial inner membrane	5	0.6963788300835655	0.7077217762558181	XM_007821144, XM_007821719, XM_007818829, XM_007821745, XM_007827003	262	32	1791	1.0681059160305344	1.0	1.0	1.0
GOTERM_CC_4	GO:0005694~chromosome	7	0.9749303621169917	0.7222052493649057	XM_007819475, XM_007823969, XM_007822459, XM_007827982, XM_007822811, XM_007826950, XM_007819776	262	48	1791	0.9968988549618321	1.0	1.0	1.0
GOTERM_CC_4	GO:0019866~organelle inner membrane	5	0.6963788300835655	0.7310972520056968	XM_007821144, XM_007821719, XM_007818829, XM_007821745, XM_007827003	262	33	1791	1.0357390700902152	1.0	1.0	1.0
GOTERM_CC_4	GO:0044459~plasma membrane part	2	0.2785515320334262	0.7585271460574481	XM_007820131, XM_007826846	262	9	1791	1.5190839694656488	1.0	1.0	1.0
GOTERM_CC_4	GO:0005740~mitochondrial envelope	7	0.9749303621169917	0.7762255498381094	XM_007821144, XM_007821719, XM_007818584, XM_007818829, XM_007821745, XM_007823181, XM_007827003	262	51	1791	0.9382577458464302	1.0	1.0	1.0
GOTERM_CC_4	GO:0005741~mitochondrial outer membrane	2	0.2785515320334262	0.8498908141708164	XM_007818584, XM_007823181	262	12	1791	1.1393129770992365	1.0	1.0	1.0
GOTERM_CC_4	GO:0031968~organelle outer membrane	2	0.2785515320334262	0.8498908141708164	XM_007818584, XM_007823181	262	12	1791	1.1393129770992365	1.0	1.0	1.0
GOTERM_CC_4	GO:0030684~preribosome	2	0.2785515320334262	0.8498908141708164	XM_007818257, XM_011412506	262	12	1791	1.1393129770992365	1.0	1.0	1.0
GOTERM_CC_4	GO:0031981~nuclear lumen	10	1.392757660167131	0.8581258531793542	XM_007820198, XM_007819475, XM_011413501, XM_007823969, XM_007818257, XM_007822459, XM_007822811, XM_007823016, XM_007819776, XM_007823466	262	81	1791	0.8439355385920272	1.0	1.0	1.0
GOTERM_CC_4	GO:0098588~bounding membrane of organelle	6	0.8356545961002786	0.8636629218528524	XM_007821572, XM_007820042, XM_007818584, XM_007821626, XM_007823181, XM_007822003	262	49	1791	0.8370462688892351	1.0	1.0	1.0
GOTERM_CC_4	GO:0005794~Golgi apparatus	3	0.4178272980501393	0.8701507985418775	XM_007821572, XM_007821626, XM_007823516	262	23	1791	0.8916362429472288	1.0	1.0	1.0
GOTERM_CC_4	GO:0005654~nucleoplasm	6	0.8356545961002786	0.8752754372759001	XM_007820198, XM_011413501, XM_007823969, XM_007818257, XM_007823016, XM_007823466	262	50	1791	0.8203053435114505	1.0	1.0	1.0
