Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Signal	66	9.192200557103064	5.076395325238578E-8	XM_007819164, XM_007826976, XM_007820594, XM_007819000, XM_007824476, XM_007823540, XM_007826933, XM_007819167, XM_007820953, XM_007823626, XM_007821127, XM_007822612, XM_007823787, XM_007823225, XM_007822531, XM_007825050, XM_007821604, XM_007823508, XM_007819832, XM_007819713, XM_007819999, XM_007818303, XM_007824202, XM_007825933, XM_007822582, XM_007822140, XM_007826946, XM_007828004, XM_007825454, XM_007827875, XM_007822909, XM_011412708, XM_007820405, XM_007825261, XM_007818258, XM_007818855, XM_007819188, XM_007825185, XM_007823523, XM_007822313, XM_007820739, XM_007825391, XM_007820933, XM_007827692, XM_007822639, XM_007821308, XM_007822638, XM_007824818, XM_007823531, XM_007821033, XM_007824864, XM_007826406, XM_007826847, XM_007818560, XM_007822282, XM_007820060, XM_007823418, XM_007827452, XM_007825153, XM_007822008, XM_007823975, XM_007826245, XM_007822003, XM_007822642, XM_007818994, XM_007818799	718	223	4686	1.9315987359006708	7.309982737346843E-6	4.042174653636176E-6	4.042174653636176E-6
UP_KEYWORDS	Transmembrane helix	190	26.46239554317549	6.114253078966858E-8	XM_007826458, XM_007821166, XM_007823464, XM_007819000, XM_007825887, XM_007822650, XM_007819881, XM_007818792, XM_011413249, XM_011412556, XM_007823902, XM_007821723, XM_007820997, XM_007823505, XM_007825120, XM_011412714, XM_007821601, XM_007826970, XM_011412438, XM_007823227, XM_007823348, XM_007823985, XM_007823226, XM_007823224, XM_007818549, XM_007820916, XM_007827393, XM_007821604, XM_007818829, XM_007824040, XM_007824838, XM_007819118, XM_007819999, XM_007819477, XM_007825018, XM_007823750, XM_007823110, XM_007822780, XM_007827439, XM_007824163, XM_007820404, XM_007822823, XM_007823516, XM_007825098, XM_007828245, XM_007825376, XM_007823994, XM_011412708, XM_007819506, XM_007819508, XM_007819867, XM_007823081, XM_011412392, XM_007819982, XM_007820131, XM_007821462, XM_007823365, XM_007824298, XM_007824056, XM_007824296, XM_007824054, XM_007820810, XM_007827441, XM_007826594, XM_007825142, XM_007820655, XM_007824339, XM_007825145, XM_007821104, XM_007820411, XM_007823765, XM_007820815, XM_007818807, XM_007821626, XM_007827054, XM_007828385, XM_007825030, XM_007826766, XM_007821990, XM_007821111, XM_007822562, XM_007820264, XM_007823012, XM_007824986, XM_007826405, XM_007826406, XM_007827739, XM_007826926, XM_007821755, XM_007823414, XM_007826245, XM_007822325, XM_007822323, XM_007826886, XM_007827061, XM_007822729, XM_007821518, XM_007827062, XM_007818599, XM_007819447, XM_007819844, XM_007819047, XM_007819164, XM_007824996, XM_007826778, XM_007825206, XM_007827902, XM_007826539, XM_007819160, XM_007818991, XM_011412754, XM_007822172, XM_007822051, XM_007827583, XM_011412876, XM_007828432, XM_007821400, XM_007824870, XM_007823787, XM_007821365, XM_007826412, XM_007826654, XM_007823422, XM_007824236, XM_007820794, XM_007818507, XM_007828281, XM_007825291, XM_007819832, XM_007823391, XM_007818223, XM_007819713, XM_007825611, XM_007826946, XM_007818584, XM_007820040, XM_007824803, XM_007823150, XM_007827232, XM_007825450, XM_007826540, XM_007821378, XM_007820443, XM_007822909, XM_007824095, XM_007818456, XM_007819789, XM_007819549, XM_007824808, XM_007819267, XM_007818855, XM_007827768, XM_007824653, XM_007818293, XM_007822075, XM_007821427, XM_007822754, XM_007820059, XM_007827884, XM_007826434, XM_007821387, XM_007822510, XM_007820299, XM_007819818, XM_007818605, XM_007822918, XM_007822917, XM_007821308, XM_007818321, XM_007819413, XM_007818721, XM_007825875, XM_007824146, XM_007826846, XM_007826847, XM_007824384, XM_007818165, XM_007821679, XM_011412406, XM_007822008, XM_007822369, XM_007823975, XM_007821434, XM_007826565, XM_007822124, XM_007825753, XM_007821719, XM_007825084, XM_007827383, XM_007825916	718	887	4686	1.398002091491774	8.804485946978247E-6	4.042174653636176E-6	4.042174653636176E-6
UP_KEYWORDS	Transmembrane	190	26.46239554317549	8.421197195075368E-8	XM_007826458, XM_007821166, XM_007823464, XM_007819000, XM_007825887, XM_007822650, XM_007819881, XM_007818792, XM_011413249, XM_011412556, XM_007823902, XM_007821723, XM_007820997, XM_007823505, XM_007825120, XM_011412714, XM_007821601, XM_007826970, XM_011412438, XM_007823227, XM_007823348, XM_007823985, XM_007823226, XM_007823224, XM_007818549, XM_007820916, XM_007827393, XM_007821604, XM_007818829, XM_007824040, XM_007824838, XM_007819118, XM_007819999, XM_007819477, XM_007825018, XM_007823750, XM_007823110, XM_007822780, XM_007827439, XM_007824163, XM_007820404, XM_007822823, XM_007823516, XM_007825098, XM_007828245, XM_007825376, XM_007823994, XM_011412708, XM_007819506, XM_007819508, XM_007819867, XM_007823081, XM_011412392, XM_007819982, XM_007820131, XM_007821462, XM_007823365, XM_007824298, XM_007824056, XM_007824296, XM_007824054, XM_007820810, XM_007827441, XM_007826594, XM_007825142, XM_007820655, XM_007824339, XM_007825145, XM_007821104, XM_007820411, XM_007823765, XM_007820815, XM_007818807, XM_007821626, XM_007827054, XM_007828385, XM_007825030, XM_007826766, XM_007821990, XM_007821111, XM_007822562, XM_007820264, XM_007823012, XM_007824986, XM_007826405, XM_007826406, XM_007827739, XM_007826926, XM_007821755, XM_007823414, XM_007826245, XM_007822325, XM_007822323, XM_007826886, XM_007827061, XM_007822729, XM_007821518, XM_007827062, XM_007818599, XM_007819447, XM_007819844, XM_007819047, XM_007819164, XM_007824996, XM_007826778, XM_007825206, XM_007827902, XM_007826539, XM_007819160, XM_007818991, XM_011412754, XM_007822172, XM_007822051, XM_007827583, XM_011412876, XM_007828432, XM_007821400, XM_007824870, XM_007823787, XM_007821365, XM_007826412, XM_007826654, XM_007823422, XM_007824236, XM_007820794, XM_007818507, XM_007828281, XM_007825291, XM_007819832, XM_007823391, XM_007818223, XM_007819713, XM_007825611, XM_007826946, XM_007818584, XM_007820040, XM_007824803, XM_007823150, XM_007827232, XM_007825450, XM_007826540, XM_007821378, XM_007820443, XM_007822909, XM_007824095, XM_007818456, XM_007819789, XM_007819549, XM_007824808, XM_007819267, XM_007818855, XM_007827768, XM_007824653, XM_007818293, XM_007822075, XM_007821427, XM_007822754, XM_007820059, XM_007827884, XM_007826434, XM_007821387, XM_007822510, XM_007820299, XM_007819818, XM_007818605, XM_007822918, XM_007822917, XM_007821308, XM_007818321, XM_007819413, XM_007818721, XM_007825875, XM_007824146, XM_007826846, XM_007826847, XM_007824384, XM_007818165, XM_007821679, XM_011412406, XM_007822008, XM_007822369, XM_007823975, XM_007821434, XM_007826565, XM_007822124, XM_007825753, XM_007821719, XM_007825084, XM_007827383, XM_007825916	718	890	4686	1.3932897248912397	1.2126450945615375E-5	4.042174653636176E-6	4.042174653636176E-6
UP_KEYWORDS	Membrane	194	27.019498607242337	1.9551545007483275E-7	XM_007826458, XM_007819000, XM_007822650, XM_011412556, XM_007823505, XM_007825120, XM_011412438, XM_007823985, XM_007820916, XM_007818829, XM_007824040, XM_007824838, XM_007819118, XM_007819477, XM_007825018, XM_007823750, XM_007822780, XM_007827439, XM_007824163, XM_007823516, XM_007825376, XM_007823994, XM_007823081, XM_007821462, XM_007820131, XM_007824056, XM_007824298, XM_007824054, XM_007824296, XM_007820810, XM_007827441, XM_007826594, XM_007825142, XM_007825145, XM_007821104, XM_007823765, XM_007820815, XM_007818807, XM_007825030, XM_007822562, XM_007821111, XM_007820264, XM_007824986, XM_007826926, XM_007823414, XM_007826245, XM_007822325, XM_007822323, XM_007819447, XM_007818599, XM_007824996, XM_007827902, XM_011412754, XM_007827583, XM_011412876, XM_007828432, XM_007824870, XM_007823787, XM_007821365, XM_007823422, XM_007825291, XM_007818223, XM_007825611, XM_007826946, XM_007818584, XM_007820040, XM_007827232, XM_007821378, XM_007822909, XM_007824095, XM_007818456, XM_007819789, XM_007819549, XM_007824653, XM_007821144, XM_007820059, XM_007821387, XM_007820299, XM_007822918, XM_007822917, XM_007818321, XM_007819413, XM_007825875, XM_007826846, XM_007826847, XM_011412406, XM_007822008, XM_007822369, XM_007822003, XM_007822124, XM_007825753, XM_007821719, XM_007825084, XM_007827383, XM_007823464, XM_007821166, XM_007825887, XM_007819881, XM_007818792, XM_011413249, XM_007823902, XM_007820997, XM_007821723, XM_011412714, XM_007826970, XM_007821601, XM_007823227, XM_007823348, XM_007823226, XM_007823224, XM_007818549, XM_007827393, XM_007821604, XM_007819999, XM_007823110, XM_007820404, XM_007825098, XM_007822823, XM_007828245, XM_011412708, XM_007819506, XM_007819508, XM_007819867, XM_011412392, XM_007819982, XM_007823365, XM_007821745, XM_007820655, XM_007824339, XM_007820411, XM_007827054, XM_007821626, XM_007828385, XM_007821990, XM_007826766, XM_007823012, XM_007826405, XM_007826406, XM_007827739, XM_007821755, XM_007826886, XM_007827061, XM_007821518, XM_007822729, XM_007827062, XM_007819844, XM_007819047, XM_007819164, XM_007826778, XM_007825206, XM_007826539, XM_007818991, XM_007819160, XM_007822051, XM_007822172, XM_007821400, XM_007826654, XM_007826412, XM_007824236, XM_007820794, XM_007818507, XM_007828281, XM_007819832, XM_007823391, XM_007819713, XM_007824803, XM_007823150, XM_007825450, XM_007826540, XM_007820443, XM_007824808, XM_007819267, XM_007818855, XM_007827768, XM_007818293, XM_007822075, XM_007821427, XM_007822754, XM_007827884, XM_007826434, XM_007822510, XM_007819818, XM_007818605, XM_007821308, XM_007818721, XM_007824146, XM_007824384, XM_007818165, XM_007821679, XM_007823975, XM_007821434, XM_007826565, XM_007825916, XM_007823181	718	923	4686	1.3717591600599957	2.8153831233224125E-5	7.038556202693979E-6	7.038556202693979E-6
UP_KEYWORDS	Oxidoreductase	29	4.03899721448468	0.025759393685649903	XM_007826414, XM_007822354, XM_007822076, XM_007825405, XM_007821921, XM_007820655, XM_007825100, XM_007825045, XM_007822754, XM_007827054, XM_007819756, XM_007818223, XM_007821110, XM_007824841, XM_007820044, XM_007826847, XM_007818165, XM_007819095, XM_007821756, XM_007822845, XM_007822986, XM_007823239, XM_007825673, XM_007820124, XM_007827458, XM_007823510, XM_007819921, XM_007818514, XM_007818017	718	127	4686	1.4902945627618276	0.976668820937502	0.7418705381467172	0.7418705381467172
UP_KEYWORDS	Heme	8	1.1142061281337048	0.04015802127732632	XM_007822076, XM_007818165, XM_007819095, XM_007820655, XM_007826376, XM_007822754, XM_007823510, XM_007818017	718	22	4686	2.3732590529247912	0.9972662264010591	0.8688875970569505	0.8688875970569505
UP_KEYWORDS	Stress response	8	1.1142061281337048	0.050378537282472664	XM_007819098, XM_007820495, XM_007822582, XM_007823692, XM_007825705, XM_007824391, XM_007821532, XM_007828379	718	23	4686	2.27007387671067	0.9994148393360134	0.8688875970569505	0.8688875970569505
UP_KEYWORDS	Transport	32	4.456824512534819	0.05238526128663404	XM_007824653, XM_007821462, XM_007823464, XM_007821144, XM_007819881, XM_007827902, XM_007818991, XM_011412754, XM_007820810, XM_007825120, XM_007823348, XM_007823226, XM_007826434, XM_007820496, XM_007818549, XM_007827393, XM_007821626, XM_007818829, XM_007818223, XM_007821572, XM_007825611, XM_007825875, XM_007821111, XM_007822562, XM_007826926, XM_007827232, XM_007823516, XM_007821378, XM_007826886, XM_007825753, XM_007819867, XM_007819982	718	152	4686	1.3739920832722476	0.9995685006030112	0.8688875970569505	0.8688875970569505
UP_KEYWORDS	Iron	12	1.6713091922005572	0.05430547481605941	XM_007822354, XM_007822076, XM_007818165, XM_007819095, XM_007819728, XM_007824381, XM_007818223, XM_007820655, XM_007826376, XM_007822754, XM_007823510, XM_007818017	718	43	4686	1.8213383429422818	0.9996777996744819	0.8688875970569505	0.8688875970569505
UP_KEYWORDS	Lipid degradation	4	0.5571030640668524	0.11014553146257226	XM_007824166, XM_007819160, XM_007819118, XM_007822531	718	8	4686	3.2632311977715878	0.9999999496575979	1.0	1.0
