Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_3	GO:0043169~cation binding	6	30.0	0.09372378585517435	XM_007824898, XM_011412501, XM_007823291, XM_007824093, XM_007826796, XM_007820397	13	491	2283	2.1460128466238446	0.7478562863847963	1.0	1.0
GOTERM_MF_3	GO:0016798~hydrolase activity, acting on glycosyl bonds	2	10.0	0.2502012995465577	XM_007823085, XM_007826796	13	54	2283	6.504273504273504	0.9822488878772135	1.0	1.0
GOTERM_MF_3	GO:0016772~transferase activity, transferring phosphorus-containing groups	2	10.0	0.7448095056473829	XM_007822274, XM_007821410	13	245	2283	1.4335949764521194	0.9999999950328999	1.0	1.0
GOTERM_MF_3	GO:0001882~nucleoside binding	2	10.0	0.9396052647172297	XM_007820397, XM_007821410	13	475	2283	0.7394331983805669	1.0	1.0	1.0
GOTERM_MF_3	GO:0032553~ribonucleotide binding	2	10.0	0.945367855809181	XM_007820397, XM_007821410	13	490	2283	0.7167974882260597	1.0	1.0	1.0
GOTERM_MF_3	GO:1901265~nucleoside phosphate binding	2	10.0	0.9803490079760439	XM_007820397, XM_007821410	13	636	2283	0.5522496371552976	1.0	1.0	1.0
GOTERM_MF_3	GO:0000166~nucleotide binding	2	10.0	0.9803490079760439	XM_007820397, XM_007821410	13	636	2283	0.5522496371552976	1.0	1.0	1.0
GOTERM_MF_3	GO:0016903~oxidoreductase activity, acting on the aldehyde or oxo group of donors	1	5.0	1.0	XM_007820259	13	22	2283	7.982517482517483	1.0	1.0	1.0
GOTERM_MF_3	GO:0008233~peptidase activity	1	5.0	1.0	XM_007823826	13	102	2283	1.7217194570135748	1.0	1.0	1.0
GOTERM_MF_3	GO:0003676~nucleic acid binding	1	5.0	1.0	XM_007824898	13	536	2283	0.3276406429391504	1.0	1.0	1.0
GOTERM_MF_3	GO:0019842~vitamin binding	1	5.0	1.0	XM_011412447	13	11	2283	15.965034965034967	1.0	1.0	1.0
GOTERM_MF_3	GO:0031177~phosphopantetheine binding	1	5.0	1.0	XM_011412447	13	3	2283	58.53846153846154	1.0	1.0	1.0
GOTERM_MF_3	GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding	1	5.0	1.0	XM_007824898	13	64	2283	2.743990384615385	1.0	1.0	1.0
GOTERM_MF_3	GO:0016746~transferase activity, transferring acyl groups	1	5.0	1.0	XM_007820633	13	67	2283	2.6211251435132032	1.0	1.0	1.0
