Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_1	GO:0008152~metabolic process	88	23.59249329758713	0.06270904443801611	XM_007823388, XM_007827548, XM_007827745, XM_007824875, XM_007823265, XM_011412354, XM_007824876, XM_007822770, XM_007823187, XM_007820191, XM_007822537, XM_007825200, XM_007824634, XM_007826895, XM_007825366, XM_007826214, XM_007821002, XM_007821928, XM_007820999, XM_007820318, XM_007822418, XM_007819312, XM_007819115, XM_007821374, XM_007819232, XM_007823393, XM_007818340, XM_007819471, XM_007820205, XM_007823759, XM_007826461, XM_007821856, XM_007820962, XM_007820247, XM_007820764, XM_007823998, XM_007822941, XM_007820202, XM_007821530, XM_007823796, XM_007818530, XM_011413241, XM_011412330, XM_007820571, XM_007820494, XM_007819023, XM_007820251, XM_007824176, XM_011413500, XM_007823361, XM_007824096, XM_007824738, XM_007825020, XM_007826395, XM_007820017, XM_007820333, XM_007827049, XM_007824734, XM_007827444, XM_007823600, XM_007820133, XM_007820254, XM_007820332, XM_007821828, XM_007819938, XM_007822280, XM_007819778, XM_007818201, XM_007819857, XM_007819135, XM_007823333, XM_007823695, XM_007823254, XM_007821351, XM_007818166, XM_007823372, XM_007825031, XM_007823658, XM_007822401, XM_007824424, XM_011412927, XM_007821431, XM_007820540, XM_007822400, XM_007820222, XM_007820949, XM_007819124, XM_007819247	116	1240	1800	1.1012235817575082	0.47670779802745034	0.6270904443801611	0.6270904443801611
GOTERM_BP_1	GO:0044699~single-organism process	56	15.013404825737265	0.2671212621376577	XM_007824875, XM_011412354, XM_007823386, XM_007824876, XM_007825008, XM_007823187, XM_007820191, XM_007822537, XM_007826214, XM_007820119, XM_007820318, XM_007819312, XM_007819115, XM_007821374, XM_007820286, XM_007825976, XM_007823592, XM_007819471, XM_007826780, XM_007823998, XM_007823997, XM_007822941, XM_007820202, XM_007823796, XM_007825379, XM_007828250, XM_007818773, XM_007818530, XM_007819223, XM_011413241, XM_007820494, XM_007823364, XM_007819023, XM_007820251, XM_007824176, XM_007825749, XM_007826395, XM_007820017, XM_007827444, XM_007820133, XM_007820254, XM_007820658, XM_007819778, XM_007819135, XM_007822683, XM_007823254, XM_007821351, XM_007824385, XM_007822720, XM_007822401, XM_007824424, XM_007821354, XM_007821431, XM_007822400, XM_007820949, XM_007819247	116	803	1800	1.0821488384076954	0.9552985900064761	1.0	1.0
GOTERM_BP_1	GO:0050896~response to stimulus	13	3.485254691689008	0.6265249963947417	XM_011412330, XM_007823695, XM_007823386, XM_007824385, XM_007823372, XM_007824738, XM_007820247, XM_007825265, XM_007822720, XM_007821354, XM_007822465, XM_007825282, XM_007820658	116	198	1800	1.0188087774294672	0.9999472022517005	1.0	1.0
GOTERM_BP_1	GO:0023052~signaling	5	1.3404825737265416	0.8209029659132108	XM_007823386, XM_007824385, XM_007820658, XM_007822720, XM_007821354	116	87	1800	0.8917954815695601	0.9999999660465477	1.0	1.0
GOTERM_BP_1	GO:0050789~regulation of biological process	9	2.4128686327077746	0.9693379175779999	XM_007827745, XM_007823386, XM_007821351, XM_007824385, XM_007823361, XM_007825749, XM_007820658, XM_007822720, XM_007821354	116	210	1800	0.6650246305418719	0.9999999999999992	1.0	1.0
GOTERM_BP_1	GO:0009987~cellular process	83	22.25201072386059	0.9740186534741121	XM_007827745, XM_007824875, XM_007823265, XM_011412354, XM_007823386, XM_007824876, XM_007825008, XM_007823187, XM_007820191, XM_007822537, XM_007826895, XM_007825366, XM_007826214, XM_007820119, XM_007820318, XM_007819312, XM_007819115, XM_007821374, XM_007820286, XM_007825976, XM_007819232, XM_007823592, XM_007823393, XM_007818340, XM_007823759, XM_007826780, XM_007821856, XM_007820247, XM_007820764, XM_007823998, XM_007823997, XM_007822941, XM_007820202, XM_007823796, XM_007818773, XM_007819223, XM_011413241, XM_011412330, XM_007820571, XM_007820494, XM_007823364, XM_007819023, XM_007820251, XM_007824176, XM_011413500, XM_007823361, XM_007825749, XM_007824096, XM_007824738, XM_007826395, XM_007821229, XM_007820017, XM_007827049, XM_007827444, XM_007823600, XM_007820254, XM_007820332, XM_007821828, XM_007823807, XM_007820658, XM_007822280, XM_007819778, XM_007818201, XM_007819135, XM_007822683, XM_007823695, XM_007823254, XM_007821351, XM_007824385, XM_007823372, XM_007824184, XM_007825031, XM_007823658, XM_007822720, XM_007822401, XM_007824424, XM_007821354, XM_011412927, XM_007821431, XM_007820540, XM_007822400, XM_007820949, XM_007819247	116	1409	1800	0.9140745454100487	0.9999999999999999	1.0	1.0
GOTERM_BP_1	GO:0051179~localization	15	4.021447721179625	0.9751295047299237	XM_007820286, XM_007822683, XM_007823364, XM_007825008, XM_007825976, XM_007818340, XM_007824184, XM_007826780, XM_007820920, XM_007826783, XM_007823997, XM_007825379, XM_007828250, XM_007820119, XM_007819223	116	330	1800	0.7053291536050158	0.9999999999999999	1.0	1.0
GOTERM_BP_1	GO:0065007~biological regulation	9	2.4128686327077746	0.9841730999246346	XM_007827745, XM_007823386, XM_007821351, XM_007824385, XM_007823361, XM_007825749, XM_007820658, XM_007822720, XM_007821354	116	226	1800	0.617943240768996	1.0	1.0	1.0
GOTERM_BP_1	GO:0071840~cellular component organization or biogenesis	6	1.6085790884718498	0.9992483061296844	XM_007823592, XM_007825749, XM_007824184, XM_007820764, XM_007823658, XM_007826895	116	221	1800	0.4212825713839913	1.0	1.0	1.0
GOTERM_BP_1	GO:0051704~multi-organism process	1	0.2680965147453083	1.0	XM_007826932	116	6	1800	2.5862068965517238	1.0	1.0	1.0
