Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	maj01220:Degradation of aromatic compounds	3	0.8042895442359249	0.05375304623186372	XM_007820627, XM_007823459, XM_007822985	94	6	1417	7.53723404255319	0.9879673980056619	1.0	1.0
KEGG_PATHWAY	maj01100:Metabolic pathways	46	12.332439678284182	0.05781733783777991	XM_007820494, XM_007827548, XM_007824876, XM_007819023, XM_007823187, XM_007824176, XM_007825868, XM_007820191, XM_007824096, XM_007826395, XM_007822537, XM_007820698, XM_007820017, XM_007820333, XM_007827049, XM_007825200, XM_007827444, XM_007823600, XM_007820254, XM_007820999, XM_007819938, XM_007826262, XM_007822280, XM_007819857, XM_007819135, XM_007819115, XM_007819534, XM_007821374, XM_007823254, XM_007818166, XM_007819471, XM_007823459, XM_007823998, XM_007822985, XM_007822941, XM_007820202, XM_007824882, XM_007822401, XM_007823456, XM_007824424, XM_007821497, XM_007822400, XM_007823796, XM_007820949, XM_007820627, XM_007819247	94	568	1417	1.220819598441714	0.99147275669482	1.0	1.0
KEGG_PATHWAY	maj00630:Glyoxylate and dicarboxylate metabolism	5	1.3404825737265416	0.06716842484688501	XM_007819023, XM_007824738, XM_007826395, XM_007819312, XM_007822400	94	24	1417	3.140514184397163	0.9961606382133408	1.0	1.0
KEGG_PATHWAY	maj00460:Cyanoamino acid metabolism	3	0.8042895442359249	0.09211196426384262	XM_007824096, XM_007820333, XM_007823600	94	8	1417	5.652925531914893	0.9995608797794938	1.0	1.0
KEGG_PATHWAY	maj00900:Terpenoid backbone biosynthesis	4	1.0723860589812333	0.09530237653710827	XM_007823254, XM_007822770, XM_007824176, XM_007820017	94	17	1417	3.5469336670838545	0.999668658405306	1.0	1.0
KEGG_PATHWAY	maj01110:Biosynthesis of secondary metabolites	21	5.630026809651475	0.09909146366008155	XM_007820494, XM_007824876, XM_007823254, XM_007823187, XM_007818166, XM_007824176, XM_007820191, XM_007824096, XM_007824738, XM_007820017, XM_007820333, XM_007822941, XM_007820202, XM_007823600, XM_007824882, XM_007822400, XM_007824424, XM_007820627, XM_007826262, XM_007818564, XM_007819857	94	229	1417	1.3823748025643408	0.9997631593964189	1.0	1.0
KEGG_PATHWAY	maj00520:Amino sugar and nucleotide sugar metabolism	5	1.3404825737265416	0.12884221126698014	XM_007827548, XM_007821928, XM_007820205, XM_007818135, XM_007825200	94	30	1417	2.5124113475177303	0.9999838658567445	1.0	1.0
KEGG_PATHWAY	maj04144:Endocytosis	7	1.876675603217158	0.16545858671093627	XM_007826316, XM_007824486, XM_007823386, XM_007818340, XM_007823182, XM_007822515, XM_007826783	94	57	1417	1.8512504665920118	0.9999994802057888	1.0	1.0
KEGG_PATHWAY	maj00500:Starch and sucrose metabolism	4	1.0723860589812333	0.20524325608636862	XM_007824096, XM_007820333, XM_007822401, XM_007823600	94	24	1417	2.5124113475177303	0.9999999895591046	1.0	1.0
KEGG_PATHWAY	maj00350:Tyrosine metabolism	3	0.8042895442359249	0.23295903939047738	XM_007818166, XM_007820627, XM_007824882	94	14	1417	3.2302431610942244	0.9999999993897827	1.0	1.0
KEGG_PATHWAY	maj00052:Galactose metabolism	3	0.8042895442359249	0.23295903939047738	XM_007825888, XM_007819938, XM_007819857	94	14	1417	3.2302431610942244	0.9999999993897827	1.0	1.0
KEGG_PATHWAY	maj00511:Other glycan degradation	2	0.5361930294906166	0.23802074260505737	XM_007827548, XM_007819938	94	4	1417	7.537234042553191	0.9999999996407044	1.0	1.0
KEGG_PATHWAY	maj00860:Porphyrin and chlorophyll metabolism	3	0.8042895442359249	0.25802130261977785	XM_007820494, XM_007824876, XM_007823445	94	15	1417	3.014893617021276	0.9999999999572127	1.0	1.0
KEGG_PATHWAY	maj00130:Ubiquinone and other terpenoid-quinone biosynthesis	2	0.5361930294906166	0.3350560831006701	XM_007818166, XM_007818564	94	6	1417	5.024822695035461	0.9999999999999933	1.0	1.0
KEGG_PATHWAY	maj01130:Biosynthesis of antibiotics	14	3.753351206434316	0.3586011024999812	XM_007823254, XM_007822770, XM_007823187, XM_007818166, XM_007824176, XM_007824738, XM_007820205, XM_007820017, XM_007825200, XM_007821928, XM_007820627, XM_007826262, XM_007819857, XM_007819247	94	175	1417	1.2059574468085106	0.9999999999999997	1.0	1.0
KEGG_PATHWAY	maj00780:Biotin metabolism	2	0.5361930294906166	0.4198502944862855	XM_007823998, XM_007823456	94	8	1417	3.7686170212765955	1.0	1.0	1.0
KEGG_PATHWAY	maj00340:Histidine metabolism	2	0.5361930294906166	0.4581426455243767	XM_007822941, XM_007824882	94	9	1417	3.349881796690307	1.0	1.0	1.0
KEGG_PATHWAY	maj00360:Phenylalanine metabolism	2	0.5361930294906166	0.4939329395339445	XM_007818166, XM_007824882	94	10	1417	3.0148936170212766	1.0	1.0	1.0
KEGG_PATHWAY	maj04931:Insulin resistance	2	0.5361930294906166	0.4939329395339445	XM_007819979, XM_007825200	94	10	1417	3.0148936170212766	1.0	1.0	1.0
KEGG_PATHWAY	maj00270:Cysteine and methionine metabolism	3	0.8042895442359249	0.5180853788098031	XM_007821374, XM_007818166, XM_007820254	94	26	1417	1.7393617021276593	1.0	1.0	1.0
KEGG_PATHWAY	maj00910:Nitrogen metabolism	2	0.5361930294906166	0.5273830011005693	XM_007819023, XM_007821431	94	11	1417	2.740812379110251	1.0	1.0	1.0
KEGG_PATHWAY	maj00670:One carbon pool by folate	2	0.5361930294906166	0.5586442961913898	XM_007822280, XM_007819312	94	12	1417	2.5124113475177303	1.0	1.0	1.0
KEGG_PATHWAY	maj00010:Glycolysis / Gluconeogenesis	3	0.8042895442359249	0.5784428151480949	XM_007820627, XM_007819857, XM_007824882	94	29	1417	1.5594277329420394	1.0	1.0	1.0
KEGG_PATHWAY	maj00600:Sphingolipid metabolism	2	0.5361930294906166	0.6151585536324264	XM_007819938, XM_007819534	94	14	1417	2.153495440729483	1.0	1.0	1.0
KEGG_PATHWAY	maj04141:Protein processing in endoplasmic reticulum	5	1.3404825737265416	0.6172638991216362	XM_007825019, XM_007819471, XM_007821229, XM_007820595, XM_007821894	94	64	1417	1.1776928191489362	1.0	1.0	1.0
KEGG_PATHWAY	maj00680:Methane metabolism	2	0.5361930294906166	0.6645041937767868	XM_007826395, XM_007819247	94	16	1417	1.8843085106382977	1.0	1.0	1.0
KEGG_PATHWAY	maj00100:Steroid biosynthesis	2	0.5361930294906166	0.6867747933332149	XM_007826229, XM_007818839	94	17	1417	1.7734668335419272	1.0	1.0	1.0
KEGG_PATHWAY	maj00400:Phenylalanine, tyrosine and tryptophan biosynthesis	2	0.5361930294906166	0.6867747933332149	XM_007818166, XM_007826262	94	17	1417	1.7734668335419272	1.0	1.0	1.0
KEGG_PATHWAY	maj01200:Carbon metabolism	6	1.6085790884718498	0.6906450015800064	XM_007823187, XM_007824738, XM_007826395, XM_007827444, XM_007822400, XM_007819247	94	87	1417	1.0396184886280262	1.0	1.0	1.0
KEGG_PATHWAY	maj00380:Tryptophan metabolism	2	0.5361930294906166	0.7075818963470732	XM_007818166, XM_007824738	94	18	1417	1.6749408983451535	1.0	1.0	1.0
KEGG_PATHWAY	maj04011:MAPK signaling pathway - yeast	2	0.5361930294906166	0.7451802653858335	XM_007823386, XM_007821179	94	20	1417	1.5074468085106383	1.0	1.0	1.0
KEGG_PATHWAY	maj00250:Alanine, aspartate and glutamate metabolism	2	0.5361930294906166	0.7451802653858335	XM_007819023, XM_007825200	94	20	1417	1.5074468085106383	1.0	1.0	1.0
KEGG_PATHWAY	maj01230:Biosynthesis of amino acids	6	1.6085790884718498	0.7469267681024755	XM_007819023, XM_007823187, XM_007818166, XM_007826262, XM_007822941, XM_007819247	94	93	1417	0.9725463280713794	1.0	1.0	1.0
KEGG_PATHWAY	maj04146:Peroxisome	3	0.8042895442359249	0.764503830822614	XM_007824176, XM_007824738, XM_007818834	94	41	1417	1.1030098598858327	1.0	1.0	1.0
KEGG_PATHWAY	maj03008:Ribosome biogenesis in eukaryotes	4	1.0723860589812333	0.7687537352077245	XM_007821828, XM_007820007, XM_007822305, XM_007820764	94	60	1417	1.004964539007092	1.0	1.0	1.0
KEGG_PATHWAY	maj03013:RNA transport	4	1.0723860589812333	0.8839663316003599	XM_007820571, XM_007821828, XM_007820764, XM_007826895	94	75	1417	0.8039716312056737	1.0	1.0	1.0
KEGG_PATHWAY	maj00564:Glycerophospholipid metabolism	2	0.5361930294906166	0.8888944895088655	XM_007820202, XM_007824424	94	32	1417	0.9421542553191489	1.0	1.0	1.0
KEGG_PATHWAY	maj00260:Glycine, serine and threonine metabolism	2	0.5361930294906166	0.8888944895088655	XM_007823187, XM_007819247	94	32	1417	0.9421542553191489	1.0	1.0	1.0
KEGG_PATHWAY	maj00190:Oxidative phosphorylation	3	0.8042895442359249	0.8945977202614516	XM_007824876, XM_007825868, XM_007820698	94	56	1417	0.8075607902735561	1.0	1.0	1.0
KEGG_PATHWAY	maj03010:Ribosome	4	1.0723860589812333	0.913602239093339	XM_007825031, XM_007823759, XM_007821856, XM_007820540	94	81	1417	0.7444181770422904	1.0	1.0	1.0
KEGG_PATHWAY	maj04111:Cell cycle - yeast	3	0.8042895442359249	0.9437322943965616	XM_007820571, XM_007825749, XM_011412916	94	67	1417	0.6749761829152111	1.0	1.0	1.0
