Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_5	GO:0043604~amide biosynthetic process	118	4.451150509241796	3.5339723025032134E-5	XP_017646884, XP_017623880, XP_017649239, XP_017632878, XP_017617127, XP_017631947, XP_017608094, XP_017627170, XP_017607551, XP_017608401, XP_017634257, XP_017611253, XP_017641994, XP_017611370, XP_017639022, XP_017621610, XP_017649763, XP_017644234, XP_017634923, XP_017616700, XP_017610617, XP_017626460, XP_017608496, XP_017637994, XP_017623918, XP_017634246, XP_017611261, XP_017602953, YP_005089032, YP_005089036, YP_005089035, YP_005088981, YP_005089034, XP_017617027, XP_017647155, XP_017612881, XP_017603530, XP_017605158, YP_005089038, XP_017622739, YP_005089037, XP_017607337, XP_017619154, XP_017649747, XP_017623259, XP_017619155, YP_005089045, XP_017624465, XP_017647281, XP_017616689, XP_017630505, XP_017608430, XP_017617817, XP_017643809, XP_017613984, XP_017638747, XP_017615128, XP_017649908, XP_017643886, XP_017635231, XP_017619680, YP_005088997, XP_017635073, XP_017623443, XP_017640980, XP_017631226, XP_017611219, XP_017607594, XP_017609775, XP_017631584, XP_017615411, XP_017634972, XP_017612540, XP_017607876, XP_017648909, XP_017606705, XP_017607929, YP_005089020, XP_017643342, XP_017646216, YP_005089022, XP_017611509, XP_017616589, XP_017621492, XP_017616228, XP_017634729, XP_017611865, XP_017634964, XP_017634841, XP_017640631, XP_017603202, XP_017612270, XP_017649779, XP_017617065, XP_017629447, XP_017629962, XP_017624273, XP_017612605, XP_017646781, XP_017620191, XP_017632331, XP_017611355, XP_017621849, XP_017643558, XP_017639081, XP_017644893, XP_017616087, XP_017623853, XP_017624386, XP_017647403, XP_017616883, XP_017624261, XP_017611766, XP_017638427, XP_017612972, XP_017606570, XP_017620986, XP_017618270	402	269	1211	1.3214411215298971	0.013967001893588793	0.004374931222979475	0.004374931222979475
GOTERM_BP_5	GO:0006412~translation	118	4.451150509241796	3.5339723025032134E-5	XP_017646884, XP_017623880, XP_017649239, XP_017632878, XP_017617127, XP_017631947, XP_017608094, XP_017627170, XP_017607551, XP_017608401, XP_017634257, XP_017611253, XP_017641994, XP_017611370, XP_017639022, XP_017621610, XP_017649763, XP_017644234, XP_017634923, XP_017616700, XP_017610617, XP_017626460, XP_017608496, XP_017637994, XP_017623918, XP_017634246, XP_017611261, XP_017602953, YP_005089032, YP_005089036, YP_005089035, YP_005088981, YP_005089034, XP_017617027, XP_017647155, XP_017612881, XP_017603530, XP_017605158, YP_005089038, XP_017622739, YP_005089037, XP_017607337, XP_017619154, XP_017649747, XP_017623259, XP_017619155, YP_005089045, XP_017624465, XP_017647281, XP_017616689, XP_017630505, XP_017608430, XP_017617817, XP_017643809, XP_017613984, XP_017638747, XP_017615128, XP_017649908, XP_017643886, XP_017635231, XP_017619680, YP_005088997, XP_017635073, XP_017623443, XP_017640980, XP_017631226, XP_017611219, XP_017607594, XP_017609775, XP_017631584, XP_017615411, XP_017634972, XP_017612540, XP_017607876, XP_017648909, XP_017606705, XP_017607929, YP_005089020, XP_017643342, XP_017646216, YP_005089022, XP_017611509, XP_017616589, XP_017621492, XP_017616228, XP_017634729, XP_017611865, XP_017634964, XP_017634841, XP_017640631, XP_017603202, XP_017612270, XP_017649779, XP_017617065, XP_017629447, XP_017629962, XP_017624273, XP_017612605, XP_017646781, XP_017620191, XP_017632331, XP_017611355, XP_017621849, XP_017643558, XP_017639081, XP_017644893, XP_017616087, XP_017623853, XP_017624386, XP_017647403, XP_017616883, XP_017624261, XP_017611766, XP_017638427, XP_017612972, XP_017606570, XP_017620986, XP_017618270	402	269	1211	1.3214411215298971	0.013967001893588793	0.004374931222979475	0.004374931222979475
GOTERM_BP_5	GO:0043043~peptide biosynthetic process	118	4.451150509241796	3.5339723025032134E-5	XP_017646884, XP_017623880, XP_017649239, XP_017632878, XP_017617127, XP_017631947, XP_017608094, XP_017627170, XP_017607551, XP_017608401, XP_017634257, XP_017611253, XP_017641994, XP_017611370, XP_017639022, XP_017621610, XP_017649763, XP_017644234, XP_017634923, XP_017616700, XP_017610617, XP_017626460, XP_017608496, XP_017637994, XP_017623918, XP_017634246, XP_017611261, XP_017602953, YP_005089032, YP_005089036, YP_005089035, YP_005088981, YP_005089034, XP_017617027, XP_017647155, XP_017612881, XP_017603530, XP_017605158, YP_005089038, XP_017622739, YP_005089037, XP_017607337, XP_017619154, XP_017649747, XP_017623259, XP_017619155, YP_005089045, XP_017624465, XP_017647281, XP_017616689, XP_017630505, XP_017608430, XP_017617817, XP_017643809, XP_017613984, XP_017638747, XP_017615128, XP_017649908, XP_017643886, XP_017635231, XP_017619680, YP_005088997, XP_017635073, XP_017623443, XP_017640980, XP_017631226, XP_017611219, XP_017607594, XP_017609775, XP_017631584, XP_017615411, XP_017634972, XP_017612540, XP_017607876, XP_017648909, XP_017606705, XP_017607929, YP_005089020, XP_017643342, XP_017646216, YP_005089022, XP_017611509, XP_017616589, XP_017621492, XP_017616228, XP_017634729, XP_017611865, XP_017634964, XP_017634841, XP_017640631, XP_017603202, XP_017612270, XP_017649779, XP_017617065, XP_017629447, XP_017629962, XP_017624273, XP_017612605, XP_017646781, XP_017620191, XP_017632331, XP_017611355, XP_017621849, XP_017643558, XP_017639081, XP_017644893, XP_017616087, XP_017623853, XP_017624386, XP_017647403, XP_017616883, XP_017624261, XP_017611766, XP_017638427, XP_017612972, XP_017606570, XP_017620986, XP_017618270	402	269	1211	1.3214411215298971	0.013967001893588793	0.004374931222979475	0.004374931222979475
GOTERM_BP_5	GO:0006518~peptide metabolic process	118	4.451150509241796	4.396915801989421E-5	XP_017646884, XP_017623880, XP_017649239, XP_017632878, XP_017617127, XP_017631947, XP_017608094, XP_017627170, XP_017607551, XP_017608401, XP_017634257, XP_017611253, XP_017641994, XP_017611370, XP_017639022, XP_017621610, XP_017649763, XP_017644234, XP_017634923, XP_017616700, XP_017610617, XP_017626460, XP_017608496, XP_017637994, XP_017623918, XP_017634246, XP_017611261, XP_017602953, YP_005089032, YP_005089036, YP_005089035, YP_005088981, YP_005089034, XP_017617027, XP_017647155, XP_017612881, XP_017603530, XP_017605158, YP_005089038, XP_017622739, YP_005089037, XP_017607337, XP_017619154, XP_017649747, XP_017623259, XP_017619155, YP_005089045, XP_017624465, XP_017647281, XP_017616689, XP_017630505, XP_017608430, XP_017617817, XP_017643809, XP_017613984, XP_017638747, XP_017615128, XP_017649908, XP_017643886, XP_017635231, XP_017619680, YP_005088997, XP_017635073, XP_017623443, XP_017640980, XP_017631226, XP_017611219, XP_017607594, XP_017609775, XP_017631584, XP_017615411, XP_017634972, XP_017612540, XP_017607876, XP_017648909, XP_017606705, XP_017607929, YP_005089020, XP_017643342, XP_017646216, YP_005089022, XP_017611509, XP_017616589, XP_017621492, XP_017616228, XP_017634729, XP_017611865, XP_017634964, XP_017634841, XP_017640631, XP_017603202, XP_017612270, XP_017649779, XP_017617065, XP_017629447, XP_017629962, XP_017624273, XP_017612605, XP_017646781, XP_017620191, XP_017632331, XP_017611355, XP_017621849, XP_017643558, XP_017639081, XP_017644893, XP_017616087, XP_017623853, XP_017624386, XP_017647403, XP_017616883, XP_017624261, XP_017611766, XP_017638427, XP_017612972, XP_017606570, XP_017620986, XP_017618270	402	270	1211	1.3165468951538601	0.01734787206039634	0.004374931222979475	0.004374931222979475
GOTERM_BP_5	GO:0034645~cellular macromolecule biosynthetic process	172	6.488117691437194	7.41241576079206E-4	XP_017646884, XP_017623880, XP_017629469, XP_017649239, XP_017632878, XP_017617127, XP_017631947, XP_017608094, XP_017627170, XP_017607551, XP_017608401, XP_017634257, XP_017611253, XP_017641873, XP_017641994, XP_017642689, XP_017611370, XP_017639022, XP_017649646, XP_017650116, XP_017621610, XP_017649763, XP_017644234, XP_017626501, XP_017633559, XP_017634923, XP_017634647, XP_017616700, XP_017610617, XP_017626460, XP_017608496, XP_017637994, XP_017623918, XP_017634246, XP_017611261, XP_017643821, XP_017620006, XP_017602953, XP_017603405, YP_005089032, YP_005089031, XP_017624079, YP_005089036, YP_005089035, YP_005088981, YP_005089034, XP_017617027, XP_017647155, XP_017628153, XP_017638599, XP_017630993, XP_017608421, XP_017612881, XP_017603530, XP_017605158, YP_005089038, XP_017622739, YP_005089037, XP_017607337, YP_005088989, XP_017646113, XP_017619154, XP_017649747, XP_017623259, XP_017619155, YP_005088991, XP_017623014, YP_005089045, YP_005088990, XP_017625312, XP_017624465, XP_017647281, XP_017616689, XP_017630505, XP_017615923, XP_017608430, XP_017617817, XP_017643809, XP_017613984, XP_017638747, XP_017615128, XP_017636167, XP_017633611, XP_017649908, XP_017643886, XP_017635231, XP_017619680, YP_005088997, XP_017635073, XP_017616475, XP_017623443, XP_017640980, XP_017631226, XP_017611219, XP_017607594, XP_017609775, XP_017631584, XP_017615411, XP_017634972, XP_017612540, XP_017623849, XP_017607876, XP_017648909, XP_017606705, XP_017607929, XP_017621531, YP_005089020, XP_017643342, XP_017627515, XP_017646332, XP_017625972, XP_017620202, XP_017646216, XP_017621495, YP_005089022, XP_017611509, XP_017616589, XP_017621492, XP_017627350, XP_017616228, XP_017634729, XP_017611865, XP_017615668, XP_017634964, XP_017612311, XP_017634841, XP_017640631, XP_017642414, XP_017603202, XP_017612270, XP_017623104, XP_017649779, XP_017617065, XP_017627424, XP_017629447, XP_017629962, XP_017624273, XP_017612605, XP_017646781, XP_017620191, XP_017632331, XP_017607650, XP_017611355, XP_017639525, XP_017621849, XP_017643558, XP_017641657, XP_017623987, XP_017639081, XP_017644893, XP_017616087, XP_017602936, XP_017623853, XP_017616484, XP_017624386, XP_017647403, XP_017623695, XP_017616883, XP_017624261, XP_017629397, XP_017631639, XP_017611766, XP_017611888, XP_017638427, XP_017612337, XP_017612972, XP_017630021, XP_017606570, XP_017631477, XP_017606734, XP_017620986, XP_017618270	402	439	1211	1.1802717619193328	0.25556038607373044	0.0590028294559048	0.0590028294559048
GOTERM_BP_5	GO:0044267~cellular protein metabolic process	143	5.394190871369295	9.80365336827682E-4	XP_017647335, XP_017646884, XP_017623880, XP_017627444, XP_017649239, XP_017632878, XP_017617127, XP_017631947, XP_017608094, XP_017627170, XP_017635225, XP_017607551, XP_017608401, XP_017634257, XP_017611253, XP_017641994, XP_017611370, XP_017639022, XP_017650116, XP_017621610, XP_017649763, XP_017644234, XP_017634923, XP_017616700, XP_017610617, XP_017626460, XP_017608496, XP_017603083, XP_017637994, XP_017623918, XP_017634246, XP_017611261, XP_017603365, XP_017602953, YP_005089032, YP_005089036, YP_005089035, YP_005088981, YP_005089034, XP_017617027, XP_017647155, XP_017649057, XP_017625290, XP_017615872, XP_017612881, XP_017603530, XP_017605158, YP_005089038, XP_017622739, YP_005089037, XP_017607337, XP_017619154, XP_017649747, XP_017623259, XP_017619155, YP_005089045, XP_017624102, XP_017624465, XP_017647281, XP_017616689, XP_017630505, XP_017608430, XP_017612414, XP_017617817, XP_017643809, XP_017613984, XP_017638747, XP_017615128, XP_017636167, YP_005088995, XP_017649908, XP_017643886, XP_017635231, YP_005088994, YP_005088999, XP_017619680, YP_005088997, XP_017635073, YP_005088998, XP_017623443, XP_017640980, XP_017631226, XP_017611219, XP_017607594, XP_017609775, XP_017631584, XP_017615411, XP_017634972, XP_017612540, XP_017607876, XP_017623724, XP_017648909, XP_017606705, XP_017607929, XP_017621531, YP_005089020, XP_017643342, XP_017617396, XP_017625212, XP_017646216, YP_005089022, XP_017611509, XP_017616589, XP_017621492, XP_017616228, XP_017634729, XP_017616989, XP_017611865, XP_017634964, XP_017634841, XP_017640631, XP_017603202, XP_017612270, XP_017607924, XP_017649779, XP_017617065, XP_017629447, XP_017629962, XP_017624273, XP_017612605, XP_017646781, XP_017620191, XP_017632331, XP_017611355, XP_017621849, XP_017643558, XP_017639081, XP_017644893, XP_017616087, XP_017623853, XP_017624386, XP_017627810, XP_017647403, XP_017616883, XP_017624261, XP_017616127, XP_017611766, XP_017638427, XP_017615845, XP_017612972, XP_017606570, XP_017620986, XP_017618270	402	357	1211	1.2066627646083308	0.32319818657038535	0.06503090067623624	0.06503090067623624
GOTERM_BP_5	GO:0043241~protein complex disassembly	8	0.3017729158807997	0.018508617649795944	XP_017613984, XP_017623374, XP_017639049, XP_017645521, XP_017616447, XP_017602953, XP_017639022, XP_017608094	402	10	1211	2.409950248756219	0.9994100389637005	1.0	1.0
GOTERM_BP_5	GO:0009142~nucleoside triphosphate biosynthetic process	10	0.37721614485099964	0.04685174724203124	XP_017642471, XP_017634980, XP_017638323, XP_017637731, YP_005088984, YP_005088985, YP_005089006, XP_017646472, YP_005088986, YP_005088987	402	16	1211	1.8827736318407962	0.9999999949200256	1.0	1.0
GOTERM_BP_5	GO:0006163~purine nucleotide metabolic process	20	0.7544322897019993	0.06496935343301366	YP_005089042, YP_005089052, XP_017623066, XP_017642135, XP_017627411, YP_005089055, XP_017646472, YP_005089050, XP_017649451, XP_017616717, XP_017634980, XP_017634242, XP_017638323, XP_017637731, YP_005088984, YP_005088985, XP_017608702, YP_005089006, YP_005088986, YP_005088987	402	42	1211	1.4344941956882258	0.9999999999975527	1.0	1.0
GOTERM_BP_5	GO:0009259~ribonucleotide metabolic process	21	0.7921539041870993	0.07094638654212604	YP_005089042, XP_017642471, YP_005089052, XP_017623066, XP_017642135, XP_017627411, YP_005089055, XP_017646472, YP_005089050, XP_017649451, XP_017616717, XP_017634980, XP_017634242, XP_017638323, XP_017637731, YP_005088984, YP_005088985, XP_017608702, YP_005089006, YP_005088986, YP_005088987	402	45	1211	1.4058043117744612	0.9999999999998094	1.0	1.0
