Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Plastid	52	1.9615239532251982	6.955459980374987E-8	YP_005089053, YP_005089052, YP_005089012, YP_005089055, YP_005089050, YP_005089015, XP_017622359, YP_005089019, YP_005089020, XP_017617396, XP_017606919, YP_005089022, YP_005089032, YP_005089031, YP_005089030, YP_005089036, YP_005088980, YP_005089035, XP_017616331, YP_005088981, YP_005089034, XP_017625290, YP_005088984, YP_005088985, YP_005089038, YP_005088982, YP_005089037, YP_005088983, YP_005088989, YP_005088986, YP_005088987, YP_005089042, XP_017623259, YP_005088991, YP_005089003, YP_005089047, YP_005089002, YP_005089046, YP_005089045, YP_005088990, YP_005089044, XP_017611888, YP_005088995, YP_005089007, YP_005088996, YP_005089006, YP_005088993, YP_005088994, YP_005089048, YP_005088999, YP_005088997, YP_005088998	1164	89	3855	1.9350167960152902	1.196332003050582E-5	5.981695583122489E-6	5.842586383514989E-6
UP_KEYWORDS	Chloroplast	52	1.9615239532251982	6.955459980374987E-8	YP_005089053, YP_005089052, YP_005089012, YP_005089055, YP_005089050, YP_005089015, XP_017622359, YP_005089019, YP_005089020, XP_017617396, XP_017606919, YP_005089022, YP_005089032, YP_005089031, YP_005089030, YP_005089036, YP_005088980, YP_005089035, XP_017616331, YP_005088981, YP_005089034, XP_017625290, YP_005088984, YP_005088985, YP_005089038, YP_005088982, YP_005089037, YP_005088983, YP_005088989, YP_005088986, YP_005088987, YP_005089042, XP_017623259, YP_005088991, YP_005089003, YP_005089047, YP_005089002, YP_005089046, YP_005089045, YP_005088990, YP_005089044, XP_017611888, YP_005088995, YP_005089007, YP_005088996, YP_005089006, YP_005088993, YP_005088994, YP_005089048, YP_005088999, YP_005088997, YP_005088998	1164	89	3855	1.9350167960152902	1.196332003050582E-5	5.981695583122489E-6	5.842586383514989E-6
UP_KEYWORDS	Ribosomal protein	69	2.602791399471897	1.155584720707091E-5	XP_017646884, XP_017623880, XP_017649239, XP_017640980, XP_017631226, XP_017631947, XP_017627170, XP_017607594, XP_017609775, XP_017631584, XP_017615411, XP_017634257, XP_017641994, XP_017606705, YP_005089020, XP_017644234, YP_005089022, XP_017634923, XP_017616589, XP_017616700, XP_017610617, XP_017616228, XP_017634729, XP_017611865, XP_017608496, XP_017623918, XP_017634246, XP_017611261, YP_005089032, YP_005089036, YP_005089035, YP_005088981, XP_017629447, YP_005089034, XP_017617027, XP_017629962, XP_017612605, XP_017646781, XP_017620191, XP_017632331, XP_017611355, XP_017612881, XP_017605158, YP_005089038, XP_017622739, YP_005089037, XP_017607337, XP_017643558, XP_017621849, XP_017639081, XP_017649747, XP_017644893, XP_017623853, XP_017624386, YP_005089045, XP_017616883, XP_017647281, XP_017616689, XP_017630505, XP_017638427, XP_017617817, XP_017612972, XP_017643809, XP_017615128, XP_017649908, XP_017620986, XP_017635231, XP_017619680, YP_005088997	1164	145	3855	1.5759864912904373	0.0019856432009265346	6.625352398720655E-4	6.471274435959709E-4
UP_KEYWORDS	Thylakoid	28	1.0562052055827988	2.911355208734183E-5	YP_005089053, YP_005089052, YP_005089030, YP_005089012, YP_005089050, XP_017625290, YP_005088984, YP_005088985, YP_005088982, YP_005088983, YP_005089015, YP_005088986, YP_005088987, YP_005089019, YP_005089042, XP_017617396, YP_005089047, YP_005089003, YP_005089002, YP_005089046, YP_005088995, YP_005088996, YP_005089006, YP_005088993, YP_005088994, YP_005089048, YP_005088999, YP_005088998	1164	45	3855	2.0607101947308135	0.0049950867081177686	0.0012518827397556987	0.0012227691876683568
UP_KEYWORDS	Ribonucleoprotein	79	2.980007544322897	1.103366202553534E-4	XP_017646884, XP_017629549, XP_017623880, XP_017641871, XP_017649239, XP_017640980, XP_017631226, XP_017631947, XP_017627170, XP_017607594, XP_017612620, XP_017609775, XP_017631584, XP_017615411, XP_017634257, XP_017639101, XP_017641994, XP_017606705, YP_005089020, XP_017644234, XP_017646019, YP_005089022, XP_017634923, XP_017629378, XP_017616589, XP_017616700, XP_017610617, XP_017616228, XP_017634729, XP_017611865, XP_017608496, XP_017623918, XP_017634246, XP_017611261, YP_005089032, YP_005089036, YP_005089035, YP_005088981, XP_017629447, YP_005089034, XP_017617027, XP_017629962, XP_017612605, XP_017646781, XP_017624270, XP_017620191, XP_017632331, XP_017611355, XP_017649180, XP_017612881, XP_017605158, YP_005089038, XP_017622739, YP_005089037, XP_017607337, XP_017643558, XP_017621849, XP_017639081, XP_017649747, XP_017644893, XP_017623853, XP_017624386, YP_005089045, XP_017616883, XP_017647281, XP_017616689, XP_017619519, XP_017630505, XP_017638427, XP_017607342, XP_017617817, XP_017612972, XP_017643809, XP_017615128, XP_017649908, XP_017620986, XP_017635231, XP_017619680, YP_005088997	1164	181	3855	1.4455060659565984	0.018799979533879352	0.0037955797367841566	0.0037073104405798744
UP_KEYWORDS	Plastoquinone	9	0.33949453036589966	0.004407872367537135	YP_005089042, YP_005089052, YP_005089003, YP_005089047, YP_005089046, YP_005089002, YP_005089055, YP_005089048, YP_005089050	1164	11	3855	2.7097000937207127	0.5322540146622411	0.12635900786939785	0.12342042629103978
UP_KEYWORDS	Quinone	8	0.3017729158807997	0.010859184793414802	YP_005089042, YP_005089052, YP_005089003, YP_005089047, YP_005089046, YP_005089002, YP_005089048, YP_005089050	1164	10	3855	2.649484536082474	0.8471036576140165	0.26682568349533514	0.26062043504195526
UP_KEYWORDS	Photosynthesis	17	0.6412674462466994	0.02763234694238675	YP_005089030, XP_017617396, XP_017606919, YP_005089012, XP_017630028, XP_017625290, YP_005088995, YP_005089007, YP_005088996, YP_005088993, YP_005088982, YP_005088994, YP_005088983, YP_005089015, YP_005088999, YP_005088998, YP_005089019	1164	34	3855	1.6559278350515465	0.9919305017233306	0.5940954592613151	0.5802792857901218
UP_KEYWORDS	Nucleotidyltransferase	9	0.33949453036589966	0.05125187278520791	YP_005089031, XP_017623534, YP_005088991, YP_005088990, XP_017608289, XP_017641873, XP_017603365, XP_017638992, YP_005088989	1164	15	3855	1.9871134020618557	0.9998825210003336	0.97948023545064	0.956701625323881
UP_KEYWORDS	ATP synthesis	5	0.18860807242549982	0.07166100347726409	YP_005088984, YP_005088985, YP_005089006, YP_005088986, YP_005088987	1164	6	3855	2.7598797250859106	0.9999972104497251	1.0	0.9824561403508771
