Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_2	GO:0032993~protein-DNA complex	7	1.1041009463722398	7.951546311239239E-4	XP_017625796, XP_017624048, XP_017618257, XP_017616455, XP_017603358, XP_017630726, XP_017616649	85	23	1624	5.814833759590793	0.022026970141195035	0.01796139321728144	0.01796139321728144
GOTERM_CC_2	GO:0000785~chromatin	7	1.1041009463722398	0.0012829566583772455	XP_017625796, XP_017624048, XP_017618257, XP_017616455, XP_017603358, XP_017630726, XP_017616649	85	25	1624	5.349647058823529	0.03530746968785692	0.01796139321728144	0.01796139321728144
GOTERM_CC_2	GO:0031224~intrinsic component of membrane	44	6.940063091482649	0.08856492938503024	XP_017647255, XP_017642001, XP_017621483, XP_017606809, XP_017646303, XP_017646480, XP_017634713, XP_017630534, XP_017631802, XP_017640821, XP_017634832, XP_017643138, XP_017645998, XP_017650088, XP_017643239, XP_017602920, XP_017621965, XP_017648874, XP_017617351, XP_017627019, XP_017626821, XP_017616462, XP_017643167, XP_017623850, XP_017617313, XP_017618424, XP_017610838, XP_017637718, XP_017607265, XP_017636569, XP_017636603, XP_017606795, XP_017610592, XP_017632882, XP_017606771, XP_017638601, XP_017634984, XP_017610033, XP_017615685, XP_017623816, XP_017602793, XP_017639675, XP_017637310, XP_017637490	85	706	1624	1.1907348775204134	0.9254718063362927	0.8214989695389436	0.8214989695389436
GOTERM_CC_2	GO:0048046~apoplast	2	0.31545741324921134	0.1915537811120452	XP_017624467, XP_017649510	85	4	1624	9.552941176470588	0.9974044359101053	0.8214989695389436	0.8214989695389436
GOTERM_CC_2	GO:0099513~polymeric cytoskeletal fiber	3	0.47318611987381703	0.19896054042041328	XP_017615176, XP_017606194, XP_017607417	85	16	1624	3.5823529411764703	0.9979940990478844	0.8214989695389436	0.8214989695389436
GOTERM_CC_2	GO:0044422~organelle part	19	2.996845425867508	0.2053747423847359	XP_017617351, XP_017625796, XP_017616046, XP_017624048, XP_017618257, XP_017616455, XP_017618424, XP_017630774, XP_017606194, XP_017630726, XP_017616649, XP_017640755, XP_017608652, XP_017644777, XP_017615176, XP_017643239, XP_017642668, XP_017603358, XP_017607417	85	285	1624	1.2737254901960786	0.9983984288884235	0.8214989695389436	0.8214989695389436
GOTERM_CC_2	GO:0044446~intracellular organelle part	19	2.996845425867508	0.2053747423847359	XP_017617351, XP_017625796, XP_017616046, XP_017624048, XP_017618257, XP_017616455, XP_017618424, XP_017630774, XP_017606194, XP_017630726, XP_017616649, XP_017640755, XP_017608652, XP_017644777, XP_017615176, XP_017643239, XP_017642668, XP_017603358, XP_017607417	85	285	1624	1.2737254901960786	0.9983984288884235	0.8214989695389436	0.8214989695389436
GOTERM_CC_2	GO:0044425~membrane part	44	6.940063091482649	0.2625897114628236	XP_017647255, XP_017642001, XP_017621483, XP_017606809, XP_017646303, XP_017646480, XP_017634713, XP_017630534, XP_017631802, XP_017640821, XP_017634832, XP_017643138, XP_017645998, XP_017650088, XP_017643239, XP_017602920, XP_017621965, XP_017648874, XP_017617351, XP_017627019, XP_017626821, XP_017616462, XP_017643167, XP_017623850, XP_017617313, XP_017618424, XP_017610838, XP_017637718, XP_017607265, XP_017636569, XP_017636603, XP_017606795, XP_017610592, XP_017632882, XP_017606771, XP_017638601, XP_017634984, XP_017610033, XP_017615685, XP_017623816, XP_017602793, XP_017639675, XP_017637310, XP_017637490	85	767	1624	1.096034972007056	0.9998023679408609	0.9190639901198827	0.9190639901198827
GOTERM_CC_2	GO:0043227~membrane-bounded organelle	26	4.100946372239748	0.4700041482837912	XP_017618257, XP_017616455, XP_017607751, XP_017643239, XP_017642668, XP_017603358, XP_017617351, XP_017619178, XP_017625796, XP_017620288, XP_017616046, XP_017624048, XP_017633879, XP_017618424, XP_017626560, XP_017634008, XP_017630726, XP_017616649, XP_017615329, XP_017637315, XP_017640755, XP_017608652, XP_017603300, XP_017644777, XP_017639312, XP_017643923	85	469	1624	1.0591747146619843	0.999999980961656	1.0	1.0
GOTERM_CC_2	GO:0043234~protein complex	13	2.050473186119874	0.5501449838098038	XP_017617351, XP_017625796, XP_017624048, XP_017618257, XP_017616455, XP_017630774, XP_017630726, XP_017616649, XP_017611652, XP_017608652, XP_017603300, XP_017642668, XP_017603358	85	232	1624	1.0705882352941178	0.999999999806789	1.0	1.0
GOTERM_CC_2	GO:0043228~non-membrane-bounded organelle	16	2.5236593059936907	0.6610661786012183	XP_017625796, XP_017624048, XP_017618257, XP_017616455, XP_017630774, XP_017606194, XP_017630726, XP_017616649, XP_017608654, XP_017607751, XP_017644777, XP_017615176, XP_017642668, XP_017603358, XP_017639297, XP_017607417	85	310	1624	0.9861100569259963	0.9999999999999303	1.0	1.0
GOTERM_CC_2	GO:0012505~endomembrane system	3	0.47318611987381703	0.9103873920711867	XP_017619178, XP_017643239, XP_017634008	85	75	1624	0.764235294117647	1.0	1.0	1.0
GOTERM_CC_2	GO:0043229~intracellular organelle	32	5.047318611987381	0.9448636429438438	XP_017618257, XP_017616455, XP_017630774, XP_017606194, XP_017607751, XP_017615176, XP_017643239, XP_017642668, XP_017603358, XP_017607417, XP_017617351, XP_017619178, XP_017625796, XP_017620288, XP_017616046, XP_017624048, XP_017633879, XP_017618424, XP_017626560, XP_017634008, XP_017630726, XP_017616649, XP_017615329, XP_017637315, XP_017640755, XP_017608654, XP_017608652, XP_017603300, XP_017644777, XP_017639312, XP_017643923, XP_017639297	85	726	1624	0.8421325555015395	1.0	1.0	1.0
GOTERM_CC_2	GO:0031090~organelle membrane	2	0.31545741324921134	0.9705175516017627	XP_017616046, XP_017618424	85	65	1624	0.5878733031674208	1.0	1.0	1.0
GOTERM_CC_2	GO:0005622~intracellular	44	6.940063091482649	0.989592592584639	XP_017645710, XP_017618257, XP_017616455, XP_017630774, XP_017612802, XP_017606194, XP_017631802, XP_017611599, XP_017636337, XP_017611652, XP_017607751, XP_017615176, XP_017643239, XP_017642668, XP_017603358, XP_017607417, XP_017622977, XP_017617351, XP_017627019, XP_017619178, XP_017620301, XP_017625796, XP_017619256, XP_017620288, XP_017616046, XP_017624048, XP_017633879, XP_017618424, XP_017626560, XP_017634008, XP_017630726, XP_017616649, XP_017615329, XP_017637315, XP_017640755, XP_017608654, XP_017612374, XP_017608652, XP_017603300, XP_017644777, XP_017639312, XP_017643923, XP_017639297, XP_017645805	85	1017	1624	0.8266065128116143	1.0	1.0	1.0
GOTERM_CC_2	GO:0044424~intracellular part	39	6.151419558359621	0.9923279281999038	XP_017645710, XP_017618257, XP_017616455, XP_017630774, XP_017612802, XP_017606194, XP_017611599, XP_017611652, XP_017607751, XP_017615176, XP_017643239, XP_017642668, XP_017603358, XP_017607417, XP_017622977, XP_017617351, XP_017619178, XP_017620301, XP_017625796, XP_017620288, XP_017616046, XP_017624048, XP_017633879, XP_017618424, XP_017626560, XP_017634008, XP_017630726, XP_017616649, XP_017615329, XP_017637315, XP_017640755, XP_017608654, XP_017608652, XP_017603300, XP_017644777, XP_017639312, XP_017643923, XP_017639297, XP_017645805	85	933	1624	0.7986381690940041	1.0	1.0	1.0
GOTERM_CC_2	GO:0044464~cell part	45	7.097791798107256	0.9924597316208781	XP_017645710, XP_017618257, XP_017616455, XP_017630774, XP_017612802, XP_017606194, XP_017631802, XP_017611599, XP_017636337, XP_017611652, XP_017607751, XP_017615176, XP_017643239, XP_017642668, XP_017603358, XP_017607417, XP_017622977, XP_017624467, XP_017617351, XP_017627019, XP_017619178, XP_017620301, XP_017625796, XP_017619256, XP_017620288, XP_017616046, XP_017624048, XP_017633879, XP_017618424, XP_017626560, XP_017634008, XP_017630726, XP_017616649, XP_017615329, XP_017637315, XP_017640755, XP_017608654, XP_017612374, XP_017608652, XP_017603300, XP_017644777, XP_017639312, XP_017643923, XP_017639297, XP_017645805	85	1045	1624	0.8227413453419646	1.0	1.0	1.0
GOTERM_CC_2	GO:1990904~ribonucleoprotein complex	2	0.31545741324921134	0.9999999835672816	XP_017608654, XP_017639297	85	304	1624	0.1256965944272446	1.0	1.0	1.0
GOTERM_CC_2	GO:0071944~cell periphery	1	0.15772870662460567	1.0	XP_017624467	85	34	1624	0.5619377162629758	1.0	1.0	1.0
GOTERM_CC_2	GO:0098796~membrane protein complex	1	0.15772870662460567	1.0	XP_017617351	85	103	1624	0.18549400342661335	1.0	1.0	1.0
GOTERM_CC_2	GO:0043233~organelle lumen	1	0.15772870662460567	1.0	XP_017608652	85	35	1624	0.5458823529411764	1.0	1.0	1.0
GOTERM_CC_2	GO:0098805~whole membrane	1	0.15772870662460567	1.0	XP_017618424	85	29	1624	0.6588235294117647	1.0	1.0	1.0
GOTERM_CC_2	GO:0030312~external encapsulating structure	1	0.15772870662460567	1.0	XP_017624467	85	15	1624	1.2737254901960784	1.0	1.0	1.0
GOTERM_CC_2	GO:0034357~photosynthetic membrane	1	0.15772870662460567	1.0	XP_017617351	85	65	1624	0.2939366515837104	1.0	1.0	1.0
GOTERM_CC_2	GO:0005789~endoplasmic reticulum membrane	1	0.15772870662460567	1.0	XP_017643239	85	30	1624	0.6368627450980392	1.0	1.0	1.0
GOTERM_CC_2	GO:0042175~nuclear outer membrane-endoplasmic reticulum membrane network	1	0.15772870662460567	1.0	XP_017643239	85	30	1624	0.6368627450980392	1.0	1.0	1.0
GOTERM_CC_2	GO:0031975~envelope	1	0.15772870662460567	1.0	XP_017616046	85	32	1624	0.5970588235294118	1.0	1.0	1.0
GOTERM_CC_2	GO:0008287~protein serine/threonine phosphatase complex	1	0.15772870662460567	1.0	XP_017611652	85	4	1624	4.776470588235294	1.0	1.0	1.0
