Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_5	GO:0005524~ATP binding	25	3.943217665615142	0.09688224424564543	XP_017645710, XP_017648923, XP_017627389, XP_017607751, XP_017606985, XP_017608348, XP_017642668, XP_017607417, XP_017608705, XP_017648874, XP_017645682, XP_017616462, XP_017620025, XP_017619256, XP_017627678, XP_017610838, XP_017640075, XP_017633595, XP_017609524, XP_017634368, XP_017623816, XP_017603300, XP_017626409, XP_017609849, XP_017645805	84	302	1343	1.3235178177231157	0.9995669151998314	1.0	1.0
GOTERM_MF_5	GO:0032559~adenyl ribonucleotide binding	25	3.943217665615142	0.09688224424564543	XP_017645710, XP_017648923, XP_017627389, XP_017607751, XP_017606985, XP_017608348, XP_017642668, XP_017607417, XP_017608705, XP_017648874, XP_017645682, XP_017616462, XP_017620025, XP_017619256, XP_017627678, XP_017610838, XP_017640075, XP_017633595, XP_017609524, XP_017634368, XP_017623816, XP_017603300, XP_017626409, XP_017609849, XP_017645805	84	302	1343	1.3235178177231157	0.9995669151998314	1.0	1.0
GOTERM_MF_5	GO:0030554~adenyl nucleotide binding	25	3.943217665615142	0.10610070469567187	XP_017645710, XP_017648923, XP_017627389, XP_017607751, XP_017606985, XP_017608348, XP_017642668, XP_017607417, XP_017608705, XP_017648874, XP_017645682, XP_017616462, XP_017620025, XP_017619256, XP_017627678, XP_017610838, XP_017640075, XP_017633595, XP_017609524, XP_017634368, XP_017623816, XP_017603300, XP_017626409, XP_017609849, XP_017645805	84	305	1343	1.3104996096799375	0.9998014210486772	1.0	1.0
GOTERM_MF_5	GO:0032553~ribonucleotide binding	29	4.574132492113565	0.16389820977927733	XP_017645710, XP_017648923, XP_017627389, XP_017606194, XP_017607751, XP_017615176, XP_017606985, XP_017608348, XP_017642668, XP_017607417, XP_017608705, XP_017648874, XP_017645682, XP_017616462, XP_017620025, XP_017619256, XP_017627678, XP_017610838, XP_017640075, XP_017633595, XP_017620509, XP_017609524, XP_017634368, XP_017623816, XP_017635031, XP_017603300, XP_017626409, XP_017609849, XP_017645805	84	382	1343	1.2137559212166542	0.9999987649183975	1.0	1.0
GOTERM_MF_5	GO:0016211~ammonia ligase activity	2	0.31545741324921134	0.17430508508060436	XP_017609524, XP_017608705	84	3	1343	10.658730158730158	0.9999995232503767	1.0	1.0
GOTERM_MF_5	GO:0032550~purine ribonucleoside binding	28	4.416403785488959	0.2036567655967837	XP_017645710, XP_017648923, XP_017627389, XP_017606194, XP_017607751, XP_017615176, XP_017606985, XP_017608348, XP_017642668, XP_017607417, XP_017608705, XP_017648874, XP_017645682, XP_017616462, XP_017620025, XP_017619256, XP_017627678, XP_017610838, XP_017640075, XP_017633595, XP_017609524, XP_017634368, XP_017623816, XP_017635031, XP_017603300, XP_017626409, XP_017609849, XP_017645805	84	376	1343	1.1906028368794326	0.9999999695475388	1.0	1.0
GOTERM_MF_5	GO:0032555~purine ribonucleotide binding	28	4.416403785488959	0.2036567655967837	XP_017645710, XP_017648923, XP_017627389, XP_017606194, XP_017607751, XP_017615176, XP_017606985, XP_017608348, XP_017642668, XP_017607417, XP_017608705, XP_017648874, XP_017645682, XP_017616462, XP_017620025, XP_017619256, XP_017627678, XP_017610838, XP_017640075, XP_017633595, XP_017609524, XP_017634368, XP_017623816, XP_017635031, XP_017603300, XP_017626409, XP_017609849, XP_017645805	84	376	1343	1.1906028368794326	0.9999999695475388	1.0	1.0
GOTERM_MF_5	GO:0017076~purine nucleotide binding	28	4.416403785488959	0.2173855958236962	XP_017645710, XP_017648923, XP_017627389, XP_017606194, XP_017607751, XP_017615176, XP_017606985, XP_017608348, XP_017642668, XP_017607417, XP_017608705, XP_017648874, XP_017645682, XP_017616462, XP_017620025, XP_017619256, XP_017627678, XP_017610838, XP_017640075, XP_017633595, XP_017609524, XP_017634368, XP_017623816, XP_017635031, XP_017603300, XP_017626409, XP_017609849, XP_017645805	84	379	1343	1.18117854001759	0.9999999918785121	1.0	1.0
GOTERM_MF_5	GO:0046914~transition metal ion binding	13	2.050473186119874	0.5882895563875432	XP_017616351, XP_017649510, XP_017647178, XP_017616565, XP_017646480, XP_017636337, XP_017608012, XP_017636603, XP_017615104, XP_017607222, XP_017646979, XP_017603710, XP_017637490	84	199	1343	1.0444484326393875	1.0	1.0	1.0
GOTERM_MF_5	GO:0004672~protein kinase activity	8	1.2618296529968454	0.6071650236476762	XP_017633595, XP_017616462, XP_017619256, XP_017627389, XP_017610838, XP_017608348, XP_017606985, XP_017609849	84	118	1343	1.0839386602098466	1.0	1.0	1.0
GOTERM_MF_5	GO:0016462~pyrophosphatase activity	7	1.1041009463722398	0.6638552707902741	XP_017647178, XP_017623816, XP_017635031, XP_017603300, XP_017615176, XP_017606194, XP_017607417	84	107	1343	1.0459501557632398	1.0	1.0	1.0
GOTERM_MF_5	GO:0005509~calcium ion binding	3	0.47318611987381703	0.6647343790841638	XP_017619178, XP_017631004, XP_017634008	84	36	1343	1.3323412698412698	1.0	1.0	1.0
GOTERM_MF_5	GO:0034062~RNA polymerase activity	2	0.31545741324921134	0.7570571762809384	XP_017638601, XP_017608652	84	22	1343	1.4534632034632033	1.0	1.0	1.0
GOTERM_MF_5	GO:0008324~cation transmembrane transporter activity	3	0.47318611987381703	0.8105915640449359	XP_017626821, XP_017606809, XP_017618424	84	48	1343	0.9992559523809523	1.0	1.0	1.0
GOTERM_MF_5	GO:0015035~protein disulfide oxidoreductase activity	2	0.31545741324921134	0.8126546608523919	XP_017607908, XP_017603122	84	26	1343	1.22985347985348	1.0	1.0	1.0
GOTERM_MF_5	GO:0015405~P-P-bond-hydrolysis-driven transmembrane transporter activity	2	0.31545741324921134	0.8355327370216237	XP_017623816, XP_017631802	84	28	1343	1.1420068027210883	1.0	1.0	1.0
GOTERM_MF_5	GO:0008236~serine-type peptidase activity	2	0.31545741324921134	0.8813463189502906	XP_017630815, XP_017612447	84	33	1343	0.9689754689754689	1.0	1.0	1.0
GOTERM_MF_5	GO:0016791~phosphatase activity	2	0.31545741324921134	0.9145085345038106	XP_017647360, XP_017631804	84	38	1343	0.8414786967418546	1.0	1.0	1.0
GOTERM_MF_5	GO:0005525~GTP binding	3	0.47318611987381703	0.9571299349263787	XP_017635031, XP_017615176, XP_017606194	84	76	1343	0.631109022556391	1.0	1.0	1.0
GOTERM_MF_5	GO:0019001~guanyl nucleotide binding	3	0.47318611987381703	0.9571299349263787	XP_017635031, XP_017615176, XP_017606194	84	76	1343	0.631109022556391	1.0	1.0	1.0
GOTERM_MF_5	GO:0032561~guanyl ribonucleotide binding	3	0.47318611987381703	0.9571299349263787	XP_017635031, XP_017615176, XP_017606194	84	76	1343	0.631109022556391	1.0	1.0	1.0
GOTERM_MF_5	GO:0004175~endopeptidase activity	2	0.31545741324921134	0.9703134995379417	XP_017612447, XP_017650088	84	54	1343	0.5921516754850088	1.0	1.0	1.0
GOTERM_MF_5	GO:0004014~adenosylmethionine decarboxylase activity	1	0.15772870662460567	1.0	XP_017620934	84	3	1343	5.329365079365079	1.0	1.0	1.0
GOTERM_MF_5	GO:0003879~ATP phosphoribosyltransferase activity	1	0.15772870662460567	1.0	XP_017612802	84	2	1343	7.994047619047619	1.0	1.0	1.0
GOTERM_MF_5	GO:0005471~ATP:ADP antiporter activity	1	0.15772870662460567	1.0	XP_017648874	84	3	1343	5.329365079365079	1.0	1.0	1.0
