Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_2	GO:0044710~single-organism metabolic process	9	5.056179775280898	0.3502191748549246	XP_017631904, XP_017607643, XP_017647117, XP_017627885, XP_017632058, XP_017624096, XP_017623340, XP_017627067, XP_017639690	29	360	1502	1.2948275862068965	0.9993437986011281	1.0	1.0
GOTERM_BP_2	GO:0044763~single-organism cellular process	11	6.179775280898876	0.5258840060209	XP_017631904, XP_017607643, XP_017647117, XP_017632058, XP_017623194, XP_017643559, XP_017634548, XP_017623340, XP_017650000, XP_017627067, XP_017641813	29	521	1502	1.0935204182937321	0.9999969094319877	1.0	1.0
GOTERM_BP_2	GO:0009056~catabolic process	3	1.6853932584269662	0.5381459197176435	XP_017631719, XP_017647117, XP_017639690	29	95	1502	1.6355716878402904	0.9999980203822405	1.0	1.0
GOTERM_BP_2	GO:0006457~protein folding	2	1.1235955056179776	0.5927784530480693	XP_017612112, XP_017645753	29	47	1502	2.2039618488628023	0.9999997671250689	1.0	1.0
GOTERM_BP_2	GO:0044238~primary metabolic process	17	9.550561797752808	0.685677129307014	XP_017631719, XP_017627305, XP_017631904, XP_017647117, XP_017627885, XP_017627003, XP_017623194, XP_017624096, XP_017626981, XP_017623340, XP_017628178, XP_017627067, XP_017607643, XP_017607896, XP_017632058, XP_017619161, XP_017639690	29	897	1502	0.9815861300119171	0.9999999971464092	1.0	1.0
GOTERM_BP_2	GO:0006950~response to stress	2	1.1235955056179776	0.7246231528907854	XP_017608215, XP_017645753	29	67	1502	1.546062789500772	0.9999999996988616	1.0	1.0
GOTERM_BP_2	GO:0016043~cellular component organization	3	1.6853932584269662	0.7448485928745932	XP_017629889, XP_017623194, XP_017640094	29	138	1502	1.1259370314842578	0.9999999999176686	1.0	1.0
GOTERM_BP_2	GO:0044085~cellular component biogenesis	2	1.1235955056179776	0.782812853797827	XP_017629889, XP_017640094	29	79	1502	1.3112178088171105	0.9999999999946767	1.0	1.0
GOTERM_BP_2	GO:0050794~regulation of cellular process	4	2.247191011235955	0.7908330615734906	XP_017627305, XP_017607896, XP_017643559, XP_017650000	29	216	1502	0.9591315453384419	0.9999999999971921	1.0	1.0
GOTERM_BP_2	GO:0019222~regulation of metabolic process	2	1.1235955056179776	0.9010049539809493	XP_017627305, XP_017607896	29	118	1502	0.8778492109877264	1.0	1.0	1.0
GOTERM_BP_2	GO:0009058~biosynthetic process	10	5.617977528089887	0.9052952634991936	XP_017631904, XP_017627305, XP_017607643, XP_017607896, XP_017632058, XP_017626981, XP_017628178, XP_017623340, XP_017627067, XP_017619161	29	637	1502	0.8130785470686949	1.0	1.0	1.0
GOTERM_BP_2	GO:0071704~organic substance metabolic process	16	8.98876404494382	0.9258686364502262	XP_017631719, XP_017627305, XP_017631904, XP_017647117, XP_017627885, XP_017623194, XP_017624096, XP_017626981, XP_017623340, XP_017628178, XP_017627067, XP_017607643, XP_017607896, XP_017632058, XP_017619161, XP_017639690	29	974	1502	0.8508107342632586	1.0	1.0	1.0
GOTERM_BP_2	GO:0044237~cellular metabolic process	15	8.426966292134832	0.9304886003192202	YP_005089010, XP_017631719, XP_017627305, XP_017631904, XP_017647117, XP_017622331, XP_017626981, XP_017623340, XP_017628178, XP_017627067, XP_017637377, XP_017607643, XP_017607896, XP_017632058, XP_017619161	29	928	1502	0.8371730083234247	1.0	1.0	1.0
GOTERM_BP_2	GO:0006807~nitrogen compound metabolic process	8	4.49438202247191	0.9910885368716178	XP_017631904, XP_017627305, XP_017607896, XP_017632058, XP_017626981, XP_017628178, XP_017623340, XP_017619161	29	671	1502	0.617503468831903	1.0	1.0	1.0
GOTERM_BP_2	GO:0044700~single organism signaling	1	0.5617977528089888	1.0	XP_017643559	29	70	1502	0.7399014778325123	1.0	1.0	1.0
GOTERM_BP_2	GO:0065008~regulation of biological quality	1	0.5617977528089888	1.0	XP_017650000	29	49	1502	1.0570021111893033	1.0	1.0	1.0
GOTERM_BP_2	GO:0051716~cellular response to stimulus	1	0.5617977528089888	1.0	XP_017643559	29	90	1502	0.5754789272030651	1.0	1.0	1.0
