Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_5	GO:0015630~microtubule cytoskeleton	2	1.1235955056179776	0.34704317259251544	XP_017634548, XP_017641813	21	20	958	4.561904761904762	0.9999999991501566	1.0	1.0
GOTERM_CC_5	GO:0044430~cytoskeletal part	2	1.1235955056179776	0.36096549300684194	XP_017634548, XP_017641813	21	21	958	4.344671201814059	0.999999999704409	1.0	1.0
GOTERM_CC_5	GO:0005856~cytoskeleton	2	1.1235955056179776	0.46262472294684265	XP_017634548, XP_017641813	21	29	958	3.146141215106732	0.9999999999999393	1.0	1.0
GOTERM_CC_5	GO:0009536~plastid	3	1.6853932584269662	0.6000854777148747	XP_017626207, YP_005089010, XP_017626209	21	94	958	1.4559270516717324	1.0	1.0	1.0
GOTERM_CC_5	GO:0009507~chloroplast	3	1.6853932584269662	0.6000854777148747	XP_017626207, YP_005089010, XP_017626209	21	94	958	1.4559270516717324	1.0	1.0	1.0
GOTERM_CC_5	GO:0043231~intracellular membrane-bounded organelle	10	5.617977528089887	0.7193677140169346	XP_017626207, YP_005089010, XP_017621389, XP_017629889, XP_017607896, XP_017619161, XP_017626209, XP_017643272, XP_017627491, XP_017640094	21	469	958	0.9726875824956849	1.0	1.0	1.0
GOTERM_CC_5	GO:0005634~nucleus	5	2.8089887640449436	0.7283294068966046	XP_017621389, XP_017629889, XP_017607896, XP_017619161, XP_017643272	21	225	958	1.0137566137566136	1.0	1.0	1.0
GOTERM_CC_5	GO:0005739~mitochondrion	2	1.1235955056179776	0.735395207563013	XP_017627491, XP_017640094	21	61	958	1.4957064793130366	1.0	1.0	1.0
GOTERM_CC_5	GO:0005737~cytoplasm	12	6.741573033707865	0.8852811687640131	XP_017626207, YP_005089010, XP_017631904, XP_017637377, XP_017647117, XP_017622331, XP_017609759, XP_017626981, XP_017628178, XP_017626209, XP_017627491, XP_017640094	21	625	958	0.8758857142857143	1.0	1.0	1.0
GOTERM_CC_5	GO:0044446~intracellular organelle part	5	2.8089887640449436	0.8909861758115124	YP_005089010, XP_017629889, XP_017634548, XP_017641813, XP_017627491	21	285	958	0.8003341687552213	1.0	1.0	1.0
GOTERM_CC_5	GO:0043229~intracellular organelle	14	7.865168539325842	0.9149582645602551	XP_017626207, YP_005089010, XP_017621389, XP_017629889, XP_017626981, XP_017634548, XP_017628178, XP_017643272, XP_017627491, XP_017640094, XP_017607896, XP_017619161, XP_017626209, XP_017641813	21	726	958	0.8797061524334251	1.0	1.0	1.0
GOTERM_CC_5	GO:0043232~intracellular non-membrane-bounded organelle	5	2.8089887640449436	0.9301795436961275	XP_017629889, XP_017626981, XP_017634548, XP_017628178, XP_017641813	21	310	958	0.7357910906298002	1.0	1.0	1.0
