Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Transferase	11	6.179775280898876	0.1557254232321138	XP_017621500, XP_017623908, XP_017607643, XP_017632058, XP_017609759, XP_017643812, XP_017623340, XP_017640817, XP_017641911, XP_017631507, XP_017642759	74	369	3855	1.552955394418809	0.999954023173163	1.0	1.0
UP_KEYWORDS	Iron	3	1.6853932584269662	0.34299056183402443	XP_017612689, XP_017631904, XP_017621218	74	64	3855	2.441934121621622	0.9999999999827526	1.0	1.0
UP_KEYWORDS	DNA-binding	3	1.6853932584269662	0.34993823585218575	XP_017629889, XP_017607896, XP_017643272	74	65	3855	2.4043659043659047	0.9999999999907887	1.0	1.0
UP_KEYWORDS	Glycosidase	2	1.1235955056179776	0.36885554306564466	XP_017631719, XP_017623194	74	24	3855	4.341216216216216	0.9999999999983872	1.0	1.0
UP_KEYWORDS	Nucleus	4	2.247191011235955	0.4035454794864298	XP_017629889, XP_017607896, XP_017619161, XP_017643272	74	121	3855	1.722135358498995	0.9999999999999426	1.0	1.0
UP_KEYWORDS	Metal-binding	5	2.8089887640449436	0.5337205653768898	XP_017612689, XP_017631904, XP_017619997, XP_017625969, XP_017621218	74	201	3855	1.2958854376764826	1.0	1.0	1.0
UP_KEYWORDS	Isomerase	2	1.1235955056179776	0.5539392209219562	XP_017612112, XP_017624096	74	42	3855	2.480694980694981	1.0	1.0	1.0
UP_KEYWORDS	Hydrolase	5	2.8089887640449436	0.6353972622571242	XP_017631719, XP_017616173, XP_017649963, XP_017623194, XP_017639690	74	228	3855	1.142425320056899	1.0	1.0	1.0
UP_KEYWORDS	Transmembrane helix	13	7.303370786516854	0.6444232345075633	YP_005089010, XP_017616063, XP_017631904, XP_017640094, XP_017606311, XP_017631586, XP_017607896, XP_017633840, XP_017643812, XP_017636353, XP_017641416, XP_017641911, XP_017642759	74	675	3855	1.0033033033033034	1.0	1.0	1.0
UP_KEYWORDS	Transmembrane	13	7.303370786516854	0.6742181788226775	YP_005089010, XP_017616063, XP_017631904, XP_017640094, XP_017606311, XP_017631586, XP_017607896, XP_017633840, XP_017643812, XP_017636353, XP_017641416, XP_017641911, XP_017642759	74	689	3855	0.9829168791432943	1.0	1.0	1.0
