Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_2	GO:0044710~single-organism metabolic process	20	7.2727272727272725	0.006200807911515907	XP_017619693, XP_017627119, XP_017606828, XP_017622980, XP_017627641, XP_017616126, XP_017610744, XP_017646263, XP_017608492, XP_017649431, XP_017609795, XP_017615977, XP_017640557, XP_017607566, XP_017631881, XP_017639634, XP_017623859, XP_017608536, XP_017603116, XP_017635094	47	360	1502	1.7754137115839244	0.15459801654918437	0.1674218136109295	0.1674218136109295
GOTERM_BP_2	GO:0044763~single-organism cellular process	22	8.0	0.07818769190644416	XP_017619693, XP_017606828, XP_017622980, XP_017627641, XP_017616126, XP_017610744, XP_017646263, XP_017608492, XP_017649431, XP_017632934, XP_017609795, XP_017615977, XP_017627094, XP_017640557, XP_017607566, XP_017607126, XP_017609149, XP_017623859, XP_017608536, XP_017608712, XP_017603116, XP_017635094	47	521	1502	1.3494507289582227	0.8889937148998425	1.0	1.0
GOTERM_BP_2	GO:0042221~response to chemical	3	1.090909090909091	0.13343214627931776	XP_017640934, XP_017602945, XP_017607126	47	21	1502	4.565349544072948	0.9790748052818018	1.0	1.0
GOTERM_BP_2	GO:1902578~single-organism localization	5	1.8181818181818181	0.3311632836445756	XP_017610013, XP_017627094, XP_017609149, XP_017606687, XP_017648396	47	95	1502	1.6819708846584547	0.9999807848905188	1.0	1.0
GOTERM_BP_2	GO:0009719~response to endogenous stimulus	2	0.7272727272727273	0.33369637662942425	XP_017640934, XP_017607126	47	13	1502	4.916530278232406	0.9999826560215863	1.0	1.0
GOTERM_BP_2	GO:0006950~response to stress	4	1.4545454545454546	0.3376669864913187	XP_017602945, XP_017632905, XP_017607566, XP_017641711	47	67	1502	1.9079072721498886	0.9999852407981478	1.0	1.0
GOTERM_BP_2	GO:0071704~organic substance metabolic process	32	11.636363636363637	0.422386291794677	XP_017622454, XP_017606828, XP_017627641, XP_017610744, XP_017646263, XP_017608492, XP_017649431, XP_017632934, XP_017612966, XP_017637447, XP_017609795, XP_017615977, XP_017603593, XP_017639302, XP_017637446, XP_017619693, XP_017632905, XP_017627119, XP_017622980, XP_017616126, XP_017647262, XP_017631570, XP_017640557, XP_017607566, XP_017607126, XP_017639338, XP_017638248, XP_017639634, XP_017623859, XP_017608536, XP_017621117, XP_017619262, XP_017635094	47	974	1502	1.0499366507929573	0.999999633383276	1.0	1.0
GOTERM_BP_2	GO:0065008~regulation of biological quality	3	1.090909090909091	0.44765211551226397	XP_017640557, XP_017627641, XP_017649431	47	49	1502	1.9565783760312636	0.9999998904171062	1.0	1.0
GOTERM_BP_2	GO:0009058~biosynthetic process	21	7.636363636363637	0.4981444064746056	XP_017622454, XP_017619693, XP_017627119, XP_017606828, XP_017622980, XP_017616126, XP_017610744, XP_017646263, XP_017608492, XP_017647262, XP_017637447, XP_017609795, XP_017631570, XP_017639302, XP_017607566, XP_017607126, XP_017638248, XP_017637446, XP_017623859, XP_017608536, XP_017621117, XP_017619262	47	637	1502	1.0535422024783727	0.9999999917656985	1.0	1.0
GOTERM_BP_2	GO:0051234~establishment of localization	7	2.5454545454545454	0.573762802754136	XP_017610013, XP_017627094, XP_017609149, XP_017606687, XP_017622822, XP_017648396, XP_017616391	47	197	1502	1.1355437952262661	0.9999999998998649	1.0	1.0
GOTERM_BP_2	GO:0051641~cellular localization	3	1.090909090909091	0.6015216820570699	XP_017609149, XP_017622822, XP_017616391	47	65	1502	1.4749590834697217	0.9999999999837472	1.0	1.0
GOTERM_BP_2	GO:0050794~regulation of cellular process	7	2.5454545454545454	0.6688189260023877	XP_017637447, XP_017640557, XP_017607126, XP_017637446, XP_017627641, XP_017649431, XP_017632934, XP_017619262	47	216	1502	1.0356579984239558	0.9999999999998899	1.0	1.0
GOTERM_BP_2	GO:0071554~cell wall organization or biogenesis	2	0.7272727272727273	0.6780095151955134	XP_017617131, XP_017612966	47	36	1502	1.7754137115839244	0.9999999999999485	1.0	1.0
GOTERM_BP_2	GO:0019222~regulation of metabolic process	4	1.4545454545454546	0.7156134023262406	XP_017637447, XP_017607126, XP_017637446, XP_017632934, XP_017619262	47	118	1502	1.0833032816444284	0.9999999999999982	1.0	1.0
GOTERM_BP_2	GO:0044238~primary metabolic process	27	9.818181818181818	0.7281562753422843	XP_017622454, XP_017606828, XP_017610744, XP_017646263, XP_017608492, XP_017632934, XP_017612966, XP_017637447, XP_017609795, XP_017615977, XP_017603593, XP_017639302, XP_017637446, XP_017619693, XP_017632905, XP_017627119, XP_017622980, XP_017647262, XP_017631570, XP_017607126, XP_017639338, XP_017638248, XP_017639634, XP_017623859, XP_017608536, XP_017621117, XP_017619262, XP_017635094	47	897	1502	0.9619298370454709	0.9999999999999994	1.0	1.0
GOTERM_BP_2	GO:0033036~macromolecule localization	3	1.090909090909091	0.7283252564109293	XP_017609149, XP_017648396, XP_017616391	47	82	1502	1.169174883238194	0.9999999999999994	1.0	1.0
GOTERM_BP_2	GO:0009056~catabolic process	3	1.090909090909091	0.8012978980744825	XP_017615977, XP_017606828, XP_017612966	47	95	1502	1.0091825307950728	1.0	1.0	1.0
GOTERM_BP_2	GO:0044237~cellular metabolic process	26	9.454545454545455	0.885774415748372	XP_017622454, XP_017606828, XP_017610744, XP_017646263, XP_017608492, XP_017632934, XP_017637447, XP_017609795, XP_017615977, XP_017639302, XP_017637446, XP_017603116, XP_017619693, XP_017632905, XP_017622980, XP_017616126, XP_017647262, XP_017631570, XP_017607566, XP_017607126, XP_017639338, XP_017638248, XP_017623859, XP_017608536, XP_017621117, XP_017619262, XP_017635094	47	928	1502	0.8953595011005137	1.0	1.0	1.0
GOTERM_BP_2	GO:0006807~nitrogen compound metabolic process	18	6.545454545454546	0.8894195437559176	XP_017622454, XP_017619693, XP_017606828, XP_017616126, XP_017610744, XP_017647262, XP_017637447, XP_017615977, XP_017631570, XP_017639302, XP_017607566, XP_017607126, XP_017639338, XP_017638248, XP_017637446, XP_017608536, XP_017621117, XP_017619262, XP_017635094	47	671	1502	0.8572787519421632	1.0	1.0	1.0
GOTERM_BP_2	GO:0016043~cellular component organization	3	1.090909090909091	0.9357180266880495	XP_017617131, XP_017609149, XP_017612966	47	138	1502	0.6947271045328399	1.0	1.0	1.0
GOTERM_BP_2	GO:0009628~response to abiotic stimulus	1	0.36363636363636365	1.0	XP_017602945	47	5	1502	6.391489361702128	1.0	1.0	1.0
