Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_4	GO:0043231~intracellular membrane-bounded organelle	15	5.454545454545454	0.2761699986528237	XP_017647247, XP_017620373, XP_017650108, XP_017603827, XP_017633736, XP_017610744, XP_017612789, XP_017637447, XP_017615977, XP_017627094, XP_017607566, XP_017607126, XP_017609149, XP_017631881, XP_017638248, XP_017637446	40	469	1543	1.2337420042643925	0.9999999305830433	1.0	1.0
GOTERM_CC_4	GO:0030312~external encapsulating structure	2	0.7272727272727273	0.3200806368798934	XP_017617131, XP_017612966	40	15	1543	5.143333333333334	0.9999999971468285	1.0	1.0
GOTERM_CC_4	GO:0005618~cell wall	2	0.7272727272727273	0.3200806368798934	XP_017617131, XP_017612966	40	15	1543	5.143333333333334	0.9999999971468285	1.0	1.0
GOTERM_CC_4	GO:0044446~intracellular organelle part	9	3.272727272727273	0.4343601405576142	XP_017647247, XP_017627094, XP_017603827, XP_017631570, XP_017607566, XP_017609149, XP_017608712, XP_017612789, XP_017647262	40	285	1543	1.218157894736842	0.9999999999997604	1.0	1.0
GOTERM_CC_4	GO:0005739~mitochondrion	3	1.090909090909091	0.4618382971813426	XP_017627094, XP_017631881, XP_017612789	40	61	1543	1.8971311475409836	0.9999999999999811	1.0	1.0
GOTERM_CC_4	GO:0005634~nucleus	7	2.5454545454545454	0.513206732667713	XP_017647247, XP_017637447, XP_017620373, XP_017650108, XP_017603827, XP_017607126, XP_017638248, XP_017637446	40	225	1543	1.200111111111111	0.9999999999999999	1.0	1.0
GOTERM_CC_4	GO:0016021~integral component of membrane	19	6.909090909090909	0.5428178345579144	XP_017623425, XP_017618594, XP_017623585, XP_017643642, XP_017649019, XP_017630984, XP_017640992, XP_017618348, XP_017633736, XP_017629532, XP_017606071, XP_017643194, XP_017635118, XP_017634455, XP_017639541, XP_017638100, XP_017645989, XP_017606687, XP_017639377	40	706	1543	1.0381373937677054	1.0	1.0	1.0
GOTERM_CC_4	GO:0070013~intracellular organelle lumen	2	0.7272727272727273	0.5959291427006574	XP_017647247, XP_017612789	40	35	1543	2.204285714285714	1.0	1.0	1.0
GOTERM_CC_4	GO:0043229~intracellular organelle	19	6.909090909090909	0.6075023930088029	XP_017647247, XP_017620373, XP_017650108, XP_017603827, XP_017633736, XP_017610744, XP_017612789, XP_017647262, XP_017637447, XP_017615977, XP_017627094, XP_017631570, XP_017607566, XP_017607126, XP_017609149, XP_017631881, XP_017638248, XP_017637446, XP_017608712, XP_017621117	40	726	1543	1.009538567493113	1.0	1.0	1.0
GOTERM_CC_4	GO:0044429~mitochondrial part	2	0.7272727272727273	0.6548043744724674	XP_017627094, XP_017612789	40	41	1543	1.8817073170731708	1.0	1.0	1.0
