Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_3	GO:0016667~oxidoreductase activity, acting on a sulfur group of donors	4	1.4545454545454546	0.10717724333466472	XP_017632905, XP_017640557, XP_017627641, XP_017649431	63	37	1979	3.395967395967396	0.9892697448482819	1.0	1.0
GOTERM_MF_3	GO:0046906~tetrapyrrole binding	4	1.4545454545454546	0.26362218675243354	XP_017631881, XP_017638100, XP_017603698, XP_017643194	63	57	1979	2.2043998886104146	0.9999951691027904	1.0	1.0
GOTERM_MF_3	GO:0016765~transferase activity, transferring alkyl or aryl (other than methyl) groups	2	0.7272727272727273	0.3397078198034231	XP_017610744, XP_017608492	63	13	1979	4.832722832722832	0.999999938419082	1.0	1.0
GOTERM_MF_3	GO:0016866~intramolecular transferase activity	2	0.7272727272727273	0.3605308692292782	XP_017609795, XP_017639338	63	14	1979	4.487528344671202	0.999999982908374	1.0	1.0
GOTERM_MF_3	GO:0016810~hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	2	0.7272727272727273	0.3605308692292782	XP_017616126, XP_017608536	63	14	1979	4.487528344671202	0.999999982908374	1.0	1.0
GOTERM_MF_3	GO:0016817~hydrolase activity, acting on acid anhydrides	5	1.8181818181818181	0.4700551583522826	XP_017609149, XP_017629258, XP_017608536, XP_017608712, XP_017606687	63	112	1979	1.4023526077097506	0.999999999990684	1.0	1.0
GOTERM_MF_3	GO:0016788~hydrolase activity, acting on ester bonds	4	1.4545454545454546	0.5113642454751837	XP_017631097, XP_017646263, XP_017612646, XP_017612966	63	86	1979	1.4610557401255075	0.9999999999996374	1.0	1.0
GOTERM_MF_3	GO:0016830~carbon-carbon lyase activity	2	0.7272727272727273	0.5362789361588417	XP_017619693, XP_017616126	63	24	1979	2.6177248677248675	0.9999999999999553	1.0	1.0
GOTERM_MF_3	GO:0004497~monooxygenase activity	2	0.7272727272727273	0.5790344718180429	XP_017638100, XP_017643194	63	27	1979	2.326866549088771	0.9999999999999991	1.0	1.0
GOTERM_MF_3	GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	2	0.7272727272727273	0.6053580818238449	XP_017638100, XP_017643194	63	29	1979	2.166392993979201	0.9999999999999999	1.0	1.0
GOTERM_MF_3	GO:0043169~cation binding	13	4.7272727272727275	0.705620415607491	XP_017626428, XP_017624206, XP_017648901, XP_017643720, XP_017640651, XP_017630878, XP_017612646, XP_017643194, XP_017610013, XP_017607566, XP_017631881, XP_017638100, XP_017650173	63	424	1979	0.9631251871817909	1.0	1.0	1.0
GOTERM_MF_3	GO:0016798~hydrolase activity, acting on glycosyl bonds	2	0.7272727272727273	0.7324979514837203	XP_017603593, XP_017619456	63	41	1979	1.5323267518389467	1.0	1.0	1.0
GOTERM_MF_3	GO:0016746~transferase activity, transferring acyl groups	2	0.7272727272727273	0.7938650241985997	XP_017623859, XP_017624283	63	49	1979	1.2821509556203432	1.0	1.0	1.0
GOTERM_MF_3	GO:0008233~peptidase activity	3	1.090909090909091	0.8594707309915989	XP_017630984, XP_017620963, XP_017606071	63	107	1979	0.8807298620382732	1.0	1.0	1.0
GOTERM_MF_3	GO:0016741~transferase activity, transferring one-carbon groups	2	0.7272727272727273	0.9093473090496321	XP_017618348, XP_017639021	63	74	1979	0.848991848991849	1.0	1.0	1.0
GOTERM_MF_3	GO:0003676~nucleic acid binding	11	4.0	0.9541281827712026	XP_017622454, XP_017637447, XP_017603827, XP_017639050, XP_017631570, XP_017615930, XP_017639302, XP_017639338, XP_017637446, XP_017606150, XP_017619262, XP_017647262	63	476	1979	0.7259237028144591	1.0	1.0	1.0
GOTERM_MF_3	GO:0016772~transferase activity, transferring phosphorus-containing groups	4	1.4545454545454546	0.9765160688724617	XP_017631097, XP_017639302, XP_017608621, XP_017638248	63	221	1979	0.5685556273791568	1.0	1.0	1.0
GOTERM_MF_3	GO:0001882~nucleoside binding	4	1.4545454545454546	0.9997979332020833	XP_017609149, XP_017629258, XP_017608712, XP_017606071	63	378	1979	0.3324095070126816	1.0	1.0	1.0
GOTERM_MF_3	GO:0032553~ribonucleotide binding	4	1.4545454545454546	0.9998232013463183	XP_017609149, XP_017629258, XP_017608712, XP_017606071	63	382	1979	0.3289287791905593	1.0	1.0	1.0
GOTERM_MF_3	GO:1901265~nucleoside phosphate binding	5	1.8181818181818181	0.9999884288169221	XP_017609149, XP_017639634, XP_017629258, XP_017608712, XP_017606071	63	515	1979	0.3049776544922176	1.0	1.0	1.0
GOTERM_MF_3	GO:0000166~nucleotide binding	5	1.8181818181818181	0.9999884288169221	XP_017609149, XP_017639634, XP_017629258, XP_017608712, XP_017606071	63	515	1979	0.3049776544922176	1.0	1.0	1.0
GOTERM_MF_3	GO:0050662~coenzyme binding	1	0.36363636363636365	1.0	XP_017639634	63	52	1979	0.604090354090354	1.0	1.0	1.0
GOTERM_MF_3	GO:0051536~iron-sulfur cluster binding	1	0.36363636363636365	1.0	XP_017603116	63	29	1979	1.0831964969896004	1.0	1.0	1.0
GOTERM_MF_3	GO:0022804~active transmembrane transporter activity	1	0.36363636363636365	1.0	XP_017606687	63	45	1979	0.6980599647266313	1.0	1.0	1.0
GOTERM_MF_3	GO:0016661~oxidoreductase activity, acting on other nitrogenous compounds as donors	1	0.36363636363636365	1.0	XP_017615977	63	2	1979	15.706349206349204	1.0	1.0	1.0
GOTERM_MF_3	GO:0003712~transcription cofactor activity	1	0.36363636363636365	1.0	XP_017647247	63	10	1979	3.1412698412698408	1.0	1.0	1.0
GOTERM_MF_3	GO:0022891~substrate-specific transmembrane transporter activity	1	0.36363636363636365	1.0	XP_017649019	63	71	1979	0.44243237200983676	1.0	1.0	1.0
GOTERM_MF_3	GO:0001076~transcription factor activity, RNA polymerase II transcription factor binding	1	0.36363636363636365	1.0	XP_017647247	63	5	1979	6.2825396825396815	1.0	1.0	1.0
GOTERM_MF_3	GO:0016860~intramolecular oxidoreductase activity	1	0.36363636363636365	1.0	XP_017635094	63	7	1979	4.487528344671202	1.0	1.0	1.0
GOTERM_MF_3	GO:0016872~intramolecular lyase activity	1	0.36363636363636365	1.0	XP_017622980	63	4	1979	7.853174603174602	1.0	1.0	1.0
GOTERM_MF_3	GO:0016229~steroid dehydrogenase activity	1	0.36363636363636365	1.0	XP_017627119	63	2	1979	15.706349206349204	1.0	1.0	1.0
GOTERM_MF_3	GO:0016846~carbon-sulfur lyase activity	1	0.36363636363636365	1.0	XP_017640651	63	4	1979	7.853174603174602	1.0	1.0	1.0
GOTERM_MF_3	GO:0004857~enzyme inhibitor activity	1	0.36363636363636365	1.0	XP_017612966	63	6	1979	5.235449735449735	1.0	1.0	1.0
GOTERM_MF_3	GO:0017171~serine hydrolase activity	1	0.36363636363636365	1.0	XP_017620963	63	33	1979	0.9518999518999519	1.0	1.0	1.0
GOTERM_MF_3	GO:0016903~oxidoreductase activity, acting on the aldehyde or oxo group of donors	1	0.36363636363636365	1.0	XP_017639634	63	12	1979	2.6177248677248675	1.0	1.0	1.0
GOTERM_MF_3	GO:0043168~anion binding	1	0.36363636363636365	1.0	XP_017608621	63	32	1979	0.9816468253968252	1.0	1.0	1.0
GOTERM_MF_3	GO:0043021~ribonucleoprotein complex binding	1	0.36363636363636365	1.0	XP_017609149	63	9	1979	3.4902998236331566	1.0	1.0	1.0
GOTERM_MF_3	GO:0016840~carbon-nitrogen lyase activity	1	0.36363636363636365	1.0	XP_017606828	63	6	1979	5.235449735449735	1.0	1.0	1.0
GOTERM_MF_3	GO:0016627~oxidoreductase activity, acting on the CH-CH group of donors	1	0.36363636363636365	1.0	XP_017616961	63	11	1979	2.8556998556998554	1.0	1.0	1.0
GOTERM_MF_3	GO:0016614~oxidoreductase activity, acting on CH-OH group of donors	1	0.36363636363636365	1.0	XP_017627119	63	36	1979	0.8725749559082892	1.0	1.0	1.0
