Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Signal	14	5.090909090909091	0.1303199879022285	XP_017617131, XP_017630984, XP_017630367, XP_017629113, XP_017634503, XP_017640493, XP_017612646, XP_017648396, XP_017634859, XP_017603593, XP_017634455, XP_017623859, XP_017620963, XP_017636182	119	302	3855	1.50175301908843	0.9999430931935264	1.0	1.0
UP_KEYWORDS	Iron	5	1.8181818181818181	0.13107172627074165	XP_017624206, XP_017607566, XP_017631881, XP_017638100, XP_017643194	119	64	3855	2.530856092436975	0.9999464357515487	1.0	1.0
UP_KEYWORDS	Heme	3	1.090909090909091	0.2564726554873631	XP_017631881, XP_017638100, XP_017643194	119	32	3855	3.03702731092437	0.9999999990209922	1.0	1.0
UP_KEYWORDS	Cyclin	2	0.7272727272727273	0.28994848611817575	XP_017620373, XP_017650108	119	11	3855	5.889992360580596	0.9999999999610695	1.0	1.0
UP_KEYWORDS	Lyase	3	1.090909090909091	0.325164819673826	XP_017619693, XP_017606828, XP_017640651	119	38	3855	2.55749668288368	0.9999999999988938	1.0	1.0
UP_KEYWORDS	Transcription	4	1.4545454545454546	0.3288331250214602	XP_017637447, XP_017639302, XP_017607126, XP_017638248, XP_017637446	119	66	3855	1.9633307868601984	0.9999999999992447	1.0	1.0
UP_KEYWORDS	Oxidoreductase	6	2.181818181818182	0.32987964547200294	XP_017615977, XP_017624206, XP_017627119, XP_017639634, XP_017638100, XP_017643194	119	124	3855	1.5674979669287072	0.9999999999993229	1.0	1.0
UP_KEYWORDS	Transit peptide	2	0.7272727272727273	0.3732327973282789	XP_017607566, XP_017610744	119	15	3855	4.319327731092437	0.9999999999999938	1.0	1.0
UP_KEYWORDS	Pyruvate	2	0.7272727272727273	0.39249283116014805	XP_017619693, XP_017631097	119	16	3855	4.04936974789916	0.9999999999999993	1.0	1.0
UP_KEYWORDS	DNA-directed RNA polymerase	2	0.7272727272727273	0.4963290647774075	XP_017639302, XP_017638248	119	22	3855	2.944996180290298	1.0	1.0	1.0
UP_KEYWORDS	Monooxygenase	2	0.7272727272727273	0.5118347184071392	XP_017638100, XP_017643194	119	23	3855	2.816952868103763	1.0	1.0	1.0
UP_KEYWORDS	Transport	4	1.4545454545454546	0.685623025974018	XP_017623425, XP_017631881, XP_017649019, XP_017648396	119	114	3855	1.1366651923927467	1.0	1.0	1.0
UP_KEYWORDS	Transferase	11	4.0	0.7061701237610332	XP_017631097, XP_017608621, XP_017618348, XP_017606107, XP_017623859, XP_017642886, XP_017624283, XP_017612051, XP_017636386, XP_017610744, XP_017639021	119	369	3855	0.9657033545125367	1.0	1.0	1.0
UP_KEYWORDS	Transcription regulation	2	0.7272727272727273	0.7392595863774906	XP_017637447, XP_017607126, XP_017637446	119	43	3855	1.5067422317764314	1.0	1.0	1.0
UP_KEYWORDS	Metal-binding	6	2.181818181818182	0.7463676459032951	XP_017624206, XP_017607566, XP_017631881, XP_017638100, XP_017640651, XP_017643194	119	201	3855	0.9670136711400978	1.0	1.0	1.0
UP_KEYWORDS	Plastid	3	1.090909090909091	0.7640346778208961	XP_017607566, XP_017610744, XP_017646263	119	89	3855	1.0919648758379756	1.0	1.0	1.0
UP_KEYWORDS	Chloroplast	3	1.090909090909091	0.7640346778208961	XP_017607566, XP_017610744, XP_017646263	119	89	3855	1.0919648758379756	1.0	1.0	1.0
