Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_5	GO:0008113~peptide-methionine (S)-S-oxide reductase activity	2	1.7543859649122806	0.21578087253086098	NP_001076362, NP_998086	54	3	682	8.419753086419751	0.9999999999423989	1.0	1.0
GOTERM_MF_5	GO:0050136~NADH dehydrogenase (quinone) activity	3	2.631578947368421	0.23770877948805952	NP_957021, NP_001019591, NP_998198	54	12	682	3.157407407407407	0.999999999996321	1.0	1.0
GOTERM_MF_5	GO:0016407~acetyltransferase activity	2	1.7543859649122806	0.3335120326562835	NP_001003746, NP_001002169	54	5	682	5.051851851851851	1.0	1.0	1.0
GOTERM_MF_5	GO:0004519~endonuclease activity	2	1.7543859649122806	0.3335120326562835	NP_001096608, NP_001025431	54	5	682	5.051851851851851	1.0	1.0	1.0
GOTERM_MF_5	GO:0016408~C-acyltransferase activity	2	1.7543859649122806	0.3335120326562835	NP_001003746, NP_001002207	54	5	682	5.051851851851851	1.0	1.0	1.0
GOTERM_MF_5	GO:0004866~endopeptidase inhibitor activity	2	1.7543859649122806	0.38568908179836425	XP_001922687, NP_001038536	54	6	682	4.209876543209876	1.0	1.0	1.0
GOTERM_MF_5	GO:0008324~cation transmembrane transporter activity	3	2.631578947368421	0.6765430275755224	NP_956262, NP_998339, NP_999905	54	29	682	1.3065134099616857	1.0	1.0	1.0
GOTERM_MF_5	GO:0008234~cysteine-type peptidase activity	2	1.7543859649122806	0.6814505847130794	XP_005162901, NP_001017633	54	14	682	1.8042328042328042	1.0	1.0	1.0
GOTERM_MF_5	GO:0032561~guanyl ribonucleotide binding	3	2.631578947368421	0.6950601222139426	NP_001003590, XP_697518, NP_956008	54	30	682	1.2629629629629628	1.0	1.0	1.0
GOTERM_MF_5	GO:0005525~GTP binding	3	2.631578947368421	0.6950601222139426	NP_001003590, XP_697518, NP_956008	54	30	682	1.2629629629629628	1.0	1.0	1.0
GOTERM_MF_5	GO:0019001~guanyl nucleotide binding	3	2.631578947368421	0.6950601222139426	NP_001003590, XP_697518, NP_956008	54	30	682	1.2629629629629628	1.0	1.0	1.0
GOTERM_MF_5	GO:0016791~phosphatase activity	2	1.7543859649122806	0.7300284482611703	NP_955854, XP_697507	54	16	682	1.5787037037037037	1.0	1.0	1.0
GOTERM_MF_5	GO:0004175~endopeptidase activity	4	3.508771929824561	0.7546877833916845	XP_005162901, NP_571467, NP_001017633, NP_001077327	54	49	682	1.0309901738473166	1.0	1.0	1.0
GOTERM_MF_5	GO:0016462~pyrophosphatase activity	3	2.631578947368421	0.8018035752315423	NP_956262, XP_697518, NP_956008	54	37	682	1.024024024024024	1.0	1.0	1.0
GOTERM_MF_5	GO:0032550~purine ribonucleoside binding	7	6.140350877192982	0.8860607097903471	NP_001003590, NP_001074125, NP_997778, NP_001004577, XP_697518, NP_956008, NP_001003882	54	110	682	0.8037037037037037	1.0	1.0	1.0
GOTERM_MF_5	GO:0032555~purine ribonucleotide binding	7	6.140350877192982	0.8914657031985376	NP_001003590, NP_001074125, NP_997778, NP_001004577, XP_697518, NP_956008, NP_001003882	54	111	682	0.7964631297964632	1.0	1.0	1.0
GOTERM_MF_5	GO:0017076~purine nucleotide binding	7	6.140350877192982	0.8966597691635297	NP_001003590, NP_001074125, NP_997778, NP_001004577, XP_697518, NP_956008, NP_001003882	54	112	682	0.7893518518518519	1.0	1.0	1.0
GOTERM_MF_5	GO:0032553~ribonucleotide binding	7	6.140350877192982	0.9110301118834339	NP_001003590, NP_001074125, NP_997778, NP_001004577, XP_697518, NP_956008, NP_001003882	54	115	682	0.7687600644122383	1.0	1.0	1.0
GOTERM_MF_5	GO:0005509~calcium ion binding	2	1.7543859649122806	0.9405320021638464	NP_861429, XP_691156	54	34	682	0.7429193899782135	1.0	1.0	1.0
GOTERM_MF_5	GO:0005524~ATP binding	4	3.508771929824561	0.9621521175475307	NP_001074125, NP_997778, NP_001004577, NP_001003882	54	80	682	0.6314814814814814	1.0	1.0	1.0
GOTERM_MF_5	GO:0032559~adenyl ribonucleotide binding	4	3.508771929824561	0.9646127835689188	NP_001074125, NP_997778, NP_001004577, NP_001003882	54	81	682	0.6236854138088705	1.0	1.0	1.0
GOTERM_MF_5	GO:0030554~adenyl nucleotide binding	4	3.508771929824561	0.9669258479805134	NP_001074125, NP_997778, NP_001004577, NP_001003882	54	82	682	0.6160794941282746	1.0	1.0	1.0
GOTERM_MF_5	GO:0046914~transition metal ion binding	3	2.631578947368421	0.9953764935205888	NP_571369, XP_017210321, NP_998672	54	88	682	0.4305555555555555	1.0	1.0	1.0
GOTERM_MF_5	GO:0032813~tumor necrosis factor receptor superfamily binding	1	0.8771929824561403	1.0	NP_001002593	54	2	682	6.314814814814815	1.0	1.0	1.0
GOTERM_MF_5	GO:0070566~adenylyltransferase activity	1	0.8771929824561403	1.0	NP_001004577	54	1	682	12.62962962962963	1.0	1.0	1.0
GOTERM_MF_5	GO:0008757~S-adenosylmethionine-dependent methyltransferase activity	1	0.8771929824561403	1.0	NP_001073508	54	8	682	1.5787037037037037	1.0	1.0	1.0
GOTERM_MF_5	GO:0043747~N2-acetyl-L-lysine deacetylase activity	1	0.8771929824561403	1.0	NP_001005938	54	1	682	12.62962962962963	1.0	1.0	1.0
GOTERM_MF_5	GO:0042300~beta-amyrin synthase activity	1	0.8771929824561403	1.0	NP_001077036	54	1	682	12.62962962962963	1.0	1.0	1.0
GOTERM_MF_5	GO:0008418~protein-N-terminal asparagine amidohydrolase activity	1	0.8771929824561403	1.0	NP_001005938	54	1	682	12.62962962962963	1.0	1.0	1.0
GOTERM_MF_5	GO:0004536~deoxyribonuclease activity	1	0.8771929824561403	1.0	NP_001096608	54	3	682	4.209876543209876	1.0	1.0	1.0
GOTERM_MF_5	GO:0080011~baruol synthase activity	1	0.8771929824561403	1.0	NP_001077036	54	1	682	12.62962962962963	1.0	1.0	1.0
GOTERM_MF_5	GO:0004856~xylulokinase activity	1	0.8771929824561403	1.0	NP_956673	54	1	682	12.62962962962963	1.0	1.0	1.0
GOTERM_MF_5	GO:0034876~isonicotinic acid hydrazide hydrolase activity	1	0.8771929824561403	1.0	NP_001005938	54	1	682	12.62962962962963	1.0	1.0	1.0
GOTERM_MF_5	GO:0004616~phosphogluconate dehydrogenase (decarboxylating) activity	1	0.8771929824561403	1.0	NP_998618	54	1	682	12.62962962962963	1.0	1.0	1.0
GOTERM_MF_5	GO:0015020~glucuronosyltransferase activity	1	0.8771929824561403	1.0	NP_001170917	54	3	682	4.209876543209876	1.0	1.0	1.0
GOTERM_MF_5	GO:0050660~flavin adenine dinucleotide binding	1	0.8771929824561403	1.0	NP_001003743	54	20	682	0.6314814814814814	1.0	1.0	1.0
GOTERM_MF_5	GO:0005343~organic acid:sodium symporter activity	1	0.8771929824561403	1.0	NP_999905	54	2	682	6.314814814814815	1.0	1.0	1.0
GOTERM_MF_5	GO:0015293~symporter activity	1	0.8771929824561403	1.0	NP_999905	54	2	682	6.314814814814815	1.0	1.0	1.0
GOTERM_MF_5	GO:0051119~sugar transmembrane transporter activity	1	0.8771929824561403	1.0	NP_001036186	54	1	682	12.62962962962963	1.0	1.0	1.0
GOTERM_MF_5	GO:0022853~active ion transmembrane transporter activity	1	0.8771929824561403	1.0	NP_956262	54	10	682	1.2629629629629628	1.0	1.0	1.0
GOTERM_MF_5	GO:0033293~monocarboxylic acid binding	1	0.8771929824561403	1.0	NP_998799	54	5	682	2.5259259259259257	1.0	1.0	1.0
GOTERM_MF_5	GO:0003684~damaged DNA binding	1	0.8771929824561403	1.0	NP_001096608	54	4	682	3.1574074074074074	1.0	1.0	1.0
