Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_4	GO:0019725~cellular homeostasis	27	6.4593301435406705	0.02587519381472505	NM_001183473, NM_001184222, NM_001183376, NM_001181032, NM_001181114, NM_001180761, NM_001181970, NM_001182321, NM_001181338, NM_001180821, NM_001182723, NM_001182814, NM_001183924, NM_001178685, NM_001178688, NM_001180094, NM_001183645, NM_001182334, NM_001183801, NM_001182751, NM_001183686, NM_001182635, NM_001180018, NM_001179685, NM_001182092, NM_001178535, NM_001179306	375	181	3842	1.5283093922651934	0.999999992172966	1.0	1.0
GOTERM_BP_4	GO:1904587~response to glycoprotein	3	0.7177033492822966	0.02652803761456601	NM_001179335, NM_001181789, NM_001178688	375	3	3842	10.245333333333333	0.9999999951438207	1.0	1.0
GOTERM_BP_4	GO:0097466~glycoprotein ERAD pathway	3	0.7177033492822966	0.02652803761456601	NM_001179335, NM_001181789, NM_001178688	375	3	3842	10.245333333333333	0.9999999951438207	1.0	1.0
GOTERM_BP_4	GO:0055082~cellular chemical homeostasis	22	5.263157894736842	0.03455870946298755	NM_001183473, NM_001180094, NM_001184222, NM_001183376, NM_001181032, NM_001181114, NM_001183645, NM_001182334, NM_001183801, NM_001181970, NM_001182751, NM_001182321, NM_001183686, NM_001182635, NM_001182723, NM_001180018, NM_001183924, NM_001179685, NM_001178685, NM_001182092, NM_001178535, NM_001179306	375	143	3842	1.5762051282051281	0.9999999999866703	1.0	1.0
GOTERM_BP_4	GO:0006575~cellular modified amino acid metabolic process	9	2.15311004784689	0.04629552493748612	NM_001183210, NM_001178629, NM_001179560, NM_001179198, NM_001181338, NM_001180821, NM_001178611, NM_001183313, NM_001179647	375	42	3842	2.1954285714285713	0.9999999999999978	1.0	1.0
GOTERM_BP_4	GO:0048878~chemical homeostasis	23	5.502392344497608	0.0687368626184046	NM_001183473, NM_001180094, NM_001178391, NM_001184222, NM_001183376, NM_001181032, NM_001181114, NM_001183645, NM_001182334, NM_001183801, NM_001181970, NM_001182751, NM_001182321, NM_001183686, NM_001182635, NM_001182723, NM_001180018, NM_001183924, NM_001179685, NM_001178685, NM_001182092, NM_001178535, NM_001179306	375	163	3842	1.4456605316973414	1.0	1.0	1.0
GOTERM_BP_4	GO:0071555~cell wall organization	20	4.784688995215311	0.06979231096641679	NM_001178391, NM_001182231, NM_001178341, NM_001180299, NM_001182324, NM_001180088, NM_001180451, NM_001180385, NM_001182321, NM_001182845, NM_001180106, NM_001181408, NM_001182904, NM_001179209, NM_001180569, NM_001180728, NM_001179662, NM_001178984, NM_001179612, NM_001178855	375	137	3842	1.495669099756691	1.0	1.0	1.0
GOTERM_BP_4	GO:0046835~carbohydrate phosphorylation	4	0.9569377990430622	0.08371204565133263	NM_001181763, NM_001182334, NM_001178685, NM_001180018	375	11	3842	3.7255757575757573	1.0	1.0	1.0
GOTERM_BP_4	GO:0006749~glutathione metabolic process	5	1.1961722488038278	0.09043367209699062	NM_001178629, NM_001179560, NM_001181338, NM_001180821, NM_001179647	375	18	3842	2.845925925925926	1.0	1.0	1.0
GOTERM_BP_4	GO:0044723~single-organism carbohydrate metabolic process	30	7.177033492822966	0.09126289901291436	NM_001183057, NM_001178363, NM_001179177, NM_001180563, NM_001179092, NM_001179553, NM_001179234, NM_001178685, NM_001179335, NM_001178587, NM_001179019, NM_001178569, NM_001181165, NM_001178493, NM_001182231, NM_001178352, NM_001182334, NM_001183504, NM_001180930, NM_001181789, NM_001180018, NM_001182409, NM_001179209, NM_001182703, NM_001180927, NM_001180903, NM_001180728, NM_001178553, NM_001178950, NM_001179922	375	232	3842	1.3248275862068966	1.0	1.0	1.0
