Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_5	GO:0004396~hexokinase activity	3	0.7177033492822966	0.08704073350628395	NM_001182334, NM_001178685, NM_001180018	276	5	2647	5.754347826086956	0.9999999897391577	1.0	1.0
GOTERM_MF_5	GO:0015923~mannosidase activity	3	0.7177033492822966	0.08704073350628395	NM_001179335, NM_001181789, NM_001179612	276	5	2647	5.754347826086956	0.9999999897391577	1.0	1.0
GOTERM_MF_5	GO:0019200~carbohydrate kinase activity	4	0.9569377990430622	0.14527933406015503	NM_001181763, NM_001182334, NM_001178685, NM_001180018	276	13	2647	2.950947603121516	0.9999999999999831	1.0	1.0
GOTERM_MF_5	GO:0008793~aromatic-amino-acid:2-oxoglutarate aminotransferase activity	2	0.4784688995215311	0.19702419859019427	NM_001179267, NM_001181067	276	2	2647	9.590579710144928	1.0	1.0	1.0
GOTERM_MF_5	GO:0015926~glucosidase activity	4	0.9569377990430622	0.19884101327849335	NM_001181408, NM_001182904, NM_001180569, NM_001182703	276	15	2647	2.557487922705314	1.0	1.0	1.0
GOTERM_MF_5	GO:0008081~phosphoric diester hydrolase activity	4	0.9569377990430622	0.19884101327849335	NM_001183924, NM_001181114, NM_001179821, NM_001178259	276	15	2647	2.557487922705314	1.0	1.0	1.0
GOTERM_MF_5	GO:0008757~S-adenosylmethionine-dependent methyltransferase activity	11	2.631578947368421	0.20885586843084158	NM_001180748, NM_001180624, NM_001182901, NM_001178619, NM_001180472, NM_001184080, NM_001183658, NM_001182900, NM_001183378, NM_001179458, NM_001183379	276	72	2647	1.465227455716586	1.0	1.0	1.0
GOTERM_MF_5	GO:0008135~translation factor activity, RNA binding	8	1.9138755980861244	0.22586520641025948	NM_001178150, NM_001178491, NM_001179560, NM_001184153, NM_001179168, NM_001182079, NM_001181535, NM_001179647	276	48	2647	1.5984299516908214	1.0	1.0	1.0
GOTERM_MF_5	GO:0008173~RNA methyltransferase activity	6	1.4354066985645932	0.2338018670570712	NM_001180472, NM_001184080, NM_001183658, NM_001182900, NM_001183378, NM_001183379	276	32	2647	1.7982336956521738	1.0	1.0	1.0
GOTERM_MF_5	GO:0008238~exopeptidase activity	5	1.1961722488038278	0.2576690595423572	NM_001180723, NM_001178629, NM_001179177, NM_001178487, NM_001178634	276	25	2647	1.9181159420289855	1.0	1.0	1.0
