Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_1	GO:0008152~metabolic process	138	19.166666666666668	1.6916775836313552E-4	XP_017623521, YP_005089052, XP_017641871, XP_017647216, XP_017649239, YP_005089055, XP_017628411, XP_017617127, YP_005089050, XP_017631947, XP_017616717, XP_017630573, XP_017635343, XP_017603232, XP_017641994, XP_017611370, XP_017639022, XP_017620658, XP_017646496, XP_017602838, XP_017617115, XP_017628003, XP_017610617, XP_017631772, XP_017642338, XP_017602953, XP_017607329, YP_005089032, XP_017630518, YP_005089031, XP_017646342, YP_005089030, YP_005089036, YP_005088980, YP_005088981, YP_005089034, XP_017617422, XP_017626653, XP_017626772, XP_017610348, XP_017649451, XP_017634431, XP_017614305, XP_017640885, XP_017615872, YP_005088984, YP_005088985, XP_017650163, YP_005089038, YP_005088982, YP_005089037, XP_017607337, XP_017638992, YP_005088989, YP_005088986, YP_005088987, XP_017619154, YP_005089042, XP_017617098, XP_017621994, XP_017643000, YP_005089047, YP_005089046, YP_005089045, XP_017647281, XP_017647044, XP_017632923, XP_017630505, XP_017615923, XP_017608430, XP_017617817, XP_017613984, XP_017606493, YP_005088995, XP_017649908, XP_017635231, YP_005088994, YP_005089048, YP_005088999, XP_017619680, YP_005088997, XP_017635073, YP_005088998, YP_005089012, XP_017631226, XP_017612945, XP_017611219, XP_017627481, XP_017639588, XP_017631584, XP_017615411, XP_017642008, XP_017648909, YP_005089019, XP_017603604, YP_005089020, XP_017617396, XP_017620202, YP_005089022, XP_017634729, XP_017616989, YP_005088979, XP_017640631, XP_017606397, XP_017642414, XP_017612270, XP_017646619, XP_017602889, XP_017623104, XP_017649413, XP_017630718, XP_017627941, XP_017643676, XP_017617107, XP_017612605, XP_017612965, XP_017632214, XP_017611596, XP_017623987, XP_017623866, XP_017644893, XP_017646431, XP_017602936, YP_005089003, XP_017616122, YP_005089002, XP_017616883, XP_017632327, XP_017633779, XP_017643280, XP_017634980, XP_017606570, XP_017607783, XP_017650010, YP_005089007, YP_005089006, XP_017638267, XP_017615160	165	1104	1537	1.1643939393939393	0.0021969500597417424	0.002199180858720762	0.002199180858720762
GOTERM_BP_1	GO:0009987~cellular process	140	19.444444444444446	0.041422146545808544	XP_017623521, YP_005089052, XP_017641871, XP_017647216, XP_017649239, YP_005089055, XP_017628411, XP_017617127, YP_005089050, XP_017631947, XP_017607671, XP_017616717, XP_017639705, XP_017635343, XP_017631144, XP_017603232, XP_017641994, XP_017611370, XP_017639022, XP_017620658, XP_017646496, XP_017617115, XP_017610617, XP_017634761, XP_017604176, XP_017631772, XP_017642338, XP_017602953, XP_017607329, YP_005089032, XP_017630518, YP_005089031, XP_017646342, YP_005089030, YP_005089036, YP_005088980, YP_005088981, YP_005089034, XP_017617422, XP_017626653, XP_017626772, XP_017610348, XP_017649451, XP_017634431, XP_017614305, XP_017639049, XP_017640885, XP_017615872, YP_005088984, YP_005088985, YP_005089038, YP_005088982, YP_005089037, XP_017607337, YP_005088989, YP_005088986, YP_005088987, XP_017619154, YP_005089042, XP_017617098, XP_017621994, XP_017643000, YP_005089047, YP_005089046, YP_005089045, XP_017647281, XP_017616447, XP_017647044, XP_017632923, XP_017630505, XP_017615923, XP_017608430, XP_017617817, XP_017613984, XP_017606493, YP_005088995, XP_017649908, XP_017635231, YP_005088994, YP_005089048, YP_005088999, XP_017619680, YP_005088997, XP_017635073, YP_005088998, XP_017625867, YP_005089012, XP_017624097, XP_017631226, XP_017612945, XP_017611219, XP_017639588, XP_017631584, XP_017638535, XP_017615411, XP_017642008, XP_017648909, YP_005089019, XP_017603604, YP_005089020, XP_017617396, XP_017620202, YP_005089022, XP_017634729, XP_017616989, XP_017639738, YP_005088979, XP_017640631, XP_017606397, XP_017642414, XP_017635010, XP_017612270, XP_017646619, XP_017623104, XP_017649413, XP_017630718, XP_017627941, XP_017643676, XP_017617107, XP_017612605, XP_017612965, XP_017632214, XP_017646705, XP_017623987, XP_017644893, XP_017602936, YP_005089003, XP_017616122, YP_005089002, XP_017616883, XP_017632327, XP_017633779, XP_017643280, XP_017637615, XP_017634980, XP_017606570, XP_017650010, YP_005089007, YP_005089006, XP_017615160	165	1220	1537	1.0689518132141083	0.4230262122070485	0.2692439525477555	0.2692439525477555
GOTERM_BP_1	GO:0051179~localization	21	2.9166666666666665	0.6385065687546998	XP_017646861, YP_005089042, XP_017647444, YP_005089003, YP_005089046, YP_005089002, YP_005089050, XP_017631903, XP_017639636, XP_017608078, XP_017634980, XP_017604176, XP_017631144, YP_005088984, YP_005088985, XP_017639496, YP_005089006, XP_017623548, YP_005088986, XP_017650162, YP_005088987	165	197	1537	0.992985694508537	0.9999981998639433	1.0	1.0
GOTERM_BP_1	GO:0032502~developmental process	3	0.4166666666666667	0.7225631705140161	XP_017615923, XP_017620202, XP_017638068	165	23	1537	1.2150197628458497	0.9999999423056259	1.0	1.0
GOTERM_BP_1	GO:0065007~biological regulation	22	3.0555555555555554	0.8592527824233851	XP_017623104, XP_017625867, XP_017643000, XP_017620202, XP_017616122, XP_017626653, XP_017612945, XP_017643280, XP_017612965, XP_017614305, XP_017634761, XP_017637615, XP_017613984, XP_017639588, XP_017650010, XP_017646705, XP_017635010, XP_017642414, XP_017642008, XP_017609817, XP_017602953, XP_017639022	165	236	1537	0.868361581920904	0.9999999999914941	1.0	1.0
GOTERM_BP_1	GO:0032501~multicellular organismal process	2	0.2777777777777778	0.8703614187651707	XP_017615923, XP_017638068	165	18	1537	1.0350168350168352	0.9999999999970789	1.0	1.0
GOTERM_BP_1	GO:0050789~regulation of biological process	20	2.7777777777777777	0.9039134224503617	XP_017623104, XP_017625867, XP_017643000, XP_017620202, XP_017616122, XP_017626653, XP_017612945, XP_017643280, XP_017612965, XP_017614305, XP_017634761, XP_017637615, XP_017613984, XP_017639588, XP_017646705, XP_017635010, XP_017642414, XP_017642008, XP_017602953, XP_017639022	165	225	1537	0.8280134680134681	0.9999999999999405	1.0	1.0
GOTERM_BP_1	GO:0071840~cellular component organization or biogenesis	12	1.6666666666666667	0.971810398556898	XP_017623521, XP_017624448, XP_017613984, XP_017634776, XP_017639049, XP_017635343, YP_005089022, XP_017626653, XP_017631226, XP_017616447, XP_017602953, XP_017639022	165	162	1537	0.6900112233445567	1.0	1.0	1.0
GOTERM_BP_1	GO:0050896~response to stimulus	10	1.3888888888888888	0.9826483887785165	XP_017607671, XP_017634761, YP_005088979, XP_017639705, XP_017637615, XP_017638535, XP_017626653, XP_017646705, XP_017609817, XP_017606969	165	146	1537	0.6380240763802407	1.0	1.0	1.0
GOTERM_BP_1	GO:0044699~single-organism process	54	7.5	0.9860559262378852	XP_017625867, YP_005089052, YP_005089012, YP_005089055, XP_017612945, YP_005089050, XP_017616717, XP_017639705, XP_017639588, XP_017638535, XP_017631144, XP_017639022, XP_017620658, XP_017634761, YP_005088979, XP_017604176, XP_017639496, XP_017635010, XP_017602953, XP_017607329, YP_005089030, XP_017630718, XP_017627941, XP_017626772, XP_017617107, XP_017612965, XP_017649451, XP_017614305, XP_017634431, XP_017632214, XP_017639049, YP_005088984, XP_017646705, YP_005088985, YP_005088986, YP_005088987, YP_005089042, XP_017647444, XP_017621994, XP_017602936, XP_017646431, XP_017616447, XP_017643280, XP_017615923, XP_017634980, XP_017637615, XP_017613984, XP_017650010, YP_005088995, YP_005089007, YP_005089006, YP_005088994, XP_017638068, XP_017615160	165	613	1537	0.8205843096544564	1.0	1.0	1.0
