Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_5	GO:0061008~hepaticobiliary system development	4	3.076923076923077	0.049338290561841365	XP_005162901, NP_001036186, NP_001002588, NP_001004540	71	11	885	4.532650448143405	0.9999999815858088	1.0	1.0
GOTERM_BP_5	GO:0001889~liver development	4	3.076923076923077	0.049338290561841365	XP_005162901, NP_001036186, NP_001002588, NP_001004540	71	11	885	4.532650448143405	0.9999999815858088	1.0	1.0
GOTERM_BP_5	GO:0048732~gland development	5	3.8461538461538463	0.05611818975678057	NP_571105, XP_005162901, NP_001036186, NP_001002588, NP_001004540	71	19	885	3.2802075611564123	0.9999999985174781	1.0	1.0
GOTERM_BP_5	GO:0045333~cellular respiration	6	4.615384615384616	0.100783792246245	NP_001001589, NP_958895, NP_001003747, NP_001002068, NP_998296, NP_001038822	71	32	885	2.3371478873239435	0.9999999999999999	1.0	1.0
GOTERM_BP_5	GO:0009060~aerobic respiration	4	3.076923076923077	0.12619572188738182	NP_001001589, NP_958895, NP_001003747, NP_998296	71	16	885	3.1161971830985915	1.0	1.0	1.0
GOTERM_BP_5	GO:0015849~organic acid transport	2	1.5384615384615385	0.15201830406217287	NP_001032750, NP_001004546	71	2	885	12.464788732394366	1.0	1.0	1.0
GOTERM_BP_5	GO:0019752~carboxylic acid metabolic process	12	9.230769230769232	0.15377202789477623	NP_001004529, NP_001274017, NP_956472, NP_001039309, NP_571876, NP_001003746, NP_001304099, NP_001038907, NP_001002207, NP_998296, NP_998672, NP_001003882	71	100	885	1.495774647887324	1.0	1.0	1.0
GOTERM_BP_5	GO:0043436~oxoacid metabolic process	12	9.230769230769232	0.15377202789477623	NP_001004529, NP_001274017, NP_956472, NP_001039309, NP_571876, NP_001003746, NP_001304099, NP_001038907, NP_001002207, NP_998296, NP_998672, NP_001003882	71	100	885	1.495774647887324	1.0	1.0	1.0
GOTERM_BP_5	GO:0044242~cellular lipid catabolic process	5	3.8461538461538463	0.19048563550616673	NP_001004529, NP_956472, NP_001003746, NP_001002207, XP_005170233	71	29	885	2.149101505585236	1.0	1.0	1.0
GOTERM_BP_5	GO:0030258~lipid modification	5	3.8461538461538463	0.19048563550616673	NP_001004529, NP_956472, NP_001003746, NP_001002207, XP_697507	71	29	885	2.149101505585236	1.0	1.0	1.0
GOTERM_BP_5	GO:0072522~purine-containing compound biosynthetic process	4	3.076923076923077	0.20575620828906113	NP_958895, NP_001004577, NP_956962, NP_001038822	71	20	885	2.4929577464788735	1.0	1.0	1.0
GOTERM_BP_5	GO:0007399~nervous system development	8	6.153846153846154	0.21083785000480643	NP_571105, NP_001039309, NP_571876, NP_851300, NP_001036186, NP_001036210, NP_001002588, NP_001013278	71	62	885	1.6083598364379827	1.0	1.0	1.0
GOTERM_BP_5	GO:0071482~cellular response to light stimulus	2	1.5384615384615385	0.21924222106749688	NP_998192, NP_001096608	71	3	885	8.309859154929578	1.0	1.0	1.0
GOTERM_BP_5	GO:0009411~response to UV	2	1.5384615384615385	0.21924222106749688	NP_998192, NP_001096608	71	3	885	8.309859154929578	1.0	1.0	1.0
GOTERM_BP_5	GO:0090305~nucleic acid phosphodiester bond hydrolysis	2	1.5384615384615385	0.21924222106749688	NP_001096608, NP_001025431	71	3	885	8.309859154929578	1.0	1.0	1.0
GOTERM_BP_5	GO:0019395~fatty acid oxidation	4	3.076923076923077	0.22723331946669273	NP_001004529, NP_956472, NP_001003746, NP_001002207	71	21	885	2.374245472837022	1.0	1.0	1.0
GOTERM_BP_5	GO:0034440~lipid oxidation	4	3.076923076923077	0.22723331946669273	NP_001004529, NP_956472, NP_001003746, NP_001002207	71	21	885	2.374245472837022	1.0	1.0	1.0
GOTERM_BP_5	GO:0007417~central nervous system development	5	3.8461538461538463	0.24242463571340256	NP_571105, NP_001039309, NP_001036186, NP_001036210, NP_001013278	71	32	885	1.9476232394366197	1.0	1.0	1.0
GOTERM_BP_5	GO:0006665~sphingolipid metabolic process	3	2.307692307692308	0.24419348203930846	NP_957433, XP_693668, XP_005170233	71	12	885	3.1161971830985915	1.0	1.0	1.0
GOTERM_BP_5	GO:0009062~fatty acid catabolic process	4	3.076923076923077	0.2491303960857852	NP_001004529, NP_956472, NP_001003746, NP_001002207	71	22	885	2.2663252240717027	1.0	1.0	1.0
GOTERM_BP_5	GO:0006643~membrane lipid metabolic process	3	2.307692307692308	0.2747161823655454	NP_957433, XP_693668, XP_005170233	71	13	885	2.876489707475623	1.0	1.0	1.0
GOTERM_BP_5	GO:0006644~phospholipid metabolic process	3	2.307692307692308	0.2747161823655454	XP_697507, XP_005170233, NP_998096	71	13	885	2.876489707475623	1.0	1.0	1.0
GOTERM_BP_5	GO:0048709~oligodendrocyte differentiation	2	1.5384615384615385	0.28120712415746296	NP_571105, NP_001036210	71	4	885	6.232394366197183	1.0	1.0	1.0
GOTERM_BP_5	GO:0042552~myelination	2	1.5384615384615385	0.28120712415746296	NP_001036210, NP_001002588	71	4	885	6.232394366197183	1.0	1.0	1.0
GOTERM_BP_5	GO:0007272~ensheathment of neurons	2	1.5384615384615385	0.28120712415746296	NP_001036210, NP_001002588	71	4	885	6.232394366197183	1.0	1.0	1.0
GOTERM_BP_5	GO:0006631~fatty acid metabolic process	5	3.8461538461538463	0.33469936488724494	NP_001004529, NP_956472, NP_001003746, NP_001002207, NP_998672	71	37	885	1.6844309097830226	1.0	1.0	1.0
GOTERM_BP_5	GO:0046395~carboxylic acid catabolic process	5	3.8461538461538463	0.33469936488724494	NP_001004529, NP_956472, NP_001003746, NP_001304099, NP_001002207	71	37	885	1.6844309097830226	1.0	1.0	1.0
GOTERM_BP_5	GO:0001654~eye development	3	2.307692307692308	0.33547348060732074	NP_571876, NP_997889, NP_001036210	71	15	885	2.492957746478873	1.0	1.0	1.0
GOTERM_BP_5	GO:0006122~mitochondrial electron transport, ubiquinol to cytochrome c	2	1.5384615384615385	0.3383189304103054	NP_001001589, NP_001002068	71	5	885	4.985915492957747	1.0	1.0	1.0
GOTERM_BP_5	GO:0010001~glial cell differentiation	2	1.5384615384615385	0.3383189304103054	NP_571105, NP_001036210	71	5	885	4.985915492957747	1.0	1.0	1.0
GOTERM_BP_5	GO:0034660~ncRNA metabolic process	4	3.076923076923077	0.36159424617087	NP_571105, NP_001038907, NP_001025431, NP_001003882	71	27	885	1.8466353677621283	1.0	1.0	1.0
GOTERM_BP_5	GO:0016054~organic acid catabolic process	5	3.8461538461538463	0.37241942268448436	NP_001004529, NP_956472, NP_001003746, NP_001304099, NP_001002207	71	39	885	1.5980498374864573	1.0	1.0	1.0
GOTERM_BP_5	GO:0009116~nucleoside metabolic process	6	4.615384615384616	0.3942074904659161	NP_001001589, NP_958895, NP_001002068, NP_001004577, NP_956962, NP_001038822	71	52	885	1.4382448537378114	1.0	1.0	1.0
GOTERM_BP_5	GO:0055086~nucleobase-containing small molecule metabolic process	7	5.384615384615385	0.4251065917956745	NP_001001589, NP_958895, NP_955854, NP_001002068, NP_001004577, NP_956962, NP_001038822	71	66	885	1.32202304737516	1.0	1.0	1.0
