Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_2	GO:0044425~membrane part	35	26.923076923076923	0.2347331029069742	NP_001001589, NP_001019591, NP_851300, NP_957433, NP_956883, NP_999905, NP_001096591, NP_001020701, NP_001082887, NP_998620, NP_001032750, NP_955854, NP_999850, NP_001073503, NP_001002748, NP_957021, NP_956352, NP_001068576, XP_002666669, NP_001002068, NP_001004546, NP_001002588, XP_001922019, XP_005162901, NP_001038827, NP_001025360, NP_001032183, NP_001036186, XP_697507, XP_693668, NP_998096, NP_998198, NP_001038822, NP_957063, NP_998672	79	364	930	1.1319376825705938	0.9998085683762451	1.0	1.0
GOTERM_CC_2	GO:0070469~respiratory chain	5	3.8461538461538463	0.2774493403065139	NP_957021, NP_001001589, NP_001019591, NP_001002068, NP_001038822	79	32	930	1.8393987341772153	0.9999695360888339	1.0	1.0
GOTERM_CC_2	GO:1990204~oxidoreductase complex	4	3.076923076923077	0.30252199240846067	NP_957021, NP_001001589, NP_958895, NP_001019591	79	23	930	2.0473307649972483	0.9999901604194593	1.0	1.0
GOTERM_CC_2	GO:0031224~intrinsic component of membrane	29	22.30769230769231	0.31874438258366145	NP_001001589, NP_851300, NP_957433, NP_956883, NP_999905, NP_001096591, NP_001020701, NP_001082887, NP_998620, NP_001032750, NP_955854, NP_999850, NP_001073503, NP_001002748, NP_956352, NP_001068576, XP_002666669, NP_001004546, NP_001002588, XP_001922019, NP_001038827, NP_001025360, NP_001036186, XP_697507, XP_693668, NP_998096, NP_998198, NP_957063, NP_998672	79	306	930	1.1156614544551997	0.9999953663515281	1.0	1.0
GOTERM_CC_2	GO:0005615~extracellular space	4	3.076923076923077	0.4450728893842599	NP_998501, XP_001922687, NP_001017633, XP_005170233	79	29	930	1.6237450894805763	0.9999999934604155	1.0	1.0
GOTERM_CC_2	GO:0044421~extracellular region part	4	3.076923076923077	0.4679723070188859	NP_998501, XP_001922687, NP_001017633, XP_005170233	79	30	930	1.5696202531645569	0.9999999983021644	1.0	1.0
GOTERM_CC_2	GO:0005886~plasma membrane	7	5.384615384615385	0.5300013009481902	NP_001032750, NP_001002748, NP_851300, NP_956883, NP_999905, XP_697507, NP_001004546	79	69	930	1.194276279581728	0.9999999999678565	1.0	1.0
GOTERM_CC_2	GO:0071944~cell periphery	7	5.384615384615385	0.5449586951068397	NP_001032750, NP_001002748, NP_851300, NP_956883, NP_999905, XP_697507, NP_001004546	79	70	930	1.1772151898734178	0.999999999988581	1.0	1.0
GOTERM_CC_2	GO:0044459~plasma membrane part	5	3.8461538461538463	0.5500968970733034	NP_001032750, NP_001002748, NP_956883, NP_999905, XP_697507	79	46	930	1.2795817281232802	0.9999999999920602	1.0	1.0
GOTERM_CC_2	GO:0043227~membrane-bounded organelle	43	33.07692307692307	0.5814313262895835	NP_957372, NP_001002714, NP_001001589, NP_001019591, NP_957433, NP_001003746, NP_001070064, NP_001002218, NP_956007, NP_001025431, NP_001028922, NP_001082887, NP_998620, NP_571105, NP_571369, NP_998501, NP_571467, NP_001096608, NP_001017633, NP_956280, NP_001073503, NP_001013278, NP_958891, NP_001004529, NP_957021, NP_956472, NP_957441, NP_001068576, NP_957126, NP_001002207, NP_001002068, NP_001004546, NP_955825, XP_005162901, NP_001038907, NP_001025360, NP_001032183, XP_017208265, XP_693668, NP_998096, NP_998198, NP_001038822, NP_998672	79	505	930	1.0023812507833063	0.999999999999212	1.0	1.0
GOTERM_CC_2	GO:0043233~organelle lumen	6	4.615384615384616	0.6095251838367414	NP_957372, NP_998620, NP_571105, NP_001068576, NP_001038907, NP_001070064	79	62	930	1.139240506329114	0.9999999999999147	1.0	1.0
GOTERM_CC_2	GO:0012505~endomembrane system	12	9.230769230769232	0.6285546802060006	NP_001002714, XP_005162901, NP_001068576, NP_957433, NP_001025360, NP_001032183, NP_956007, XP_693668, NP_001004546, NP_956280, NP_001073503, NP_998672	79	138	930	1.0236653824986242	0.9999999999999828	1.0	1.0
GOTERM_CC_2	GO:0044424~intracellular part	61	46.92307692307692	0.6701307210949627	NP_957372, NP_991204, NP_001034928, NP_001003746, NP_001070064, NP_001002218, NP_956962, NP_956007, NP_001028922, NP_001082887, NP_571369, NP_001304099, NP_001017633, NP_001096608, NP_956280, NP_001013278, NP_958891, NP_001004529, NP_001002704, NP_956472, NP_957441, NP_958895, NP_001068576, NP_957126, NP_001002068, NP_955825, NP_998356, NP_571876, XP_005162901, NP_001038907, NP_001025360, NP_998198, NP_001038822, NP_957282, NP_998672, NP_001002714, NP_001001589, NP_001019591, NP_957433, NP_001025431, NP_001003882, NP_998620, NP_955934, NP_571105, NP_998501, NP_955854, NP_571467, NP_997778, NP_001036210, XP_017210321, NP_001073508, NP_001073503, NP_957021, NP_001002207, NP_001004546, NP_001004540, NP_001032183, XP_017208265, XP_693668, NP_998096, NP_001070621	79	727	930	0.9877596503752198	0.9999999999999997	1.0	1.0
GOTERM_CC_2	GO:0044455~mitochondrial membrane part	4	3.076923076923077	0.6856318719632093	NP_957021, NP_001001589, NP_001019591, NP_001038822	79	41	930	1.148502624266749	0.9999999999999999	1.0	1.0
GOTERM_CC_2	GO:0031975~envelope	7	5.384615384615385	0.7056089478739667	NP_955825, NP_957021, NP_001001589, NP_001019591, NP_001002068, NP_001038822, NP_001073503	79	82	930	1.0049397962334055	1.0	1.0	1.0
GOTERM_CC_2	GO:0019898~extrinsic component of membrane	2	1.5384615384615385	0.7092881134882217	XP_005162901, NP_001032183	79	14	930	1.6817359855334537	1.0	1.0	1.0
GOTERM_CC_2	GO:0044464~cell part	67	51.53846153846153	0.7250548895822606	NP_957372, NP_991204, NP_001034928, NP_851300, NP_956883, NP_001003746, NP_001070064, NP_001002218, NP_956962, NP_956007, NP_001028922, NP_001082887, NP_001032750, NP_571369, NP_001304099, NP_001017633, NP_001096608, NP_956280, NP_001013278, NP_958891, NP_001004529, NP_001002748, NP_001002704, NP_956472, NP_957441, NP_958895, NP_001068576, NP_957126, NP_001002068, NP_955825, NP_998356, NP_571876, XP_005162901, NP_001038907, NP_001025360, NP_998198, NP_001038822, NP_957282, NP_998672, NP_001002714, NP_001001589, NP_001019591, NP_957433, NP_999905, NP_001025431, NP_001003882, NP_998620, NP_955934, NP_571105, NP_998501, NP_955854, NP_571467, NP_997778, NP_001036210, XP_017210321, NP_001073508, NP_001073503, NP_957021, NP_001002207, NP_001004546, NP_001004540, NP_001032183, XP_697507, XP_017208265, XP_693668, NP_998096, NP_001070621	79	801	930	0.9846868629403118	1.0	1.0	1.0
GOTERM_CC_2	GO:0005622~intracellular	61	46.92307692307692	0.8803433881570956	NP_957372, NP_991204, NP_001034928, NP_001003746, NP_001070064, NP_001002218, NP_956962, NP_956007, NP_001028922, NP_001082887, NP_571369, NP_001304099, NP_001017633, NP_001096608, NP_956280, NP_001013278, NP_958891, NP_001004529, NP_001002704, NP_956472, NP_957441, NP_958895, NP_001068576, NP_957126, NP_001002068, NP_955825, NP_998356, NP_571876, XP_005162901, NP_001038907, NP_001025360, NP_998198, NP_001038822, NP_957282, NP_998672, NP_001002714, NP_001001589, NP_001019591, NP_957433, NP_001025431, NP_001003882, NP_998620, NP_955934, NP_571105, NP_998501, NP_955854, NP_571467, NP_997778, NP_001036210, XP_017210321, NP_001073508, NP_001073503, NP_957021, NP_001002207, NP_001004546, NP_001004540, NP_001032183, XP_017208265, XP_693668, NP_998096, NP_001070621	79	756	930	0.9498693992364879	1.0	1.0	1.0
GOTERM_CC_2	GO:0043229~intracellular organelle	44	33.84615384615385	0.9205704799494387	NP_957372, NP_001002714, NP_001001589, NP_001019591, NP_957433, NP_001003746, NP_001070064, NP_001002218, NP_956007, NP_001025431, NP_001028922, NP_001082887, NP_998620, NP_571105, NP_571369, NP_998501, NP_571467, NP_001096608, NP_001017633, NP_001036210, NP_956280, NP_001073503, NP_001013278, NP_958891, NP_001004529, NP_957021, NP_956472, NP_957441, NP_001068576, NP_957126, NP_001002207, NP_001002068, NP_001004546, NP_955825, XP_005162901, NP_001038907, NP_001025360, NP_001032183, XP_017208265, XP_693668, NP_998096, NP_998198, NP_001038822, NP_998672	79	576	930	0.8992616033755273	1.0	1.0	1.0
