Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_5	GO:0050136~NADH dehydrogenase (quinone) activity	4	3.076923076923077	0.11988793795078474	NP_957021, NP_001019591, NP_001003747, NP_998198	72	12	682	3.157407407407407	0.9999980617435907	1.0	1.0
GOTERM_MF_5	GO:0005343~organic acid:sodium symporter activity	2	1.5384615384615385	0.19751013043599558	NP_001032750, NP_999905	72	2	682	9.472222222222221	0.9999999998563602	1.0	1.0
GOTERM_MF_5	GO:0015293~symporter activity	2	1.5384615384615385	0.19751013043599558	NP_001032750, NP_999905	72	2	682	9.472222222222221	0.9999999998563602	1.0	1.0
GOTERM_MF_5	GO:0004029~aldehyde dehydrogenase (NAD) activity	2	1.5384615384615385	0.4238431351693004	NP_997889, NP_001004540	72	5	682	3.7888888888888883	1.0	1.0	1.0
GOTERM_MF_5	GO:0004519~endonuclease activity	2	1.5384615384615385	0.4238431351693004	NP_001096608, NP_001025431	72	5	682	3.7888888888888883	1.0	1.0	1.0
GOTERM_MF_5	GO:0016408~C-acyltransferase activity	2	1.5384615384615385	0.4238431351693004	NP_001003746, NP_001002207	72	5	682	3.7888888888888883	1.0	1.0	1.0
GOTERM_MF_5	GO:0008234~cysteine-type peptidase activity	3	2.307692307692308	0.43764795613876123	NP_998501, XP_005162901, NP_001017633	72	14	682	2.0297619047619047	1.0	1.0	1.0
GOTERM_MF_5	GO:0005509~calcium ion binding	5	3.8461538461538463	0.48074862439865523	NP_861429, NP_956007, NP_958901, NP_861431, XP_691156	72	34	682	1.3929738562091505	1.0	1.0	1.0
GOTERM_MF_5	GO:0004812~aminoacyl-tRNA ligase activity	2	1.5384615384615385	0.48426726722680596	NP_001038907, NP_001003882	72	6	682	3.157407407407407	1.0	1.0	1.0
GOTERM_MF_5	GO:0016407~acetyltransferase activity	2	1.5384615384615385	0.48426726722680596	NP_001003746, NP_001002169	72	6	682	3.157407407407407	1.0	1.0	1.0
GOTERM_MF_5	GO:0008757~S-adenosylmethionine-dependent methyltransferase activity	2	1.5384615384615385	0.53843446253321	NP_001034928, NP_001073508	72	7	682	2.7063492063492065	1.0	1.0	1.0
GOTERM_MF_5	GO:0004175~endopeptidase activity	6	4.615384615384616	0.5747426224207843	NP_001001589, NP_998501, XP_005162901, NP_571467, NP_001017633, NP_001077327	72	48	682	1.1840277777777777	1.0	1.0	1.0
GOTERM_MF_5	GO:0016410~N-acyltransferase activity	2	1.5384615384615385	0.5869843190666018	NP_001002169, XP_693668	72	8	682	2.3680555555555554	1.0	1.0	1.0
GOTERM_MF_5	GO:0050660~flavin adenine dinucleotide binding	3	2.307692307692308	0.6351676915299953	NP_001274017, NP_956472, NP_001003743	72	20	682	1.4208333333333332	1.0	1.0	1.0
GOTERM_MF_5	GO:0008237~metallopeptidase activity	2	1.5384615384615385	0.6694741860198585	NP_955934, NP_001001589	72	10	682	1.8944444444444442	1.0	1.0	1.0
GOTERM_MF_5	GO:0005524~ATP binding	8	6.153846153846154	0.7792606243272312	NP_957372, NP_001004295, NP_956883, NP_001038907, NP_997778, NP_001004577, NP_001036210, NP_001003882	72	82	682	0.9241192411924118	1.0	1.0	1.0
GOTERM_MF_5	GO:0032559~adenyl ribonucleotide binding	8	6.153846153846154	0.7905033002073981	NP_957372, NP_001004295, NP_956883, NP_001038907, NP_997778, NP_001004577, NP_001036210, NP_001003882	72	83	682	0.9129852744310575	1.0	1.0	1.0
GOTERM_MF_5	GO:0016462~pyrophosphatase activity	4	3.076923076923077	0.794835016638066	NP_957372, NP_956883, NP_001036210, NP_957282	72	39	682	0.9715099715099715	1.0	1.0	1.0
