Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_1	GO:0005488~binding	193	34.96376811594203	0.03157588549847897	XM_007824396, XM_007823064, XM_007823063, XM_007821206, XM_007821449, XM_007822779, XM_007822777, XM_007823623, XM_007821201, XM_007823071, XM_007818026, XM_007819235, XM_007818028, XM_007819110, XM_007824842, XM_007820242, XM_007824045, XM_011413079, XM_007824164, XM_007818022, XM_007825373, XM_007822789, XM_007820003, XM_007821213, XM_007827433, XM_007820922, XM_007820802, XM_007823639, XM_007824293, XM_007819107, XM_007826907, XM_007824291, XM_007825819, XM_007818138, XM_007820252, XM_007821463, XM_007826910, XM_007824859, XM_007823402, XM_007823401, XM_007821102, XM_007821903, XM_007819696, XM_007822563, XM_007820141, XM_007820262, XM_007819211, XM_007820700, XM_007821479, XM_007822569, XM_007823536, XM_007821356, XM_007821477, XM_007825037, XM_007822202, XM_007821914, XM_007823419, XM_007826808, XM_007818591, XM_007824874, XM_007822332, XM_007822572, XM_011412512, XM_007826938, XM_007827905, XM_007822218, XM_007826133, XM_007823303, XM_007821486, XM_007821123, XM_007822213, XM_007820717, XM_007818585, XM_007818228, XM_007819313, XM_007826822, XM_007821376, XM_007820287, XM_007823313, XM_007821014, XM_007820046, XM_007819309, XM_007820294, XM_007827485, XM_007821702, XM_007821027, XM_007823565, XM_007822234, XM_007826040, XM_007819894, XM_011413196, XM_007822244, XM_007819099, XM_007820986, XM_007821831, XM_007825631, XM_007824303, XM_007821958, XM_007821959, XM_007820626, XM_007825645, XM_007822372, XM_007824791, XM_007821845, XM_007826298, XM_007824798, XM_007818309, XM_007825093, XM_007827272, XM_007825095, XM_007819877, XM_007825414, XM_007827836, XM_007819078, XM_007820081, XM_007823590, XM_007827155, XM_007821612, XM_007823117, XM_007823599, XM_007822146, XM_007822267, XM_007821619, XM_007827163, XM_007818654, XM_007824333, XM_007824453, XM_007820096, XM_007823000, XM_007825306, XM_007823369, XM_007826996, XM_007826083, XM_007818524, XM_007822287, XM_011413376, XM_007823017, XM_007827060, XM_007827746, XM_007822299, XM_011413202, XM_007826419, XM_007824470, XM_007827740, XM_007820431, XM_007827071, XM_007821409, XM_007822617, XM_007827076, XM_007818622, XM_007823397, XM_007824365, XM_007821890, XM_007826308, XM_007821094, XM_007821899, XM_007827077, XM_007822984, XM_007825213, XM_007819825, XM_007827085, XM_007818178, XM_007818854, XM_007824498, XM_007823284, XM_007820338, XM_007821669, XM_007823846, XM_007823601, XM_007823722, XM_007820697, XM_007822752, XM_007821421, XM_007820695, XM_007818288, XM_007819137, XM_007825237, XM_007818043, XM_007823737, XM_007826561, XM_007822768, XM_007822525, XM_007825594, XM_007821315, XM_007825474, XM_007827772, XM_007826321, XM_007826322, XM_007826323, XM_007821797, XM_007822520, XM_007821795, XM_007819488	328	1432	2663	1.0942375493936503	0.29737831892059774	0.2506400162856877	0.2506400162856877
GOTERM_MF_1	GO:0060089~molecular transducer activity	4	0.7246376811594203	0.06412838533561115	XM_007820296, XM_011412909, XM_007826808, XM_007828090	328	8	2663	4.059451219512195	0.5176314029707896	0.2506400162856877	0.2506400162856877
GOTERM_MF_1	GO:0004871~signal transducer activity	6	1.0869565217391304	0.08869347071653785	XM_007820296, XM_011412909, XM_007826808, XM_007823601, XM_007821486, XM_007828090	328	20	2663	2.435670731707317	0.6399943631537088	0.2506400162856877	0.2506400162856877
GOTERM_MF_1	GO:0001071~nucleic acid binding transcription factor activity	17	3.0797101449275366	0.09114182410388644	XM_007826910, XM_007820294, XM_007823000, XM_007822372, XM_011412512, XM_007818043, XM_007827905, XM_007822789, XM_007827740, XM_007822984, XM_007823599, XM_007820046, XM_007822520, XM_007825093, XM_007827076, XM_007820922, XM_007823071	328	92	2663	1.5002319724284199	0.6504918540121793	0.2506400162856877	0.2506400162856877
GOTERM_MF_1	GO:0005198~structural molecule activity	14	2.536231884057971	0.44305533016039317	XM_007822299, XM_007819042, XM_007826321, XM_007826585, XM_007822864, XM_007821686, XM_007825344, XM_007821640, XM_007825631, XM_007823905, XM_007823904, XM_007820669, XM_007823419, XM_007819944	328	99	2663	1.148127617639813	0.9984006902995402	0.974721726352865	0.974721726352865
GOTERM_MF_1	GO:0098772~molecular function regulator	7	1.2681159420289856	0.5692055656439531	XM_007824169, XM_007824440, XM_007821914, XM_007820703, XM_007822516, XM_007825430, XM_007827981	328	49	2663	1.1598432055749128	0.9999051645035973	1.0	1.0
GOTERM_MF_1	GO:0003824~catalytic activity	213	38.58695652173913	0.6478781204850599	XM_007822530, XM_007822772, XM_007824953, XM_007819485, XM_007823064, XM_007823063, XM_007822659, XM_007822779, XM_007823623, XM_007821201, XM_007825250, XM_007819239, XM_007823190, XM_007819235, XM_007818028, XM_007819110, XM_007824842, XM_007820242, XM_007824164, XM_007825373, XM_007827674, XM_007822425, XM_007820003, XM_007821213, XM_007820922, XM_007823639, XM_011413081, XM_007819107, XM_007826907, XM_007828090, XM_007818138, XM_007820252, XM_007820371, XM_007824859, XM_007825383, XM_007823405, XM_007823401, XM_007821102, XM_007821903, XM_007819696, XM_007823410, XM_007819451, XM_007821350, XM_007820141, XM_007820262, XM_007819211, XM_007820381, XM_007820700, XM_007821479, XM_007822327, XM_007821356, XM_007821477, XM_007826489, XM_007820828, XM_007823419, XM_007826808, XM_007822332, XM_007821364, XM_007827903, XM_007822218, XM_007823548, XM_007823303, XM_007821486, XM_007821123, XM_007822213, XM_007820717, XM_007825292, XM_007827592, XM_007818585, XM_007818228, XM_007819313, XM_007826822, XM_007821493, XM_007821018, XM_007824525, XM_007822345, XM_007820287, XM_007823313, XM_007821014, XM_007820609, XM_007819309, XM_007819546, XM_007820296, XM_007823684, XM_007821142, XM_007821702, XM_007822118, XM_007821027, XM_007823204, XM_007821145, XM_007823565, XM_007827369, XM_007822234, XM_007821947, XM_007826040, XM_007820738, XM_011413196, XM_007819099, XM_007819893, XM_007821392, XM_007821831, XM_007823217, XM_007824303, XM_007821958, XM_007822806, XM_007820505, XM_007823585, XM_007825526, XM_007825406, XM_007820634, XM_007826298, XM_007820632, XM_011412718, XM_007818309, XM_007827272, XM_007822938, XM_007819877, XM_007825414, XM_007823111, XM_007827836, XM_007819078, XM_007820081, XM_007825099, XM_007827830, XM_007823598, XM_007822267, XM_007821619, XM_007827163, XM_007818532, XM_007824453, XM_007820096, XM_007824450, XM_007820775, XM_007823369, XM_007820892, XM_007821068, XM_007826996, XM_007826083, XM_007818524, XM_007825557, XM_007822287, XM_007826527, XM_011413376, XM_007820425, XM_007827058, XM_007823017, XM_007827060, XM_007824905, XM_007824908, XM_007819721, XM_007827746, XM_007822299, XM_007824911, XM_007821084, XM_007826419, XM_007824470, XM_007822736, XM_007821646, XM_007827068, XM_007825445, XM_007826413, XM_007819957, XM_007819956, XM_007818622, XM_007824488, XM_007823397, XM_007824365, XM_007824000, XM_007826308, XM_007826429, XM_007821094, XM_007827077, XM_007822622, XM_007825332, XM_007825213, XM_007820563, XM_007827082, XM_007823281, XM_007818854, XM_007819820, XM_007826437, XM_007824498, XM_007820693, XM_007823284, XM_007823968, XM_007820338, XM_007828298, XM_007822514, XM_007823601, XM_007827766, XM_007820695, XM_007819813, XM_007818288, XM_007819137, XM_007825237, XM_007825359, XM_007822648, XM_007823737, XM_007826561, XM_007822768, XM_007822525, XM_007825594, XM_007820104, XM_007821315, XM_007821557, XM_007827772, XM_007820465, XM_007821797, XM_007820342, XM_007820221, XM_007821795, XM_007822649, XM_007819488	328	1747	2663	0.98988335404247	0.9999896813442338	1.0	1.0
GOTERM_MF_1	GO:0016209~antioxidant activity	2	0.36231884057971014	0.860646244436708	XM_007821142, XM_007821201	328	15	2663	1.082520325203252	0.9999999996151376	1.0	1.0
GOTERM_MF_1	GO:0000988~transcription factor activity, protein binding	2	0.36231884057971014	0.917774117235582	XM_007827072, XM_007820825	328	19	2663	0.8546213093709885	0.9999999999988383	1.0	1.0
GOTERM_MF_1	GO:0005215~transporter activity	18	3.260869565217391	0.9710685383913867	XM_007827746, XM_007825942, XM_007824288, XM_007822494, XM_007823042, XM_007819480, XM_007823506, XM_007823515, XM_007825594, XM_007820336, XM_007827772, XM_007822513, XM_007821477, XM_007820334, XM_007823499, XM_007821506, XM_007819575, XM_007818524	328	201	2663	0.7270658900618857	1.0	1.0	1.0
