Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_4	GO:0022853~active ion transmembrane transporter activity	10	0.37721614485099964	0.006272767837799676	XP_017634980, XP_017627347, XP_017604176, XP_017638323, XP_017637731, YP_005088984, YP_005088985, YP_005089006, XP_017624242, YP_005088987	549	14	1891	2.4603174603174605	0.5240858833906781	0.7401866048603618	0.7401866048603618
GOTERM_MF_4	GO:0016655~oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	10	0.37721614485099964	0.031842575436214965	YP_005089042, YP_005089052, YP_005089003, YP_005089047, YP_005089046, YP_005089002, YP_005089055, YP_005089048, XP_017647318, YP_005089050	549	17	1891	2.026143790849673	0.9780403367486371	1.0	1.0
GOTERM_MF_4	GO:0016820~hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances	13	0.49038098830629956	0.04611854241401155	XP_017616690, XP_017623017, XP_017627347, XP_017624242, XP_017634980, XP_017604176, XP_017638323, XP_017637731, YP_005088984, XP_017612691, YP_005088985, YP_005089006, YP_005088987	549	26	1891	1.7222222222222223	0.9961951285735362	1.0	1.0
GOTERM_MF_4	GO:0004553~hydrolase activity, hydrolyzing O-glycosyl compounds	17	0.6412674462466994	0.07021976354107648	XP_017649413, XP_017624459, XP_017616790, XP_017620463, XP_017628003, XP_017633779, XP_017631956, XP_017628192, XP_017633611, XP_017635343, XP_017606276, XP_017607801, XP_017607006, XP_017607447, XP_017611191, XP_017615195, XP_017626715	549	39	1891	1.5014245014245013	0.9998142723167823	1.0	1.0
GOTERM_MF_4	GO:0015399~primary active transmembrane transporter activity	13	0.49038098830629956	0.08086456786069718	XP_017623017, XP_017627347, XP_017624242, XP_017634980, XP_017604176, XP_017638323, XP_017634884, XP_017637731, YP_005088984, XP_017612691, YP_005088985, YP_005089006, YP_005088987	549	28	1891	1.5992063492063493	0.9999522710400518	1.0	1.0
GOTERM_MF_4	GO:0015075~ion transmembrane transporter activity	22	0.8298755186721992	0.13942126559811213	XP_017602978, XP_017631905, XP_017627347, XP_017606908, XP_017630323, XP_017624242, XP_017611979, XP_017646472, XP_017612656, XP_017615955, XP_017634980, XP_017604176, XP_017638323, XP_017614101, XP_017637731, YP_005088984, YP_005088985, YP_005089006, XP_017607996, YP_005088986, XP_017624319, YP_005088987	549	58	1891	1.3065134099616857	0.9999999798027616	1.0	1.0
GOTERM_MF_4	GO:0051539~4 iron, 4 sulfur cluster binding	6	0.2263296869105998	0.18778447615599908	YP_005089003, XP_017619850, YP_005089048, YP_005088999, XP_017649430, YP_005088998	549	11	1891	1.878787878787879	0.9999999999780612	1.0	1.0
GOTERM_MF_4	GO:0003954~NADH dehydrogenase activity	6	0.2263296869105998	0.18778447615599908	YP_005089042, YP_005089052, YP_005089003, YP_005089002, YP_005089055, YP_005089048	549	11	1891	1.878787878787879	0.9999999999780612	1.0	1.0
GOTERM_MF_4	GO:0008483~transaminase activity	7	0.2640513013956997	0.19365005766607407	XP_017646125, XP_017602879, XP_017630573, XP_017603344, XP_017634406, XP_017631437, XP_017630964	549	14	1891	1.7222222222222223	0.9999999999906721	1.0	1.0
GOTERM_MF_4	GO:0005089~Rho guanyl-nucleotide exchange factor activity	3	0.1131648434552999	0.2031298240246101	XP_017627116, XP_017603102, XP_017606600	549	3	1891	3.4444444444444446	0.9999999999976894	1.0	1.0
GOTERM_MF_4	GO:0016779~nucleotidyltransferase activity	15	0.5658242172764995	0.21388846097379421	YP_005089031, XP_017623534, YP_005088991, XP_017624079, XP_017623014, YP_005088990, XP_017634647, XP_017638599, XP_017608289, XP_017641873, XP_017643821, XP_017603365, XP_017638992, XP_017623987, YP_005088989	549	39	1891	1.3247863247863247	0.9999999999995354	1.0	1.0
GOTERM_MF_4	GO:0016868~intramolecular transferase activity, phosphotransferases	4	0.15088645794039984	0.23675943068855723	XP_017642261, XP_017623018, XP_017626596, XP_017619383	549	6	1891	2.2962962962962963	0.9999999999999858	1.0	1.0
GOTERM_MF_4	GO:0020037~heme binding	15	0.5658242172764995	0.24676153741004242	YP_005089053, XP_017623474, XP_017623496, XP_017642762, YP_005089012, XP_017643235, XP_017647363, XP_017616747, XP_017640864, XP_017607830, XP_017605652, YP_005089015, XP_017609719, XP_017606969, XP_017607737	549	40	1891	1.2916666666666665	0.999999999999997	1.0	1.0
GOTERM_MF_4	GO:0051537~2 iron, 2 sulfur cluster binding	5	0.18860807242549982	0.24695182004617608	XP_017623521, XP_017616478, XP_017633729, XP_017648210, XP_017623616	549	9	1891	1.9135802469135805	0.9999999999999971	1.0	1.0
GOTERM_MF_4	GO:0016758~transferase activity, transferring hexosyl groups	13	0.49038098830629956	0.26002018668331495	XP_017625972, XP_017620463, XP_017619238, XP_017649582, XP_017611888, XP_017609168, XP_017641509, XP_017612651, XP_017633611, XP_017636167, XP_017635343, XP_017641467, XP_017607105	549	34	1891	1.3169934640522876	0.9999999999999997	1.0	1.0
GOTERM_MF_4	GO:0070011~peptidase activity, acting on L-amino acid peptides	31	1.169370049038099	0.31976239188381234	XP_017619266, XP_017626712, XP_017603916, XP_017642222, XP_017627444, XP_017628214, XP_017649693, XP_017624297, XP_017617304, XP_017612827, XP_017649057, XP_017630778, XP_017613977, XP_017615659, XP_017608545, XP_017642887, XP_017642449, XP_017607519, XP_017632052, XP_017607813, XP_017627810, XP_017626663, XP_017624102, XP_017620122, XP_017616127, XP_017612414, XP_017603083, XP_017606372, XP_017631651, XP_017635077, XP_017607924	549	95	1891	1.1239766081871345	1.0	1.0	1.0
GOTERM_MF_4	GO:0004784~superoxide dismutase activity	4	0.15088645794039984	0.32974202671276137	XP_017650238, XP_017607671, XP_017619420, XP_017616277	549	7	1891	1.9682539682539681	1.0	1.0	1.0
GOTERM_MF_4	GO:0043022~ribosome binding	4	0.15088645794039984	0.32974202671276137	XP_017613984, XP_017602953, XP_017639022, XP_017608094	549	7	1891	1.9682539682539681	1.0	1.0	1.0
GOTERM_MF_4	GO:0016811~hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	4	0.15088645794039984	0.32974202671276137	XP_017642212, XP_017642414, XP_017642689, XP_017632052	549	7	1891	1.9682539682539681	1.0	1.0	1.0
GOTERM_MF_4	GO:0003723~RNA binding	59	2.225575254620898	0.3558317415205101	XP_017646884, XP_017620174, XP_017617604, XP_017608094, XP_017607594, XP_017633567, XP_017648191, XP_017631584, XP_017615411, XP_017639101, XP_017642526, XP_017606705, XP_017639022, XP_017624448, XP_017649763, YP_005089022, XP_017611509, XP_017633834, XP_017630523, XP_017621492, XP_017613529, XP_017612437, XP_017634964, XP_017631454, XP_017640631, XP_017611261, XP_017603202, XP_017626905, XP_017602953, YP_005089032, YP_005089036, YP_005088980, YP_005089035, YP_005089034, XP_017617027, XP_017640560, XP_017625000, XP_017647155, XP_017624270, XP_017620191, XP_017612645, XP_017611355, YP_005089038, XP_017642788, YP_005089037, XP_017645937, XP_017646113, XP_017616689, XP_017631639, XP_017611766, XP_017631835, XP_017612972, XP_017611289, XP_017613984, XP_017607104, XP_017649908, XP_017606657, XP_017643886, YP_005088997	549	191	1891	1.0639906922629436	1.0	1.0	1.0
GOTERM_MF_4	GO:0046872~metal ion binding	127	4.790645039607695	0.3598266870620292	XP_017647335, XP_017623521, XP_017619420, XP_017616277, XP_017650225, XP_017633729, XP_017630734, XP_017607671, XP_017631268, XP_017605652, XP_017635102, XP_017638853, XP_017610165, XP_017603079, XP_017626638, XP_017650238, XP_017648797, XP_017630969, XP_017620367, XP_017646536, XP_017632227, XP_017637911, XP_017615589, XP_017602790, XP_017611660, XP_017603365, XP_017642611, XP_017645724, XP_017619383, XP_017642261, XP_017643351, XP_017649976, XP_017646342, XP_017606409, XP_017641055, XP_017643235, XP_017649693, XP_017626099, XP_017626251, XP_017631845, XP_017649451, XP_017625290, XP_017611277, XP_017632258, XP_017631167, XP_017606523, XP_017607737, XP_017606818, XP_017647444, XP_017623018, XP_017643000, XP_017623496, XP_017621074, XP_017611447, XP_017610998, XP_017637937, XP_017606493, XP_017649907, YP_005088995, XP_017607589, YP_005088994, YP_005089048, YP_005088999, YP_005088998, XP_017616472, XP_017622990, XP_017623561, XP_017626278, XP_017619622, XP_017642762, YP_005089012, XP_017631623, XP_017640980, XP_017616478, XP_017607082, XP_017607353, XP_017637448, XP_017640864, XP_017620338, XP_017639067, YP_005089015, XP_017634175, XP_017603604, XP_017617396, XP_017625972, XP_017625970, XP_017626663, XP_017616222, XP_017619859, XP_017613529, XP_017616747, XP_017615304, XP_017634841, XP_017639217, XP_017612793, XP_017612276, XP_017606712, XP_017606313, XP_017630718, XP_017629447, XP_017618799, XP_017624393, XP_017624270, XP_017608226, XP_017637465, XP_017639489, XP_017632214, XP_017636498, XP_017606563, XP_017609719, XP_017611191, XP_017632052, XP_017620220, YP_005089003, XP_017616484, XP_017624386, XP_017650016, XP_017640574, XP_017613828, XP_017647363, XP_017637734, XP_017639636, YP_005089007, XP_017609965, XP_017623616, XP_017626968, XP_017608759	549	423	1891	1.034147622800105	1.0	1.0	1.0
GOTERM_MF_4	GO:0016168~chlorophyll binding	7	0.2640513013956997	0.3666509591560919	XP_017625290, XP_017617396, YP_005088995, YP_005088994, YP_005088999, XP_017632923, YP_005088998	549	17	1891	1.4183006535947713	1.0	1.0	1.0
GOTERM_MF_4	GO:0016876~ligase activity, forming aminoacyl-tRNA and related compounds	6	0.2263296869105998	0.38232136314492826	XP_017607929, XP_017646216, XP_017637994, XP_017623443, XP_017603221, XP_017611509	549	14	1891	1.4761904761904763	1.0	1.0	1.0
GOTERM_MF_4	GO:0016831~carboxy-lyase activity	7	0.2640513013956997	0.4272707110452222	XP_017617342, XP_017606919, XP_017616222, XP_017642555, YP_005089007, XP_017627564, XP_017612285	549	18	1891	1.3395061728395063	1.0	1.0	1.0
GOTERM_MF_4	GO:0016818~hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	33	1.2448132780082988	0.4516859667847025	XP_017627347, XP_017626278, XP_017645973, XP_017621161, XP_017619306, XP_017646181, XP_017633567, XP_017638115, YP_005088984, XP_017605852, XP_017636075, YP_005088985, XP_017642526, YP_005088987, XP_017645937, XP_017623436, XP_017623017, XP_017633659, XP_017632966, XP_017624242, XP_017630825, XP_017634201, XP_017637711, XP_017611289, XP_017634980, XP_017604492, XP_017612376, XP_017615589, XP_017604176, XP_017638323, XP_017637731, XP_017612691, YP_005089006	549	107	1891	1.0623052959501558	1.0	1.0	1.0
GOTERM_MF_4	GO:0016703~oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of one atom of oxygen (internal monooxygenases or internal mixed function oxidases)	2	0.07544322897019992	0.4957159924891194	XP_017633729, XP_017648210	549	2	1891	3.4444444444444446	1.0	1.0	1.0
GOTERM_MF_4	GO:0033558~protein deacetylase activity	2	0.07544322897019992	0.4957159924891194	XP_017642414, XP_017642689	549	2	1891	3.4444444444444446	1.0	1.0	1.0
GOTERM_MF_4	GO:0016774~phosphotransferase activity, carboxyl group as acceptor	2	0.07544322897019992	0.4957159924891194	XP_017620140, XP_017623066	549	2	1891	3.4444444444444446	1.0	1.0	1.0
GOTERM_MF_4	GO:0008194~UDP-glycosyltransferase activity	7	0.2640513013956997	0.598896987521634	XP_017609168, XP_017625972, XP_017641467, XP_017619238, XP_017607105, XP_017611888, XP_017649582	549	21	1891	1.1481481481481481	1.0	1.0	1.0
GOTERM_MF_4	GO:0016301~kinase activity	52	1.9615239532251982	0.6095160415944255	XP_017649279, XP_017629469, XP_017619307, XP_017623042, XP_017631787, XP_017607040, XP_017649354, XP_017633407, XP_017607353, XP_017639705, XP_017609693, XP_017634011, XP_017637208, XP_017631543, XP_017638535, XP_017631068, XP_017643259, XP_017648903, XP_017624122, XP_017646536, XP_017616221, XP_017646379, XP_017642575, XP_017646097, XP_017615304, XP_017623519, XP_017606712, XP_017622948, XP_017606409, XP_017627105, XP_017623066, XP_017602807, XP_017649573, XP_017637903, XP_017620193, XP_017649451, XP_017609355, XP_017631241, XP_017642629, XP_017631164, XP_017608067, XP_017610588, XP_017639644, XP_017640841, XP_017606408, XP_017606923, XP_017620140, XP_017637937, XP_017633930, XP_017622849, XP_017620902, XP_017625957	549	180	1891	0.9950617283950618	1.0	1.0	1.0
GOTERM_MF_4	GO:0052689~carboxylic ester hydrolase activity	5	0.18860807242549982	0.613651805708277	XP_017615725, XP_017647037, XP_017622189, XP_017603221, XP_017631407	549	14	1891	1.2301587301587302	1.0	1.0	1.0
GOTERM_MF_4	GO:0016884~carbon-nitrogen ligase activity, with glutamine as amido-N-donor	2	0.07544322897019992	0.642009076721738	XP_017623259, XP_017628165	549	3	1891	2.2962962962962963	1.0	1.0	1.0
GOTERM_MF_4	GO:0016783~sulfurtransferase activity	2	0.07544322897019992	0.642009076721738	XP_017603101, XP_017603365	549	3	1891	2.2962962962962963	1.0	1.0	1.0
GOTERM_MF_4	GO:0030170~pyridoxal phosphate binding	7	0.2640513013956997	0.6496662270158857	XP_017617342, XP_017630573, XP_017642555, XP_017603101, XP_017603344, XP_017631437, XP_017647440	549	22	1891	1.095959595959596	1.0	1.0	1.0
