parent_class_p	log2FC_p	padj_p	parent_class_h	log2FC_h	padj_h	gene_id	classification
3	equal	-0.286834165556761	0.380691848862778	equal	-0.440747938131993	0.503503340645102	lcl|NC_030664.1_cds_XP_017607568.1_3	PEI eq
4	G_arboreum	1.53376069248714	1.40513747744631e-06	equal	-1.21645732066089	0.530760738813412	lcl|NC_030664.1_cds_XP_017629452.1_4	HEBl
6	equal	-0.19687923069936	0.781740364952666	equal	-0.837604092444495	0.702931885246155	lcl|NC_030664.1_cds_XP_017606774.1_6	PEI eq
7	equal	-0.404503388919506	0.542678602691461	equal	-0.690506024001224	0.784098100831204	lcl|NC_030664.1_cds_XP_017606782.1_7	PEI eq
10	equal	-0.46641396767702	0.253118302111867	equal	-0.458879748166001	0.800693184189073	lcl|NC_030664.1_cds_XP_017614325.1_10	PEI eq
19	equal	0.183836320625408	0.770877032281178	equal	-0.308692817977893	0.896140292542486	lcl|NC_030664.1_cds_XP_017627553.1_21	PEI eq
25	equal	-0.256023088819635	0.588816337834345	equal	-1.48456854622182	0.0981891453777058	lcl|NC_030664.1_cds_XP_017607450.1_28	PEI eq
30	equal	-0.574612981422432	0.19933961314797	equal	-0.91985793492825	0.567086166819121	lcl|NC_030664.1_cds_XP_017613023.1_34	PEI eq
33	equal	0.455735910131609	0.444953912204504	equal	0.0489696475866789	0.990694265952111	lcl|NC_030664.1_cds_XP_017623003.1_37	PEI eq
34	equal	0.385975710364174	0.492109754375248	equal	-0.105767536612313	0.976563172246163	lcl|NC_030664.1_cds_XP_017622995.1_38	PEI eq
36	equal	0.611783112542124	0.264022421803758	equal	0.355779875280988	0.940056782811846	lcl|NC_030664.1_cds_XP_017614730.1_42	PEI eq
40	equal	-0.10600913632134	0.89664904060677	equal	1.509093345934	0.318433091054423	lcl|NC_030664.1_cds_XP_017623911.1_49	PEI eq
42	G_arboreum	1.07048689804631	0.00253442696415579	equal	0.84155265898892	0.53871819281573	lcl|NC_030664.1_cds_XP_017604989.1_51	HEBl
45	G_arboreum	1.68063466205878	5.10602559627434e-09	G_arboreum	1.76084780659877	0.00956264438258556	lcl|NC_030664.1_cds_XP_017615031.1_55	PEI de
46	G_arboreum	1.7041503453774	1.39099698771886e-09	equal	1.09845198200449	0.19948077352887	lcl|NC_030664.1_cds_XP_017609302.1_56	HEBl
57	G_raimondii	-1.06691904968041	0.0104904418663289	G_arboreum	5.90881298184159	0.0143446988033502	lcl|NC_030664.1_cds_XP_017641045.1_79	HER
60	equal	0.4090761648751	0.344756731044755	equal	-0.700165232112277	0.62693542240827	lcl|NC_030664.1_cds_XP_017622273.1_82	PEI eq
63	equal	1.15065670727253	0.188268285763807	G_arboreum	5.58622381590519	0.0342033347185737	lcl|NC_030664.1_cds_XP_017609450.1_85	HEBi
67	equal	0.547793732663652	0.162393021553977	equal	0.0168068221993723	0.993805600121764	lcl|NC_030664.1_cds_XP_017614420.1_91	PEI eq
69	equal	-0.566476529536254	0.0745024301630414	G_raimondii	-1.23174972254976	0.0484079994551826	lcl|NC_030664.1_cds_XP_017645196.1_93	HEBi
72	equal	-0.420885958897896	0.391275955974171	equal	-1.10026697986168	0.467106206199689	lcl|NC_030664.1_cds_XP_017624768.1_97	PEI eq
74	equal	0.287736867242955	0.635636732909955	equal	-0.340372973959197	0.851510911842072	lcl|NC_030664.1_cds_XP_017618340.1_100	PEI eq
76	G_raimondii	-1.66125732035763	1.53640788519749e-09	equal	0.256003703817035	0.874026138319977	lcl|NC_030664.1_cds_XP_017605987.1_102	HEBl
78	equal	0.0855386244586208	0.90205652016332	equal	-0.44876167577023	0.863906275152376	lcl|NC_030664.1_cds_XP_017625327.1_104	PEI eq
81	equal	-0.480858108487765	0.164634960788683	equal	0.795459154988846	0.373412555368882	lcl|NC_030664.1_cds_XP_017649736.1_108	PEI eq
88	equal	-0.431264030777568	0.325393320891397	equal	-2.60444405366714	0.141141249698582	lcl|NC_030664.1_cds_XP_017609008.1_116	PEI eq
89	G_raimondii	-1.91618386633219	2.86761389035072e-09	equal	4.89737393352681	0.126367958432991	lcl|NC_030664.1_cds_XP_017627276.1_117	HEBl
90	equal	0.31062359391754	0.564301825821067	equal	-0.410642566950564	0.789318550188031	lcl|NC_030664.1_cds_XP_017623751.1_118	PEI eq
95	equal	-0.19654128882699	0.703949384481195	equal	-0.179939306071556	0.905518670193389	lcl|NC_030664.1_cds_XP_017638339.1_124	PEI eq
96	G_arboreum	1.48208515490319	4.24269446000703e-08	equal	0.13375155322759	0.953099495922449	lcl|NC_030664.1_cds_XP_017644551.1_125	HEBl
98	equal	-0.562473850478769	0.252336943414303	equal	-0.239516543318694	0.864240409618635	lcl|NC_030664.1_cds_XP_017625087.1_127	PEI eq
103	equal	0.0313891069041563	0.956832284067644	equal	-0.14061624935674	0.937851886676761	lcl|NC_030664.1_cds_XP_017608271.1_135	PEI eq
109	equal	-0.159122326118098	0.858573529160282	equal	0.651352616689104	0.841831054209435	lcl|NC_030664.1_cds_XP_017626861.1_144	PEI eq
113	equal	0.383758607893387	0.623430023766398	equal	4.82674924069686	0.132995278178127	lcl|NC_030664.1_cds_XP_017649929.1_150	PEI eq
115	equal	0.674657142315198	0.000818372483903506	equal	0.189108688296549	0.871074678630578	lcl|NC_030664.1_cds_XP_017649954.1_152	PEI eq
117	equal	0.321427709519409	0.30762050118571	G_arboreum	2.01585916747771	2.32590103504702e-07	lcl|NC_030664.1_cds_XP_017649968.1_154	HEBi
121	equal	-0.721170834367725	0.00413602145284625	equal	-0.796299740333063	0.191388174171209	lcl|NC_030664.1_cds_XP_017623995.1_158	PEI eq
123	equal	-0.150925955980004	0.767205052154498	equal	0.451409545537002	0.68647507222396	lcl|NC_030664.1_cds_XP_017607020.1_160	PEI eq
