Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_5	GO:0006516~glycoprotein catabolic process	3	0.7177033492822966	0.026610881363596083	NM_001179335, NM_001181789, NM_001178688	372	3	3805	10.228494623655914	0.9999999999995369	1.0	1.0
GOTERM_BP_5	GO:0097466~glycoprotein ERAD pathway	3	0.7177033492822966	0.026610881363596083	NM_001179335, NM_001181789, NM_001178688	372	3	3805	10.228494623655914	0.9999999999995369	1.0	1.0
GOTERM_BP_5	GO:0055082~cellular chemical homeostasis	22	5.263157894736842	0.03506726111131894	NM_001183473, NM_001180094, NM_001184222, NM_001183376, NM_001181032, NM_001181114, NM_001183645, NM_001182334, NM_001183801, NM_001181970, NM_001182751, NM_001182321, NM_001183686, NM_001182635, NM_001182723, NM_001180018, NM_001183924, NM_001179685, NM_001178685, NM_001182092, NM_001178535, NM_001179306	372	143	3805	1.5736145574855251	1.0	1.0	1.0
GOTERM_BP_5	GO:0006491~N-glycan processing	4	0.9569377990430622	0.035493926961908784	NM_001180903, NM_001178553, NM_001179335, NM_001181789	372	8	3805	5.114247311827958	1.0	1.0	1.0
GOTERM_BP_5	GO:0001678~cellular glucose homeostasis	5	1.1961722488038278	0.04042594941141046	NM_001180094, NM_001181114, NM_001182334, NM_001178685, NM_001180018	372	14	3805	3.6530337941628264	1.0	1.0	1.0
GOTERM_BP_5	GO:0033500~carbohydrate homeostasis	5	1.1961722488038278	0.04042594941141046	NM_001180094, NM_001181114, NM_001182334, NM_001178685, NM_001180018	372	14	3805	3.6530337941628264	1.0	1.0	1.0
GOTERM_BP_5	GO:0019318~hexose metabolic process	11	2.631578947368421	0.08152763004125216	NM_001182409, NM_001180927, NM_001178493, NM_001180563, NM_001179234, NM_001178685, NM_001178587, NM_001178950, NM_001180018, NM_001179019, NM_001179922	372	63	3805	1.7859276327018265	1.0	1.0	1.0
GOTERM_BP_5	GO:0046835~carbohydrate phosphorylation	4	0.9569377990430622	0.0840365162791442	NM_001181763, NM_001182334, NM_001178685, NM_001180018	372	11	3805	3.7194525904203326	1.0	1.0	1.0
GOTERM_BP_5	GO:0015940~pantothenate biosynthetic process	4	0.9569377990430622	0.0840365162791442	NM_001182033, NM_001183306, NM_001182674, NM_001182673	372	11	3805	3.7194525904203326	1.0	1.0	1.0
GOTERM_BP_5	GO:0015939~pantothenate metabolic process	4	0.9569377990430622	0.0840365162791442	NM_001182033, NM_001183306, NM_001182674, NM_001182673	372	11	3805	3.7194525904203326	1.0	1.0	1.0
GOTERM_BP_5	GO:0043101~purine-containing compound salvage	4	0.9569377990430622	0.0840365162791442	NM_001182979, NM_001181791, NM_001180749, NM_001181763	372	11	3805	3.7194525904203326	1.0	1.0	1.0
