Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_2	GO:0044237~cellular metabolic process	121	16.805555555555557	5.4647606108257666E-5	XP_017623521, YP_005089052, XP_017641871, XP_017647216, XP_017649239, YP_005089055, XP_017628411, XP_017617127, YP_005089050, XP_017631947, XP_017616717, XP_017635343, XP_017603232, XP_017641994, XP_017611370, XP_017639022, XP_017620658, XP_017646496, XP_017617115, XP_017610617, XP_017631772, XP_017642338, XP_017602953, XP_017607329, YP_005089032, XP_017630518, YP_005089031, XP_017646342, YP_005089030, YP_005089036, YP_005088980, YP_005088981, YP_005089034, XP_017617422, XP_017626653, XP_017626772, XP_017610348, XP_017649451, XP_017634431, XP_017640885, XP_017615872, YP_005088984, YP_005088985, YP_005089038, YP_005088982, YP_005089037, XP_017607337, YP_005088989, YP_005088986, YP_005088987, XP_017619154, YP_005089042, XP_017617098, XP_017621994, XP_017643000, YP_005089047, YP_005089046, YP_005089045, XP_017647281, XP_017647044, XP_017632923, XP_017630505, XP_017615923, XP_017608430, XP_017617817, XP_017613984, XP_017606493, YP_005088995, XP_017649908, XP_017635231, YP_005088994, YP_005089048, YP_005088999, XP_017619680, YP_005088997, XP_017635073, YP_005088998, YP_005089012, XP_017631226, XP_017611219, XP_017631584, XP_017615411, XP_017642008, XP_017648909, YP_005089019, XP_017603604, YP_005089020, XP_017617396, XP_017620202, YP_005089022, XP_017634729, XP_017616989, YP_005088979, XP_017640631, XP_017606397, XP_017642414, XP_017612270, XP_017646619, XP_017623104, XP_017649413, XP_017630718, XP_017627941, XP_017643676, XP_017617107, XP_017612605, XP_017632214, XP_017623987, XP_017644893, XP_017602936, YP_005089003, XP_017616122, YP_005089002, XP_017616883, XP_017632327, XP_017633779, XP_017634980, XP_017606570, XP_017650010, YP_005089007, YP_005089006, XP_017615160	160	916	1492	1.2317958515283842	0.002129045235559568	0.0021312566382220488	0.0020766090321137913
GOTERM_BP_2	GO:0006807~nitrogen compound metabolic process	93	12.916666666666668	2.580144953585791E-4	YP_005089052, XP_017647216, XP_017641871, YP_005089055, XP_017649239, XP_017617127, XP_017631226, YP_005089050, XP_017611219, XP_017631947, XP_017616717, XP_017631584, XP_017615411, XP_017641994, XP_017611370, XP_017642008, XP_017648909, XP_017639022, YP_005089020, XP_017646496, XP_017620202, YP_005089022, XP_017617115, XP_017610617, XP_017634729, XP_017640631, XP_017606397, XP_017631772, XP_017642414, XP_017642338, XP_017612270, XP_017602953, XP_017607329, XP_017646619, YP_005089032, XP_017623104, XP_017630518, XP_017649413, YP_005089031, XP_017630718, YP_005089036, YP_005088980, YP_005088981, YP_005089034, XP_017643676, XP_017617422, XP_017626653, XP_017626772, XP_017617107, XP_017610348, XP_017612605, XP_017649451, XP_017634431, XP_017640885, YP_005088984, YP_005088985, YP_005089038, YP_005089037, XP_017607337, YP_005088989, XP_017623987, YP_005088986, YP_005088987, XP_017619154, YP_005089042, XP_017617098, XP_017621994, XP_017644893, XP_017602936, XP_017616122, YP_005089045, XP_017616883, XP_017632327, XP_017633779, XP_017647281, XP_017647044, XP_017630505, XP_017615923, XP_017608430, XP_017617817, XP_017634980, XP_017613984, XP_017606493, XP_017606570, XP_017650010, XP_017649908, YP_005089006, XP_017638267, XP_017635231, XP_017619680, YP_005088997, XP_017615160, XP_017635073	160	665	1492	1.3040977443609023	0.010013392463762871	0.005031282659492293	0.004902275411813003
GOTERM_BP_2	GO:0009058~biosynthetic process	83	11.527777777777779	0.00973619256446639	XP_017623521, XP_017649239, XP_017617127, XP_017631226, XP_017611219, XP_017631947, XP_017630573, XP_017631584, XP_017615411, XP_017641994, XP_017611370, XP_017642008, XP_017648909, XP_017639022, XP_017620658, YP_005089020, XP_017646496, XP_017620202, YP_005089022, XP_017617115, XP_017610617, XP_017634729, XP_017640631, XP_017606397, XP_017631772, XP_017642414, XP_017642338, XP_017612270, XP_017602953, XP_017607329, XP_017646619, YP_005089032, XP_017623104, XP_017630518, YP_005089031, XP_017630718, YP_005089036, XP_017627941, YP_005088981, YP_005089034, XP_017643676, XP_017617422, XP_017626653, XP_017626772, XP_017610348, XP_017612605, XP_017632214, XP_017640885, YP_005088984, YP_005088985, YP_005089038, YP_005089037, XP_017607337, YP_005088989, XP_017623987, YP_005088986, YP_005088987, XP_017619154, XP_017617098, XP_017621994, XP_017644893, XP_017602936, XP_017616122, YP_005089045, XP_017616883, XP_017647281, XP_017647044, XP_017630505, XP_017615923, XP_017608430, XP_017617817, XP_017634980, XP_017613984, XP_017606493, XP_017606570, YP_005089007, XP_017649908, YP_005089006, XP_017635231, XP_017619680, YP_005088997, XP_017615160, XP_017635073	160	635	1492	1.2188582677165356	0.3172128232023891	0.12657050333806308	0.12332510581657427
GOTERM_BP_2	GO:0044238~primary metabolic process	109	15.138888888888888	0.01811788707515619	YP_005089052, XP_017641871, XP_017647216, XP_017649239, YP_005089055, XP_017617127, YP_005089050, XP_017631947, XP_017616717, XP_017635343, XP_017603232, XP_017641994, XP_017611370, XP_017639022, XP_017620658, XP_017646496, XP_017617115, XP_017628003, XP_017610617, XP_017631772, XP_017642338, XP_017602953, XP_017607329, YP_005089032, XP_017630518, YP_005089031, YP_005089036, YP_005088980, YP_005088981, YP_005089034, XP_017617422, XP_017626653, XP_017626772, XP_017610348, XP_017649451, XP_017634431, XP_017640885, XP_017615872, YP_005088984, YP_005088985, XP_017650163, YP_005089038, YP_005089037, XP_017607337, YP_005088989, YP_005088986, YP_005088987, XP_017619154, YP_005089042, XP_017617098, YP_005089045, XP_017647281, XP_017647044, XP_017630505, XP_017615923, XP_017608430, XP_017617817, XP_017613984, YP_005088995, XP_017649908, XP_017635231, YP_005088994, YP_005088999, XP_017619680, YP_005088997, XP_017635073, YP_005088998, XP_017631226, XP_017611219, XP_017631584, XP_017615411, XP_017642008, XP_017648909, YP_005089020, XP_017617396, XP_017620202, YP_005089022, XP_017634729, XP_017616989, YP_005088979, XP_017640631, XP_017606397, XP_017642414, XP_017612270, XP_017646619, XP_017623104, XP_017649413, XP_017630718, XP_017627941, XP_017643676, XP_017617107, XP_017612605, XP_017632214, XP_017623987, XP_017623866, XP_017644893, XP_017646431, XP_017602936, XP_017616122, XP_017616883, XP_017632327, XP_017633779, XP_017634980, XP_017606570, XP_017607783, XP_017650010, YP_005089007, YP_005089006, XP_017615160	160	895	1492	1.1356703910614525	0.5098662691981889	0.17664939898277285	0.1721199272139838
GOTERM_BP_2	GO:0071704~organic substance metabolic process	116	16.11111111111111	0.022785266836476477	YP_005089052, XP_017641871, XP_017647216, XP_017649239, YP_005089055, XP_017617127, YP_005089050, XP_017631947, XP_017616717, XP_017635343, XP_017603232, XP_017641994, XP_017611370, XP_017639022, XP_017620658, XP_017646496, XP_017617115, XP_017628003, XP_017610617, XP_017631772, XP_017642338, XP_017602953, XP_017607329, YP_005089032, XP_017630518, YP_005089031, YP_005089036, YP_005088980, YP_005088981, YP_005089034, XP_017617422, XP_017626653, XP_017626772, XP_017610348, XP_017649451, XP_017634431, XP_017614305, XP_017640885, XP_017615872, YP_005088984, YP_005088985, XP_017650163, YP_005089038, YP_005089037, XP_017607337, YP_005088989, YP_005088986, YP_005088987, XP_017619154, YP_005089042, XP_017617098, XP_017621994, YP_005089045, XP_017647281, XP_017647044, XP_017630505, XP_017615923, XP_017608430, XP_017617817, XP_017613984, XP_017606493, YP_005088995, XP_017649908, XP_017635231, YP_005088994, YP_005088999, XP_017619680, YP_005088997, XP_017635073, YP_005088998, XP_017631226, XP_017612945, XP_017611219, XP_017639588, XP_017631584, XP_017615411, XP_017642008, XP_017648909, YP_005089020, XP_017617396, XP_017620202, YP_005089022, XP_017634729, XP_017616989, YP_005088979, XP_017640631, XP_017606397, XP_017642414, XP_017612270, XP_017646619, XP_017623104, XP_017649413, XP_017630718, XP_017627941, XP_017643676, XP_017617107, XP_017612605, XP_017612965, XP_017632214, XP_017623987, XP_017623866, XP_017644893, XP_017646431, XP_017602936, XP_017616122, XP_017616883, XP_017632327, XP_017633779, XP_017643280, XP_017634980, XP_017606570, XP_017607783, XP_017650010, YP_005089007, YP_005089006, XP_017615160	160	969	1492	1.1163054695562435	0.5929851668036843	0.1777250813245165	0.17316802795722122
GOTERM_BP_2	GO:0009605~response to external stimulus	3	0.4166666666666667	0.09094906229277681	XP_017639705, XP_017638535, XP_017609817	160	5	1492	5.595	0.9757372207841093	0.5911689049030493	0.5760107278542531
GOTERM_BP_2	GO:0065008~regulation of biological quality	9	1.25	0.13026379397783822	XP_017625867, XP_017614305, XP_017639588, XP_017650010, XP_017635010, XP_017612945, XP_017609817, XP_017643280, XP_017612965	160	48	1492	1.7484375	0.995673721894046	0.7257554235908129	0.7071463101654075
GOTERM_BP_2	GO:0009893~positive regulation of metabolic process	3	0.4166666666666667	0.4110024166631952	XP_017613984, XP_017602953, XP_017639022	160	13	1492	2.151923076923077	0.9999999989175022	1.0	1.0
GOTERM_BP_2	GO:0042221~response to chemical	4	0.5555555555555556	0.42123252311306114	YP_005088979, XP_017639705, XP_017638535, XP_017626653	160	22	1492	1.6954545454545455	0.9999999994534113	1.0	1.0
GOTERM_BP_2	GO:0048518~positive regulation of biological process	3	0.4166666666666667	0.4493907715280795	XP_017613984, XP_017602953, XP_017639022	160	14	1492	1.9982142857142857	0.999999999921856	1.0	1.0
