Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_3	GO:0070887~cellular response to chemical stimulus	4	0.7246376811594203	0.040856445792181104	XM_007824365, XM_007822681, XM_007827485, XM_007819898	200	7	1665	4.757142857142857	0.9970912543054801	1.0	1.0
GOTERM_BP_3	GO:0007165~signal transduction	16	2.898550724637681	0.0731803884207129	XM_007824169, XM_007825237, XM_007825645, XM_007824333, XM_007820242, XM_007823660, XM_011413079, XM_007821449, XM_007826133, XM_007827981, XM_007820465, XM_007823601, XM_007821486, XM_011412909, XM_007820703, XM_007819898	200	85	1665	1.5670588235294118	0.9999760486449275	1.0	1.0
GOTERM_BP_3	GO:0007154~cell communication	16	2.898550724637681	0.09331222310025211	XM_007824169, XM_007825237, XM_007825645, XM_007824333, XM_007820242, XM_007823660, XM_011413079, XM_007821449, XM_007826133, XM_007827981, XM_007820465, XM_007823601, XM_007821486, XM_011412909, XM_007820703, XM_007819898	200	88	1665	1.5136363636363637	0.9999988931556729	1.0	1.0
GOTERM_BP_3	GO:0044248~cellular catabolic process	16	2.898550724637681	0.12513307285021347	XM_007824453, XM_007821350, XM_007824365, XM_007825218, XM_007819893, XM_007826429, XM_007820392, XM_007820381, XM_007822736, XM_007822516, XM_007825099, XM_007822327, XM_007825332, XM_007827766, XM_007821145, XM_007821201	200	92	1665	1.4478260869565218	0.9999999925547399	1.0	1.0
GOTERM_BP_3	GO:1901575~organic substance catabolic process	20	3.6231884057971016	0.18973498243648357	XM_007824453, XM_007821350, XM_007824365, XM_007824953, XM_007825218, XM_007819893, XM_007826429, XM_007820392, XM_007820381, XM_007822736, XM_007822516, XM_007822768, XM_007825099, XM_007822327, XM_007825332, XM_011412718, XM_007827766, XM_007821145, XM_007818309, XM_007818228	200	129	1665	1.2906976744186047	0.9999999999998387	1.0	1.0
GOTERM_BP_3	GO:0055085~transmembrane transport	19	3.4420289855072466	0.20619675804109083	XM_007821143, XM_007823266, XM_007824453, XM_007821195, XM_007819480, XM_007823492, XM_007823052, XM_007820865, XM_007826231, XM_007826264, XM_007823526, XM_007820797, XM_007828465, XM_007825432, XM_007826885, XM_007822291, XM_007818302, XM_007819696, XM_007818853	200	123	1665	1.2859756097560977	0.9999999999999909	1.0	1.0
GOTERM_BP_3	GO:1901700~response to oxygen-containing compound	2	0.36231884057971014	0.22481736544242273	XM_007827485, XM_007819898	200	2	1665	8.325000000000001	0.9999999999999997	1.0	1.0
GOTERM_BP_3	GO:0044765~single-organism transport	25	4.528985507246377	0.22900618605469208	XM_007821143, XM_007823266, XM_007824453, XM_007822494, XM_007819480, XM_007826231, XM_007823526, XM_007820797, XM_007828399, XM_007824655, XM_007818302, XM_007819696, XM_007818524, XM_007821195, XM_007823492, XM_007823052, XM_007820865, XM_007826264, XM_007828465, XM_007823117, XM_007825432, XM_007826885, XM_007820626, XM_007822291, XM_007818853	200	172	1665	1.2100290697674418	0.9999999999999999	1.0	1.0
GOTERM_BP_3	GO:0006979~response to oxidative stress	4	0.7246376811594203	0.22915072772650616	XM_007824365, XM_007827485, XM_007823190, XM_007821201	200	14	1665	2.3785714285714286	0.9999999999999999	1.0	1.0
GOTERM_BP_3	GO:0034637~cellular carbohydrate biosynthetic process	3	0.5434782608695652	0.24638386420743202	XM_007822772, XM_007827903, XM_007823313	200	8	1665	3.121875	1.0	1.0	1.0
GOTERM_BP_3	GO:0051301~cell division	4	0.7246376811594203	0.26297934823039804	XM_007820262, XM_007826934, XM_007820971, XM_007819545	200	15	1665	2.22	1.0	1.0	1.0
GOTERM_BP_3	GO:0055086~nucleobase-containing small molecule metabolic process	14	2.536231884057971	0.27185148161007366	XM_007821646, XM_007827077, XM_007821702, XM_007825099, XM_007824525, XM_007820972, XM_007822213, XM_007820342, XM_007827766, XM_007825292, XM_007819239, XM_007819157, XM_007818228, XM_007819313	200	90	1665	1.2950000000000002	1.0	1.0	1.0
GOTERM_BP_3	GO:0023014~signal transduction by protein phosphorylation	2	0.36231884057971014	0.31757824594638856	XM_007819898, XM_007826133	200	3	1665	5.55	1.0	1.0	1.0
GOTERM_BP_3	GO:0007017~microtubule-based process	5	0.9057971014492754	0.320643886022479	XM_007822299, XM_007826934, XM_007823419, XM_007826298, XM_007822950	200	24	1665	1.734375	1.0	1.0	1.0
GOTERM_BP_3	GO:0019538~protein metabolic process	37	6.702898550724639	0.3715960862162426	XM_007820296, XM_007820693, XM_007824453, XM_007820392, XM_007819042, XM_007822736, XM_007826133, XM_007821686, XM_007820972, XM_007825344, XM_007823369, XM_007821640, XM_007821145, XM_007826413, XM_007821102, XM_007826083, XM_007823905, XM_007823904, XM_007819898, XM_007823190, XM_007819157, XM_007821350, XM_007824365, XM_007819893, XM_007825218, XM_007821073, XM_007818022, XM_007820425, XM_007820921, XM_007822327, XM_007826321, XM_007822864, XM_007825332, XM_007825631, XM_007821958, XM_007819309, XM_007827163	200	284	1665	1.0845950704225351	1.0	1.0	1.0
GOTERM_BP_3	GO:0006790~sulfur compound metabolic process	6	1.0869565217391304	0.38403007063145245	XM_007827485, XM_007823307, XM_007821557, XM_007819235, XM_007822213, XM_007823598	200	34	1665	1.4691176470588236	1.0	1.0	1.0
GOTERM_BP_3	GO:0006520~cellular amino acid metabolic process	16	2.898550724637681	0.39903801326301475	XM_007823410, XM_007821493, XM_007826429, XM_007820381, XM_007823968, XM_007822779, XM_007827058, XM_007822118, XM_007823623, XM_007823369, XM_007822213, XM_007821123, XM_007826083, XM_007819309, XM_007819546, XM_007819239	200	115	1665	1.1582608695652175	1.0	1.0	1.0
GOTERM_BP_3	GO:0032989~cellular component morphogenesis	2	0.36231884057971014	0.3992881912262242	XM_007822681, XM_007824291	200	4	1665	4.1625000000000005	1.0	1.0	1.0
GOTERM_BP_3	GO:0009653~anatomical structure morphogenesis	2	0.36231884057971014	0.3992881912262242	XM_007822681, XM_007824291	200	4	1665	4.1625000000000005	1.0	1.0	1.0
GOTERM_BP_3	GO:0006810~transport	41	7.427536231884058	0.4085206400744388	XM_007821143, XM_007823266, XM_007821683, XM_007824453, XM_007822494, XM_007822394, XM_007824396, XM_007819480, XM_007818252, XM_007826231, XM_007823526, XM_007820797, XM_007828399, XM_007824655, XM_007820636, XM_007827075, XM_007818302, XM_007818566, XM_007819696, XM_007818524, XM_007824045, XM_007821195, XM_007823492, XM_007823052, XM_007822747, XM_007820865, XM_007826264, XM_007823515, XM_007828465, XM_007823117, XM_007826323, XM_007825432, XM_007823137, XM_007826885, XM_007820946, XM_007819827, XM_007820944, XM_007820626, XM_007818676, XM_007822291, XM_007818853	200	321	1665	1.0633177570093457	1.0	1.0	1.0
GOTERM_BP_3	GO:0044249~cellular biosynthetic process	72	13.043478260869565	0.4235862029658732	XM_007822772, XM_007827903, XM_011413202, XM_007819042, XM_007823307, XM_007827740, XM_007826133, XM_007822777, XM_007823623, XM_007821686, XM_007822213, XM_007821640, XM_007820717, XM_007823905, XM_007825292, XM_007821409, XM_007823904, XM_007827076, XM_007819877, XM_007819239, XM_007819157, XM_007819235, XM_007819313, XM_007821493, XM_007824365, XM_007818022, XM_007827077, XM_007822789, XM_007821612, XM_007821018, XM_007822864, XM_007824525, XM_007822984, XM_007823313, XM_007823598, XM_007819309, XM_007819546, XM_007820296, XM_007820252, XM_007823684, XM_007826910, XM_007820294, XM_007820096, XM_007823284, XM_007824450, XM_007827485, XM_007823968, XM_007821702, XM_007822118, XM_007823369, XM_007825344, XM_007826083, XM_007821947, XM_007826040, XM_007821946, XM_007819894, XM_007819137, XM_007823410, XM_007825359, XM_007821073, XM_007818043, XM_007820425, XM_007827058, XM_007823536, XM_007826321, XM_007821557, XM_007821356, XM_007826322, XM_007825631, XM_007822520, XM_007821958, XM_007821914	200	580	1665	1.0334482758620689	1.0	1.0	1.0
GOTERM_BP_3	GO:0010646~regulation of cell communication	3	0.5434782608695652	0.42970999007963934	XM_007820703, XM_007819898, XM_007827981	200	12	1665	2.08125	1.0	1.0	1.0
GOTERM_BP_3	GO:0009966~regulation of signal transduction	3	0.5434782608695652	0.42970999007963934	XM_007820703, XM_007819898, XM_007827981	200	12	1665	2.08125	1.0	1.0	1.0
GOTERM_BP_3	GO:1901657~glycosyl compound metabolic process	8	1.4492753623188406	0.4304917523872121	XM_007821646, XM_007821702, XM_007819157, XM_007824525, XM_007818228, XM_007820972, XM_007822213, XM_007820342	200	52	1665	1.2807692307692309	1.0	1.0	1.0
GOTERM_BP_3	GO:0022607~cellular component assembly	10	1.8115942028985508	0.4623798758178381	XM_007824365, XM_007823362, XM_007818022, XM_007827163, XM_007827474, XM_007827485, XM_007823307, XM_007819235, XM_007826885, XM_007822950	200	70	1665	1.1892857142857143	1.0	1.0	1.0
GOTERM_BP_3	GO:0005984~disaccharide metabolic process	2	0.36231884057971014	0.4712578781298981	XM_007822772, XM_007827903	200	5	1665	3.33	1.0	1.0	1.0
GOTERM_BP_3	GO:0010033~response to organic substance	2	0.36231884057971014	0.4712578781298981	XM_007822681, XM_007819898	200	5	1665	3.33	1.0	1.0	1.0
GOTERM_BP_3	GO:0048869~cellular developmental process	2	0.36231884057971014	0.4712578781298981	XM_007822681, XM_007824291	200	5	1665	3.33	1.0	1.0	1.0
GOTERM_BP_3	GO:1901135~carbohydrate derivative metabolic process	15	2.717391304347826	0.4730288957336872	XM_007823684, XM_007821073, XM_007821646, XM_007820425, XM_007821702, XM_007825099, XM_007824525, XM_007820972, XM_007822213, XM_007820342, XM_007820738, XM_007826040, XM_007819157, XM_007818228, XM_007819313	200	112	1665	1.114955357142857	1.0	1.0	1.0
GOTERM_BP_3	GO:0044711~single-organism biosynthetic process	26	4.710144927536232	0.49131792604311997	XM_007822772, XM_007820252, XM_007827903, XM_007824450, XM_007823968, XM_007821702, XM_007822118, XM_007823623, XM_007822213, XM_007825292, XM_007819239, XM_007819157, XM_007819313, XM_007819137, XM_007823410, XM_007825359, XM_007821493, XM_007821073, XM_007827077, XM_007827058, XM_007821557, XM_007821018, XM_007824525, XM_007820287, XM_007823313, XM_007819546	200	205	1665	1.0558536585365854	1.0	1.0	1.0
GOTERM_BP_3	GO:0044712~single-organism catabolic process	8	1.4492753623188406	0.4919957640363828	XM_007824953, XM_007826429, XM_007820381, XM_007822768, XM_007825099, XM_007818228, XM_011412718, XM_007827766	200	55	1665	1.210909090909091	1.0	1.0	1.0
GOTERM_BP_3	GO:1901576~organic substance biosynthetic process	71	12.862318840579709	0.5013952210368877	XM_007822772, XM_007827903, XM_011413202, XM_007819042, XM_007827740, XM_007826133, XM_007822777, XM_007823623, XM_007821686, XM_007822213, XM_007821640, XM_007820717, XM_007823905, XM_007825292, XM_007821409, XM_007823904, XM_007827076, XM_007819877, XM_007819239, XM_007819157, XM_007819313, XM_007821493, XM_007824365, XM_007818022, XM_007827077, XM_007822789, XM_007821612, XM_007821018, XM_007822864, XM_007824525, XM_007822984, XM_007820287, XM_007823313, XM_007823598, XM_007819309, XM_007819546, XM_007820296, XM_007820252, XM_007823684, XM_007826910, XM_007820294, XM_007820096, XM_007823284, XM_007824450, XM_007823968, XM_007821702, XM_007822118, XM_007823369, XM_007825344, XM_007826083, XM_007821947, XM_007826040, XM_007820738, XM_007821946, XM_007819894, XM_007819137, XM_007823410, XM_007825359, XM_007821073, XM_007818043, XM_007820425, XM_007827058, XM_007823536, XM_007826321, XM_007821557, XM_007821356, XM_007826322, XM_007825631, XM_007822520, XM_007821958, XM_007821914	200	582	1665	1.0155927835051546	1.0	1.0	1.0
GOTERM_BP_3	GO:1902580~single-organism cellular localization	4	0.7246376811594203	0.561022351391469	XM_007824453, XM_007828399, XM_007823117, XM_007826885	200	24	1665	1.3875	1.0	1.0	1.0
GOTERM_BP_3	GO:1902589~single-organism organelle organization	7	1.2681159420289856	0.5627926466143828	XM_007824453, XM_007826934, XM_007823362, XM_007818252, XM_007826885, XM_007822950, XM_007825873	200	50	1665	1.1655000000000002	1.0	1.0	1.0
GOTERM_BP_3	GO:0006139~nucleobase-containing compound metabolic process	60	10.869565217391305	0.6170211603985636	XM_007824874, XM_011413202, XM_007821646, XM_007827740, XM_007826133, XM_007822777, XM_007822213, XM_007820717, XM_007819957, XM_007825292, XM_007821409, XM_007827076, XM_007819877, XM_007819239, XM_007818585, XM_007819157, XM_007818228, XM_007819313, XM_007818622, XM_007824365, XM_007827077, XM_007820921, XM_007822789, XM_007825099, XM_007821612, XM_007824525, XM_007820003, XM_007822984, XM_007822345, XM_007819309, XM_007820802, XM_007827163, XM_007818532, XM_007820296, XM_007823684, XM_007826910, XM_007820294, XM_007820096, XM_007823284, XM_007822516, XM_007821702, XM_007820699, XM_007820972, XM_007823369, XM_007820697, XM_007827766, XM_007822752, XM_007826083, XM_007821947, XM_007826040, XM_007821946, XM_007819894, XM_007818043, XM_007820700, XM_007823536, XM_007821356, XM_007826322, XM_007820342, XM_007822520, XM_007821914	200	505	1665	0.9891089108910891	1.0	1.0	1.0
GOTERM_BP_3	GO:0046907~intracellular transport	11	1.9927536231884055	0.6361362958325123	XM_007824453, XM_007820946, XM_007824396, XM_007820944, XM_007827075, XM_007818676, XM_007822747, XM_007828399, XM_007823117, XM_007826885, XM_007823137	200	89	1665	1.0289325842696628	1.0	1.0	1.0
GOTERM_BP_3	GO:0051649~establishment of localization in cell	11	1.9927536231884055	0.6507824785662369	XM_007824453, XM_007820946, XM_007824396, XM_007820944, XM_007827075, XM_007818676, XM_007822747, XM_007828399, XM_007823117, XM_007826885, XM_007823137	200	90	1665	1.0174999999999998	1.0	1.0	1.0
GOTERM_BP_3	GO:0044262~cellular carbohydrate metabolic process	3	0.5434782608695652	0.6531969047965744	XM_007822772, XM_007827903, XM_007823313	200	18	1665	1.3875	1.0	1.0	1.0
GOTERM_BP_3	GO:0070727~cellular macromolecule localization	10	1.8115942028985508	0.6630875280928721	XM_007824453, XM_007820946, XM_007824396, XM_007827075, XM_007818676, XM_007822747, XM_007823117, XM_007826323, XM_007826885, XM_007823137	200	82	1665	1.0152439024390245	1.0	1.0	1.0
GOTERM_BP_3	GO:0010604~positive regulation of macromolecule metabolic process	2	0.36231884057971014	0.682898505805559	XM_007819898, XM_007826133	200	9	1665	1.8499999999999999	1.0	1.0	1.0
GOTERM_BP_3	GO:0046483~heterocycle metabolic process	63	11.41304347826087	0.6996694322904641	XM_007824874, XM_011413202, XM_007821646, XM_007827740, XM_007826133, XM_007822777, XM_007822213, XM_007820717, XM_007819957, XM_007825292, XM_007821409, XM_007827076, XM_007819877, XM_007819239, XM_007818585, XM_007819157, XM_007818228, XM_007819313, XM_007818622, XM_007821493, XM_007824365, XM_007827077, XM_007820921, XM_007822789, XM_007825099, XM_007821612, XM_007824525, XM_007820003, XM_007822984, XM_007822345, XM_007819309, XM_007820802, XM_007827163, XM_007818532, XM_007820296, XM_007820252, XM_007823684, XM_007826910, XM_007820294, XM_007820096, XM_007823284, XM_007822516, XM_007821702, XM_007820699, XM_007820972, XM_007823369, XM_007820697, XM_007827766, XM_007822752, XM_007826083, XM_007821947, XM_007826040, XM_007821946, XM_007819894, XM_007818043, XM_007820700, XM_007823536, XM_007821356, XM_007826322, XM_007820342, XM_007822520, XM_007821958, XM_007821914	200	542	1665	0.9676660516605166	1.0	1.0	1.0
GOTERM_BP_3	GO:0044260~cellular macromolecule metabolic process	74	13.405797101449277	0.7064455588040833	XM_007824874, XM_007820392, XM_011413202, XM_007819042, XM_007822736, XM_007827740, XM_007826133, XM_007822777, XM_007821686, XM_007821640, XM_007826413, XM_007820717, XM_007819957, XM_007823905, XM_007821409, XM_007823904, XM_007827076, XM_007819877, XM_007823190, XM_007818585, XM_007819157, XM_007818622, XM_007824365, XM_007825218, XM_007818022, XM_007820921, XM_007822789, XM_007821612, XM_007822864, XM_007825332, XM_007820003, XM_007822984, XM_007822345, XM_007823313, XM_007819309, XM_007820802, XM_007827163, XM_007818532, XM_007820296, XM_007820693, XM_007826910, XM_007820294, XM_007824453, XM_007820096, XM_007823284, XM_007822516, XM_007820699, XM_007820972, XM_007823369, XM_007820697, XM_007825344, XM_007822752, XM_007821145, XM_007821102, XM_007826083, XM_007821947, XM_007821946, XM_007819898, XM_007819894, XM_007821350, XM_007819893, XM_007821073, XM_007818043, XM_007820425, XM_007820700, XM_007822327, XM_007823536, XM_007826321, XM_007821356, XM_007826322, XM_007825631, XM_007822520, XM_007821958, XM_007821914	200	636	1665	0.9686320754716982	1.0	1.0	1.0
GOTERM_BP_3	GO:0006793~phosphorus metabolic process	15	2.717391304347826	0.7097888892808454	XM_007825359, XM_007821073, XM_007827077, XM_007821702, XM_007825099, XM_007826133, XM_007824525, XM_007820972, XM_007827766, XM_007821958, XM_007825292, XM_007819898, XM_007819157, XM_007818228, XM_007819313	200	130	1665	0.960576923076923	1.0	1.0	1.0
GOTERM_BP_3	GO:0044281~small molecule metabolic process	36	6.521739130434782	0.7172503823285966	XM_007820252, XM_007824859, XM_007823968, XM_007821646, XM_007821702, XM_007822779, XM_007822118, XM_007823623, XM_007820972, XM_007823369, XM_007827766, XM_007822213, XM_007821123, XM_007826083, XM_007825292, XM_007819239, XM_007819157, XM_007818228, XM_007819313, XM_007819137, XM_007823410, XM_007823397, XM_007821493, XM_007819211, XM_007826429, XM_007820381, XM_007827077, XM_007822768, XM_007827058, XM_007825099, XM_007821557, XM_007824525, XM_007820342, XM_007820287, XM_007819309, XM_007819546	200	314	1665	0.9544585987261146	1.0	1.0	1.0
