Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_2	GO:0031300~intrinsic component of organelle membrane	5	0.9057971014492754	0.055762834105187065	XM_007822320, XM_007821683, XM_007824396, XM_007823806, XM_007826885	223	13	1896	3.2700931355639873	0.910173225579032	1.0	1.0
GOTERM_CC_2	GO:0031224~intrinsic component of membrane	113	20.47101449275362	0.2662934644085464	XM_007821683, XM_007822494, XM_007824396, XM_007819480, XM_007820634, XM_007823506, XM_007828235, XM_011412718, XM_007820636, XM_007822936, XM_007825250, XM_007818302, XM_007819114, XM_007823234, XM_007819110, XM_007824288, XM_007823515, XM_007821733, XM_007825650, XM_007818016, XM_007819503, XM_007819467, XM_007825942, XM_007826231, XM_007823526, XM_007821106, XM_007820892, XM_007823806, XM_007821506, XM_007819575, XM_007819696, XM_007818524, XM_007818523, XM_007822166, XM_007822320, XM_007822681, XM_011413376, XM_007821073, XM_007825957, XM_007821195, XM_007823492, XM_007820425, XM_007827694, XM_007821477, XM_007825432, XM_007826489, XM_007826885, XM_007821355, XM_007823499, XM_007827060, XM_007821914, XM_007826807, XM_007822291, XM_007827746, XM_007823266, XM_007823385, XM_007821085, XM_007822339, XM_007820797, XM_007821887, XM_007827068, XM_007826894, XM_007823666, XM_007823940, XM_007827623, XM_007826413, XM_007821923, XM_007827908, XM_007819795, XM_007818580, XM_007818582, XM_007826264, XM_007822349, XM_007820563, XM_007820609, XM_011412909, XM_007827082, XM_007819827, XM_007823160, XM_007819146, XM_007818853, XM_007821143, XM_007823042, XM_007820336, XM_007822513, XM_007820334, XM_007822357, XM_007822236, XM_007827369, XM_007820738, XM_007821946, XM_007820736, XM_007818566, XM_007818168, XM_007825909, XM_007825359, XM_007826208, XM_007825759, XM_007823052, XM_007820865, XM_007822922, XM_007822525, XM_007825594, XM_007826320, XM_007827772, XM_007828465, XM_007826685, XM_007826323, XM_007821797, XM_007820343, XM_007820509, XM_007820505, XM_007818676	223	915	1896	1.050003675659781	0.999997751254639	1.0	1.0
GOTERM_CC_2	GO:0008287~protein serine/threonine phosphatase complex	2	0.36231884057971014	0.31188639311710775	XM_007824169, XM_007825430	223	3	1896	5.668161434977579	0.9999998480411069	1.0	1.0
GOTERM_CC_2	GO:0098552~side of membrane	2	0.36231884057971014	0.3925843438439799	XM_007823601, XM_007821486	223	4	1896	4.251121076233185	0.9999999991938586	1.0	1.0
GOTERM_CC_2	GO:0044425~membrane part	117	21.195652173913043	0.3983099919548495	XM_007821683, XM_007822494, XM_007824396, XM_007819480, XM_007820634, XM_007823506, XM_007828235, XM_011412718, XM_007820636, XM_007822936, XM_007825250, XM_007818302, XM_007819114, XM_007823234, XM_007819110, XM_007824288, XM_007823515, XM_007821733, XM_007825650, XM_007818016, XM_007819503, XM_007819467, XM_007825942, XM_007826231, XM_007823526, XM_007821106, XM_007820892, XM_007823806, XM_007821506, XM_007819575, XM_007819696, XM_007818524, XM_007818523, XM_007822166, XM_007822320, XM_007822681, XM_011413376, XM_007821073, XM_007825957, XM_007821195, XM_007823492, XM_007820425, XM_007827694, XM_007821477, XM_007825432, XM_007826489, XM_007826885, XM_007821355, XM_007823499, XM_007827060, XM_007821914, XM_007820946, XM_007826807, XM_007822291, XM_007827746, XM_007823266, XM_007823385, XM_007821085, XM_007822339, XM_007820797, XM_007821887, XM_007827068, XM_007826894, XM_007823666, XM_007823940, XM_007827623, XM_007821486, XM_007826413, XM_007821923, XM_007827908, XM_007819795, XM_007818580, XM_007818582, XM_007826264, XM_007822349, XM_007820563, XM_007820609, XM_011412909, XM_007827082, XM_007819827, XM_007823160, XM_007819146, XM_007818853, XM_007821143, XM_007823042, XM_007820336, XM_007822513, XM_007823601, XM_007820334, XM_007822357, XM_007822236, XM_007827369, XM_007820738, XM_007821946, XM_007820736, XM_007819898, XM_007818566, XM_007818168, XM_007825909, XM_007825359, XM_007826208, XM_007825759, XM_007823052, XM_007820865, XM_007822922, XM_007822525, XM_007825594, XM_007826320, XM_007827772, XM_007828465, XM_007826685, XM_007826323, XM_007821797, XM_007820343, XM_007820509, XM_007820505, XM_007818676	223	971	1896	1.0244720204310658	0.9999999994584263	1.0	1.0
GOTERM_CC_2	GO:0032993~protein-DNA complex	2	0.36231884057971014	0.52679848260121	XM_007822648, XM_007822569	223	6	1896	2.8340807174887894	0.9999999999999775	1.0	1.0
GOTERM_CC_2	GO:0099513~polymeric cytoskeletal fiber	3	0.5434782608695652	0.5753001910366506	XM_007822299, XM_007823419, XM_007822950	223	16	1896	1.5941704035874442	0.9999999999999998	1.0	1.0
GOTERM_CC_2	GO:0044459~plasma membrane part	2	0.36231884057971014	0.6747951456264141	XM_007823601, XM_007821486	223	9	1896	1.8893871449925261	1.0	1.0	1.0
GOTERM_CC_2	GO:0043228~non-membrane-bounded organelle	24	4.3478260869565215	0.6763021767544658	XM_007822299, XM_007819110, XM_007824842, XM_007823075, XM_007819042, XM_007822648, XM_007822569, XM_007826321, XM_007826585, XM_007822864, XM_007820971, XM_007821686, XM_007826685, XM_007825344, XM_007822950, XM_007821640, XM_007825631, XM_007819908, XM_007825170, XM_007823905, XM_007823904, XM_007820669, XM_007823419, XM_007818622	223	210	1896	0.9716848174247279	1.0	1.0	1.0
GOTERM_CC_2	GO:0098805~whole membrane	5	0.9057971014492754	0.7070895673486254	XM_007824396, XM_007823806, XM_007819898, XM_007822525, XM_007826885	223	40	1896	1.062780269058296	1.0	1.0	1.0
GOTERM_CC_2	GO:0019898~extrinsic component of membrane	2	0.36231884057971014	0.7130545402585944	XM_007823601, XM_007821486	223	10	1896	1.7004484304932737	1.0	1.0	1.0
GOTERM_CC_2	GO:0043233~organelle lumen	11	1.9927536231884055	0.7182003487893068	XM_007824453, XM_007827072, XM_007824365, XM_007820825, XM_007821947, XM_007820921, XM_007822777, XM_007822425, XM_007826585, XM_007820972, XM_007818622	223	97	1896	0.9641717904858766	1.0	1.0	1.0
GOTERM_CC_2	GO:0005886~plasma membrane	3	0.5434782608695652	0.7247435267936226	XM_007823921, XM_007823601, XM_007821486	223	21	1896	1.2146060217809098	1.0	1.0	1.0
GOTERM_CC_2	GO:0071944~cell periphery	4	0.7246376811594203	0.8122626693021644	XM_007819944, XM_007823921, XM_007823601, XM_007821486	223	36	1896	0.9446935724962631	1.0	1.0	1.0
GOTERM_CC_2	GO:0043234~protein complex	32	5.797101449275362	0.8742507830088345	XM_007822394, XM_007823284, XM_007823307, XM_007822777, XM_007820971, XM_007823601, XM_007820674, XM_007821486, XM_007827072, XM_007821947, XM_007825170, XM_007819898, XM_007818228, XM_007824169, XM_007819110, XM_007824842, XM_007821350, XM_007819893, XM_007824243, XM_007820240, XM_007818022, XM_007822648, XM_007820921, XM_007822327, XM_007822569, XM_007821831, XM_007825430, XM_007822425, XM_007826885, XM_007820946, XM_007820825, XM_011413182	223	311	1896	0.8748287745303015	1.0	1.0	1.0
GOTERM_CC_2	GO:0005622~intracellular	120	21.73913043478261	0.8777827663375917	XM_007821683, XM_007825645, XM_007822372, XM_007824396, XM_007821449, XM_007822777, XM_007821686, XM_007825093, XM_007823905, XM_007823904, XM_007819235, XM_007824169, XM_007819110, XM_007824842, XM_007820242, XM_007824045, XM_011413079, XM_007820240, XM_007818022, XM_007823075, XM_007820921, XM_007822789, XM_007821612, XM_007822425, XM_007826585, XM_007823117, XM_007820003, XM_007822026, XM_007819908, XM_007820922, XM_007828090, XM_007824333, XM_007826910, XM_007824453, XM_007823000, XM_007822394, XM_007823369, XM_007822950, XM_007821102, XM_007826083, XM_007823806, XM_007822320, XM_007821350, XM_007819211, XM_007821073, XM_007823659, XM_007822569, XM_007822327, XM_007825430, XM_007823536, XM_007821356, XM_007823137, XM_007826885, XM_007820825, XM_007820946, XM_007820669, XM_007820944, XM_007823419, XM_007826808, XM_007822299, XM_011413202, XM_007818198, XM_011412512, XM_007819042, XM_007827905, XM_007823307, XM_007827740, XM_007826133, XM_007828399, XM_007820674, XM_007821640, XM_007821486, XM_007822213, XM_007827072, XM_007825170, XM_007821409, XM_007827076, XM_007827075, XM_007818228, XM_007818622, XM_007824365, XM_007824243, XM_007822747, XM_007820841, XM_007822864, XM_007822984, XM_007823039, XM_007819309, XM_007820296, XM_007823684, XM_007820294, XM_007823284, XM_007827485, XM_007820971, XM_007823601, XM_007820972, XM_007825344, XM_007827369, XM_007820695, XM_007821947, XM_007821946, XM_007819898, XM_007818288, XM_007825237, XM_007819893, XM_007818043, XM_007822648, XM_007822768, XM_007821831, XM_007820621, XM_007822525, XM_007826321, XM_007821557, XM_007826322, XM_007826685, XM_007826323, XM_007825631, XM_007822520, XM_007821795, XM_007818676	223	1081	1896	0.9438196653986717	1.0	1.0	1.0
GOTERM_CC_2	GO:0043229~intracellular organelle	79	14.31159420289855	0.8828662413467944	XM_007822299, XM_007821683, XM_007822372, XM_007824396, XM_011413202, XM_011412512, XM_007819042, XM_007827905, XM_007827740, XM_007826133, XM_007822777, XM_007821686, XM_007821640, XM_007827072, XM_007825170, XM_007825093, XM_007823905, XM_007821409, XM_007823904, XM_007827076, XM_007819235, XM_007818622, XM_007819110, XM_007824842, XM_007824365, XM_007823075, XM_007820921, XM_007820841, XM_007822789, XM_007821612, XM_007826585, XM_007822425, XM_007822864, XM_007820003, XM_007822984, XM_007823039, XM_007822026, XM_007819908, XM_007820922, XM_007826910, XM_007820294, XM_007824453, XM_007823000, XM_007822394, XM_007823284, XM_007827485, XM_007820971, XM_007820972, XM_007825344, XM_007822950, XM_007820695, XM_007821947, XM_007823806, XM_007821946, XM_007819898, XM_007822320, XM_007821350, XM_007819893, XM_007819211, XM_007821073, XM_007818043, XM_007822648, XM_007823659, XM_007822525, XM_007822569, XM_007823536, XM_007826321, XM_007821557, XM_007821356, XM_007826322, XM_007826685, XM_007826323, XM_007826885, XM_007825631, XM_007822520, XM_007820825, XM_007820669, XM_007823419, XM_007818676	223	731	1896	0.9188469631256404	1.0	1.0	1.0
GOTERM_CC_2	GO:0044464~cell part	122	22.10144927536232	0.894512484565738	XM_007821683, XM_007825645, XM_007822372, XM_007824396, XM_007821449, XM_007822777, XM_007821686, XM_007825093, XM_007823905, XM_007823904, XM_007819235, XM_007824169, XM_007819110, XM_007824842, XM_007820242, XM_007824045, XM_011413079, XM_007820240, XM_007818022, XM_007823075, XM_007820921, XM_007822789, XM_007821612, XM_007822425, XM_007826585, XM_007823117, XM_007820003, XM_007822026, XM_007819908, XM_007820922, XM_007828090, XM_007824333, XM_007826910, XM_007824453, XM_007823000, XM_007822394, XM_007823921, XM_007823369, XM_007822950, XM_007821102, XM_007826083, XM_007823806, XM_007822320, XM_007821350, XM_007819211, XM_007821073, XM_007823659, XM_007822569, XM_007822327, XM_007825430, XM_007823536, XM_007821356, XM_007823137, XM_007826885, XM_007820825, XM_007820946, XM_007820669, XM_007820944, XM_007823419, XM_007826808, XM_007822299, XM_011413202, XM_007818198, XM_011412512, XM_007819042, XM_007827905, XM_007823307, XM_007827740, XM_007826133, XM_007828399, XM_007820674, XM_007821640, XM_007821486, XM_007822213, XM_007827072, XM_007825170, XM_007821409, XM_007827076, XM_007827075, XM_007818228, XM_007818622, XM_007824365, XM_007824243, XM_007822747, XM_007820841, XM_007822864, XM_007822984, XM_007823039, XM_007819309, XM_007819944, XM_007820296, XM_007823684, XM_007820294, XM_007823284, XM_007827485, XM_007820971, XM_007823601, XM_007820972, XM_007825344, XM_007827369, XM_007820695, XM_007821947, XM_007821946, XM_007819898, XM_007818288, XM_007825237, XM_007819893, XM_007818043, XM_007822648, XM_007822768, XM_007821831, XM_007820621, XM_007822525, XM_007826321, XM_007821557, XM_007826322, XM_007826685, XM_007826323, XM_007825631, XM_007822520, XM_007821795, XM_007818676	223	1103	1896	0.9404111900280117	1.0	1.0	1.0
GOTERM_CC_2	GO:1990904~ribonucleoprotein complex	15	2.717391304347826	0.9383218788685556	XM_007818022, XM_007819042, XM_007820621, XM_007826321, XM_007826585, XM_007822864, XM_007821686, XM_007826685, XM_007825344, XM_007821640, XM_007825631, XM_007819908, XM_007823905, XM_007823904, XM_007820669	223	166	1896	0.7682748932951537	1.0	1.0	1.0
GOTERM_CC_2	GO:0031090~organelle membrane	7	1.2681159420289856	0.9502150937801989	XM_007822320, XM_007821683, XM_007824396, XM_007823806, XM_007819898, XM_007822525, XM_007826885	223	86	1896	0.6920429658984253	1.0	1.0	1.0
GOTERM_CC_2	GO:0043227~membrane-bounded organelle	58	10.507246376811594	0.9552707792151145	XM_007821683, XM_007822372, XM_007824396, XM_011413202, XM_011412512, XM_007827905, XM_007827740, XM_007826133, XM_007822777, XM_007827072, XM_007825093, XM_007821409, XM_007827076, XM_007819235, XM_007818622, XM_007824365, XM_007820921, XM_007820841, XM_007822789, XM_007821612, XM_007826585, XM_007822425, XM_007820003, XM_007822984, XM_007823039, XM_007822026, XM_007820922, XM_007826910, XM_007820294, XM_007824453, XM_007823000, XM_007822394, XM_007823284, XM_007827485, XM_007820972, XM_007820695, XM_007821947, XM_007823806, XM_007821946, XM_007819898, XM_007822320, XM_007821350, XM_007819893, XM_007819211, XM_007821073, XM_007818043, XM_007823659, XM_007822525, XM_007822569, XM_007823536, XM_007821557, XM_007821356, XM_007826322, XM_007826323, XM_007826885, XM_007822520, XM_007820825, XM_007818676	223	575	1896	0.8576174692922597	1.0	1.0	1.0
GOTERM_CC_2	GO:0012505~endomembrane system	8	1.4492753623188406	0.9599666524666166	XM_007822320, XM_007821683, XM_007821073, XM_007822394, XM_007818676, XM_007819898, XM_007826323, XM_007826885	223	100	1896	0.6801793721973094	1.0	1.0	1.0
GOTERM_CC_2	GO:0044424~intracellular part	104	18.84057971014493	0.9627745764561401	XM_007821683, XM_007822372, XM_007824396, XM_007822777, XM_007821686, XM_007825093, XM_007823905, XM_007823904, XM_007819235, XM_007824169, XM_007819110, XM_007824842, XM_007820240, XM_007818022, XM_007823075, XM_007820921, XM_007822789, XM_007821612, XM_007822425, XM_007826585, XM_007820003, XM_007822026, XM_007819908, XM_007820922, XM_007826910, XM_007824453, XM_007823000, XM_007822394, XM_007823369, XM_007822950, XM_007821102, XM_007826083, XM_007823806, XM_007822320, XM_007821350, XM_007819211, XM_007821073, XM_007823659, XM_007822569, XM_007822327, XM_007825430, XM_007823536, XM_007821356, XM_007826885, XM_007820825, XM_007820946, XM_007820669, XM_007820944, XM_007823419, XM_007822299, XM_011413202, XM_011412512, XM_007819042, XM_007827905, XM_007823307, XM_007827740, XM_007826133, XM_007820674, XM_007821640, XM_007821486, XM_007822213, XM_007827072, XM_007825170, XM_007821409, XM_007827076, XM_007818228, XM_007818622, XM_007824365, XM_007824243, XM_007820841, XM_007822864, XM_007822984, XM_007823039, XM_007819309, XM_007823684, XM_007820294, XM_007823284, XM_007827485, XM_007820971, XM_007823601, XM_007820972, XM_007825344, XM_007827369, XM_007820695, XM_007821947, XM_007821946, XM_007819898, XM_007818288, XM_007819893, XM_007818043, XM_007822648, XM_007822768, XM_007821831, XM_007820621, XM_007822525, XM_007826321, XM_007821557, XM_007826322, XM_007826685, XM_007826323, XM_007825631, XM_007822520, XM_007821795, XM_007818676	223	982	1896	0.9004411240901246	1.0	1.0	1.0
GOTERM_CC_2	GO:0044422~organelle part	32	5.797101449275362	0.974762631595393	XM_007822299, XM_007821683, XM_007824453, XM_007822394, XM_007824396, XM_007827485, XM_007822777, XM_007820971, XM_007821686, XM_007820972, XM_007822950, XM_007827072, XM_007821947, XM_007825170, XM_007823806, XM_007819898, XM_007818622, XM_007819110, XM_007822320, XM_007824842, XM_007824365, XM_007821073, XM_007822648, XM_007820921, XM_007822525, XM_007822569, XM_007822425, XM_007826585, XM_007826323, XM_007826885, XM_007820825, XM_007823419	223	349	1896	0.7795752116874607	1.0	1.0	1.0
GOTERM_CC_2	GO:0044446~intracellular organelle part	32	5.797101449275362	0.974762631595393	XM_007822299, XM_007821683, XM_007824453, XM_007822394, XM_007824396, XM_007827485, XM_007822777, XM_007820971, XM_007821686, XM_007820972, XM_007822950, XM_007827072, XM_007821947, XM_007825170, XM_007823806, XM_007819898, XM_007818622, XM_007819110, XM_007822320, XM_007824842, XM_007824365, XM_007821073, XM_007822648, XM_007820921, XM_007822525, XM_007822569, XM_007822425, XM_007826585, XM_007826323, XM_007826885, XM_007820825, XM_007823419	223	349	1896	0.7795752116874607	1.0	1.0	1.0
GOTERM_CC_2	GO:0098796~membrane protein complex	5	0.9057971014492754	0.985520736877949	XM_007820946, XM_007819898, XM_007823601, XM_007826885, XM_007821486	223	77	1896	0.5520936462640499	1.0	1.0	1.0
GOTERM_CC_2	GO:0031975~envelope	3	0.5434782608695652	0.9953648650203797	XM_007822320, XM_007827485, XM_007826885	223	60	1896	0.42511210762331836	1.0	1.0	1.0
GOTERM_CC_2	GO:0005789~endoplasmic reticulum membrane	2	0.36231884057971014	0.998188914550046	XM_007821073, XM_007826323	223	50	1896	0.3400896860986547	1.0	1.0	1.0
GOTERM_CC_2	GO:0042175~nuclear outer membrane-endoplasmic reticulum membrane network	2	0.36231884057971014	0.998188914550046	XM_007821073, XM_007826323	223	50	1896	0.3400896860986547	1.0	1.0	1.0
GOTERM_CC_2	GO:0044423~virion part	1	0.18115942028985507	1.0	XM_007820621	223	13	1896	0.6540186271127975	1.0	1.0	1.0
GOTERM_CC_2	GO:0000313~organellar ribosome	1	0.18115942028985507	1.0	XM_007826585	223	4	1896	2.1255605381165923	1.0	1.0	1.0
GOTERM_CC_2	GO:0031970~organelle envelope lumen	1	0.18115942028985507	1.0	XM_007827485	223	2	1896	4.251121076233185	1.0	1.0	1.0
GOTERM_CC_2	GO:0044455~mitochondrial membrane part	1	0.18115942028985507	1.0	XM_007826885	223	23	1896	0.36966270228114645	1.0	1.0	1.0
GOTERM_CC_2	GO:0019867~outer membrane	1	0.18115942028985507	1.0	XM_007826885	223	13	1896	0.6540186271127975	1.0	1.0	1.0
GOTERM_CC_2	GO:0048475~coated membrane	1	0.18115942028985507	1.0	XM_007820946	223	21	1896	0.4048686739269699	1.0	1.0	1.0
GOTERM_CC_2	GO:0044453~nuclear membrane part	1	0.18115942028985507	1.0	XM_007822320	223	1	1896	8.50224215246637	1.0	1.0	1.0
GOTERM_CC_2	GO:0098589~membrane region	1	0.18115942028985507	1.0	XM_007819898	223	3	1896	2.8340807174887894	1.0	1.0	1.0
GOTERM_CC_2	GO:0019028~viral capsid	1	0.18115942028985507	1.0	XM_007820621	223	13	1896	0.6540186271127975	1.0	1.0	1.0
GOTERM_CC_2	GO:0019013~viral nucleocapsid	1	0.18115942028985507	1.0	XM_007820621	223	13	1896	0.6540186271127975	1.0	1.0	1.0
GOTERM_CC_2	GO:0030312~external encapsulating structure	1	0.18115942028985507	1.0	XM_007819944	223	5	1896	1.7004484304932737	1.0	1.0	1.0
GOTERM_CC_2	GO:0044232~organelle membrane contact site	1	0.18115942028985507	1.0	XM_007826885	223	4	1896	2.1255605381165923	1.0	1.0	1.0
GOTERM_CC_2	GO:0000785~chromatin	1	0.18115942028985507	1.0	XM_007822569	223	11	1896	0.7729311047696698	1.0	1.0	1.0
