Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_3	GO:0015979~photosynthesis	35	1.3202565069784986	3.084737467907035E-4	XP_017646342, YP_005089030, XP_017648245, YP_005089012, XP_017628411, YP_005089050, XP_017625290, YP_005088982, YP_005088983, YP_005089015, YP_005089019, XP_017646113, XP_017603604, YP_005089042, XP_017617396, XP_017643000, YP_005089047, YP_005089003, YP_005089002, YP_005089046, XP_017606919, XP_017609072, XP_017630028, XP_017631119, XP_017632923, XP_017628150, YP_005088995, YP_005089007, YP_005088996, YP_005088993, XP_017606313, YP_005088994, YP_005089048, YP_005088999, YP_005088998	478	62	1429	1.6876434066675665	0.049045419724894956	0.05028122072688467	0.04997274698009397
GOTERM_BP_3	GO:1901564~organonitrogen compound metabolic process	171	6.450396076952093	0.0014099733899258292	XP_017646884, XP_017646125, YP_005089052, XP_017623880, XP_017649239, YP_005089055, XP_017632878, XP_017617127, XP_017627564, XP_017619307, YP_005089050, XP_017631947, XP_017608094, XP_017627170, XP_017616717, XP_017607551, XP_017608401, XP_017634257, XP_017611253, XP_017641994, XP_017611370, XP_017639022, XP_017648797, XP_017621610, XP_017649763, XP_017622660, XP_017644234, XP_017642212, XP_017634923, XP_017630964, XP_017616700, XP_017610617, XP_017626460, XP_017608496, XP_017634242, XP_017637994, XP_017623918, XP_017638323, XP_017612630, XP_017634246, XP_017611261, XP_017603365, XP_017602953, YP_005089032, YP_005089036, YP_005089035, YP_005088981, YP_005089034, XP_017617027, XP_017626772, XP_017647155, XP_017608272, XP_017630913, XP_017649451, XP_017637268, XP_017612881, XP_017603530, YP_005088984, XP_017605158, XP_017642666, YP_005088985, XP_017608702, YP_005089038, XP_017622739, YP_005089037, XP_017607337, XP_017606408, YP_005088986, YP_005088987, XP_017619154, YP_005089042, XP_017621994, XP_017649747, XP_017620140, XP_017623259, XP_017619155, YP_005089045, XP_017624465, XP_017631437, XP_017647281, XP_017616689, XP_017646472, XP_017630505, XP_017641507, XP_017608430, XP_017617817, XP_017643809, XP_017613984, XP_017638747, XP_017606493, XP_017615128, XP_017649908, XP_017643886, XP_017635231, XP_017619680, YP_005088997, XP_017635073, XP_017623443, XP_017640980, XP_017631226, XP_017611219, XP_017608442, XP_017607594, XP_017609775, XP_017631584, XP_017615411, XP_017634972, XP_017612540, XP_017607876, XP_017648909, XP_017606705, XP_017607929, YP_005089020, XP_017643342, XP_017646216, XP_017642135, YP_005089022, XP_017611509, XP_017616589, XP_017621492, XP_017616228, XP_017634729, XP_017611865, XP_017634964, XP_017634841, XP_017640631, XP_017603202, XP_017612270, XP_017617185, XP_017649413, XP_017649779, XP_017617065, XP_017630718, XP_017623066, XP_017629447, XP_017629962, XP_017624273, XP_017612605, XP_017646781, XP_017620191, XP_017632331, XP_017611355, XP_017611752, XP_017612285, XP_017621849, XP_017643558, XP_017632052, XP_017639081, XP_017642471, XP_017644893, XP_017616087, XP_017623853, XP_017624386, XP_017647403, XP_017627411, XP_017616883, XP_017633779, XP_017624261, XP_017611766, XP_017638427, XP_017612972, XP_017634980, XP_017606570, XP_017637731, XP_017603101, XP_017620986, XP_017603344, YP_005089006, XP_017618270, XP_017618390, XP_017615160	478	434	1429	1.1779062144496077	0.20545673515699292	0.11491283127895507	0.11420784458399216
GOTERM_BP_3	GO:0019538~protein metabolic process	147	5.545077329309694	0.0029622935890358513	XP_017647335, XP_017646884, XP_017623880, XP_017627444, XP_017649239, XP_017632878, XP_017617127, XP_017631947, XP_017608094, XP_017627170, XP_017635225, XP_017607551, XP_017632236, XP_017608401, XP_017634257, XP_017611253, XP_017641994, XP_017611370, XP_017639022, XP_017650116, XP_017621610, XP_017649763, XP_017644234, XP_017634923, XP_017616700, XP_017610617, XP_017626460, XP_017608496, XP_017603083, XP_017637994, XP_017623918, XP_017634246, XP_017611261, XP_017603365, XP_017602953, YP_005089032, YP_005089036, YP_005089035, YP_005088981, YP_005089034, XP_017617027, XP_017647155, XP_017649057, XP_017625290, XP_017615872, XP_017612881, XP_017603530, XP_017605158, XP_017650163, YP_005089038, XP_017622739, YP_005089037, XP_017607337, XP_017619154, XP_017649747, XP_017623259, XP_017619155, YP_005089045, XP_017624102, XP_017624465, XP_017647281, XP_017616689, XP_017630505, XP_017608430, XP_017612414, XP_017617817, XP_017643809, XP_017613984, XP_017638747, XP_017615128, XP_017636167, YP_005088995, XP_017649908, XP_017643886, XP_017635231, YP_005088994, YP_005088999, XP_017619680, YP_005088997, XP_017635073, YP_005088998, XP_017623443, XP_017640980, XP_017631226, XP_017611219, XP_017607594, XP_017609775, XP_017631584, XP_017615411, XP_017634972, XP_017612540, XP_017607876, XP_017623724, XP_017648909, XP_017606705, XP_017607929, XP_017621531, YP_005089020, XP_017643342, XP_017617396, XP_017625212, XP_017646216, YP_005089022, XP_017611509, XP_017616589, XP_017621492, XP_017616228, XP_017634729, XP_017616989, XP_017611865, XP_017634964, XP_017634841, XP_017640631, XP_017603202, XP_017612270, XP_017607924, XP_017649779, XP_017617065, XP_017629447, XP_017629962, XP_017624273, XP_017612605, XP_017646781, XP_017620191, XP_017632331, XP_017611355, XP_017621849, XP_017643558, XP_017623866, XP_017639081, XP_017644893, XP_017616087, XP_017623853, XP_017624386, XP_017627810, XP_017647403, XP_017616883, XP_017624261, XP_017616127, XP_017611766, XP_017638427, XP_017615845, XP_017612972, XP_017606570, XP_017607783, XP_017620986, XP_017618270	478	371	1429	1.1845346175100655	0.3834220026360393	0.16095128500428127	0.15996385380793596
GOTERM_BP_3	GO:0034641~cellular nitrogen compound metabolic process	224	8.44964164466239	0.004686142528700857	YP_005089052, XP_017629469, YP_005089055, XP_017632878, XP_017617127, XP_017619307, YP_005089050, XP_017608094, XP_017627170, XP_017616717, XP_017607551, XP_017608401, XP_017634257, XP_017611253, XP_017642689, XP_017611370, XP_017639022, XP_017649646, XP_017621610, XP_017649763, XP_017646019, XP_017642212, XP_017634923, XP_017610617, XP_017616700, XP_017634242, XP_017637994, XP_017623918, XP_017634246, XP_017611261, XP_017623913, XP_017603405, YP_005089032, YP_005089031, YP_005089036, YP_005088980, YP_005089035, YP_005088981, YP_005089034, XP_017617027, XP_017628153, XP_017630913, XP_017608421, XP_017603530, YP_005088984, XP_017605158, YP_005088985, XP_017622739, XP_017642788, YP_005089038, XP_017607337, YP_005089037, YP_005088989, YP_005088986, YP_005088987, XP_017646113, YP_005089042, XP_017621994, XP_017649747, XP_017623259, YP_005088991, XP_017623014, YP_005089045, XP_017625312, YP_005088990, XP_017624465, XP_017646472, XP_017608430, XP_017617817, XP_017606493, XP_017638747, XP_017607104, XP_017643886, XP_017635231, XP_017619680, YP_005088997, XP_017640980, XP_017631226, XP_017649430, XP_017608442, XP_017607594, XP_017609775, XP_017631584, XP_017615411, XP_017634972, XP_017623849, XP_017648909, XP_017606705, XP_017643582, XP_017607929, XP_017643342, XP_017627515, XP_017620202, XP_017642135, XP_017611509, XP_017634729, XP_017611865, XP_017634964, XP_017634841, XP_017640631, XP_017603202, XP_017612270, XP_017617185, XP_017649779, XP_017617065, XP_017627424, XP_017623066, XP_017629962, XP_017624273, XP_017612605, XP_017624270, XP_017632331, XP_017639525, XP_017612285, XP_017643558, XP_017623987, XP_017639081, XP_017642471, XP_017644893, XP_017602936, XP_017616087, XP_017623853, XP_017624386, XP_017627411, XP_017616883, XP_017624261, XP_017629397, XP_017611766, XP_017638427, XP_017612972, XP_017634980, XP_017630021, XP_017612852, XP_017631477, XP_017606734, XP_017618270, XP_017646884, XP_017623880, XP_017641871, XP_017649239, XP_017626596, XP_017627564, XP_017631947, XP_017641873, XP_017641994, XP_017622660, XP_017644234, XP_017633559, XP_017634647, XP_017626460, XP_017608496, XP_017638323, XP_017612630, XP_017603365, XP_017643821, XP_017604578, XP_017602953, XP_017624079, XP_017647155, XP_017608272, XP_017649451, XP_017609355, XP_017638599, XP_017637268, XP_017630993, XP_017612881, XP_017611790, XP_017608702, XP_017606408, XP_017625968, XP_017619154, XP_017619155, XP_017647281, XP_017616689, XP_017630505, XP_017615923, XP_017641507, XP_017643809, XP_017613984, XP_017615128, XP_017649908, XP_017635073, XP_017629549, XP_017626278, XP_017616475, XP_017623443, XP_017637968, XP_017611219, XP_017648191, XP_017612540, XP_017639101, XP_017607876, YP_005089020, XP_017646332, XP_017626701, XP_017646216, XP_017621495, XP_017616222, YP_005089022, XP_017616589, XP_017621492, XP_017627350, XP_017616228, XP_017612311, XP_017642414, XP_017623104, XP_017629447, XP_017646781, XP_017620191, XP_017615714, XP_017607650, XP_017611355, XP_017621849, XP_017641657, XP_017616484, XP_017647403, XP_017623695, XP_017631639, XP_017619519, XP_017612337, XP_017606570, XP_017637731, XP_017620986, YP_005089006	478	598	1429	1.1198275982703851	0.5349621959399562	0.19096030804455993	0.18978877241238473
GOTERM_BP_3	GO:0044260~cellular macromolecule metabolic process	220	8.29875518672199	0.01598262379737349	XP_017647335, XP_017629469, XP_017632878, XP_017617127, XP_017608094, XP_017627170, XP_017635225, XP_017612347, XP_017607551, XP_017608401, XP_017635343, XP_017634257, XP_017611253, XP_017632070, XP_017642689, XP_017611370, XP_017639022, XP_017649646, XP_017621610, XP_017649763, XP_017626501, XP_017646019, XP_017634923, XP_017610617, XP_017616700, XP_017603083, XP_017637994, XP_017623918, XP_017634246, XP_017611261, XP_017623913, XP_017603405, YP_005089032, YP_005089031, YP_005089036, YP_005088980, YP_005089035, YP_005088981, YP_005089034, XP_017617027, XP_017628153, XP_017649057, XP_017608421, XP_017615872, XP_017603530, XP_017605158, XP_017622739, XP_017642788, YP_005089038, XP_017607337, YP_005089037, YP_005088989, XP_017646113, XP_017649747, XP_017623259, YP_005088991, XP_017623014, YP_005089045, XP_017624102, XP_017625312, YP_005088990, XP_017624465, XP_017608430, XP_017617817, XP_017638747, XP_017633611, XP_017607104, YP_005088995, XP_017643886, YP_005088994, XP_017635231, YP_005088999, XP_017619680, YP_005088997, YP_005088998, XP_017640980, XP_017631226, XP_017649430, XP_017607594, XP_017609775, XP_017631584, XP_017615411, XP_017634972, XP_017623849, XP_017623724, XP_017648909, XP_017606705, XP_017643582, XP_017607929, XP_017621531, XP_017643342, XP_017627515, XP_017617396, XP_017625212, XP_017620202, XP_017611509, XP_017634729, XP_017616989, XP_017611865, XP_017615668, XP_017634964, XP_017634841, XP_017640631, XP_017603202, XP_017612270, XP_017607924, XP_017649413, XP_017649779, XP_017617065, XP_017627424, XP_017629962, XP_017624273, XP_017612605, XP_017624270, XP_017632331, XP_017639525, XP_017643558, XP_017623987, XP_017639081, XP_017644893, XP_017602936, XP_017616087, XP_017623853, XP_017624386, XP_017620463, XP_017616883, XP_017624261, XP_017633779, XP_017629397, XP_017611766, XP_017611888, XP_017638427, XP_017612972, XP_017630021, XP_017612852, XP_017631477, XP_017606734, XP_017618270, XP_017646884, XP_017623880, XP_017641871, XP_017627444, XP_017649239, XP_017631947, XP_017641873, XP_017641994, XP_017650116, XP_017644234, XP_017633559, XP_017634647, XP_017626460, XP_017608496, XP_017603365, XP_017643821, XP_017620006, XP_017602953, XP_017624079, XP_017647155, XP_017625290, XP_017638599, XP_017630993, XP_017612881, XP_017611790, XP_017625968, XP_017619154, XP_017619155, XP_017647281, XP_017616689, XP_017630505, XP_017615923, XP_017612414, XP_017643809, XP_017613984, XP_017615128, XP_017636167, XP_017649908, XP_017635073, XP_017629549, XP_017626278, XP_017616475, XP_017623443, XP_017637968, XP_017611219, XP_017648191, XP_017612540, XP_017639101, XP_017607876, YP_005089020, XP_017646332, XP_017626701, XP_017625972, XP_017646216, XP_017621495, YP_005089022, XP_017616589, XP_017621492, XP_017627350, XP_017616228, XP_017612311, XP_017642414, XP_017623104, XP_017629447, XP_017646781, XP_017620191, XP_017615714, XP_017607650, XP_017611355, XP_017621849, XP_017641657, XP_017616484, XP_017627810, XP_017647403, XP_017623695, XP_017616127, XP_017631639, XP_017619519, XP_017615845, XP_017612337, XP_017606570, XP_017620986	478	598	1429	1.0998306768726998	0.9276479075391362	0.5083688034301297	0.505249976415221
GOTERM_BP_3	GO:0022411~cellular component disassembly	8	0.3017729158807997	0.019461851026475213	XP_017613984, XP_017623374, XP_017639049, XP_017645521, XP_017616447, XP_017602953, XP_017639022, XP_017608094	478	10	1429	2.3916317991631795	0.9593825461919429	0.5083688034301297	0.505249976415221
GOTERM_BP_3	GO:0043170~macromolecule metabolic process	230	8.675971331572992	0.0218317891043614	XP_017647335, XP_017629469, XP_017632878, XP_017617127, XP_017608094, XP_017627170, XP_017635225, XP_017612347, XP_017607551, XP_017608401, XP_017635343, XP_017634257, XP_017611253, XP_017632070, XP_017642689, XP_017611370, XP_017639022, XP_017649646, XP_017621610, XP_017649763, XP_017626501, XP_017646019, XP_017634923, XP_017610617, XP_017616700, XP_017603083, XP_017637994, XP_017623918, XP_017634246, XP_017611261, XP_017623913, XP_017603405, YP_005089032, YP_005089031, YP_005089036, YP_005088980, YP_005089035, YP_005088981, YP_005089034, XP_017617027, XP_017628153, XP_017649057, XP_017608421, XP_017615872, XP_017603530, XP_017605158, XP_017650163, XP_017622739, XP_017642788, YP_005089038, XP_017607337, YP_005089037, YP_005088989, XP_017646113, XP_017649747, XP_017623259, YP_005088991, XP_017623014, YP_005089045, XP_017624102, XP_017625312, YP_005088990, XP_017624465, XP_017608430, XP_017617817, XP_017638747, XP_017633611, XP_017607104, YP_005088995, XP_017643886, XP_017607105, YP_005088994, XP_017635231, YP_005088999, XP_017619680, YP_005088997, YP_005088998, XP_017640980, XP_017631226, XP_017649430, XP_017607594, XP_017609775, XP_017631584, XP_017615411, XP_017634972, XP_017623849, XP_017623724, XP_017648909, XP_017606705, XP_017643582, XP_017607929, XP_017621531, XP_017643342, XP_017627515, XP_017617396, XP_017625212, XP_017620202, XP_017611509, XP_017634729, XP_017616989, XP_017611865, XP_017615668, XP_017634964, XP_017634841, XP_017640631, XP_017603202, XP_017612270, XP_017607924, XP_017649413, XP_017649779, XP_017617065, XP_017627424, XP_017629962, XP_017624273, XP_017612605, XP_017624270, XP_017632331, XP_017639525, XP_017643558, XP_017623987, XP_017623866, XP_017639081, XP_017644893, XP_017602936, XP_017616087, XP_017623853, XP_017624386, XP_017620463, XP_017616883, XP_017624261, XP_017633779, XP_017629397, XP_017611766, XP_017611888, XP_017638427, XP_017612972, XP_017630021, XP_017612852, XP_017631477, XP_017606734, XP_017618270, XP_017646884, XP_017623880, XP_017641871, XP_017627444, XP_017649239, XP_017631947, XP_017632236, XP_017641873, XP_017641994, XP_017650116, XP_017644234, XP_017633559, XP_017634647, XP_017626460, XP_017608496, XP_017603365, XP_017643821, XP_017620006, XP_017602953, XP_017624079, XP_017647155, XP_017625290, XP_017638599, XP_017630993, XP_017612881, XP_017611790, XP_017625968, XP_017619154, XP_017619155, XP_017647281, XP_017616689, XP_017630505, XP_017649582, XP_017615923, XP_017612414, XP_017643809, XP_017613984, XP_017615128, XP_017636167, XP_017649908, XP_017635073, XP_017629549, XP_017637291, XP_017626278, XP_017616475, XP_017623443, XP_017637968, XP_017611219, XP_017648191, XP_017612540, XP_017639101, XP_017607876, YP_005089020, XP_017646332, XP_017626701, XP_017625972, XP_017646216, XP_017621495, XP_017616222, YP_005089022, XP_017616589, XP_017621492, XP_017627350, XP_017616228, XP_017612311, XP_017642414, XP_017623104, XP_017629447, XP_017631407, XP_017646781, XP_017620191, XP_017615714, XP_017607650, XP_017611355, XP_017621849, XP_017641657, XP_017616484, XP_017627810, XP_017647403, XP_017623695, XP_017616127, XP_017631639, XP_017619519, XP_017609168, XP_017615845, XP_017612337, XP_017606570, XP_017607783, XP_017620986	478	631	1429	1.0896896073841746	0.9726216170339794	0.5083688034301297	0.505249976415221
GOTERM_BP_3	GO:1901576~organic substance biosynthetic process	221	8.336476801207091	0.030339707807297014	XP_017629469, XP_017632878, XP_017617127, XP_017619307, XP_017608094, XP_017627170, XP_017607551, XP_017608401, XP_017634257, XP_017611253, XP_017642689, XP_017611370, XP_017639022, XP_017649646, XP_017648797, XP_017621610, XP_017649763, XP_017626501, XP_017634923, XP_017610617, XP_017616700, XP_017637994, XP_017633952, XP_017623918, XP_017634246, XP_017611261, XP_017603405, YP_005089032, YP_005089031, YP_005089036, YP_005089035, YP_005088981, YP_005089034, XP_017617027, XP_017626772, XP_017628153, XP_017630913, XP_017608421, XP_017603530, YP_005088984, XP_017605158, YP_005088985, XP_017622739, YP_005089038, XP_017607337, YP_005089037, YP_005088989, YP_005088986, YP_005088987, XP_017646113, XP_017621994, XP_017649747, XP_017623259, YP_005088991, XP_017623014, YP_005089045, XP_017625312, YP_005088990, XP_017624465, XP_017646472, XP_017608430, XP_017617817, XP_017606493, XP_017638747, XP_017633611, XP_017641467, XP_017643886, XP_017607105, XP_017635231, XP_017619680, YP_005088997, XP_017640980, XP_017631226, XP_017608442, XP_017607594, XP_017609775, XP_017631584, XP_017615411, XP_017634972, XP_017623849, XP_017639067, XP_017648909, XP_017606705, XP_017607929, XP_017621531, XP_017643342, XP_017627515, XP_017620202, XP_017642135, XP_017611509, XP_017612957, XP_017634729, XP_017611865, XP_017615668, XP_017634964, XP_017634841, XP_017640631, XP_017603202, XP_017612270, XP_017649779, XP_017617065, XP_017630718, XP_017627424, XP_017629962, XP_017624273, XP_017612605, XP_017632331, XP_017611752, XP_017632214, XP_017639525, XP_017643558, XP_017623987, XP_017639081, XP_017642471, XP_017644893, XP_017602936, XP_017616087, XP_017623853, XP_017624386, XP_017627411, XP_017616883, XP_017624261, XP_017629397, XP_017611766, XP_017611888, XP_017638427, XP_017612972, XP_017634980, XP_017630021, XP_017631477, XP_017606734, XP_017618270, XP_017646884, XP_017623880, XP_017649239, XP_017626596, XP_017631947, XP_017641873, XP_017641994, XP_017650116, XP_017622660, XP_017644234, XP_017633559, XP_017634406, XP_017630964, XP_017634647, XP_017626460, XP_017608496, XP_017638323, XP_017612630, XP_017603365, XP_017643821, XP_017620006, XP_017602953, XP_017624079, XP_017616331, XP_017616696, XP_017616699, XP_017647155, XP_017608272, XP_017640526, XP_017638599, XP_017630993, XP_017612881, XP_017606408, XP_017619154, XP_017620140, XP_017619155, XP_017620024, XP_017647281, XP_017616689, XP_017611447, XP_017630505, XP_017649582, XP_017615923, XP_017643809, XP_017613984, XP_017615128, XP_017636167, XP_017649908, XP_017635073, XP_017616475, XP_017623443, XP_017611219, XP_017624095, XP_017612540, XP_017607876, XP_017622359, YP_005089020, XP_017646332, XP_017625972, XP_017646216, XP_017621495, YP_005089022, XP_017616589, XP_017621492, XP_017627350, XP_017616228, XP_017612311, XP_017642414, XP_017623104, XP_017629447, XP_017646781, XP_017620191, XP_017607650, XP_017611355, XP_017621849, XP_017641657, XP_017616484, XP_017647403, XP_017623695, XP_017631639, XP_017637734, XP_017609168, XP_017612337, XP_017606570, XP_017637731, YP_005089007, XP_017620986, YP_005089006, XP_017615160	478	608	1429	1.0866583626954416	0.9934083114787349	0.6181715465736767	0.6143790830977646
GOTERM_BP_3	GO:0044249~cellular biosynthetic process	221	8.336476801207091	0.03596552006144669	XP_017629469, XP_017632878, XP_017617127, XP_017619307, XP_017608094, XP_017627170, XP_017607551, XP_017608401, XP_017634257, XP_017611253, XP_017642689, XP_017611370, XP_017639022, XP_017649646, XP_017648797, XP_017621610, XP_017649763, XP_017626501, XP_017606919, XP_017634923, XP_017610617, XP_017616700, XP_017637994, XP_017633952, XP_017623918, XP_017634246, XP_017611261, XP_017603405, YP_005089032, YP_005089031, YP_005089036, YP_005089035, YP_005088981, YP_005089034, XP_017617027, XP_017626772, XP_017628153, XP_017630913, XP_017608421, XP_017603530, YP_005088984, XP_017605158, YP_005088985, XP_017622739, YP_005089038, XP_017607337, YP_005089037, YP_005088989, YP_005088986, YP_005088987, XP_017646113, XP_017621994, XP_017649747, XP_017623259, YP_005088991, XP_017623014, YP_005089045, XP_017625312, YP_005088990, XP_017624465, XP_017646472, XP_017608430, XP_017617817, XP_017606493, XP_017638747, XP_017633611, XP_017641467, XP_017643886, XP_017635231, XP_017619680, YP_005088997, XP_017640980, XP_017631226, XP_017608442, XP_017607594, XP_017609775, XP_017631584, XP_017615411, XP_017634972, XP_017623849, XP_017639067, XP_017648909, XP_017606705, XP_017607929, XP_017621531, XP_017643342, XP_017627515, XP_017620202, XP_017624122, XP_017642135, XP_017611509, XP_017612957, XP_017634729, XP_017611865, XP_017615668, XP_017634964, XP_017634841, XP_017640631, XP_017603202, XP_017612270, XP_017649779, XP_017617065, XP_017630718, XP_017627424, XP_017629962, XP_017624273, XP_017612605, XP_017632331, XP_017611752, XP_017632214, XP_017639525, XP_017643558, XP_017623987, XP_017639081, XP_017642471, XP_017644893, XP_017602936, XP_017616087, XP_017623853, XP_017624386, XP_017627411, XP_017616883, XP_017624261, XP_017629397, XP_017611766, XP_017611888, XP_017638427, XP_017612972, XP_017634980, XP_017630021, XP_017631477, XP_017606734, XP_017618270, XP_017623521, XP_017646884, XP_017623880, XP_017649239, XP_017626596, XP_017631947, XP_017641873, XP_017641994, XP_017650116, XP_017622660, XP_017644234, XP_017633559, XP_017630964, XP_017634647, XP_017626460, XP_017646891, XP_017608496, XP_017638323, XP_017612630, XP_017603365, XP_017643821, XP_017620006, XP_017602953, XP_017624079, XP_017616331, XP_017616696, XP_017647155, XP_017608272, XP_017640526, XP_017638599, XP_017630993, XP_017612881, XP_017606408, XP_017619154, XP_017620140, XP_017619155, XP_017620024, XP_017647281, XP_017616689, XP_017611447, XP_017630505, XP_017615923, XP_017643809, XP_017613984, XP_017615128, XP_017636167, XP_017649908, XP_017635073, XP_017616475, XP_017623443, XP_017616478, XP_017611219, XP_017624095, XP_017612540, XP_017607876, XP_017622359, YP_005089020, XP_017646332, XP_017625972, XP_017646216, XP_017621495, YP_005089022, XP_017616589, XP_017621492, XP_017627350, XP_017616228, XP_017612311, XP_017642414, XP_017623104, XP_017629447, XP_017646781, XP_017620191, XP_017607650, XP_017611355, XP_017621849, XP_017641657, XP_017616484, XP_017647403, XP_017623695, XP_017631639, XP_017637734, XP_017612337, XP_017606570, XP_017637731, YP_005089007, XP_017620986, YP_005089006, XP_017615160	478	610	1429	1.0830955483915221	0.9974467786504546	0.6513755300017566	0.6473793611060404
GOTERM_BP_3	GO:0044036~cell wall macromolecule metabolic process	5	0.18860807242549982	0.10013645965577345	XP_017649413, XP_017635343, XP_017620463, XP_017632070, XP_017633779	478	6	1429	2.4912831241283127	0.9999999660535069	1.0	1.0
