Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_5	GO:0009507~chloroplast	55	2.0746887966804977	5.4588349691299216E-6	YP_005089053, YP_005089052, YP_005089012, YP_005089055, YP_005089050, XP_017607671, YP_005089015, XP_017622359, YP_005089019, YP_005089020, XP_017617396, XP_017606919, YP_005089022, XP_017630323, YP_005089032, YP_005089031, YP_005089030, YP_005089036, YP_005088980, YP_005089035, XP_017616331, YP_005088981, YP_005089034, XP_017625290, YP_005088984, YP_005088985, YP_005089038, YP_005088982, YP_005089037, YP_005088983, YP_005088989, YP_005088986, YP_005088987, YP_005089042, XP_017623259, YP_005088991, YP_005089003, YP_005089047, YP_005089002, YP_005089046, YP_005089045, YP_005088990, YP_005089044, XP_017631119, XP_017611888, YP_005088995, YP_005089007, YP_005088996, YP_005089006, YP_005088993, YP_005088994, YP_005089048, YP_005088999, YP_005088997, YP_005088998	344	94	958	1.6294532409698168	0.001025737346739497	5.131304870982127E-4	4.8310689476799805E-4
GOTERM_CC_5	GO:0009536~plastid	55	2.0746887966804977	5.4588349691299216E-6	YP_005089053, YP_005089052, YP_005089012, YP_005089055, YP_005089050, XP_017607671, YP_005089015, XP_017622359, YP_005089019, YP_005089020, XP_017617396, XP_017606919, YP_005089022, XP_017630323, YP_005089032, YP_005089031, YP_005089030, YP_005089036, YP_005088980, YP_005089035, XP_017616331, YP_005088981, YP_005089034, XP_017625290, YP_005088984, YP_005088985, YP_005089038, YP_005088982, YP_005089037, YP_005088983, YP_005088989, YP_005088986, YP_005088987, YP_005089042, XP_017623259, YP_005088991, YP_005089003, YP_005089047, YP_005089002, YP_005089046, YP_005089045, YP_005088990, YP_005089044, XP_017631119, XP_017611888, YP_005088995, YP_005089007, YP_005088996, YP_005089006, YP_005088993, YP_005088994, YP_005089048, YP_005088999, YP_005088997, YP_005088998	344	94	958	1.6294532409698168	0.001025737346739497	5.131304870982127E-4	4.8310689476799805E-4
GOTERM_CC_5	GO:0009579~thylakoid	44	1.6597510373443984	8.89121289852226E-6	YP_005089053, YP_005089052, XP_017646342, YP_005089030, XP_017648245, YP_005089012, XP_017628411, XP_017624374, YP_005089050, XP_017625290, XP_017639369, XP_017630795, YP_005088984, YP_005088985, YP_005088982, YP_005088983, YP_005089015, YP_005088986, YP_005088987, YP_005089019, XP_017646113, XP_017603604, XP_017642052, YP_005089042, XP_017617396, XP_017643000, YP_005089047, YP_005089003, YP_005089002, YP_005089046, XP_017609072, XP_017630028, XP_017631119, XP_017632923, XP_017628150, YP_005088995, YP_005088996, YP_005089006, YP_005088993, XP_017606313, YP_005088994, YP_005089048, YP_005088999, YP_005088998	344	71	958	1.725843432689158	0.0016701591852728015	5.571826749740617E-4	5.245815610128133E-4
GOTERM_CC_5	GO:0034357~photosynthetic membrane	40	1.5088645794039985	3.36386030253858E-5	YP_005089053, YP_005089052, XP_017646342, YP_005089030, XP_017648245, YP_005089012, XP_017628411, YP_005089050, XP_017625290, YP_005088984, YP_005088985, YP_005088982, YP_005088983, YP_005089015, YP_005088986, YP_005088987, YP_005089019, XP_017646113, XP_017603604, YP_005089042, XP_017617396, XP_017643000, YP_005089047, YP_005089003, YP_005089002, YP_005089046, XP_017609072, XP_017630028, XP_017631119, XP_017632923, XP_017628150, YP_005088995, YP_005088996, YP_005089006, YP_005088993, XP_017606313, YP_005088994, YP_005089048, YP_005088999, YP_005088998	344	65	958	1.7137745974955276	0.006304208303206438	0.0012648114737545061	0.0011908065470986574
GOTERM_CC_5	GO:0044436~thylakoid part	40	1.5088645794039985	3.36386030253858E-5	YP_005089053, YP_005089052, XP_017646342, YP_005089030, XP_017648245, YP_005089012, XP_017628411, YP_005089050, XP_017625290, YP_005088984, YP_005088985, YP_005088982, YP_005088983, YP_005089015, YP_005088986, YP_005088987, YP_005089019, XP_017646113, XP_017603604, YP_005089042, XP_017617396, XP_017643000, YP_005089047, YP_005089003, YP_005089002, YP_005089046, XP_017609072, XP_017630028, XP_017631119, XP_017632923, XP_017628150, YP_005088995, YP_005088996, YP_005089006, YP_005088993, XP_017606313, YP_005088994, YP_005089048, YP_005088999, YP_005088998	344	65	958	1.7137745974955276	0.006304208303206438	0.0012648114737545061	0.0011908065470986574
GOTERM_CC_5	GO:0042651~thylakoid membrane	33	1.2448132780082988	2.565780935238135E-4	YP_005089053, YP_005089052, XP_017646342, YP_005089030, YP_005089012, YP_005089050, XP_017625290, YP_005088984, YP_005088985, YP_005088982, YP_005088983, YP_005089015, YP_005088986, YP_005088987, YP_005089019, XP_017603604, YP_005089042, XP_017617396, XP_017643000, YP_005089047, YP_005089003, YP_005089002, YP_005089046, XP_017630028, YP_005088995, YP_005088996, YP_005089006, YP_005088993, XP_017606313, YP_005088994, YP_005089048, YP_005088999, YP_005088998	344	54	958	1.70187338501292	0.04709767325463765	0.008039446930412824	0.007569053758952499
GOTERM_CC_5	GO:0009535~chloroplast thylakoid membrane	28	1.0562052055827988	9.96935030461549E-4	YP_005089053, YP_005089052, YP_005089030, YP_005089012, YP_005089050, XP_017625290, YP_005088984, YP_005088985, YP_005088982, YP_005088983, YP_005089015, YP_005088986, YP_005088987, YP_005089019, YP_005089042, XP_017617396, YP_005089047, YP_005089003, YP_005089002, YP_005089046, YP_005088995, YP_005088996, YP_005089006, YP_005088993, YP_005088994, YP_005089048, YP_005088999, YP_005088998	344	46	958	1.6951466127401418	0.17098520112973736	0.01703852597516102	0.01604159094469947
GOTERM_CC_5	GO:0031984~organelle subcompartment	28	1.0562052055827988	9.96935030461549E-4	YP_005089053, YP_005089052, YP_005089030, YP_005089012, YP_005089050, XP_017625290, YP_005088984, YP_005088985, YP_005088982, YP_005088983, YP_005089015, YP_005088986, YP_005088987, YP_005089019, YP_005089042, XP_017617396, YP_005089047, YP_005089003, YP_005089002, YP_005089046, YP_005088995, YP_005088996, YP_005089006, YP_005088993, YP_005088994, YP_005089048, YP_005088999, YP_005088998	344	46	958	1.6951466127401418	0.17098520112973736	0.01703852597516102	0.01604159094469947
GOTERM_CC_5	GO:0055035~plastid thylakoid membrane	28	1.0562052055827988	9.96935030461549E-4	YP_005089053, YP_005089052, YP_005089030, YP_005089012, YP_005089050, XP_017625290, YP_005088984, YP_005088985, YP_005088982, YP_005088983, YP_005089015, YP_005088986, YP_005088987, YP_005089019, YP_005089042, XP_017617396, YP_005089047, YP_005089003, YP_005089002, YP_005089046, YP_005088995, YP_005088996, YP_005089006, YP_005088993, YP_005088994, YP_005089048, YP_005088999, YP_005088998	344	46	958	1.6951466127401418	0.17098520112973736	0.01703852597516102	0.01604159094469947
GOTERM_CC_5	GO:0031976~plastid thylakoid	28	1.0562052055827988	9.96935030461549E-4	YP_005089053, YP_005089052, YP_005089030, YP_005089012, YP_005089050, XP_017625290, YP_005088984, YP_005088985, YP_005088982, YP_005088983, YP_005089015, YP_005088986, YP_005088987, YP_005089019, YP_005089042, XP_017617396, YP_005089047, YP_005089003, YP_005089002, YP_005089046, YP_005088995, YP_005088996, YP_005089006, YP_005088993, YP_005088994, YP_005089048, YP_005088999, YP_005088998	344	46	958	1.6951466127401418	0.17098520112973736	0.01703852597516102	0.01604159094469947
GOTERM_CC_5	GO:0009534~chloroplast thylakoid	28	1.0562052055827988	9.96935030461549E-4	YP_005089053, YP_005089052, YP_005089030, YP_005089012, YP_005089050, XP_017625290, YP_005088984, YP_005088985, YP_005088982, YP_005088983, YP_005089015, YP_005088986, YP_005088987, YP_005089019, YP_005089042, XP_017617396, YP_005089047, YP_005089003, YP_005089002, YP_005089046, YP_005088995, YP_005088996, YP_005089006, YP_005088993, YP_005088994, YP_005089048, YP_005088999, YP_005088998	344	46	958	1.6951466127401418	0.17098520112973736	0.01703852597516102	0.01604159094469947
GOTERM_CC_5	GO:0044434~chloroplast part	28	1.0562052055827988	0.0036194853968465916	YP_005089053, YP_005089052, YP_005089030, YP_005089012, YP_005089050, XP_017625290, YP_005088984, YP_005088985, YP_005088982, YP_005088983, YP_005089015, YP_005088986, YP_005088987, YP_005089019, YP_005089042, XP_017617396, YP_005089047, YP_005089003, YP_005089002, YP_005089046, YP_005088995, YP_005088996, YP_005089006, YP_005088993, YP_005088994, YP_005089048, YP_005088999, YP_005088998	344	49	958	1.5913621262458473	0.49424236042600167	0.05234332727747379	0.04928068578783436
GOTERM_CC_5	GO:0044435~plastid part	28	1.0562052055827988	0.0036194853968465916	YP_005089053, YP_005089052, YP_005089030, YP_005089012, YP_005089050, XP_017625290, YP_005088984, YP_005088985, YP_005088982, YP_005088983, YP_005089015, YP_005088986, YP_005088987, YP_005089019, YP_005089042, XP_017617396, YP_005089047, YP_005089003, YP_005089002, YP_005089046, YP_005088995, YP_005088996, YP_005089006, YP_005088993, YP_005088994, YP_005089048, YP_005088999, YP_005088998	344	49	958	1.5913621262458473	0.49424236042600167	0.05234332727747379	0.04928068578783436
