Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_2	GO:0003735~structural constituent of ribosome	105	3.960769520935496	4.255209068013121E-6	XP_017646884, XP_017623880, XP_017649239, XP_017632878, XP_017617127, XP_017631947, XP_017627170, XP_017607551, XP_017608401, XP_017634257, XP_017611253, XP_017641994, XP_017611370, XP_017621610, XP_017649763, XP_017644234, XP_017634923, XP_017616700, XP_017610617, XP_017626460, XP_017608496, XP_017623918, XP_017634246, XP_017611261, YP_005089032, YP_005089036, YP_005089035, YP_005088981, YP_005089034, XP_017617027, XP_017612881, XP_017603530, XP_017605158, YP_005089038, XP_017622739, YP_005089037, XP_017607337, XP_017619154, XP_017649747, XP_017619155, YP_005089045, XP_017624465, XP_017647281, XP_017616689, XP_017630505, XP_017608430, XP_017617817, XP_017643809, XP_017638747, XP_017615128, XP_017649908, XP_017643886, XP_017635231, XP_017619680, YP_005088997, XP_017635073, XP_017640980, XP_017631226, XP_017611219, XP_017607594, XP_017609775, XP_017631584, XP_017615411, XP_017634972, XP_017612540, XP_017607876, XP_017648909, XP_017606705, YP_005089020, XP_017643342, YP_005089022, XP_017616589, XP_017616228, XP_017634729, XP_017611865, XP_017634964, XP_017640631, XP_017603202, XP_017612270, XP_017649779, XP_017617065, XP_017629447, XP_017629962, XP_017624273, XP_017612605, XP_017646781, XP_017620191, XP_017632331, XP_017611355, XP_017621849, XP_017643558, XP_017639081, XP_017644893, XP_017616087, XP_017623853, XP_017624386, XP_017647403, XP_017616883, XP_017624261, XP_017611766, XP_017638427, XP_017612972, XP_017606570, XP_017620986, XP_017618270	703	239	2307	1.4417291107447463	1.6168521615034237E-4	1.616979445844986E-4	1.616979445844986E-4
GOTERM_MF_2	GO:0016874~ligase activity	34	1.2825348924933988	0.11700917027924755	XP_017647335, XP_017623443, XP_017629049, XP_017643070, XP_017623065, XP_017607082, XP_017608226, XP_017631167, XP_017634175, XP_017625703, XP_017639461, XP_017607929, XP_017630969, XP_017642471, XP_017623259, XP_017620367, XP_017646216, XP_017627411, XP_017631359, XP_017611509, XP_017621074, XP_017628165, XP_017629451, XP_017612957, XP_017616628, XP_017644719, XP_017637994, XP_017631598, XP_017603221, XP_017611382, XP_017603365, XP_017607006, XP_017645966, XP_017615160	703	90	2307	1.2397344713134186	0.9911623796025113	1.0	1.0
GOTERM_MF_2	GO:0051540~metal cluster binding	12	0.4526593738211996	0.24391738981781588	XP_017623521, YP_005089003, XP_017619850, XP_017616478, YP_005089048, XP_017633729, YP_005088999, XP_017648210, XP_017646891, XP_017649430, XP_017623616, YP_005088998	703	29	2307	1.357924167361554	0.9999756985896376	1.0	1.0
GOTERM_MF_2	GO:0045156~electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity	3	0.1131648434552999	0.35584377133751854	YP_005089030, YP_005088995, YP_005088994	703	4	2307	2.4612375533428166	0.9999999448346979	1.0	1.0
GOTERM_MF_2	GO:0004784~superoxide dismutase activity	4	0.15088645794039984	0.362599921093432	XP_017650238, XP_017607671, XP_017619420, XP_017616277	703	7	2307	1.8752286120707173	0.9999999630460991	1.0	1.0
GOTERM_MF_2	GO:0005085~guanyl-nucleotide exchange factor activity	4	0.15088645794039984	0.362599921093432	XP_017637082, XP_017627116, XP_017603102, XP_017606600	703	7	2307	1.8752286120707173	0.9999999630460991	1.0	1.0
GOTERM_MF_2	GO:0022857~transmembrane transporter activity	31	1.169370049038099	0.38635191623857545	XP_017616690, XP_017626417, XP_017631905, XP_017627347, XP_017606908, XP_017611979, XP_017608365, XP_017615955, XP_017634258, XP_017614101, YP_005088984, YP_005088985, XP_017639301, XP_017607996, YP_005088986, YP_005088987, XP_017624319, XP_017602978, XP_017623017, XP_017626426, XP_017630323, XP_017624242, XP_017646472, XP_017642050, XP_017612656, XP_017634980, XP_017604176, XP_017638323, XP_017634884, XP_017637731, XP_017612691, YP_005089006	703	93	2307	1.0938833570412518	0.999999991271562	1.0	1.0
GOTERM_MF_2	GO:0022892~substrate-specific transporter activity	29	1.0939268200678989	0.3985210947986748	XP_017631905, XP_017627347, XP_017606908, XP_017623580, XP_017633646, XP_017611979, XP_017615955, XP_017614101, YP_005088984, YP_005088985, XP_017607996, YP_005088986, YP_005088987, XP_017624319, XP_017602978, XP_017624245, XP_017630323, XP_017624242, XP_017646472, XP_017619814, XP_017642050, XP_017612656, XP_017634980, XP_017615589, XP_017604176, XP_017638323, XP_017634884, XP_017637731, YP_005089006	703	87	2307	1.0938833570412518	0.999999995922676	1.0	1.0
GOTERM_MF_2	GO:0016787~hydrolase activity	123	4.639758581667295	0.45020990556742435	XP_017619266, XP_017624459, XP_017616790, XP_017650228, XP_017603916, XP_017629745, XP_017627444, XP_017650225, XP_017618215, XP_017624297, XP_017624451, XP_017619306, XP_017612347, XP_017633567, XP_017635343, XP_017638853, XP_017642689, XP_017642449, XP_017642212, XP_017620122, XP_017628003, XP_017603083, XP_017604176, XP_017615589, XP_017638323, XP_017631651, XP_017607447, XP_017645724, XP_017647037, XP_017616690, XP_017623787, XP_017627347, XP_017649693, XP_017617304, XP_017646181, XP_017649057, XP_017613977, XP_017638115, XP_017608545, YP_005088984, YP_005088985, XP_017650163, XP_017615195, YP_005088987, XP_017645937, XP_017623895, XP_017623017, XP_017624102, XP_017640770, XP_017631956, XP_017612414, XP_017611289, XP_017606372, XP_017612376, XP_017633611, XP_017605046, XP_017635077, XP_017634021, XP_017642439, XP_017603318, XP_017626712, XP_017626278, XP_017619622, XP_017649831, XP_017628214, XP_017612827, XP_017613915, XP_017630778, XP_017637968, XP_017615659, XP_017637328, XP_017605852, XP_017636075, XP_017642887, XP_017642526, XP_017607519, XP_017626715, XP_017643582, XP_017623436, XP_017626663, XP_017622189, XP_017624242, XP_017634201, XP_017637711, XP_017604492, XP_017612673, XP_017612795, XP_017606276, XP_017607801, XP_017607006, XP_017642414, XP_017643506, XP_017607924, XP_017649413, XP_017642222, XP_017645973, XP_017649415, XP_017621161, XP_017631407, XP_017606169, XP_017606563, XP_017623904, XP_017611191, XP_017632052, XP_017607813, XP_017620220, XP_017627810, XP_017616882, XP_017620463, XP_017633659, XP_017632966, XP_017633779, XP_017616127, XP_017630825, XP_017615725, XP_017628192, XP_017634980, XP_017639239, XP_017637731, XP_017603221, XP_017612691, YP_005089006, XP_017638267	703	396	2307	1.0193004008793483	0.9999999998658834	1.0	1.0
GOTERM_MF_2	GO:0044877~macromolecular complex binding	6	0.2263296869105998	0.4994120610550713	XP_017613984, XP_017603079, XP_017646181, XP_017602953, XP_017639022, XP_017608094	703	15	2307	1.3126600284495022	0.9999999999961959	1.0	1.0
GOTERM_MF_2	GO:0016491~oxidoreductase activity	82	3.093172387778197	0.6061469190126632	XP_017625867, YP_005089052, XP_017619420, XP_017623561, XP_017606908, XP_017616277, XP_017642762, YP_005089055, XP_017631623, XP_017633729, XP_017612945, YP_005089050, XP_017607671, XP_017640864, XP_017605652, XP_017610165, XP_017614441, XP_017639067, XP_017650238, XP_017648797, XP_017647387, XP_017619850, XP_017606919, XP_017642135, XP_017649721, XP_017632227, XP_017616747, XP_017608260, XP_017620807, XP_017612276, XP_017617185, YP_005089030, XP_017624354, XP_017616331, XP_017643235, XP_017626099, XP_017614305, XP_017608385, XP_017611752, XP_017632214, XP_017607016, XP_017632258, XP_017642423, XP_017642666, XP_017638432, XP_017647318, XP_017622899, XP_017606969, XP_017607737, XP_017624319, YP_005089042, XP_017620140, XP_017626800, XP_017623012, YP_005089003, XP_017610917, XP_017623496, YP_005089047, YP_005089002, YP_005089046, XP_017626245, XP_017619555, XP_017626640, XP_017634307, XP_017613828, XP_017648210, XP_017647363, XP_017643280, XP_017611447, XP_017630824, XP_017637734, XP_017633452, XP_017612973, YP_005089007, YP_005088994, YP_005089048, YP_005088999, XP_017626968, XP_017623616, XP_017608759, XP_017640858, YP_005088998	703	271	2307	0.9929716082367083	0.9999999999999996	1.0	1.0
