Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_3	GO:0048029~monosaccharide binding	5	1.1961722488038278	0.004964867703317803	NM_001180094, NM_001179919, NM_001182334, NM_001178685, NM_001180018	325	8	3239	6.228846153846154	0.45241920988622464	0.6007489921014542	0.6007489921014542
GOTERM_MF_3	GO:0016798~hydrolase activity, acting on glycosyl bonds	9	2.15311004784689	0.0310106669976788	NM_001181408, NM_001182904, NM_001180569, NM_001182703, NM_001178370, NM_001179335, NM_001181789, NM_001179612, NM_001178855	325	38	3239	2.3604048582995953	0.9778895011917297	1.0	1.0
GOTERM_MF_3	GO:0016757~transferase activity, transferring glycosyl groups	15	3.588516746411483	0.06563431932745434	NM_001179370, NM_001183057, NM_001182231, NM_001181791, NM_001178363, NM_001178352, NM_001181345, NM_001183700, NM_001183504, NM_001183989, NM_001180930, NM_001180903, NM_001180749, NM_001178553, NM_001178855	325	91	3239	1.6427726120033814	0.9997292663208677	1.0	1.0
GOTERM_MF_3	GO:0016741~transferase activity, transferring one-carbon groups	14	3.349282296650718	0.14919772983983437	NM_001180472, NM_001183658, NM_001182900, NM_001181767, NM_001183378, NM_001183379, NM_001180748, NM_001180624, NM_001182901, NM_001178619, NM_001181915, NM_001184080, NM_001179458, NM_001178611	325	95	3239	1.4686963562753035	0.999999996769532	1.0	1.0
GOTERM_MF_3	GO:0042277~peptide binding	7	1.674641148325359	0.20537235015889813	NM_001184057, NM_001183517, NM_001179177, NM_001182544, NM_001178631, NM_001182888, NM_001179634	325	40	3239	1.744076923076923	0.9999999999991687	1.0	1.0
GOTERM_MF_3	GO:0038023~signaling receptor activity	3	0.7177033492822966	0.22515872035656886	NM_001180094, NM_001180728, NM_001179008	325	9	3239	3.322051282051282	0.9999999999999607	1.0	1.0
GOTERM_MF_3	GO:0004888~transmembrane signaling receptor activity	3	0.7177033492822966	0.22515872035656886	NM_001180094, NM_001180728, NM_001179008	325	9	3239	3.322051282051282	0.9999999999999607	1.0	1.0
GOTERM_MF_3	GO:0099600~transmembrane receptor activity	3	0.7177033492822966	0.22515872035656886	NM_001180094, NM_001180728, NM_001179008	325	9	3239	3.322051282051282	0.9999999999999607	1.0	1.0
GOTERM_MF_3	GO:0016772~transferase activity, transferring phosphorus-containing groups	31	7.4162679425837315	0.23342371957277144	NM_001184045, NM_001179590, NM_001183750, NM_001180480, NM_001183570, NM_001181597, NM_001184207, NM_001182641, NM_001182723, NM_001183137, NM_001181533, NM_001179092, NM_001179815, NM_001178685, NM_001179019, NM_001179160, NM_001184153, NM_001181763, NM_001181169, NM_001182334, NM_001180056, NM_001182992, NM_001182217, NM_001183686, NM_001180018, NM_001182799, NM_001183105, NM_001182727, NM_001179209, NM_001180429, NM_001178217	325	262	3239	1.1792014092777452	0.9999999999999892	1.0	1.0
GOTERM_MF_3	GO:0001882~nucleoside binding	64	15.311004784688995	0.24463013375052897	NM_001179250, NM_001181373, NM_001180480, NM_001180088, NM_001183636, NM_001180600, NM_001181535, NM_001183313, NM_001182149, NM_001180203, NM_001181533, NM_001178724, NM_001178847, NM_001179739, NM_001179135, NM_001178685, NM_001179019, NM_001182030, NM_001183560, NM_001183001, NM_001179141, NM_001184054, NM_001181223, NM_001182992, NM_001180056, NM_001183604, NM_001182911, NM_001183686, NM_001180018, NM_001182799, NM_001178978, NM_001180927, NM_001178612, NM_001178217, NM_001178181, NM_001179590, NM_001181032, NM_001179353, NM_001182163, NM_001183570, NM_001183536, NM_001181597, NM_001182641, NM_001182723, NM_001180346, NM_001183215, NM_001181749, NM_001179717, NM_001179160, NM_001183584, NM_001181763, NM_001181169, NM_001182334, NM_001181442, NM_001181767, NM_001183587, NM_001182217, NM_001181887, NM_001183105, NM_001179209, NM_001182727, NM_001179522, NM_001179204, NM_001178315	325	580	3239	1.099713527851459	0.9999999999999982	1.0	1.0
GOTERM_MF_3	GO:0032553~ribonucleotide binding	65	15.550239234449762	0.25586538158367006	NM_001179250, NM_001181373, NM_001180480, NM_001180088, NM_001183636, NM_001180600, NM_001181535, NM_001183313, NM_001182149, NM_001180203, NM_001181533, NM_001178724, NM_001178847, NM_001179739, NM_001179135, NM_001178685, NM_001179019, NM_001182030, NM_001183560, NM_001183001, NM_001179141, NM_001184054, NM_001181223, NM_001182992, NM_001180056, NM_001183604, NM_001182911, NM_001183686, NM_001180018, NM_001182799, NM_001178978, NM_001180927, NM_001178612, NM_001178217, NM_001178181, NM_001179590, NM_001181032, NM_001179353, NM_001182163, NM_001183536, NM_001181597, NM_001182641, NM_001182723, NM_001184269, NM_001180346, NM_001183215, NM_001181749, NM_001179717, NM_001179160, NM_001183584, NM_001181763, NM_001181169, NM_001182334, NM_001181442, NM_001181767, NM_001183587, NM_001182217, NM_001181887, NM_001183105, NM_001183985, NM_001179209, NM_001182727, NM_001179522, NM_001179204, NM_001178315	325	592	3239	1.094256756756757	0.9999999999999997	1.0	1.0
GOTERM_MF_3	GO:0016765~transferase activity, transferring alkyl or aryl (other than methyl) groups	6	1.4354066985645932	0.2888891457655369	NM_001179560, NM_001182033, NM_001179198, NM_001180265, NM_001180821, NM_001179647	325	36	3239	1.661025641025641	1.0	1.0	1.0
GOTERM_MF_3	GO:0015002~heme-copper terminal oxidase activity	3	0.7177033492822966	0.302774624113302	NM_001181925, NM_001182763, NM_001182751	325	11	3239	2.718041958041958	1.0	1.0	1.0
GOTERM_MF_3	GO:0016675~oxidoreductase activity, acting on a heme group of donors	3	0.7177033492822966	0.302774624113302	NM_001181925, NM_001182763, NM_001182751	325	11	3239	2.718041958041958	1.0	1.0	1.0
GOTERM_MF_3	GO:0032403~protein complex binding	10	2.3923444976076556	0.3926031799688007	NM_001181209, NM_001182309, NM_001180748, NM_001180429, NM_001183700, NM_001179135, NM_001180058, NM_001183658, NM_001178785, NM_001178248	325	79	3239	1.2615384615384615	1.0	1.0	1.0
GOTERM_MF_3	GO:0017171~serine hydrolase activity	3	0.7177033492822966	0.4514523781067697	NM_001179660, NM_001178487, NM_001178875	325	15	3239	1.9932307692307696	1.0	1.0	1.0
GOTERM_MF_3	GO:0016810~hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	7	1.674641148325359	0.4582203156160776	NM_001182979, NM_001182240, NM_001181915, NM_001180629, NM_001180550, NM_001179204, NM_001181767	325	54	3239	1.2919088319088319	1.0	1.0	1.0
GOTERM_MF_3	GO:0016746~transferase activity, transferring acyl groups	13	3.110047846889952	0.4592046947468731	NM_001184045, NM_001183672, NM_001184003, NM_001183453, NM_001182133, NM_001178251, NM_001183185, NM_001182400, NM_001178868, NM_001178629, NM_001179828, NM_001178881, NM_001179553	325	113	3239	1.1465486725663716	1.0	1.0	1.0
GOTERM_MF_3	GO:0004602~glutathione peroxidase activity	2	0.4784688995215311	0.4689421279985465	NM_001179560, NM_001180821	325	6	3239	3.3220512820512824	1.0	1.0	1.0
GOTERM_MF_3	GO:0016875~ligase activity, forming carbon-oxygen bonds	5	1.1961722488038278	0.4697587697267676	NM_001178978, NM_001179141, NM_001181223, NM_001182911, NM_001183587	325	35	3239	1.4237362637362638	1.0	1.0	1.0
GOTERM_MF_3	GO:0043168~anion binding	9	2.15311004784689	0.4802770276035843	NM_001181110, NM_001180460, NM_001180927, NM_001183959, NM_001178276, NM_001179267, NM_001181067, NM_001178611, NM_001179986	325	75	3239	1.1959384615384616	1.0	1.0	1.0
GOTERM_MF_3	GO:0016667~oxidoreductase activity, acting on a sulfur group of donors	5	1.1961722488038278	0.4923674727236425	NM_001179761, NM_001181338, NM_001180821, NM_001178688, NM_001183985	325	36	3239	1.3841880341880342	1.0	1.0	1.0
GOTERM_MF_3	GO:0016879~ligase activity, forming carbon-nitrogen bonds	6	1.4354066985645932	0.4936745816263973	NM_001182030, NM_001180927, NM_001180550, NM_001179204, NM_001181767, NM_001183313	325	46	3239	1.299933110367893	1.0	1.0	1.0
GOTERM_MF_3	GO:0016684~oxidoreductase activity, acting on peroxide as acceptor	3	0.7177033492822966	0.5189080515151193	NM_001179560, NM_001180761, NM_001180821	325	17	3239	1.7587330316742082	1.0	1.0	1.0
GOTERM_MF_3	GO:0022891~substrate-specific transmembrane transporter activity	24	5.741626794258373	0.5266326233952194	NM_001178391, NM_001183376, NM_001182980, NM_001183391, NM_001181032, NM_001182396, NM_001183580, NM_001183106, NM_001181267, NM_001182763, NM_001180113, NM_001182751, NM_001180942, NM_001182017, NM_001180346, NM_001184348, NM_001181925, NM_001182748, NM_001182908, NM_001178167, NM_001183190, NM_001178631, NM_001178535, NM_001179306	325	229	3239	1.044487739334901	1.0	1.0	1.0
GOTERM_MF_3	GO:0008233~peptidase activity	12	2.8708133971291865	0.5488438812083686	NM_001180723, NM_001182814, NM_001178629, NM_001179177, NM_001179034, NM_001179157, NM_001180451, NM_001178487, NM_001180056, NM_001178875, NM_001178634, NM_001181775	325	110	3239	1.0872167832167834	1.0	1.0	1.0
GOTERM_MF_3	GO:0008134~transcription factor binding	8	1.9138755980861244	0.5600793585125134	NM_001182409, NM_001179391, NM_001180064, NM_001178254, NM_001181543, NM_001181169, NM_001183536, NM_001182734	325	70	3239	1.1389890109890108	1.0	1.0	1.0
GOTERM_MF_3	GO:0005496~steroid binding	2	0.4784688995215311	0.5700648850209502	NM_001183959, NM_001178227	325	8	3239	2.4915384615384615	1.0	1.0	1.0
GOTERM_MF_3	GO:0051082~unfolded protein binding	8	1.9138755980861244	0.5757072863994991	NM_001179209, NM_001184054, NM_001181690, NM_001180272, NM_001181442, NM_001178688, NM_001178315, NM_001180203	325	71	3239	1.122946912242687	1.0	1.0	1.0
