Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	dre00330:Arginine and proline metabolism	7	5.384615384615385	0.0023416273569315136	NP_955825, NP_001274017, NP_571876, NP_997889, NP_001304099, NP_001002169, NP_001071019	61	16	622	4.461065573770492	0.15531784833656748	0.14181052245136888	0.14181052245136888
KEGG_PATHWAY	dre01100:Metabolic pathways	35	26.923076923076923	0.003939181179204691	NP_001001589, NP_001019591, NP_957433, NP_001003746, NP_001003747, NP_001074122, NP_001004577, NP_956962, NP_001003743, NP_001028922, NP_001004295, NP_001039309, NP_955854, NP_001304099, NP_001004529, NP_957021, NP_958895, NP_001002207, NP_001104716, NP_001002169, NP_955825, NP_001274017, NP_571876, NP_998799, NP_001077036, NP_997889, NP_001038907, XP_697507, NP_998096, NP_001116749, NP_001071019, NP_998198, NP_998296, NP_001038822, NP_998672	61	247	622	1.4448795380633173	0.24736969426906308	0.14181052245136888	0.14181052245136888
KEGG_PATHWAY	dre00280:Valine, leucine and isoleucine degradation	6	4.615384615384616	0.05138262995472666	NP_001004529, NP_997889, NP_001003746, NP_001074122, NP_001002207, NP_001003743	61	22	622	2.7809239940387482	0.9775840455483248	1.0	1.0
KEGG_PATHWAY	dre01130:Biosynthesis of antibiotics	12	9.230769230769232	0.0712248367847783	NP_001004529, NP_001274017, NP_571876, NP_958895, NP_997889, NP_001077036, NP_001003746, NP_001304099, NP_001074122, NP_001002207, NP_998296, NP_998672	61	72	622	1.6994535519125684	0.9951071408689582	1.0	1.0
KEGG_PATHWAY	dre00310:Lysine degradation	4	3.076923076923077	0.08044891637141618	NP_001004529, NP_958895, NP_997889, NP_001003746	61	11	622	3.707898658718331	0.9976151451201305	1.0	1.0
KEGG_PATHWAY	dre00071:Fatty acid degradation	5	3.8461538461538463	0.11722976377006734	NP_001004529, NP_997889, NP_001003746, NP_001002207, NP_001003743	61	20	622	2.5491803278688523	0.9998738076295615	1.0	1.0
KEGG_PATHWAY	dre00620:Pyruvate metabolism	3	2.307692307692308	0.2498076754265836	NP_997889, NP_001003746, NP_998296	61	10	622	3.059016393442623	0.9999999989709691	1.0	1.0
KEGG_PATHWAY	dre00120:Primary bile acid biosynthesis	2	1.5384615384615385	0.262752124957801	NP_001025360, NP_001116749	61	3	622	6.797814207650273	0.9999999997061172	1.0	1.0
KEGG_PATHWAY	dre00260:Glycine, serine and threonine metabolism	4	3.076923076923077	0.27440909304277483	NP_955825, NP_001274017, NP_997889, NP_001028922	61	19	622	2.1466781708369287	0.999999999906715	1.0	1.0
KEGG_PATHWAY	dre01212:Fatty acid metabolism	4	3.076923076923077	0.27440909304277483	NP_001004529, NP_001003746, NP_001002207, NP_001003743	61	19	622	2.1466781708369287	0.999999999906715	1.0	1.0
