Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_5	GO:0043436~oxoacid metabolic process	41	5.710306406685237	5.553490343487475E-4	XM_007820098, XM_007822354, XM_007821483, XM_007822691, XM_007818130, XM_007821921, XM_007823825, XM_007826991, XM_007820478, XM_007828014, XM_007821766, XM_007825045, XM_007823765, XM_007823225, XM_007826654, XM_007819719, XM_007818807, XM_007822738, XM_007818300, XM_007818321, XM_007818667, XM_007819413, XM_007826744, XM_007824841, XM_007820044, XM_007825855, XM_007819095, XM_007821756, XM_007825098, XM_007827695, XM_007825673, XM_007826785, XM_007827458, XM_007824049, XM_007820805, XM_007820405, XM_007820823, XM_007822924, XM_007824805, XM_007818277, XM_007818514	205	177	1465	1.6553672316384183	0.1780639328184156	0.11289685788965861	0.11289685788965861
GOTERM_BP_5	GO:0019752~carboxylic acid metabolic process	40	5.571030640668524	6.967660560331244E-4	XM_007820098, XM_007822354, XM_007821483, XM_007822691, XM_007818130, XM_007821921, XM_007823825, XM_007826991, XM_007820478, XM_007828014, XM_007821766, XM_007825045, XM_007823765, XM_007823225, XM_007826654, XM_007819719, XM_007818807, XM_007822738, XM_007818300, XM_007818321, XM_007818667, XM_007819413, XM_007826744, XM_007824841, XM_007820044, XM_007825855, XM_007821756, XM_007825098, XM_007827695, XM_007825673, XM_007826785, XM_007827458, XM_007824049, XM_007820805, XM_007820405, XM_007820823, XM_007822924, XM_007824805, XM_007818277, XM_007818514	205	173	1465	1.6523332863386437	0.21811229253643727	0.11289685788965861	0.11289685788965861
GOTERM_BP_5	GO:1901605~alpha-amino acid metabolic process	19	2.6462395543175488	9.594633814985151E-4	XM_007824841, XM_007822354, XM_007826744, XM_007820044, XM_007822691, XM_007821921, XM_007823825, XM_007821756, XM_007826991, XM_007820478, XM_007827695, XM_007820498, XM_007819719, XM_007823917, XM_007820823, XM_007822738, XM_007822924, XM_007824805, XM_007818300	205	61	1465	2.2259096361455417	0.28741292107701155	0.11289685788965861	0.11289685788965861
GOTERM_BP_5	GO:0016053~organic acid biosynthetic process	22	3.064066852367688	0.0023143061848163986	XM_007820098, XM_007824841, XM_007822354, XM_007826744, XM_007820044, XM_007821483, XM_007821921, XM_007823825, XM_007821756, XM_007825098, XM_007827695, XM_007820498, XM_007823765, XM_007826654, XM_007822850, XM_007820823, XM_007822738, XM_007822924, XM_007824805, XM_007818300, XM_007818321, XM_007819413	205	81	1465	1.9409816320385425	0.5586410904250975	0.20423752081004717	0.20423752081004717
GOTERM_BP_5	GO:0046394~carboxylic acid biosynthetic process	20	2.785515320334262	0.004220559338841478	XM_007820098, XM_007824841, XM_007822354, XM_007826744, XM_007820044, XM_007821483, XM_007821921, XM_007823825, XM_007821756, XM_007825098, XM_007827695, XM_007823765, XM_007826654, XM_007820823, XM_007822738, XM_007822924, XM_007824805, XM_007818300, XM_007818321, XM_007819413	205	74	1465	1.9314436387607121	0.7753047719334303	0.2979714893222083	0.2979714893222083
GOTERM_BP_5	GO:1901607~alpha-amino acid biosynthetic process	13	1.8105849582172702	0.005962908190972022	XM_007824841, XM_007826744, XM_007820044, XM_007821921, XM_007823825, XM_007821756, XM_007827695, XM_007820498, XM_007820823, XM_007822738, XM_007822924, XM_007824805, XM_007818300	205	40	1465	2.3225609756097563	0.8789083198918276	0.35081776523552066	0.35081776523552066
GOTERM_BP_5	GO:0008652~cellular amino acid biosynthetic process	13	1.8105849582172702	0.031186746228941714	XM_007820098, XM_007824841, XM_007826744, XM_007820044, XM_007821921, XM_007823825, XM_007821756, XM_007827695, XM_007820823, XM_007822738, XM_007822924, XM_007824805, XM_007818300	205	49	1465	1.895968143354903	0.9999861086247983	1.0	1.0
GOTERM_BP_5	GO:0019362~pyridine nucleotide metabolic process	8	1.1142061281337048	0.04812189092041318	XM_007822354, XM_007822130, XM_007818807, XM_007821976, XM_007818277, XM_007825673, XM_007823852, XM_007824049	205	25	1465	2.2868292682926827	0.9999999725075948	1.0	1.0
GOTERM_BP_5	GO:0009081~branched-chain amino acid metabolic process	5	0.6963788300835655	0.05437502709652307	XM_007820098, XM_007820044, XM_007818300, XM_007825045, XM_007822850	205	11	1465	3.248337028824834	0.999999997315995	1.0	1.0
GOTERM_BP_5	GO:0006733~oxidoreduction coenzyme metabolic process	9	1.2534818941504178	0.05551014541810205	XM_007822354, XM_007822130, XM_007818807, XM_007821745, XM_007821976, XM_007818277, XM_007825673, XM_007823852, XM_007824049	205	31	1465	2.074744295830055	0.999999998243509	1.0	1.0
GOTERM_BP_5	GO:0006631~fatty acid metabolic process	7	0.9749303621169917	0.0600996373805728	XM_007825855, XM_007825098, XM_007821766, XM_007818321, XM_007823765, XM_007826654, XM_007819413	205	21	1465	2.3821138211382116	0.9999999996853111	1.0	1.0
GOTERM_BP_5	GO:0009072~aromatic amino acid family metabolic process	6	0.8356545961002786	0.07521570973328329	XM_007822354, XM_007821483, XM_007823917, XM_007820498, XM_007823512, XM_007823511	205	17	1465	2.5222381635581064	0.9999999999989714	1.0	1.0
GOTERM_BP_5	GO:0009082~branched-chain amino acid biosynthetic process	4	0.5571030640668524	0.08737638116583701	XM_007820098, XM_007820044, XM_007818300, XM_007822850	205	8	1465	3.573170731707317	0.9999999999999903	1.0	1.0
GOTERM_BP_5	GO:0009066~aspartate family amino acid metabolic process	6	0.8356545961002786	0.0928389077549067	XM_007820044, XM_007820823, XM_007822738, XM_007822924, XM_007824805, XM_007821756	205	18	1465	2.3821138211382116	0.9999999999999989	1.0	1.0
GOTERM_BP_5	GO:0032200~telomere organization	3	0.4178272980501393	0.09562257352379418	XM_007825437, XM_007819141, XM_007821469	205	4	1465	5.359756097560976	0.9999999999999996	1.0	1.0
