Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_4	GO:0045454~cell redox homeostasis	3	1.8867924528301887	0.041617475619801614	XP_017607908, XP_017640557, XP_017649431	16	54	2452	8.51388888888889	0.9395263092748974	1.0	1.0
GOTERM_BP_4	GO:0019725~cellular homeostasis	3	1.8867924528301887	0.050402900270046375	XP_017607908, XP_017640557, XP_017649431	16	60	2452	7.6625	0.9670694451365073	1.0	1.0
GOTERM_BP_4	GO:0044283~small molecule biosynthetic process	4	2.515723270440252	0.05364733082180738	XP_017607265, XP_017616126, XP_017608536, XP_017646263	16	144	2452	4.256944444444445	0.9737276602615521	1.0	1.0
GOTERM_BP_4	GO:0006662~glycerol ether metabolic process	2	1.257861635220126	0.13218143601825777	XP_017640557, XP_017649431	16	23	2452	13.326086956521738	0.9999136405666276	1.0	1.0
GOTERM_BP_4	GO:0018904~ether metabolic process	2	1.257861635220126	0.13218143601825777	XP_017640557, XP_017649431	16	23	2452	13.326086956521738	0.9999136405666276	1.0	1.0
GOTERM_BP_4	GO:0016053~organic acid biosynthetic process	3	1.8867924528301887	0.17592500559042187	XP_017607265, XP_017608536, XP_017646263	16	125	2452	3.678	0.9999971568184773	1.0	1.0
GOTERM_BP_4	GO:0006631~fatty acid metabolic process	2	1.257861635220126	0.34910191556375464	XP_017607265, XP_017646263	16	69	2452	4.442028985507247	0.9999999999995082	1.0	1.0
GOTERM_BP_4	GO:0043436~oxoacid metabolic process	3	1.8867924528301887	0.3975054145892949	XP_017607265, XP_017608536, XP_017646263	16	221	2452	2.0803167420814477	0.999999999999997	1.0	1.0
GOTERM_BP_4	GO:0071555~cell wall organization	2	1.257861635220126	0.41927129272664376	XP_017617131, XP_017612966	16	87	2452	3.5229885057471266	0.9999999999999998	1.0	1.0
GOTERM_BP_4	GO:0005976~polysaccharide metabolic process	2	1.257861635220126	0.44460028136807145	XP_017609795, XP_017612966	16	94	2452	3.2606382978723403	1.0	1.0	1.0
GOTERM_BP_4	GO:0006082~organic acid metabolic process	3	1.8867924528301887	0.45095702076834887	XP_017607265, XP_017608536, XP_017646263	16	245	2452	1.876530612244898	1.0	1.0	1.0
GOTERM_BP_4	GO:0008610~lipid biosynthetic process	2	1.257861635220126	0.4756521460537171	XP_017607265, XP_017646263	16	103	2452	2.975728155339806	1.0	1.0	1.0
GOTERM_BP_4	GO:1901566~organonitrogen compound biosynthetic process	4	2.515723270440252	0.533258006844849	XP_017619693, XP_017631570, XP_017616126, XP_017608536	16	447	2452	1.3713646532438477	1.0	1.0	1.0
GOTERM_BP_4	GO:0044255~cellular lipid metabolic process	2	1.257861635220126	0.5359614097394583	XP_017607265, XP_017646263	16	122	2452	2.5122950819672134	1.0	1.0	1.0
GOTERM_BP_4	GO:0044765~single-organism transport	2	1.257861635220126	0.7585447404436683	XP_017610013, XP_017612374	16	221	2452	1.3868778280542986	1.0	1.0	1.0
GOTERM_BP_4	GO:0018130~heterocycle biosynthetic process	3	1.8867924528301887	0.7920537452123868	XP_017619693, XP_017639302, XP_017616126	16	450	2452	1.0216666666666667	1.0	1.0	1.0
GOTERM_BP_4	GO:1901362~organic cyclic compound biosynthetic process	3	1.8867924528301887	0.8136183004439816	XP_017619693, XP_017639302, XP_017616126	16	470	2452	0.9781914893617022	1.0	1.0	1.0
GOTERM_BP_4	GO:0044271~cellular nitrogen compound biosynthetic process	4	2.515723270440252	0.8868147688155761	XP_017619693, XP_017631570, XP_017639302, XP_017616126	16	755	2452	0.8119205298013245	1.0	1.0	1.0
GOTERM_BP_4	GO:0034654~nucleobase-containing compound biosynthetic process	2	1.257861635220126	0.9381326762006865	XP_017619693, XP_017639302	16	414	2452	0.7403381642512077	1.0	1.0	1.0
GOTERM_BP_4	GO:0019438~aromatic compound biosynthetic process	2	1.257861635220126	0.9540928024931905	XP_017619693, XP_017639302	16	454	2452	0.6751101321585903	1.0	1.0	1.0
GOTERM_BP_4	GO:0034645~cellular macromolecule biosynthetic process	3	1.8867924528301887	0.9709323434508947	XP_017609795, XP_017631570, XP_017639302	16	761	2452	0.6041392904073587	1.0	1.0	1.0
GOTERM_BP_4	GO:0009059~macromolecule biosynthetic process	3	1.8867924528301887	0.9733633961018006	XP_017609795, XP_017631570, XP_017639302	16	773	2452	0.5947606727037515	1.0	1.0	1.0
GOTERM_BP_4	GO:0006139~nucleobase-containing compound metabolic process	2	1.257861635220126	0.9904607847280885	XP_017619693, XP_017639302	16	652	2452	0.47009202453987736	1.0	1.0	1.0
GOTERM_BP_4	GO:0010467~gene expression	2	1.257861635220126	0.996685239216379	XP_017631570, XP_017639302	16	774	2452	0.39599483204134367	1.0	1.0	1.0
GOTERM_BP_4	GO:0044260~cellular macromolecule metabolic process	3	1.8867924528301887	0.9973700737066717	XP_017609795, XP_017631570, XP_017639302	16	1054	2452	0.4361954459203036	1.0	1.0	1.0
GOTERM_BP_4	GO:0015850~organic hydroxy compound transport	1	0.628930817610063	1.0	XP_017612374	16	2	2452	76.625	1.0	1.0	1.0
GOTERM_BP_4	GO:0044267~cellular protein metabolic process	1	0.628930817610063	1.0	XP_017631570	16	485	2452	0.31597938144329896	1.0	1.0	1.0
GOTERM_BP_4	GO:0016070~RNA metabolic process	1	0.628930817610063	1.0	XP_017639302	16	477	2452	0.32127882599580715	1.0	1.0	1.0
GOTERM_BP_4	GO:0006766~vitamin metabolic process	1	0.628930817610063	1.0	XP_017616126	16	15	2452	10.216666666666667	1.0	1.0	1.0
GOTERM_BP_4	GO:0009231~riboflavin biosynthetic process	1	0.628930817610063	1.0	XP_017616126	16	4	2452	38.3125	1.0	1.0	1.0
GOTERM_BP_4	GO:0034637~cellular carbohydrate biosynthetic process	1	0.628930817610063	1.0	XP_017609795	16	38	2452	4.032894736842105	1.0	1.0	1.0
GOTERM_BP_4	GO:0072521~purine-containing compound metabolic process	1	0.628930817610063	1.0	XP_017619693	16	59	2452	2.597457627118644	1.0	1.0	1.0
