Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_5	GO:0019843~rRNA binding	35	2.663622526636225	0.0014884351741472858	NM_001183331, NM_001183475, NM_001179196, NM_001182384, NM_001180189, NM_001182841, NM_001182366, NM_001181232, NM_001183857, NM_001181012, NM_001182229, NM_001180645, NM_001180620, NM_001182546, NM_001180786, NM_001181214, NM_001182913, NM_001182736, NM_001179871, NM_001179575, NM_001179334, NM_001178745, NM_001179182, NM_001182073, NM_001182072, NM_001183023, NM_001181781, NM_001180372, NM_001178396, NM_001182136, NM_001180693, NM_001183945, NM_001181624, NM_001180988, NM_001180808	825	70	2647	1.6042424242424245	0.4472439475990093	0.5923971993106197	0.5923971993106197
GOTERM_MF_5	GO:0030515~snoRNA binding	16	1.21765601217656	0.004340293485198914	NM_001182084, NM_001184234, NM_001184031, NM_001181257, NM_001184438, NM_001181542, NM_001183730, NM_001180208, NM_001178769, NM_001182913, NM_001182736, NM_001182109, NM_001180757, NM_001178595, NM_001178841, NM_001179327	825	26	2647	1.9744522144522145	0.8229275806361908	0.863718403554584	0.863718403554584
GOTERM_MF_5	GO:0008173~RNA methyltransferase activity	18	1.36986301369863	0.007570374473750633	NM_001180391, NM_001182073, NM_001180171, NM_001180073, NM_001180261, NM_001182372, NM_001183844, NM_001182861, NM_001183971, NM_001181558, NM_001182735, NM_001183223, NM_001182899, NM_001178409, NM_001178584, NM_001178761, NM_001178698, NM_001178489	825	32	2647	1.8047727272727274	0.9514165204007774	0.9108886902283823	0.9108886902283823
GOTERM_MF_5	GO:0000287~magnesium ion binding	28	2.13089802130898	0.009154660203300325	NM_001178183, NM_001179693, NM_001183316, NM_001182785, NM_001182741, NM_001183058, NM_001181019, NM_001183234, NM_001181931, NM_001183555, NM_001180125, NM_001179091, NM_001182666, NM_001181947, NM_001178308, NM_001178665, NM_001178600, NM_001178990, NM_001180595, NM_001184335, NM_001182876, NM_001179747, NM_001182605, NM_001180707, NM_001182608, NM_001179403, NM_001178853, NM_001179305	825	58	2647	1.5489237199582029	0.9742761063226233	0.9108886902283823	0.9108886902283823
GOTERM_MF_5	GO:0034062~RNA polymerase activity	18	1.36986301369863	0.016025549460123738	NM_001184287, NM_001183760, NM_001183761, NM_001179273, NM_001184284, NM_001183535, NM_001182951, NM_001184107, NM_001180200, NM_001183626, NM_001180463, NM_001183643, NM_001181721, NM_001180712, NM_001183629, NM_001179930, NM_001179710, NM_001178502	825	34	2647	1.6986096256684493	0.9983872720772803	0.9319092758829189	0.9319092758829189
GOTERM_MF_5	GO:0008135~translation factor activity, RNA binding	23	1.750380517503805	0.02187834329021507	NM_001178180, NM_001181183, NM_001183781, NM_001181291, NM_001184113, NM_001184051, NM_001183393, NM_001181664, NM_001181212, NM_001182136, NM_001183679, NM_001180693, NM_001183862, NM_001182853, NM_001182508, NM_001178427, NM_001180737, NM_001181956, NM_001182648, NM_001178849, NM_001183606, NM_001178466, NM_001183082	825	48	2647	1.53739898989899	0.9998499057129875	0.9319092758829189	0.9319092758829189
GOTERM_MF_5	GO:0030554~adenyl nucleotide binding	174	13.24200913242009	0.02439236165861304	NM_001184242, NM_001181490, NM_001183430, NM_001183310, NM_001181253, NM_001183270, NM_001182067, NM_001183678, NM_001183316, NM_001180289, NM_001180201, NM_001178927, NM_001180838, NM_001179695, NM_001179455, NM_001179336, NM_001179974, NM_001179732, NM_001178249, NM_001184132, NM_001183285, NM_001179062, NM_001178490, NM_001179221, NM_001179463, NM_001183843, NM_001181300, NM_001182234, NM_001181782, NM_001183967, NM_001180331, NM_001181668, NM_001180576, NM_001184018, NM_001181544, NM_001182754, NM_001182629, NM_001180329, NM_001179747, NM_001181779, NM_001180608, NM_001178376, NM_001178534, NM_001183572, NM_001179194, NM_001179591, NM_001179195, NM_001180185, NM_001179593, NM_001178263, NM_001181393, NM_001181399, NM_001181036, NM_001180066, NM_001181034, NM_001180985, NM_001184302, NM_001180345, NM_001180984, NM_001183974, NM_001181947, NM_001181704, NM_001179639, NM_001178308, NM_001182879, NM_001181828, NM_001178666, NM_001179876, NM_001183220, NM_001183189, NM_001179241, NM_001184031, NM_001178670, NM_001180591, NM_001183348, NM_001181323, NM_001180871, NM_001182136, NM_001181563, NM_001183344, NM_001181448, NM_001181722, NM_001180994, NM_001182810, NM_001179927, NM_001181717, NM_001178279, NM_001179644, NM_001178556, NM_001179646, NM_001178316, NM_001183351, NM_001179490, NM_001179372, NM_001183193, NM_001178164, NM_001179495, NM_001179133, NM_001180123, NM_001182147, NM_001180520, NM_001181333, NM_001180245, NM_001180369, NM_001181855, NM_001183234, NM_001184049, NM_001184203, NM_001181854, NM_001179091, NM_001181973, NM_001182666, NM_001181726, NM_001178846, NM_001179814, NM_001178725, NM_001181846, NM_001179937, NM_001178961, NM_001178566, NM_001178174, NM_001183085, NM_001179385, NM_001181620, NM_001181983, NM_001183920, NM_001182950, NM_001181100, NM_001182712, NM_001181468, NM_001181467, NM_001178339, NM_001182429, NM_001178695, NM_001179300, NM_001178575, NM_001179149, NM_001180090, NM_001179944, NM_001182161, NM_001182040, NM_001183099, NM_001179150, NM_001178183, NM_001183094, NM_001179155, NM_001182284, NM_001181993, NM_001180143, NM_001183538, NM_001181111, NM_001180785, NM_001181479, NM_001183896, NM_001178508, NM_001181190, NM_001178622, NM_001183021, NM_001181081, NM_001182452, NM_001181483, NM_001182692, NM_001178990, NM_001182696, NM_001182970, NM_001180556, NM_001180798, NM_001180435, NM_001183424, NM_001182853, NM_001180943, NM_001183817, NM_001178475, NM_001179844	825	495	2647	1.1278310376492193	0.999946107743283	0.9319092758829189	0.9319092758829189
GOTERM_MF_5	GO:0017076~purine nucleotide binding	202	15.37290715372907	0.025040777627583447	NM_001181490, NM_001183430, NM_001183310, NM_001181253, NM_001183678, NM_001183316, NM_001180289, NM_001180964, NM_001180838, NM_001179974, NM_001179732, NM_001179062, NM_001182597, NM_001182234, NM_001182116, NM_001179747, NM_001180608, NM_001178534, NM_001178897, NM_001183572, NM_001179194, NM_001179195, NM_001180185, NM_001181393, NM_001181399, NM_001181036, NM_001180066, NM_001181034, NM_001180985, NM_001184302, NM_001180984, NM_001181947, NM_001181704, NM_001178308, NM_001179639, NM_001181828, NM_001178666, NM_001179876, NM_001183220, NM_001178670, NM_001183348, NM_001180871, NM_001182136, NM_001183344, NM_001181722, NM_001180994, NM_001182810, NM_001181956, NM_001181717, NM_001179644, NM_001178556, NM_001179646, NM_001178316, NM_001183351, NM_001183230, NM_001181292, NM_001181730, NM_001182147, NM_001180520, NM_001181734, NM_001181855, NM_001183234, NM_001184203, NM_001181854, NM_001179091, NM_001181973, NM_001181726, NM_001182936, NM_001183907, NM_001181846, NM_001179654, NM_001178566, NM_001181620, NM_001181983, NM_001183920, NM_001182950, NM_001182712, NM_001178339, NM_001178695, NM_001179300, NM_001178575, NM_001180090, NM_001182161, NM_001182040, NM_001182284, NM_001181993, NM_001180785, NM_001178466, NM_001181190, NM_001183021, NM_001181081, NM_001182970, NM_001180798, NM_001180435, NM_001180556, NM_001182853, NM_001178911, NM_001183817, NM_001178475, NM_001184242, NM_001182181, NM_001183270, NM_001182067, NM_001180201, NM_001178927, NM_001179695, NM_001179455, NM_001179336, NM_001178249, NM_001184132, NM_001183285, NM_001178490, NM_001179463, NM_001179221, NM_001183843, NM_001181300, NM_001180693, NM_001181782, NM_001180331, NM_001183967, NM_001181668, NM_001180576, NM_001182754, NM_001184018, NM_001181544, NM_001182629, NM_001180329, NM_001181779, NM_001178376, NM_001179591, NM_001179593, NM_001178263, NM_001183058, NM_001180345, NM_001183974, NM_001182879, NM_001183606, NM_001183189, NM_001179241, NM_001184031, NM_001184032, NM_001180591, NM_001181323, NM_001183865, NM_001181563, NM_001181448, NM_001180114, NM_001179927, NM_001179929, NM_001178279, NM_001179490, NM_001183193, NM_001179372, NM_001179495, NM_001178164, NM_001179133, NM_001180123, NM_001181333, NM_001180245, NM_001180369, NM_001183630, NM_001184049, NM_001182666, NM_001178846, NM_001179814, NM_001178725, NM_001179937, NM_001178961, NM_001179258, NM_001178174, NM_001180252, NM_001179385, NM_001183085, NM_001181100, NM_001181468, NM_001181467, NM_001182429, NM_001179149, NM_001179944, NM_001178180, NM_001183099, NM_001179150, NM_001178183, NM_001183094, NM_001179155, NM_001180143, NM_001181111, NM_001183538, NM_001181479, NM_001183896, NM_001178508, NM_001178622, NM_001182452, NM_001181483, NM_001182692, NM_001178990, NM_001182696, NM_001183424, NM_001180943, NM_001179961, NM_001179720, NM_001179844	825	582	2647	1.113597834010205	0.9999586374039489	0.9319092758829189	0.9319092758829189
GOTERM_MF_5	GO:0032553~ribonucleotide binding	205	15.601217656012176	0.02670397417535531	NM_001181490, NM_001183430, NM_001183310, NM_001181253, NM_001183678, NM_001183316, NM_001180289, NM_001181013, NM_001180964, NM_001180838, NM_001179974, NM_001179732, NM_001179062, NM_001182597, NM_001182234, NM_001182116, NM_001179747, NM_001180608, NM_001178534, NM_001178897, NM_001183572, NM_001179194, NM_001179195, NM_001180185, NM_001181393, NM_001181399, NM_001181036, NM_001180066, NM_001181034, NM_001180985, NM_001184302, NM_001180984, NM_001181947, NM_001181704, NM_001178308, NM_001179639, NM_001181828, NM_001178666, NM_001179876, NM_001183220, NM_001178670, NM_001183348, NM_001180871, NM_001182136, NM_001183344, NM_001181722, NM_001180994, NM_001182810, NM_001181956, NM_001181717, NM_001179644, NM_001178556, NM_001179646, NM_001178316, NM_001183351, NM_001183230, NM_001181292, NM_001181730, NM_001182147, NM_001180520, NM_001181734, NM_001181855, NM_001183234, NM_001184203, NM_001181854, NM_001179091, NM_001181973, NM_001181726, NM_001182936, NM_001183907, NM_001181846, NM_001178566, NM_001181620, NM_001181983, NM_001183920, NM_001182950, NM_001182712, NM_001178339, NM_001178695, NM_001179300, NM_001178575, NM_001180090, NM_001182161, NM_001182040, NM_001182284, NM_001181993, NM_001180785, NM_001178466, NM_001181190, NM_001183021, NM_001181081, NM_001182970, NM_001180798, NM_001180435, NM_001180556, NM_001182853, NM_001178911, NM_001183817, NM_001178475, NM_001184242, NM_001182181, NM_001183270, NM_001182067, NM_001180201, NM_001178927, NM_001179695, NM_001179455, NM_001179336, NM_001178249, NM_001184132, NM_001178490, NM_001179221, NM_001183843, NM_001181300, NM_001180693, NM_001181782, NM_001180331, NM_001183967, NM_001181668, NM_001180576, NM_001182754, NM_001184018, NM_001181544, NM_001182629, NM_001180329, NM_001181779, NM_001178376, NM_001184145, NM_001179591, NM_001180340, NM_001179593, NM_001178383, NM_001178263, NM_001183058, NM_001180345, NM_001183974, NM_001182879, NM_001183606, NM_001183189, NM_001179241, NM_001184031, NM_001184032, NM_001180591, NM_001181323, NM_001183865, NM_001181563, NM_001180231, NM_001181448, NM_001180114, NM_001179927, NM_001178717, NM_001179929, NM_001178279, NM_001179490, NM_001183193, NM_001179372, NM_001179495, NM_001178164, NM_001179133, NM_001180123, NM_001181333, NM_001180245, NM_001180369, NM_001183630, NM_001184049, NM_001182666, NM_001178846, NM_001179814, NM_001178725, NM_001179937, NM_001178961, NM_001179258, NM_001178174, NM_001180252, NM_001179385, NM_001183085, NM_001181100, NM_001181468, NM_001181467, NM_001182429, NM_001179149, NM_001179944, NM_001178180, NM_001183099, NM_001179150, NM_001178183, NM_001183094, NM_001179155, NM_001180143, NM_001181111, NM_001183538, NM_001181479, NM_001183896, NM_001178508, NM_001178622, NM_001182452, NM_001181483, NM_001182692, NM_001178990, NM_001182696, NM_001183424, NM_001180943, NM_001179961, NM_001179720, NM_001179844	825	592	2647	1.1110462735462736	0.9999790352289165	0.9319092758829189	0.9319092758829189
GOTERM_MF_5	GO:0005524~ATP binding	172	13.08980213089802	0.026753859771643962	NM_001184242, NM_001181490, NM_001183430, NM_001183310, NM_001181253, NM_001183270, NM_001182067, NM_001183678, NM_001183316, NM_001180289, NM_001180201, NM_001178927, NM_001180838, NM_001179695, NM_001179455, NM_001179336, NM_001179974, NM_001179732, NM_001178249, NM_001184132, NM_001179062, NM_001178490, NM_001179221, NM_001183843, NM_001181300, NM_001182234, NM_001181782, NM_001183967, NM_001180331, NM_001181668, NM_001180576, NM_001184018, NM_001181544, NM_001182754, NM_001182629, NM_001180329, NM_001179747, NM_001181779, NM_001180608, NM_001178376, NM_001178534, NM_001183572, NM_001179194, NM_001179591, NM_001179195, NM_001180185, NM_001179593, NM_001178263, NM_001181393, NM_001181399, NM_001181036, NM_001180066, NM_001181034, NM_001180985, NM_001184302, NM_001180345, NM_001180984, NM_001183974, NM_001181947, NM_001181704, NM_001179639, NM_001178308, NM_001182879, NM_001181828, NM_001178666, NM_001179876, NM_001183220, NM_001183189, NM_001179241, NM_001184031, NM_001178670, NM_001180591, NM_001183348, NM_001181323, NM_001180871, NM_001182136, NM_001181563, NM_001183344, NM_001181448, NM_001181722, NM_001180994, NM_001182810, NM_001179927, NM_001181717, NM_001178279, NM_001179644, NM_001178556, NM_001179646, NM_001178316, NM_001183351, NM_001179490, NM_001179372, NM_001183193, NM_001178164, NM_001179495, NM_001179133, NM_001180123, NM_001182147, NM_001180520, NM_001181333, NM_001180245, NM_001180369, NM_001181855, NM_001183234, NM_001184049, NM_001184203, NM_001181854, NM_001179091, NM_001181973, NM_001182666, NM_001181726, NM_001178846, NM_001179814, NM_001178725, NM_001181846, NM_001179937, NM_001178961, NM_001178566, NM_001178174, NM_001183085, NM_001179385, NM_001181620, NM_001181983, NM_001183920, NM_001182950, NM_001181100, NM_001182712, NM_001181468, NM_001181467, NM_001178339, NM_001182429, NM_001178695, NM_001179300, NM_001178575, NM_001179149, NM_001180090, NM_001179944, NM_001182161, NM_001182040, NM_001183099, NM_001179150, NM_001178183, NM_001183094, NM_001179155, NM_001182284, NM_001181993, NM_001180143, NM_001183538, NM_001181111, NM_001180785, NM_001181479, NM_001183896, NM_001178508, NM_001181190, NM_001178622, NM_001183021, NM_001181081, NM_001182452, NM_001181483, NM_001182692, NM_001178990, NM_001182696, NM_001182970, NM_001180556, NM_001180798, NM_001180435, NM_001183424, NM_001182853, NM_001180943, NM_001183817, NM_001178475, NM_001179844	825	490	2647	1.126243661100804	0.9999794585718644	0.9319092758829189	0.9319092758829189
