Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_5	GO:0022853~active ion transmembrane transporter activity	10	0.37721614485099964	0.006061209869182604	XP_017634980, XP_017627347, XP_017604176, XP_017638323, XP_017637731, YP_005088984, YP_005088985, YP_005089006, XP_017624242, YP_005088987	389	14	1343	2.4660301138450236	0.6149975611363911	0.47580497473083444	0.47580497473083444
GOTERM_MF_5	GO:0042625~ATPase coupled ion transmembrane transporter activity	10	0.37721614485099964	0.006061209869182604	XP_017634980, XP_017627347, XP_017604176, XP_017638323, XP_017637731, YP_005088984, YP_005088985, YP_005089006, XP_017624242, YP_005088987	389	14	1343	2.4660301138450236	0.6149975611363911	0.47580497473083444	0.47580497473083444
GOTERM_MF_5	GO:0019843~rRNA binding	16	0.6035458317615994	0.022121282772485935	YP_005089032, YP_005089036, YP_005089035, YP_005089034, YP_005089022, XP_017616689, XP_017611766, XP_017620191, XP_017612972, XP_017634964, XP_017611261, XP_017649908, YP_005089038, YP_005089037, XP_017606705, YP_005088997	389	32	1343	1.7262210796915165	0.9701637607291099	1.0	1.0
GOTERM_MF_5	GO:0042626~ATPase activity, coupled to transmembrane movement of substances	12	0.4526593738211996	0.028557622235047393	XP_017634980, XP_017623017, XP_017627347, XP_017604176, XP_017638323, XP_017637731, YP_005088984, XP_017612691, YP_005088985, YP_005089006, XP_017624242, YP_005088987	389	22	1343	1.8831502687543817	0.9894202338662464	1.0	1.0
GOTERM_MF_5	GO:0034062~RNA polymerase activity	11	0.4149377593360996	0.07176253744198605	YP_005089031, XP_017624079, XP_017638599, YP_005088991, XP_017623014, YP_005088990, XP_017643821, XP_017641873, XP_017634647, XP_017623987, YP_005088989	389	22	1343	1.7262210796915167	0.9999916347783844	1.0	1.0
GOTERM_MF_5	GO:0015405~P-P-bond-hydrolysis-driven transmembrane transporter activity	13	0.49038098830629956	0.07860302324458296	XP_017623017, XP_017627347, XP_017624242, XP_017634980, XP_017604176, XP_017638323, XP_017634884, XP_017637731, YP_005088984, XP_017612691, YP_005088985, YP_005089006, YP_005088987	389	28	1343	1.6029195739992652	0.9999973809431806	1.0	1.0
GOTERM_MF_5	GO:0050136~NADH dehydrogenase (quinone) activity	6	0.2263296869105998	0.1856779944233596	YP_005089042, YP_005089052, YP_005089003, YP_005089002, YP_005089055, YP_005089048	389	11	1343	1.8831502687543817	0.9999999999999901	1.0	1.0
GOTERM_MF_5	GO:0000287~magnesium ion binding	11	0.4149377593360996	0.19043285476107114	XP_017642261, XP_017623018, XP_017615589, XP_017646536, XP_017639217, XP_017612276, YP_005089007, XP_017606712, YP_005088999, YP_005088998, XP_017637937	389	26	1343	1.4606486058928219	0.999999999999996	1.0	1.0
GOTERM_MF_5	GO:0008324~cation transmembrane transporter activity	18	0.6789890607317993	0.1950278533717318	XP_017631905, XP_017627347, XP_017606908, XP_017624242, XP_017646472, XP_017612656, XP_017615955, XP_017634980, XP_017604176, XP_017638323, XP_017614101, XP_017637731, YP_005088984, YP_005088985, YP_005089006, YP_005088986, XP_017624319, YP_005088987	389	48	1343	1.2946658097686377	0.9999999999999983	1.0	1.0
GOTERM_MF_5	GO:0070003~threonine-type peptidase activity	7	0.2640513013956997	0.3033614240142755	XP_017612414, XP_017627810, XP_017627444, XP_017624102, XP_017616127, XP_017649057, XP_017607924	389	16	1343	1.5104434447300772	1.0	1.0	1.0
GOTERM_MF_5	GO:0008234~cysteine-type peptidase activity	6	0.2263296869105998	0.3121539137334041	XP_017603083, XP_017642222, XP_017635077, XP_017642449, XP_017607519, XP_017630778	389	13	1343	1.5934348427921694	1.0	1.0	1.0
GOTERM_MF_5	GO:0031420~alkali metal ion binding	3	0.1131648434552999	0.3286996606179866	XP_017646536, XP_017606712, XP_017637937	389	4	1343	2.589331619537275	1.0	1.0	1.0
GOTERM_MF_5	GO:0004743~pyruvate kinase activity	3	0.1131648434552999	0.3286996606179866	XP_017646536, XP_017606712, XP_017637937	389	4	1343	2.589331619537275	1.0	1.0	1.0
GOTERM_MF_5	GO:0005509~calcium ion binding	13	0.49038098830629956	0.3336457150191724	XP_017606818, XP_017603604, XP_017646342, XP_017606409, XP_017643000, XP_017616472, XP_017649451, XP_017607353, XP_017615304, XP_017611277, XP_017649907, XP_017606313, XP_017606523	389	36	1343	1.2467152242216508	1.0	1.0	1.0
