Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_5	GO:0051603~proteolysis involved in cellular protein catabolic process	10	1.8115942028985508	0.05803161258337726	XM_007824453, XM_007821350, XM_007824365, XM_007819893, XM_007825218, XM_007820392, XM_007822736, XM_007822327, XM_007825332, XM_007821145	174	43	1465	1.958032611601176	0.9999999997373333	1.0	1.0
GOTERM_BP_5	GO:0044257~cellular protein catabolic process	10	1.8115942028985508	0.05803161258337726	XM_007824453, XM_007821350, XM_007824365, XM_007819893, XM_007825218, XM_007820392, XM_007822736, XM_007822327, XM_007825332, XM_007821145	174	43	1465	1.958032611601176	0.9999999997373333	1.0	1.0
GOTERM_BP_5	GO:0006508~proteolysis	12	2.1739130434782608	0.06385369026656157	XM_007824453, XM_007821350, XM_007824365, XM_007819893, XM_007825218, XM_007820392, XM_007827163, XM_007822736, XM_007822327, XM_007825332, XM_007821145, XM_007826413	174	57	1465	1.7725347852389595	0.9999999999733414	1.0	1.0
GOTERM_BP_5	GO:0070646~protein modification by small protein removal	5	0.9057971014492754	0.09045439385417198	XM_007827163, XM_007822736, XM_007825332, XM_007821145, XM_007826413	174	15	1465	2.8065134099616857	0.9999999999999993	1.0	1.0
GOTERM_BP_5	GO:1901605~alpha-amino acid metabolic process	12	2.1739130434782608	0.09529974217455427	XM_007823410, XM_007821493, XM_007826429, XM_007820381, XM_007823968, XM_007819239, XM_007822779, XM_007827058, XM_007822118, XM_007823623, XM_007822213, XM_007821123	174	61	1465	1.656302996042962	0.9999999999999999	1.0	1.0
GOTERM_BP_5	GO:0009064~glutamine family amino acid metabolic process	6	1.0869565217391304	0.10781870083950942	XM_007823410, XM_007821493, XM_007823968, XM_007819239, XM_007822779, XM_007823623	174	22	1465	2.2962382445141065	1.0	1.0	1.0
GOTERM_BP_5	GO:0044265~cellular macromolecule catabolic process	11	1.9927536231884055	0.12534272826563025	XM_007824453, XM_007821350, XM_007824365, XM_007819893, XM_007825218, XM_007820392, XM_007822736, XM_007822516, XM_007822327, XM_007825332, XM_007821145	174	57	1465	1.6248235531357131	1.0	1.0	1.0
GOTERM_BP_5	GO:0030163~protein catabolic process	10	1.8115942028985508	0.12577239653958133	XM_007824453, XM_007821350, XM_007824365, XM_007819893, XM_007825218, XM_007820392, XM_007822736, XM_007822327, XM_007825332, XM_007821145	174	50	1465	1.6839080459770115	1.0	1.0	1.0
GOTERM_BP_5	GO:0006351~transcription, DNA-templated	20	3.6231884057971016	0.16519674883976143	XM_007826910, XM_007820294, XM_007820096, XM_011413202, XM_007818043, XM_007822789, XM_007826133, XM_007827740, XM_007821612, XM_007822777, XM_007821356, XM_007826322, XM_007822984, XM_007822520, XM_007820717, XM_007821947, XM_007821409, XM_007827076, XM_007819877, XM_007819894	174	128	1465	1.31555316091954	1.0	1.0	1.0
GOTERM_BP_5	GO:0055085~transmembrane transport	19	3.4420289855072466	0.19030314779207114	XM_007821143, XM_007823266, XM_007824453, XM_007821195, XM_007819480, XM_007823492, XM_007823052, XM_007820865, XM_007826231, XM_007826264, XM_007823526, XM_007820797, XM_007828465, XM_007825432, XM_007826885, XM_007822291, XM_007818302, XM_007819696, XM_007818853	174	123	1465	1.3005793851041958	1.0	1.0	1.0
GOTERM_BP_5	GO:0034654~nucleobase-containing compound biosynthetic process	30	5.434782608695652	0.19461622504800494	XM_007820296, XM_007823684, XM_007826910, XM_007820294, XM_007820096, XM_011413202, XM_007821702, XM_007826133, XM_007827740, XM_007822777, XM_007820717, XM_007821947, XM_007821409, XM_007826040, XM_007825292, XM_007827076, XM_007821946, XM_007819877, XM_007819894, XM_007819313, XM_007818043, XM_007827077, XM_007822789, XM_007821612, XM_007823536, XM_007821356, XM_007824525, XM_007826322, XM_007822984, XM_007822520	174	210	1465	1.202791461412151	1.0	1.0	1.0
GOTERM_BP_5	GO:0044267~cellular protein metabolic process	37	6.702898550724639	0.21552149415493488	XM_007820296, XM_007820693, XM_007824453, XM_007820392, XM_007819042, XM_007822736, XM_007826133, XM_007821686, XM_007820972, XM_007825344, XM_007823369, XM_007821640, XM_007821145, XM_007826413, XM_007821102, XM_007826083, XM_007823905, XM_007823904, XM_007819898, XM_007823190, XM_007819157, XM_007821350, XM_007824365, XM_007819893, XM_007825218, XM_007821073, XM_007818022, XM_007820425, XM_007820921, XM_007822327, XM_007826321, XM_007822864, XM_007825332, XM_007825631, XM_007821958, XM_007819309, XM_007827163	174	269	1465	1.1580780241849336	1.0	1.0	1.0
GOTERM_BP_5	GO:0019673~GDP-mannose metabolic process	2	0.36231884057971014	0.2223036610158401	XM_007823684, XM_007826040	174	2	1465	8.419540229885058	1.0	1.0	1.0
GOTERM_BP_5	GO:0009226~nucleotide-sugar biosynthetic process	2	0.36231884057971014	0.2223036610158401	XM_007823684, XM_007826040	174	2	1465	8.419540229885058	1.0	1.0	1.0
GOTERM_BP_5	GO:0016051~carbohydrate biosynthetic process	4	0.7246376811594203	0.22357231029456137	XM_007822772, XM_007827903, XM_007823313, XM_007820287	174	14	1465	2.405582922824302	1.0	1.0	1.0
GOTERM_BP_5	GO:0032774~RNA biosynthetic process	23	4.166666666666666	0.22555751580234848	XM_007820296, XM_007826910, XM_007820294, XM_007820096, XM_011413202, XM_007818043, XM_007822789, XM_007826133, XM_007827740, XM_007821612, XM_007822777, XM_007823536, XM_007821356, XM_007826322, XM_007822984, XM_007822520, XM_007820717, XM_007821947, XM_007821409, XM_007827076, XM_007821946, XM_007819877, XM_007819894	174	158	1465	1.2256292739706096	1.0	1.0	1.0
GOTERM_BP_5	GO:0034637~cellular carbohydrate biosynthetic process	3	0.5434782608695652	0.24189554613464018	XM_007822772, XM_007827903, XM_007823313	174	8	1465	3.1573275862068964	1.0	1.0	1.0
GOTERM_BP_5	GO:0006541~glutamine metabolic process	3	0.5434782608695652	0.24189554613464018	XM_007821493, XM_007819239, XM_007823623	174	8	1465	3.1573275862068964	1.0	1.0	1.0
GOTERM_BP_5	GO:0043632~modification-dependent macromolecule catabolic process	7	1.2681159420289856	0.24514472196047055	XM_007824365, XM_007819893, XM_007825218, XM_007820392, XM_007822736, XM_007825332, XM_007821145	174	36	1465	1.6371328224776502	1.0	1.0	1.0
GOTERM_BP_5	GO:0036211~protein modification process	14	2.536231884057971	0.2566338623315304	XM_007820296, XM_007820693, XM_007821073, XM_007822736, XM_007820425, XM_007820921, XM_007826133, XM_007825332, XM_007820972, XM_007821145, XM_007826413, XM_007821102, XM_007827163, XM_007819898	174	90	1465	1.3097062579821201	1.0	1.0	1.0
GOTERM_BP_5	GO:0006464~cellular protein modification process	14	2.536231884057971	0.2566338623315304	XM_007820296, XM_007820693, XM_007821073, XM_007822736, XM_007820425, XM_007820921, XM_007826133, XM_007825332, XM_007820972, XM_007821145, XM_007826413, XM_007821102, XM_007827163, XM_007819898	174	90	1465	1.3097062579821201	1.0	1.0	1.0
