Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_3	GO:0005543~phospholipid binding	3	2.631578947368421	0.19143176562844977	NP_861429, XP_005162901, NP_001032183	74	10	900	3.6486486486486487	0.9999991884774643	1.0	1.0
GOTERM_MF_3	GO:0016788~hydrolase activity, acting on ester bonds	5	4.385964912280701	0.3718236707230748	NP_001005938, NP_955854, NP_001096608, XP_697507, NP_001025431	74	38	900	1.600284495021337	0.9999999999999528	1.0	1.0
GOTERM_MF_3	GO:0042802~identical protein binding	3	2.631578947368421	0.3774938565334571	NP_001005938, NP_001004546, NP_001028922	74	16	900	2.2804054054054057	0.9999999999999741	1.0	1.0
GOTERM_MF_3	GO:0016741~transferase activity, transferring one-carbon groups	3	2.631578947368421	0.40740283125858373	NP_955825, NP_001139099, NP_001073508	74	17	900	2.1462639109697936	0.999999999999999	1.0	1.0
GOTERM_MF_3	GO:0016651~oxidoreductase activity, acting on NAD(P)H	3	2.631578947368421	0.4650771670859755	NP_957021, NP_001019591, NP_998198	74	19	900	1.9203413940256047	1.0	1.0	1.0
GOTERM_MF_3	GO:0022804~active transmembrane transporter activity	3	2.631578947368421	0.4926887846314173	NP_956262, NP_999905, NP_956228	74	20	900	1.8243243243243243	1.0	1.0	1.0
GOTERM_MF_3	GO:0061134~peptidase regulator activity	2	1.7543859649122806	0.4931209100654095	XP_001922687, NP_001038536	74	8	900	3.040540540540541	1.0	1.0	1.0
GOTERM_MF_3	GO:0043021~ribonucleoprotein complex binding	2	1.7543859649122806	0.5346031674255629	XP_697518, XP_001339387	74	9	900	2.7027027027027026	1.0	1.0	1.0
GOTERM_MF_3	GO:0016769~transferase activity, transferring nitrogenous groups	2	1.7543859649122806	0.5727333231804914	NP_955825, NP_001028922	74	10	900	2.4324324324324325	1.0	1.0	1.0
GOTERM_MF_3	GO:0008233~peptidase activity	6	5.263157894736842	0.5933834470223108	NP_001005938, NP_955934, XP_005162901, NP_571467, NP_001017633, NP_001077327	74	63	900	1.1583011583011582	1.0	1.0	1.0
